id,alt_text,header,transcript
1938,"where's that joker batman; sleepytime batman; walked outside half as bruce wayne and half as batman, said ""damnit"" and ran back inside batman",,"God: SO HEY T-REX YOU'VE INVENTED TWO LANGUAGES IN AS MANY DAYS
T-Rex: I know! Sometimes I worry my brilliance is a curse!
T-Rex: But then I remember that actually no, it's super great!
God: MAYBE YOU SHOULD FOCUS ON GETTING SPEAKERS OF THESE LANGUAGES THOUGH
T-Rex: Dromiceiomimus, will you learn my new languages? One makes you say the same sentence in different ways and the other's where you always have to talk about feelings.
Dromiceiomimus: I'll stick with Dinosaurese, thanks!
T-Rex: That's not a real thing
T-Rex: Utahraptor, you'll speak my languages, right?
Utahraptor: Man, they're all variants on English!
T-Rex: No, they're ORIGINAL languages copyright ME that are merely INSPIRED by Englis-
Utahraptor: Look, I'll give you an analogy. You know how you want an awesome Batman action figure?
T-Rex: Obviously!
Utahraptor: Right!
Off panel: But when you go to the store, all they have are Fishin' Ahoy Batman and Folly of Space Batman and you end up going home SAD and empty-handed again. THESE VARIANTS ARE YOUR NEW LANGUAGES.
T-Rex: NEVER
T-Rex (punchline): - has an analogy been so accurate and personally damaging
"
186,"they live in a small town where everybody knows everybody else's birthday, and also their grandfather's birthday",,"T-Rex: I heard it was somebody's birthday today...
T-Rex: My grandfather's!
T-Rex: Wow, that's exciting! I wonder who'll be at the party tonight?
T-Rex: Will there be cake?
T-Rex: I'll show off my balloon-animal-making skills!
Utahraptor: T-Rex, you missed his birthday! It was days ago!
T-Rex: What?
Utahraptor: Yeah, that's the thing with birthdays: they only come once a year, and if you miss the day, you miss out!
T-Rex: Shoot! I'll just have my own party for him then!
Narrator: THAT EVENING...
T-Rex: Wow... Grandfather sure knows how to throw a party!
T-Rex (punchline): Who wants some cake?
"
857,"i have long held that t2 is the platonic form of action movies.  all it's missing is a sex scene, and all that does to a movie is make it awkward to watch with your parents, so whatever!  living liquid metal robots from the future NEVA4GET",,"Narrator: DIFFERENT WAYS TO SAY GOODBYE:
T-Rex: Later!
Narrator: THAT WAY'S OKAY
Narrator: NEVER USE THIS WAY PLEASE:
T-Rex: Compadres! I bid you each... ADIEU!
Narrator: THIS WAY IS ALSO PRETTY TERRIBLE:
T-Rex: It's not ""goodbye"", just - ""farewell"". This isn't the end, Dromiceiomimus, but merely the end of an era. One door closes as another opens, and we can't forever live in the past! A new, brighter tomorrow beckons.
Narrator: I DON'T KNOW WHERE T-REX IS GOING WITH THIS. IT IS JUST ONE CLICHÉ AFTER ANOTHER. IF I COULD TALK TO T-REX I WOULD SAY, HELLO T-REX, WHAT IS THE DEAL.
Narrator: HERE'S A GOOD WAY:
T-Rex: Hasta la vista, tiny woman!
Utahraptor: Stop it, T-Rex!
Narrator: THAT WAS GOOD BECAUSE WE ALL SAW TERMINATOR 2. THAT WAS A PRETTY GOOD MOVIE
Utahraptor: I liked it.
T-Rex: Oh my God, me too!!
Narrator: ANYWAY IT IS NOT THAT HARD TO SAY GOODBYE.
Narrator: THE ONLY TIME IT IS HARD IS WHEN YOU ARE SAYING A FINAL GOODBYE TO SOMEONE WHO MEANS MORE TO YOU THAN ANYTHING:
T-Rex (punchline): I'll always love you!
Narrator: WORDS WILL SEEM TRITE AND YOU'LL FOREVER REGRET YOUR INABILITY TO EXPRESS YOURSELF. THE END!
"
395,"alternate ending: 'the kid has like a bazillion parents!  and as you know, parents are the wingmen on the flight through life.'",,"T-Rex: Okay! So, we get a couple - no! - a polyamorous CROWD of people, who all want to have a child, but who are all infertile. So! Then we get a donated fertilized egg...
T-Rex: ... and bring it to term with a surrogate mother who is herself married!
T-Rex: THEN, you give the child to the polyamorous crowd, who have new members replace old ones quickly and quite often. Um, infinitely often.
T-Rex: THAT’S, I think, how you get a child with the highest number of people who could possibly claim parentage. Tada!
Utahraptor: You've outdone yourself this time, my friend!
T-Rex: How's that?
Utahraptor: Well, you’ve raised pretty much every socio-reproductive issue in the book, and also RUINED THE LIFE OF AN IMAGINARY CHILD.
T-Rex: I haven't ruined any lives! The kid has like a bazillion parents: think about his birthday!
T-Rex (punchline): PRESENTS
"
1795,"emily horne of a softer world and jeremy of cmdrriker.tumblr.com and i spent an evening gorged on pizza coming up with all these cards; good times, best times",,"T-Rex: Outside of the card is just the words ""I'M NOT GAY."", all caps, a nice bold sans-serif on a stark white background. You open it up, and in smaller type it reads ""but I'm gay for you""! And there's a little heart! OH MY GOD
T-Rex: ADORABLE
T-Rex: We're going to have a full line of cards, Dromiceiomimus! ""I'm not straight / but I'm straight for you"", and there's a little picture of a RULER.
Dromiceiomimus: That one should appeal to about one in ten people!
T-Rex: IT'S ADORABLE. ""I'm not sleepy / but I'll sleep with you.""? And there's a little picture of a teddybear in a nightcap? Oh snap! WE JUST MAXED OUT CUTE.
Utahraptor: ""I'm not here / but I'm here for you"", with a picture of a telephone?
T-Rex: Awww! Long-distance cards!
T-Rex: Utahraptor, we have to get on this. We can become card barons and EVEN BETTER, we can make the CUTEST CARDS EVER for every life situation. ""I'm not perfect / but I'm perfect for you""! ""I'm not happy / but I'm happy for you""?
Utahraptor: Those seem creepy and emo, respectively! What's that last one: a breakup card?
Narrator: LATER:
T-Rex (punchline): ""I'm not of age! / But I'm -
Off panel: T-REX
Off panel: STOP RIGHT THERE
"
876,"if i can steal a joke from drmcninja.com: if you didn't whisper to yourself ''i do!'' in the first panel, then either you have just heard a lot of old jokes about oatmeal, or you are lying.",,"T-Rex: Who here would like to hear an old joke about oatmeal?
God: DAAAMN
God: I WOULD
T-Rex: Then here we go!
T-Rex: Okay okay, so there's this monastery, with three monks, and only one monk is allowed to speak, once, each year. They take turns! The first year, at breakfast, the first monk speaks and says ""I hate oatmeal."" A year later, again at breakfast, the second monk speaks and says ""I love oatmeal."" Finally, one year later, the last monk gets to speak and HE says ""I'm tired of this constant bickering about oatmeal!""
T-Rex: Hee hee! Comedy gold!
Utahraptor: Aw, that's an old joke!
T-Rex: BUT A GOOD ONE! It's funny, I think, because the conversation is spread over three years, and NORMALLY, you'd expect monks not to talk about oatmeal for that long.
Utahraptor: I think it's funny because monks are normally thought of as holy, not as oatmeal obsessed OR oatmeal loathing!
God: I THINK IT'S FUNNY BECAUSE IT'S BASED ON A TRUE STORY
T-Rex: Is it?
God: WELL NO BUT I CAN MAKE IT SO IT IS IF YOU WANT
T-Rex: Dude!!
T-Rex (punchline): I'm afraid I'll have to insist!
"
976,DEAR MENTAL DIARY: NOBODY BETTER BE READING MY MENTAL DIARY,,"T-Rex: There sure are a lot of songs about dancing! I have probably heard at LEAST three hundred songs about dancing.
God: ACTUALLY YOU'VE HEARD 1365 SONGS ABOUT DANCING
T-Rex: Aww, you counted!
T-Rex: So why is music so reflexive? There aren't tons of paintings about PAINTING, for example. Or plays and/or movies about sitting and watching a play and/or movie, for that matter!
Dromiceiomimus: Actually T-Rex, that's not really true, and plus that's not really a fair comparison. Dancing is something you do in response to music! There are lots of paintings, films and plays that really ARE about your response to them.
T-Rex: Well! SO MUCH FOR THAT FUNNY RANT.
Utahraptor: Looks like!
T-Rex: Wait, this can still be salvaged! Utahraptor, you know what I dislike? PEOPLE AT THE GROCERY STORE WHO TAKE A LONG TIME AT THE CASH, FOR VARIOUS REASONS!!
Utahraptor: Yep!
T-Rex: They, um - they sure could be faster, is what I'm sayin'.
T-Rex (punchline): [thinks] Dear mental diary: everyone here sucks. Maybe I should take my act to the grocery store!
"
1218,"every comic over the past 5 years was just setting the stage for this joke. thanks for reading, everyone!!",,"T-Rex: A few months ago I said I wanted to be a stand-up comedian. It turns out it's a lot of work?
T-Rex: But guys! I still totally want to be a stand-up comedian!
T-Rex: So I've been doing RESEARCH. I've been going to Comedy Club after Komedy Klub and figuring out how their performers make jokes. It's easy to duplicate the bad comedians, but it's hard to figure out the good ones!
Dromiceiomimus: How so?
T-Rex: Comedy relies on surprise, I think! There's a twist that makes a joke funny, and I haven't figured out a generative algorithm yet.
Utahraptor: Hey, I wanted to try stand-up too!
T-Rex: Then come with me tonight: we'll go to a show!
Narrator: AFTER THE SHOW:
T-Rex: Man! How do those guys do it? Every comedian up there was HILARIOUS and I don't know why. Especially the Triceratops.
Utahraptor: Comedy's hard, I guess!
T-Rex: I just can't figure out these... these Dinosaur Comics.
God: OH GOD
T-Rex: What?
T-Rex (punchline): You know what? It's really weird when you say that.
"
2311,THIS IS WHERE OUR STORY ENDS,,"T-Rex: Tired of all the things you usually eat? Maybe it's time for
T-Rex: ETHNIC FOOD??
T-Rex: For example, Swedish Berries! They're a candy and ""Swedish"" is right in their name! Or, if you want to take your taste buds on a journey to the land of Sour Patch, try consuming their pre-packed childre-
Dromiceiomimus: I don't know if these really count as ethnic food.
T-Rex: Oh, I get it. You want VEGETABLES.
T-Rex: Well, there are tons of vegetables you maybe haven't eaten yet!
Utahraptor: NO! T-Rex, stop! YOU'LL TRIGGER THE ELDRITCH CURSE!!
T-Rex: Try Chinese eggplant, Hawaiian eggplant, Indian eggplant, Filipino eggplant, Holland eggplant, American eggplant, Japanese eggplant, Thai eggplant, Italian eggplant and if you'd rather be the ball than the boot, Sicilian eggplant. Not to mention Cambodian green giant eggplant, Loa lavender eggplant,
Utahraptor: No
T-Rex (punchline): [crying black tears] Lebanese brunching eggplant, Ukrainian beauty eggplant, green goddess eggplant, pea eggplant, white eggplant, Rosa Bianca eggplant, green apple eggplant, graffiti eggplant, Zoa eggplant, black egg eggplant, little fingers eggplant, little green eggplant, Zahara eggplant, Turkish orange eggplant, long wh
"
1575,"yes, he was good enough to leave infinite heirs infinity dollars to split infinitely equally among themselves",,"T-Rex: David Hilbert was a mathematician and hotelier who was born in 1862. He built an infinite hotel, you guys!
Narrator: THE INFINITE HOTEL
Narrator: A TRUE STORY
T-Rex: So Hilbert built this infinite hotel that was infinitely big and had infinitely many rooms; I believe this was a matter of some investment. But build it he did, and soon after a bus with infinity people in it showed up, with each of them wanting a room! Lucky for Hilbert he had his infinite hotel, so each guest got a room, and the hotel was filled up to capacity. Nice! But just then another friggin' bus showed up, and it ALSO had infinity people in it!
Utahraptor: Nobody builds for TWO infinite buses showing up right after the other!
T-Rex: Turns out they do!
T-Rex: He just told every guest already there to move into the room that was double their current room number. So the guest in room 3 moved into room 6, and so on! Thus, only the even-numbered rooms were occupied, and everyone on the new bus could have an odd-numbered room!
Utahraptor: Amazing!
T-Rex: Yep! Anyway!
T-Rex (punchline): It's my understanding he died an infinitely rich man infinity years later
"
