DON'T LISTEN TO MY DIARY!
      0 100.00%: 
      1 24.82%:  I
      2 22.01%:  I'M
      3 19.36%:  I'D
      4 19.05%:  I LO
      5 18.66%:  I'M SO
      6 18.64%:  D
      7 29.96%:  DON'T T
      8 29.22%:  DON'T S
      9 29.10%:  DON'T L
     10 30.07%:  DON'T LIE
     11 28.45%:  DON'T MA
     12 28.44%:  DON'T LET IT
     13 27.86%:  DON'T DO
     14 27.50%:  DON'T E
     15 27.45%:  DON'T LIE!
     16 27.27%:  DON'T LO
     17 27.24%:  DON'T R
     18 27.10%:  DON'T LIST
     19 28.48%:  DON'T LISTEN TO MY
     20 26.88%:  DON'T D
     21 26.79%:  DON'T ST
     22 26.77%:  DON'T I
     23 26.74%:  DON'T TR
     24 31.11%:  DON'T TRY TO MA
     25 27.84%:  DON'T TRY TO S
     26 26.74%:  DON'T TO
     27 26.71%:  DON'T TA
     28 26.66%:  DON'T LISTEN TO M
     29 26.65%:  DON'T LISTEN TO D
     30 26.62%:  DON'T IN
     31 26.61%:  DON'T LE
     32 26.60%:  DON'T LISTEN TO A
     33 26.56%:  DON'T!
     34 26.53%:  DON'T LISTEN TO R
     35 26.49%:  DON'T READ
     36 26.49%:  DON'T M
     37 26.47%:  DON'T RE
     38 26.46%:  DON'T LI
     39 26.44%:  DON'T Y
     40 26.42%:  DON'T A
     41 26.41%:  DON'T STE
     42 27.21%:  DON'T STEAL MY DI
     43 26.71%:  DON'T STEAL MY T
     44 26.50%:  DON'T STEAL MY D
     45 26.41%:  DON'T ME
     46 26.41%:  DON'T DIS
     47 26.41%:  DON'T ANY
     48 26.40%:  DON'T IT
     49 26.40%:  DON'T O
     50 26.39%:  DON'T MO
     51 26.39%:  DON'T DE
     52 34.61%:  DON'T DESTROY MY I
     53 29.37%:  DON'T DESTROY MY N
     54 28.96%:  DON'T DESTROY MY T
     55 28.87%:  DON'T DESTROY MY L
     56 27.66%:  DON'T DESTROY MY A
     57 26.84%:  DON'T DESTROY IT
     58 26.38%:  DON'T MI
     59 26.38%:  DON'T AN
     60 26.15%:  DON'T DESTROY ANY
     61 26.13%:  DON'T LISTEN TO MY DI
