WHAT AM I GONNA DO WITH ALL THESE RAISED EXPECTATIONS
100.00%: 
25.31%:  THAT
24.02%:  I CAN
21.38%:  E
13.35%:  I G
55.37%:  I GOTTA READ
45.80%:  I GOTTA READ ALL
49.47%:  I GOTTA READ ALL THESE
40.26%:  I GOTTA READ ALL THAT
40.06%:  I GOTTA READ THE
55.15%:  I GOTTA READ THEM ALL AND
32.70%:  I GOTTA READ THAT
28.60%:  I GOTTA READ ALL THEM
26.89%:  I GOTTA READ THEM ALL A
17.68%:  I GOTTA READ IT
17.51%:  I GOTTA READ THIS
14.92%:  I GOTTA READ ALL THAT ST
13.97%:  I GOTTA READ ALL THESE TEXT
24.10%:  I GOTTA READ ALL THESE TEXTS AND
12.46%:  I GOTTA READ THEM ALL AND P
12.04%:  I GOTTA READ ALL T
45.00%:  I GOTTA READ ALL THOSE TEXT
69.03%:  I GOTTA READ ALL THOSE TEXTS AND
22.26%:  I GOTTA READ ALL THOSE TEXTS AND P
19.03%:  I GOTTA READ ALL THOSE TEXTS A
12.56%:  I GOTTA READ ALL THOSE TH
11.76%:  IT
11.56%:  I NE
26.80%:  I NEED TO GO
24.83%:  I NEED TO RE
21.19%:  I NEED TO READ
17.22%:  I NEED TO READ THE
16.42%:  I NEED TO READ ALL
16.27%:  I NEED TO READ ALL THESE
13.42%:  I NEED TO READ THAT
11.54%:  I GOTTA ADD
11.49%:  I GOTTA READ E
11.42%:  I NEED TO READ THEM ALL A
17.19%:  I NEED TO READ THEM ALL AGAIN WITH
15.95%:  I NEED TO READ THEM ALL AGAIN TO
10.77%:  I GOTTA READ ALL THOSE TEXTS AND CO
10.58%:  I GOTTA READ ALL THEM AND
10.52%:  I GOTTA READ IT ALL
10.48%:  I GOTTA READ THEM ALL AND THAT
10.48%:  THE
10.15%:  I NEED TO T
532.49%:  I NEED TO TRANSLATE THE
322.60%:  I NEED TO TRANSLATE THAT
150.97%:  I NEED TO TRANSLATE E
133.16%:  I NEED TO TRANSLATE THAT IN
86.14%:  I NEED TO TRANSLATE IT
61.77%:  I NEED TO TRANSLATE THAT ONE
60.05%:  I NEED TO TRANSLATE THE EN
47.76%:  I NEED TO TRANSLATE A
47.23%:  I NEED TO TRANSLATE THIS
43.48%:  I NEED TO TRANSLATE MO
41.31%:  I NEED TO TRANSLATE THEM AND
41.11%:  I NEED TO TRANSLATE A NEW
39.68%:  I NEED TO TRANSLATE THAT AND
38.73%:  I NEED TO TRANSLATE T
64.89%:  I NEED TO TRANSLATE THOSE TO
31.58%:  I NEED TO TRANSLATE THEM A
29.96%:  I NEED TO TRANSLATE AND
28.40%:  I NEED TO TRANSLATE THEM IN
27.99%:  I NEED TO TRANSLATE IT A
27.99%:  I NEED TO TRANSLATE THEM AGAIN WITH
22.46%:  I NEED TO TRANSLATE EACH
22.30%:  I NEED TO TRANSLATE IT AGAIN WITH
22.02%:  I NEED TO TRANSLATE IT AGAIN TO
21.98%:  I NEED TO TRANSLATE THEM TO
21.13%:  I NEED TO TRANSLATE THOSE AND
21.10%:  I NEED TO TRANSLATE THE T
20.81%:  I NEED TO TRANSLATE SO
30.96%:  I NEED TO TRANSLATE SOMETH
106.20%:  I NEED TO TRANSLATE SOMETHING EL
57.63%:  I NEED TO TRANSLATE SOMETHING WITH
20.52%:  I NEED TO TRANSLATE EACH ONE WITH
19.84%:  I NEED TO TRANSLATE SOMETHING TO
19.76%:  I NEED TO TRANSLATE THE NEW
18.86%:  I NEED TO TRANSLATE THEM WITH
18.61%:  I NEED TO TRANSLATE THEM AGAIN TO
17.88%:  I NEED TO TRANSLATE THE W
16.90%:  I NEED TO TRANSLATE AN
