even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
      2 77.70%:  that
      3 631.47%:  that's the
      4 277.44%:  that's the end.
      5 244.58%:  that's not
      6 166.62%:  that's it.
      7 74.57%:  thank
      8 69.20%:  that's it I
      9 56.54%:  that one
     10 52.01%:  that one is
     11 46.81%:  that's it I need
     12 44.07%:  that one is done
     13 39.37%:  so
     14 58.54%:  so that
     15 65.12%:  so that one
     16 46.12%:  so that's not
     17 68.01%:  so that's not the
     18 149.77%:  so that's not the end
     19 45.42%:  so that's the
     20 102.98%:  so that's the end
     21 91.80%:  so that's the ending
     22 43.88%:  so that's not the ending
     23 50.46%:  so that's not the ending.
     24 37.49%: .
     25 37.35%:  so that's it
     26 34.37%:  I
     27 33.98%:  that's it. I
     28 40.13%:  that's it. I need
     29 33.81%:  that's good
     30 33.42%:  that's done
     31 32.12%:  that's one
     32 31.00%:  so that one doesn
     33 28.31%:  that's not the
     34 135.98%:  that's not the ending
     35 26.57%:  that's the end. I
     36 22.17%:  I need
     37 20.68%:  so that's not the end.
     38 20.13%:  so this
     39 20.06%:  that's the ending
     40 20.03%:  I need to get
     41 29.41%:  I need to get this
     42 19.84%:  so this one
     43 19.43%:  that's the end I
     44 18.97%:  that doesn
     45 18.28%:  that one doesn
     46 35.05%:  that one doesn't tie
     47 24.88%:  that one doesn't get
     48 17.80%:  that's not even
     49 17.57%:  so the
     50 17.23%:  that is
     51 39.85%:  that is the
     52 17.26%:  that is the end.
     53 14.49%:  so that's the ending.
     54 14.42%:  I think
     55 16.66%:  I think that one
     56 13.56%:  that one needs
     57 13.20%:  that's the ending to
     58 13.12%:  that's not the end.
     59 25.24%:  that's not the end. I
     60 12.92%:  I have
     61 12.33%:  that one'
     62 152.22%:  that one's done
     63 21.38%:  that one's done.
     64 12.55%:  that one's not
     65 18.60%:  that one's not on
     66 14.71%:  that one's not in
     67 12.28%:  so that's the end.
     68 12.24%:  that's not the ending.
     69 11.84%:  thanks this
     70 11.60%:  I think that one needs
     71 10.78%:  that's the ending so
     72 10.47%:  so that one'
     73 17.73%:  so that one's not
     74 12.01%:  so that one's not done
     75 10.24%:  that's not the end so
     76 10.12%:  that one got
     77 10.04%:  that's not good
     78 10.02%:  I need to go to
     79 9.93%:  that's the end so
     80 9.68%:  that one's not done
     81 9.67%:  so that's not the ending. I
     82 9.34%:  so that's the one
     83 9.06%:  that one's not so
     84 8.90%:  so that one took
     85 8.50%:  that one took
     86 8.15%:  no
     87 10.69%:  no that
     88 62.32%:  no that's not the
     89 64.67%:  no that's not the end.
     90 51.73%:  no that's not the ending
     91 114.02%:  no that's not the ending I
     92 81.79%:  no that's not the ending.
     93 36.41%:  no that's not the end I
     94 12.85%:  no that's not the ending. I
     95 11.97%:  no that's it
     96 9.56%:  no that's not the end. I
     97 8.79%:  no that one
     98 8.11%:  so that one doesn't tie
     99 7.93%:  so that one needs
    100 7.84%:  so I
    101 15.43%:  so I've got
    102 17.88%:  so I've got this
    103 7.75%:  so that one doesn't go
    104 7.73%:  that one's good
    105 7.69%:  no that's not it
    106 7.64%:  that's good too
    107 7.44%:  so that's not on
    108 7.19%:  that's one done
    109 7.08%:  that's too
    110 6.80%:  I gotta
    111 6.39%:  that's not on
    112 6.37%:  that one is done.
    113 6.26%:  so that's the ending to
    114 6.04%:  I need to go take
    115 5.84%:  that's not even good
    116 5.80%:  that one needs to
    117 5.69%:  I need to take
    118 5.66%:  that's the one
    119 11.28%:  that's the one I
    120 5.64%:  that's the end. It
    121 5.64%:  that one isn
    122 5.90%:  that one isn't on
    123 5.55%:  no that's not on
    124 5.51%:  so that one is
    125 5.40%:  no that one doesn
    126 5.37%:  no that's the
    127 11.02%:  no that's the ending
    128 5.31%:  so that's not the one
    129 5.29%:  I need to take this
    130 12.97%:  I need to take this to
    131 5.27%:  so I need
    132 5.20%:  so that's one
    133 5.18%:  no this
    134 6.80%:  no this one
    135 5.16%:  I have to go to
    136 41.80%:  I have to go to the dent
    137 5.16%:  I think that does
    138 5.16%:  that is not
    139 5.10%:  so that's it.
    140 4.99%:  that's done.
    141 4.95%:  so I need to go
    142 6.29%:  so I need to go to
    143 4.89%:  that's good.
    144 4.87%:  so that's the ending I
    145 4.84%:  so that one ends
    146 4.84%:  and
    147 4.76%: . I
    148 4.66%:  this
    149 5.62%:  this one
    150 9.39%:  this one's done
    151 4.59%:  that one's not so good.
    152 4.58%:  I have to get
    153 5.95%:  I have to get this
    154 10.98%:  I have to get this done
    155 6.06%:  I have to get this done soon
    156 4.55%:  that's not done
    157 4.49%:  that's it. I don
    158 4.45%:  this one's gonna
    159 4.37%:  it
    160 4.69%:  it's gonna
    161 4.36%:  that one's not so hot
    162 4.24%:  that one doesn't go
    163 9.30%:  that one doesn't go on
    164 9.00%:  that one doesn't go in
    165 6.20%:  that one doesn't go so
    166 4.08%:  so that's not the end I
    167 4.07%:  I think that goes
    168 3.99%:  that one isn't done
    169 3.90%:  no that's the end.
    170 3.89%:  that is one
    171 3.87%:  that's the one ending
    172 3.84%:  so I've got that
    173 3.80%:  so that's not the end. I
    174 3.74%:  so this one'
    175 3.69%:  no this one doesn
    176 5.23%:  no this one doesn't have
    177 7.19%:  no this one doesn't have to
    178 3.67%: . I think
    179 10.55%: . I think that's good
    180 5.82%: . I think that's done
    181 3.67%:  so that one doesn't get
    182 3.65%:  that one goes
    183 8.41%:  that one goes on
    184 6.27%:  that one goes in
    185 5.03%:  that one goes to
    186 3.63%:  I need to get to
    187 3.62%:  good
    188 3.59%:  so that's not the kind
    189 3.58%:  so it
    190 63.00%:  so it's not that
    191 122.21%:  so it's not that good
    192 24.23%:  so it's not done
    193 16.23%:  so it's not gonna
    194 15.48%:  so it's not a
    195 7.09%:  so it doesn
    196 10.47%:  so it doesn't have
    197 21.01%:  so it doesn't have to
    198 5.85%:  so it doesn't have the
    199 5.15%:  so it's the
    200 4.69%:  so it's not a good
    201 4.57%:  so it's not the
    202 4.18%:  so it's not gonna end
    203 3.53%: . I need
    204 4.45%: . I need to get
    205 9.21%: . I need to get to
    206 6.06%: . I need to get this
    207 3.52%:  so that's the end. It
    208 3.47%:  that's it. It
    209 3.43%:  so I have
    210 3.40%:  that one is good
    211 3.39%:  so I need to get
    212 7.51%:  so I need to get this
    213 7.41%:  so I need to get this to
    214 4.89%:  so I need to get to
    215 3.34%:  I think that's good
    216 3.34%:  so that doesn
    217 3.33%:  that one isn't so
    218 3.32%:  this one's gonna need
    219 3.29%: . I think that one
    220 3.25%:  that's the end to
    221 3.20%:  that's the ending.
    222 4.20%:  that's the ending. I
    223 3.19%:  that one ends
    224 3.19%:  so I've got a
    225 3.15%:  so it's not that good.
    226 3.15%:  so it's a
    227 3.14%:  so I've got to
    228 3.10%:  so it takes
    229 3.09%:  that one's not done.
    230 3.09%:  that's one thing
    231 3.07%:  I think that's good.
    232 3.05%:  that's not it
    233 3.05%:  no one
    234 3.03%:  that doesn't even
    235 3.01%:  I think that one'
    236 5.63%:  I think that one's done
    237 3.00%:  so I don
    238 16.51%:  so I don't think
    239 23.46%:  so I don't think that
    240 3.97%:  so I don't have it
    241 3.01%:  so I don't have this
    242 3.54%:  so I don't have this one
    243 3.00%: . I need to get this to
    244 2.98%:  so I need to get this on
    245 2.92%:  that one goes in the '
    246 2.90%:  that's not this
    247 2.87%:  that's it I need to go on
    248 2.86%:  no that's not good
    249 2.86%:  no that's not the end so
    250 2.78%:  so that one's done
    251 2.78%:  so the thing
    252 2.78%:  that's not the one
    253 2.77%:  thanks.
    254 2.73%: . I've
    255 2.72%:  so that one goes
    256 2.66%:  thanks I
    257 2.65%:  thanks good
    258 2.65%:  so that one doesn't go into
    259 2.63%:  no that's not the one
    260 2.61%:  I need a
    261 2.59%:  so I don't think that goes
    262 2.59%:  that's not the end I
    263 2.55%:  so I need to take
    264 4.58%:  so I need to take this
    265 2.54%:  that's the ending so I
    266 2.53%:  so I have nothing
    267 2.51%:  so it's gonna
    268 2.50%:  that took
    269 2.48%:  so that one doesn't get in
    270 2.47%:  so that's not it
    271 2.44%:  it's not
    272 2.40%:  thanks so
    273 2.40%:  that's not so
    274 2.75%:  that's not so good
    275 2.39%:  that one's gone
    276 2.39%:  so that one gets
    277 2.37%: . I need to get this on
    278 2.34%:  that one gets
    279 2.32%:  that one got too
    280 2.31%:  so it's not the end
    281 2.25%:  this has
    282 4.82%:  this has gotten
    283 4.76%:  this has gone
    284 2.23%:  this takes
    285 2.22%:  that's it. I need the
    286 2.22%:  that's good isn
    287 2.21%:  so I don't think that one
    288 2.16%:  it's a
    289 2.14%:  it's not that
    290 5.77%:  it's not that good
    291 2.14%:  so it's not good
    292 2.13%:  this has gone on too
    293 2.13%:  and the
    294 2.11%:  so this one took
    295 2.10%:  so that one I
    296 2.09%:  that's not even the
    297 2.08%:  that's not in
    298 2.07%:  so that one's not in
    299 2.07%:  that's the end so I
    300 2.05%:  I think that one goes
    301 2.03%:  so the ending
    302 2.02%:  so that doesn't even
    303 2.02%:  that's not the ending. I
    304 2.00%: . I think that goes
    305 4.84%: . I think that goes on
    306 2.16%: . I think that goes to
    307 2.00%:  that one's on
    308 1.99%:  that doesn't tie
    309 1.98%:  and it
    310 1.98%:  so I don't have to
    311 1.97%: . I think that one needs
    312 1.96%:  it's a good
    313 1.93%:  that one's kind
    314 1.90%:  this has gone too
    315 1.90%:  so that one's not the
    316 1.90%:  so that one's not on
    317 1.90%:  so it's got
    318 1.88%:  so that's not one
    319 1.87%:  so it needs
    320 1.86%:  I need to go have
    321 1.85%:  I think that's one
    322 1.85%:  that one's done. I
    323 1.84%:  so I need to have
    324 1.80%:  no that's not in
    325 1.80%:  so I've gotta
    326 1.79%:  so that's it. It
    327 1.79%:  no that one'
    328 5.03%:  no that one's not done
    329 1.78%:  that one needs no
    330 1.78%:  that one's in
    331 1.77%:  that one's done. I think
    332 1.77%:  so it's done
    333 1.77%:  so that's not in
    334 1.77%:  so I have to go
    335 2.12%:  so I have to go to
    336 1.76%: . I have
    337 2.17%: . I have nothing
    338 1.76%:  so that's the ending. I
    339 1.75%:  so I haven
    340 6.11%:  so I haven't got
    341 4.57%:  so I haven't gotten
    342 4.51%:  so I haven't got this
    343 3.90%:  so I haven't gotten the
    344 2.00%:  so I haven't gotten it
    345 1.83%:  so I haven't done
    346 3.70%:  so I haven't done the
    347 2.47%:  so I haven't done this
    348 1.74%:  so that one doesn't go on
    349 1.73%:  that doesn't go
    350 1.73%:  so that's not done
    351 1.72%:  no that's not the ending so
    352 1.72%:  that one's not so good. It
    353 1.71%: . I need to get on
    354 1.70%:  no that's the ending to
    355 1.69%:  no thanks
    356 1.88%:  no thanks I
    357 1.69%:  no that's not the kind
    358 1.68%:  so that one is done
    359 1.67%:  that doesn't get
    360 1.66%:  so it doesn't go
    361 1.66%:  that's it. I got
    362 1.65%:  that's not good.
    363 1.63%:  that's it. I need to go on
    364 1.63%:  that is the end. I
    365 1.61%:  that's the end. I got
    366 1.60%:  that one ends in
    367 1.58%:  no this one'
    368 4.30%:  no this one's not
    369 5.33%:  no this one's not done
    370 1.57%:  so I need to get a
    371 1.57%: . I've gotta
    372 1.57%:  no that's too
    373 1.56%:  I think that's done
    374 1.64%:  I think that's done.
    375 1.55%: . I think that does
    376 1.54%:  that's one good
    377 1.54%:  so I haven't gotten it done
    378 1.54%:  this one's not
    379 6.25%:  this one's not gonna
    380 2.36%:  this one's not on
    381 1.54%:  that one ends on
    382 1.53%:  so it's a good
    383 1.53%:  so that one doesn't get on
    384 1.51%:  that one isn't so hot
    385 1.51%:  I need to go into
    386 1.51%:  that one's done so
    387 1.50%:  so the idea
    388 1.49%:  that's good. It
    389 1.49%:  then
    390 1.57%:  then.
    391 1.48%:  that one took too
    392 1.48%:  no that's too good
    393 1.48%:  so I have no
    394 1.47%:  that's good I
    395 3.26%:  that's good I think.
    396 1.47%:  so that isn
    397 2.06%:  so that isn't the
    398 4.93%:  so that isn't the end
    399 1.46%:  I need to sit
    400 1.45%:  no that's it I
    401 1.45%: . I need to get on this
    402 1.44%:  so I've got that done
    403 1.43%:  so that one doesn't go in
    404 1.42%:  that one took the
    405 1.42%:  that's the end. It is
    406 1.41%:  no that's the ending.
    407 1.41%:  so that's it I
    408 1.40%:  so I need to have this
    409 1.40%:  so it's not even
    410 1.40%:  that is the end I
    411 1.40%:  I have to get this one
    412 1.39%:  so thanks
    413 1.39%:  this one doesn
    414 48.25%:  this one doesn't have
    415 4.61%:  this one doesn't have to
    416 2.97%:  this one doesn't have to go
    417 2.88%:  this one doesn't get
    418 2.43%:  this one doesn't take
    419 1.38%:  that one isn't so good.
    420 1.38%:  no that one's not good
    421 1.37%:  so that one is not
    422 1.37%:  so I need the
    423 1.37%:  and this
    424 2.71%:  and this one
    425 1.36%:  so I think
    426 3.00%:  so I think that
    427 2.06%:  so I think that needs
    428 1.85%:  so I think that one
    429 1.58%:  so I think that's good
    430 1.42%:  so I think that's one
    431 1.40%:  so I think that one needs
    432 1.36%:  this one has
    433 1.36%:  so that's the end. I
    434 1.35%:  so that one's in
    435 1.34%: . I've got a
    436 1.33%:  so it's not even that
    437 1.32%:  I've
    438 17.53%:  I've gotta
    439 1.69%:  I've got to take
    440 4.14%:  I've got to take this
    441 1.32%:  this one's done.
    442 1.31%:  no this one doesn't go
    443 1.31%:  this doesn
    444 1.31%:  I think that's good to
    445 1.30%:  so that's the kind
    446 1.29%:  I need to get this on
    447 1.82%:  I need to get this on a
    448 1.28%:  it's done
    449 1.42%:  it's done.
    450 1.27%:  so that's the one I
    451 1.27%:  so that one ties
    452 1.26%:  I think that's got
    453 1.26%:  so that's not the ending on
    454 1.25%:  no that's not even
    455 1.89%:  no that's not even the
    456 1.25%:  no thanks I need
    457 1.52%:  no thanks I need to get
    458 1.45%:  no thanks I need to get this
    459 1.24%:  no this one's not good
    460 1.24%:  that's not so hot
    461 1.24%:  so it's not on
    462 1.22%:  so that one's on
    463 1.21%:  so it doesn't go that
    464 1.20%:  I need to get this to
    465 1.19%:  so it doesn't take
    466 1.19%:  so I need to give
    467 1.19%:  it's not done
    468 1.18%:  that one ends things
    469 1.18%:  this one's a
    470 1.17%:  that's 
    471 1.17%:  no one asked
    472 1.16%:  that is the end so
    473 1.16%:  I need to take it
    474 1.16%:  that's not the kind
    475 1.16%:  no thanks I need to go to
    476 1.15%:  the
    477 1.96%:  the end
    478 1.15%:  that one's too
    479 1.15%: . I need to go to
    480 1.14%:  no that's it.
    481 1.14%:  so that's not even
    482 1.59%:  so that's not even the
    483 1.13%:  no that one's too
    484 1.13%:  that one doesn't go into
    485 1.13%:  so that took
    486 1.13%:  so that one isn
    487 7.46%:  so that one isn't done
    488 1.39%:  so that one isn't the
    489 1.18%:  so that one isn't on
    490 1.13%:  so I've got the
    491 1.12%:  that one I
    492 2.41%:  that one I think
    493 1.98%:  that one I'
    494 1.48%:  that one I think needs
    495 1.12%:  so it's the end
    496 1.12%:  it's not the
    497 1.12%:  it's gonna need
    498 1.11%:  no that's the one
    499 1.11%:  I think that one's done so
    500 1.10%:  I need to go on
    501 1.45%:  I need to go on the
    502 1.09%:  so don
    503 1.09%:  so I haven't got this done
    504 1.09%:  so that's the ending to one
    505 1.07%:  no this one's too
    506 1.07%:  so I need to get on
    507 1.09%:  so I need to get on that
    508 1.07%:  no I
    509 1.06%:  so I have one
    510 1.05%:  no that one doesn't tie
    511 1.05%:  so I haven't got it
    512 1.04%:  so I need to go on
    513 1.04%:  no that's it I need
    514 1.04%:  that one's not done so
    515 1.04%:  that's one I
    516 1.03%:  that one's not good
    517 1.67%:  that one's not good.
    518 1.03%:  so I have this
    519 1.03%:  that's not too
    520 1.03%:  thanks I need
    521 9.68%:  thanks I need to go to
    522 2.02%:  thanks I need to get
    523 4.76%:  thanks I need to get to
    524 1.99%:  thanks I need to get this
    525 1.02%:  no thanks to
    526 1.10%:  no thanks to the
    527 1.02%:  so that's not good
    528 1.02%:  so that one's not good
    529 1.02%:  that's the ending. It
    530 1.01%:  I think the
    531 1.01%:  I've got it
    532 1.01%:  that's not one
    533 1.01%:  so it doesn't get
    534 1.01%:  that one isn't done.
    535 1.01%:  no thank
    536 1.01%:  so I need to get it
    537 1.00%:  so I haven't gotten this
    538 1.68%:  so I haven't gotten this one
    539 0.99%:  so I need to take this to
    540 0.99%:  so thanks to
    541 1.27%:  so thanks to the
    542 0.99%:  so it's not a good one
    543 0.98%:  I have to get to
    544 0.98%:  that one's not even
    545 2.03%:  that one's not even on
    546 0.97%:  I need this
    547 0.97%:  that's good then
    548 0.96%:  no that one doesn't go
    549 0.96%:  that's the one ending I
    550 0.95%:  so it's not an
    551 0.95%:  that is not the
    552 0.95%:  that one's good.
    553 0.95%:  no that's the end. It
    554 0.95%:  that one's not too
    555 0.95%:  so I've got this done
    556 0.94%:  so that one I don
    557 1.55%:  so that one I don't think
    558 0.94%:  so this took
    559 0.94%:  this one's gonna end
    560 0.93%:  that's not this good
    561 0.92%:  so I had
    562 1.10%:  so I had this
    563 0.92%:  I need to get this onto
    564 0.92%:  so I need to thank
    565 1.95%:  so I need to thank the
    566 0.92%:  that's good to
    567 0.91%:  that's it I need to go.
    568 0.91%:  that one doesn't get on
    569 0.91%:  so it's good
    570 1.62%:  so it's good that
    571 0.91%:  so that one's not even
    572 0.91%:  that's the 
    573 0.90%:  and I
    574 4.16%:  and I think
    575 0.90%:  so that one's got
    576 0.90%:  this needs
    577 0.90%:  that's not the ending I env
    578 0.89%:  no that isn
    579 2.21%:  no that isn't the
    580 1.76%:  no that isn't the end.
    581 1.08%:  no that isn't the end I
    582 0.89%:  so that one tied
    583 0.89%:  so that's the one good
    584 0.89%:  so that one got
    585 0.89%:  it's the
    586 0.88%:  that one doesn't go to
    587 0.88%:  this one needs
    588 0.87%:  that's not the end. In
    589 0.87%:  so that's one ending
    590 0.86%:  so it's gonna need
    591 0.86%:  that does
    592 0.86%:  I think that goes to
    593 0.86%:  so good
    594 0.86%:  so I don't have this on
    595 0.86%:  so I haven't got it done
    596 0.86%:  that one's not so good I
    597 1.27%:  that one's not so good I think
    598 1.27%:  that one's not so good I think.
    599 0.86%:  so I have the
    600 0.85%:  that one's not on this
    601 0.85%:  that's not one I
    602 0.85%:  that's done. It
    603 1.08%:  that's done. It took
    604 0.85%:  that one does
    605 1.49%:  that one does not tie
    606 0.85%:  no that's not it.
    607 0.85%:  so that is
    608 1.74%:  so that is the
    609 3.81%:  so that is the end
    610 0.84%:  so it's not that I
    611 1.12%:  so it's not that I don
    612 0.84%:  thanks I need to get on
    613 0.83%:  so not
    614 0.83%:  so it's not that good I
    615 0.83%:  I think that one's good
    616 0.82%:  no that one's too intense
    617 0.82%:  this'
    618 0.82%:  that one ends it
    619 0.82%:  that's good too.
    620 0.81%:  this one goes
    621 2.26%:  this one goes on
    622 1.33%:  this one goes to
    623 0.81%:  that's the ending I
    624 0.81%:  this one's good
    625 0.80%: . I've done
    626 0.80%:  so I got
    627 0.80%:  that's good. I
    628 12.30%:  that's good. I think
    629 0.80%:  I've got to head
    630 0.80%:  so that one kind
    631 0.79%:  I need to have
    632 1.28%:  I need to have this
    633 0.79%:  I have to go.
    634 0.79%:  this one's not done
    635 0.79%:  no that one needs
    636 0.79%: . I think that one needs to
    637 0.78%:  that's one I don
    638 0.78%:  no that one's not on
    639 0.78%:  so that's not too
    640 0.78%:  so that one does
    641 0.77%:  no that doesn
    642 1.88%:  no that doesn't even
    643 0.77%:  so I haven't done this one
    644 0.77%:  so I haven't gotten those
    645 0.77%:  so that's it. I
    646 0.77%:  that's one.
    647 0.76%:  so I got the
    648 0.82%:  so I got the idea
    649 0.76%:  so it's good that the
    650 0.76%:  the ending
    651 0.76%:  that one is not
    652 1.38%:  that one is not on
    653 0.76%:  that one ends this
    654 0.76%:  no that's not even on
    655 0.76%:  that does it.
    656 0.75%:  I need to eat
    657 0.75%:  that one's not the
    658 0.74%:  so I've said
    659 1.65%:  so I've said too
    660 0.74%:  so that's the end I
    661 0.74%:  that's not the ending so
    662 1.88%:  that's not the ending so I
    663 0.74%:  so this one I
    664 0.74%:  that's not even on
    665 0.74%:  so that's it I need
    666 0.74%:  so it's not even a good
    667 0.74%:  that one's not even good
    668 0.93%:  that one's not even good.
    669 0.73%:  that's too good
    670 0.73%:  so it's the end.
    671 0.73%:  so that's the one good one.
    672 0.73%:  that one goes into
    673 0.73%:  this has to
    674 0.72%: . I gotta
    675 0.72%:  I've got the
    676 0.72%:  that one doesn't go.
    677 0.72%: . I need to take
    678 0.72%:  no that's the ending I
    679 0.72%:  no that's not the end no
    680 0.72%:  so that doesn't give
    681 0.72%: . I have to get
    682 1.42%: . I have to get to
    683 0.90%: . I have to get this
    684 1.77%: . I have to get this done
    685 0.93%: . I have to get this done soon
    686 0.72%: . I need to take this
    687 2.01%: . I need to take this to
    688 0.71%: . I need to go take
    689 0.71%:  so I'd
    690 0.71%:  so that ending
    691 0.71%:  so that one is the
    692 0.71%:  no that one's not in
    693 0.70%:  I said
    694 0.70%:  so I've done
    695 0.88%:  so I've done this
    696 0.70%:  thanks to
    697 0.69%:  that one gets one
    698 0.69%:  thanks I need to go on
    699 0.69%:  no I don
    700 14.10%:  no I don't think
    701 5.42%:  no I don't think that one
    702 4.43%:  no I don't have the
    703 2.83%:  no I don't think that goes
    704 1.53%:  no I don't think that one goes
    705 0.92%:  no I don't have it
    706 0.88%:  no I don't have this
    707 0.71%:  no I don't have this one
    708 0.69%:  I've got to take notes
    709 0.69%:  this one doesn't have too
    710 0.69%:  no that's it I need to go on
