Aw man! Why would I even say that??
      0 100.00%: 
      1 66.85%:  I
      2 53.36%:  I am
      3 67.18%:  I am!
      4 30.33%:  I should
      5 19.74%:  I need
      6 15.20%:  Aw
      7 14.57%:  I should have
      8 13.86%:  Awesome
      9 13.64%:  I am so
     10 13.63%:  Aw man
     11 29.05%:  Aw man! I
     12 15.35%:  Aw man! I need
     13 11.38%:  What
     14 15.61%:  What?
     15 12.15%:  What the
     16 11.60%:  What? I
     17 10.79%:  Aw man! I should
     18 16.69%:  Aw man! I should have
     19 10.64%:  I need a
     20 10.33%:  It
     21 10.28%:  Aw man! I need a
     22 9.27%:  I have
     23 9.02%:  Awesome! I
     24 8.58%:  A
     25 12.44%:  Aww
     26 11.54%:  Aww!
     27 8.44%:  I don
     28 7.89%:  I need to say
     29 7.59%:  Aww! I
     30 7.51%:  Aw man! I need a way
     31 6.90%:  Aw man! I was
     32 6.69%:  I am?
     33 6.55%:  Aww! I love
     34 6.49%:  Aw man! I need to say
     35 6.34%:  I have no
     36 6.24%:  I need a way
     37 8.05%:  I need a way to say
     38 6.21%:  AW
     39 6.19%:  What? I don
     40 5.85%:  Wow
     41 5.81%:  Why
     42 5.80%:  Wow!
     43 7.25%:  Wow! I
     44 5.58%:  Aw man! I don
     45 5.47%:  I have a
     46 5.40%:  I am not
     47 8.77%:  I am not!
     48 5.09%:  I love
     49 4.94%:  Who
     50 6.06%:  Whoah
     51 10.36%:  Whoah! I
     52 4.81%:  Aw man! I need a way out
     53 4.76%:  Aw!
     54 4.01%:  Why am
     55 28.22%:  Why am I so
     56 11.48%:  Why am I even
     57 10.45%:  Why am I day
     58 8.20%:  Why am I even day
     59 6.07%:  Why am I always
     60 4.17%:  Why am I even was
     61 4.00%:  Aw man! It
     62 3.93%:  I am! And
     63 3.70%:  Aw! I
     64 3.69%:  I was
     65 3.64%:  Aw man! What
     66 3.61%:  And
     67 4.77%:  And I
     68 3.57%:  Whoah! I need
     69 3.49%:  What?!
     70 3.45%:  Aww man
     71 6.43%:  Aww man! I
     72 3.44%:  I am so!
     73 3.42%:  What a
     74 3.41%:  Aw man I
     75 3.40%:  Why am I not
     76 3.36%:  Aw man! Why
     77 3.35%:  I need a way out
     78 3.11%:  Why would
     79 5.24%:  Why would I say
     80 15.94%:  Why would I say that??
     81 8.84%:  Why would I say that?!
     82 3.79%:  Why would he
     83 3.21%:  Why would I say that? Am
     84 3.09%:  Why am I always the
     85 2.99%:  Aw man! I have
     86 3.25%:  Aw man! I have to say
     87 2.99%:  Why am I was
     88 2.98%:  What? I need
     89 2.97%:  Aw d
     90 2.95%:  I have to say
     91 2.89%:  I should have a
     92 2.86%:  Aww man! I should
     93 3.97%:  Aww man! I should have
     94 2.86%:  What?! I
     95 2.81%:  What? I should
     96 2.76%:  I want
     97 2.76%:  Why do
     98 13.20%:  Why do I always
     99 7.71%:  Why do I even
    100 7.64%:  Why do I always have
    101 5.52%:  Why do I have
    102 3.65%:  Why do I have a
    103 2.72%:  Aw man! It was
    104 2.70%:  It was
    105 3.76%:  It was a
    106 2.67%:  It would
    107 2.54%:  Aw man! What was
    108 2.49%:  Aww man! I need
    109 2.48%:  Aww! I should
    110 2.48%:  Am
    111 2.43%:  What? I was
    112 2.42%:  What? I need to say
    113 2.36%:  Aw man! I have no
    114 2.35%:  What? It
    115 2.31%:  What was
    116 2.29%:  What? I have
    117 3.42%:  What? I have no
    118 2.24%:  W
    119 2.18%:  Aww! I love that
    120 2.17%:  Why would I?
    121 2.14%:  I want to say
    122 2.13%:  Aw man! I need a way to shut
    123 2.11%:  Aw man! Why do
    124 10.13%:  Aw man! Why do I even
    125 6.09%:  Aw man! Why do I have
    126 2.05%:  I have a lot
    127 2.04%:  What? I have to say
    128 2.03%:  Why does
    129 3.04%:  Why does he want
    130 2.03%:  Aww! I should have
    131 2.03%:  What? I am
    132 2.85%:  What? I am?
    133 2.21%:  What? I am!
    134 2.02%:  Awesome! It
    135 1.94%:  I must
    136 1.93%:  I would
    137 1.92%:  Is
    138 2.40%:  Is that a
    139 1.92%:  Aww! It
    140 1.88%:  I need to stay
    141 1.88%:  I am a
    142 1.83%:  Who wants
    143 1.83%:  Att
    144 1.82%:  Why would I want
    145 1.78%:  I am now
    146 1.77%:  Whoah! I am
    147 1.77%:  I hate
    148 1.76%:  Why the
    149 1.76%:  Wow! I am
    150 1.75%:  Aw! I should
    151 1.90%:  Aw! I should have
    152 1.74%:  Whoah! Am
    153 5.64%:  Whoah! Am I?
    154 1.93%:  Whoah! Am I??
    155 1.73%:  I love my
    156 1.75%:  I love my day
    157 1.71%:  Aww man! I need a
    158 1.71%:  Is that you
    159 1.67%:  Whoah! I need a
    160 1.67%:  And then
    161 1.66%:  Is that you?
    162 1.66%:  Aw man I should
    163 2.43%:  Aw man I should have
    164 1.64%:  Whoah! It
    165 1.61%:  Aw man I need
    166 1.61%:  Aw man! I shoulda
    167 1.60%:  I have the
    168 1.59%:  Whoah! I was
    169 1.58%:  Aw man! I should have a
    170 1.57%:  Why would I even
    171 1.84%:  Why would I even say
    172 9.52%:  Why would I even say that??
    173 3.80%:  Why would I even say that?!
    174 1.56%:  What? Am
    175 1.55%:  I mean
    176 1.55%:  Aaa
    177 3.00%:  Aaaah
    178 2.33%:  Aaaah!
    179 1.69%:  Aaaah! I
    180 1.55%:  I want to see
    181 1.54%:  oh
    182 1.57%:  oh my
    183 1.52%:  I want to have
    184 1.52%:  Aw man! What the
    185 1.45%:  I do
    186 1.45%:  Awesome?
    187 1.44%:  Is he
    188 1.43%:  What? I have to?
    189 1.41%:  Why?
    190 1.44%:  Why? I
    191 1.41%:  Aw man! Why does
    192 1.65%:  Aw man! Why does he want
    193 1.40%:  Why do I want
    194 1.39%:  Aww man! I don
    195 1.39%:  Aw man! What was he
    196 1.37%:  I love my new
    197 1.37%:  Is that my
    198 1.37%:  What am
    199 1.67%:  What am I even
    200 1.36%:  Also
    201 1.36%:  Aw man! I had
    202 1.35%:  Why not
    203 3.00%:  Why not? I
    204 2.61%:  Why not? It
    205 1.67%:  Why not??
    206 1.35%:  Why would I even say that? Am
    207 1.33%:  What was he
    208 1.33%:  What??
    209 1.31%:  Aw man! Why do I have a
    210 1.31%:  Aaaand
    211 1.30%:  Aw man! Is
    212 1.77%:  Aw man! Is he
    213 1.30%:  Wow! It
    214 1.29%:  Aw! I was
    215 1.28%:  And that
    216 1.28%:  I have so
    217 1.28%:  I do that
    218 1.26%:  I am! What
    219 1.25%:  Aw! I love
    220 1.25%:  I need a way to shut
    221 1.24%:  We
    222 1.24%:  What? Am I?!
    223 1.24%:  I hate to
    224 1.24%:  I hate to say
    225 1.24%:  When
    226 1.24%:  Aw man! Why do I say
    227 1.37%:  Aw man! Why do I say that??
    228 1.23%:  Aw man! I had a
    229 1.22%:  Wow! I need
    230 1.21%:  And now
    231 1.46%:  And now I have
    232 1.21%:  Aw man! I should have at
    233 1.20%:  I need to shut
    234 1.73%:  I need to shut my
    235 1.20%:  I do that a
    236 1.19%:  Why do we
    237 1.16%:  What? I need a
    238 1.15%:  What?! I don
    239 1.14%:  What the?
    240 1.14%:  I am and
    241 1.13%:  Am I
    242 1.13%:  Aww! I don
    243 1.12%:  Aww! I love my
    244 1.11%:  I won
    245 1.11%:  Why would I say that!
    246 1.11%:  Ahem
    247 1.34%:  Ahem!
    248 1.10%:  Aw damn
    249 1.24%:  Aw damn!
    250 1.24%:  Aw damn! I
    251 1.09%:  Aw man! It would
    252 1.07%:  Aww man! It
    253 1.07%:  w
    254 3.47%:  wow!
    255 1.62%:  wow! I
    256 1.47%:  wow! that
    257 1.41%:  wow that
    258 1.07%:  Why don
    259 1.06%:  I hate when
    260 1.06%:  What was I even
    261 1.06%:  In
    262 1.33%:  In my
    263 1.86%:  In my head!
    264 1.61%:  In my head?
    265 1.39%:  In my day
    266 1.05%:  Aww man! Why
    267 1.04%:  Aaaahh
    268 1.30%:  Aaaahh! I
    269 1.04%:  Why not? I have
    270 1.33%:  Why not? I have a
    271 1.04%:  I was!
