hung over is like winning the lottery, except they pay you in regret!
100.00%: 
8.78%:  super
5.46%:  hung
9.08%:  hung over
87.72%:  hung over is pretty
47.23%:  hung over is pretty great
25.41%:  hung over is like
24.39%:  hung over is pretty okay
22.26%:  hung over is pretty great,
13.66%:  hung over is pretty nice
13.11%:  hung over is like trying
13.61%:  hung over is like trying to play
11.60%:  hung over is the
11.59%:  hung over is like trying to write
11.38%:  hung over is pretty okay,
9.94%:  hung over is like trying to write poetry
9.90%:  hung over is pretty great, you
9.31%:  hung over is pretty okay though
7.06%:  hung over is like trying to get
6.81%:  hung over is pretty nice,
6.76%:  hung over is pretty great, you know
5.91%:  hung over is pretty great, except
8.07%:  hung over is pretty great, except when
38.10%:  hung over is pretty great, except when you think
12.08%:  hung over is pretty great, except when it
6.96%:  hung over is pretty great, except when you try
6.34%:  hung over is pretty great, except when your
6.29%:  hung over is pretty great, except when you get
4.52%:  hung over is pretty rough
4.40%:  hung over is pretty cool
4.27%:  hung over is pretty okay, except
6.74%:  hung over is pretty okay, except when
9.20%:  hung over is pretty okay, except when it
5.31%:  hung over is pretty okay, except when you try
4.34%:  hung over is pretty okay, except when you get
4.23%:  hung over is like the
4.04%:  hung over is like trying to write your
3.89%:  hung over is pretty great though
3.88%:  hung over is pretty okay though,
3.75%:  hung over is pretty legit
3.67%:  hung over is like trying to get your
3.61%:  hung over is like trying to type
11.06%:  hung over is like trying to type while
7.33%:  hung over is like trying to type while you
5.36%:  hung over is like trying to type with your entire
5.26%:  hung over is like trying to type while your entire
4.71%:  hung over is like trying to type while your typing
3.61%:  hung over is like trying to type with your el
3.54%:  sick
3.41%:  hung over is like trying to write poetry in
3.36%:  hung over is pretty nice, you
3.32%:  hung over is like trying to write poetry in the
3.20%:  hung over is like trying to hop
3.01%:  hung over is like trying to type with one
2.84%:  hung over is like trying to run
2.84%:  hung over is pretty okay, though
2.71%:  hung over is pretty great, right
2.68%:  hung over is pretty okay, except when your
2.64%:  hung over is pretty okay, you
2.60%:  hung over is pretty great though,
2.52%:  hung over is like trying to put
2.49%:  hung over is pretty hop
2.40%:  hung over is pretty okay, right
2.33%:  hung over is pretty neat
2.28%:  hung over is like trying to run with
2.20%:  hung over is like trying to run while
2.13%:  hung over is pretty great, except when you lie
2.11%:  hung over is pretty great, h
2.11%:  hung over is pretty nice, you know
2.10%:  hung over is pretty cool,
2.09%:  hung over is like,
2.36%:  hung over is like, pretty
2.09%:  hung over is like, pretty great
1.94%:  hung over is like trying to write the
1.93%:  hung over is pretty ok
1.91%:  hung over is like trying to get up
