Nobody but the guy who did it could make such puns!
      0 100.00%: 
      1 9.01%:  Nobody
      2 21.89%:  Nobody wants
      3 17.65%:  Nobody wants to be
      4 10.76%:  Nobody knows
      5 8.31%:  Nobody wants this
      6 7.88%:  Nobody can
      7 4.71%:  Nobody knows these
      8 4.44%:  Nobody noticed
      9 4.21%:  Nobody wants us
     10 4.81%:  Nobody wants us to be
     11 3.79%:  Nobody knows this
     12 3.69%:  Nobody said
     13 3.69%:  Nothing
     14 3.63%:  Nobody likes
     15 3.39%:  Nobody likes that
     16 3.27%:  Nobody asked
     17 7.94%:  Nobody asked us to come
     18 4.87%:  Nobody asked us to be
     19 3.13%:  Nobody listened
     20 12.32%:  Nobody listened to him
     21 10.79%:  Nobody listened to what
     22 7.67%:  Nobody listened to his
     23 4.07%:  Nobody listened to us
     24 3.50%:  Nobody listened to what you
     25 3.04%:  Nobody likes us
     26 2.88%:  Nobody wants you
     27 6.48%:  Nobody wants you to cut
     28 3.17%:  Nobody wants you to cut us
     29 2.86%:  Nobody wanted
     30 2.81%:  Nobody knows that
     31 2.68%:  Nobody likes this
     32 2.68%:  Nobody said they
     33 12.51%:  Nobody said they liked
     34 2.89%:  Nobody said they liked us
     35 2.55%:  Nobody wants to be cut
     36 2.47%:  Nobody wants us to keep
     37 2.45%:  Nobody listened to us today
     38 2.26%:  Nobody asked us to come up
     39 2.15%:  Now
     40 2.14%:  Nobody wants you to be
     41 2.14%:  Nobody listened to you
     42 2.13%:  Nobody listen
     43 9.15%:  Nobody listen to this
     44 7.67%:  Nobody listen to this dude
     45 4.23%:  Nobody listen to his
     46 4.06%:  Nobody listen to what
     47 2.88%:  Nobody listen to the
     48 2.06%:  Nobody wants to meet
     49 2.06%:  Nobody wants this to
     50 2.00%:  Nobody listened to this
     51 2.35%:  Nobody listened to this guy
     52 1.92%:  Nobody wants to get
     53 1.86%:  Nobody listened to him at
     54 1.84%:  Nobody wants to be slic
     55 2.82%:  Nobody wants to be sliced up
     56 1.83%:  Nobody knows those
     57 1.75%:  Nobody said they would
     58 1.72%:  Nobody thought
     59 1.65%:  Nobody wants you to stick
     60 1.64%:  Nobody says
     61 1.63%:  Nobody asked us to come in
     62 1.62%:  Nobody listened to him though
     63 1.61%:  Nobody wants you to be this
     64 1.55%:  Nobody wants to be the
     65 2.11%:  Nobody wants to be the guy
     66 1.54%:  Nobody wants to be polite
     67 1.49%:  Nobody listen to him though
     68 1.48%:  Nobody wants this much
     69 1.47%:  Nobody wants to come
     70 1.46%:  Nobody wants you to use
     71 1.45%:  Nobody has
     72 1.45%:  Nobody listen to the guy
     73 2.60%:  Nobody listen to the guy who
     74 1.43%:  Nobody listen to the music
     75 1.37%:  Nobody wants you to keep
     76 1.37%:  Nobody asked us to do
     77 1.37%:  Nobody but
     78 1.36%:  Now that
     79 1.36%:  Nobody listened to it
     80 1.35%:  Nobody listen to them
     81 1.34%:  Nobody could
     82 1.32%:  Nobody asked him
     83 2.95%:  Nobody asked him to do
     84 8.72%:  Nobody asked him to do this
     85 2.05%:  Nobody asked him to cut
     86 1.59%:  Nobody asked him to stop
     87 1.57%:  Nobody asked him to cut us
     88 1.68%:  Nobody asked him to cut us with
     89 1.32%:  Nobody listen to us
     90 1.31%:  Nobody thought he would
     91 1.62%:  Nobody thought he would say
     92 1.31%:  Nobody said they would be
     93 2.60%:  Nobody said they would be cutting
     94 1.29%:  Nobody wants you to be the
     95 1.24%:  Nobody wants us to meet
     96 1.23%:  Nobody list
     97 118.57%:  Nobody listens to tech
     98 4.90%:  Nobody listens to the
     99 2.90%:  Nobody listens to him
    100 2.47%:  Nobody listens to him!
    101 2.20%:  Nobody listens to what
    102 1.42%:  Nobody listens to it
    103 1.38%:  Nobody listens to them
    104 1.22%:  Nobody wants this!
    105 1.20%:  Nobody wants to be sliced to
    106 1.20%:  Nobody laughed
    107 1.20%:  Nobody wants to be told
    108 1.19%:  Nobody wants us to come
    109 1.18%:  Nobody listened to a
    110 1.18%:  Nobody wants to go
    111 1.18%:  Nobody thought he could
    112 1.16%:  Nobody wants you to hit
    113 1.16%:  Nobody knows the
    114 1.14%:  Nobody was
    115 1.14%:  Nobody asked him to cut the
    116 1.13%:  Nobody wants this to go
    117 1.12%:  Nobody wants him
    118 1.70%:  Nobody wants him to cut
    119 1.12%:  Nobody likes this guy
    120 1.11%:  Nobody likes it
    121 10.24%:  Nobody likes it when you cut
    122 7.18%:  Nobody likes it when you stab
    123 2.90%:  Nobody likes it when you put
    124 2.35%:  Nobody likes it when you do
    125 2.03%:  Nobody likes it when you cut us
    126 1.43%:  Nobody likes it when you shout
    127 1.11%:  Nobody listen to us!
    128 1.11%:  Nobody wants this to become
    129 1.11%:  Nobody listen to his dumb
    130 1.09%:  Nobody asked him to stop being
    131 1.08%:  Nobody is
    132 2.75%:  Nobody is saying
    133 1.95%:  Nobody is talking
    134 1.46%:  Nobody is using
    135 3.12%:  Nobody is using that
    136 1.05%:  Nobody wanted to be
    137 1.05%:  Nobody wants to meet you
    138 1.05%:  Nobody said they could
    139 1.04%:  Nothing is
    140 1.03%:  Nobody say
    141 1.02%:  Nobody has been
    142 1.00%:  Nobody wants him to be
    143 0.99%:  Nobody wants to help
    144 1.11%:  Nobody wants to help him
    145 0.99%:  Nobody has used
    146 0.98%:  Nobody is saying the
    147 0.98%:  Nobody asked him to do this but
    148 0.98%:  Nobody wants to see
    149 0.97%:  Nobody wants to die
    150 0.96%:  Nobody likes it when you act
    151 0.96%:  Nobody said we
    152 0.96%:  Nobody wants to be this
    153 0.95%:  Nobody asked us to come with
    154 0.95%:  Nobody but us
    155 1.21%:  Nobody but us knows
    156 1.61%:  Nobody but us knows that
    157 1.05%:  Nobody but us knows the
    158 0.95%:  Nobody but us listened
    159 0.94%:  Nobody said this
    160 0.94%:  Nobody said they would be coming
    161 0.93%:  Nobody would
    162 4.37%:  Nobody would say something
    163 1.51%:  Nobody would say those
    164 1.13%:  Nobody would say these
    165 0.93%:  Nobody wants to die like
    166 0.93%:  Nobody likes it when you cut up
    167 0.93%:  Nobody listen to this!
    168 0.92%:  Nobody listen to this dumb
    169 1.24%:  Nobody listen to this dumb dude
    170 0.92%:  Nobody wanted to be cut
    171 0.91%:  Nobody said they thought
    172 0.90%:  Nobody wants to meet you!
    173 0.90%:  Nobody speaks
    174 0.89%:  Nobody wants to be this guy!
    175 0.89%:  Nobody but him
    176 2.13%:  Nobody but him knows
    177 3.80%:  Nobody but him knows these
    178 1.98%:  Nobody but him can
    179 1.44%:  Nobody but him knows this
    180 1.38%:  Nobody but him knows those
    181 1.28%:  Nobody but him knows that
    182 1.21%:  Nobody but him wants
    183 0.98%:  Nobody but him wants this
    184 0.88%:  Nobody wanted us
    185 1.31%:  Nobody wanted us to be
    186 1.38%:  Nobody wanted us to be cut
    187 0.88%:  Nobody likes him
    188 0.87%:  Nobody said we could
    189 0.86%:  Nobody likes you
    190 0.86%:  Nobody wants us to do
    191 0.86%:  Nobody asked him to cut the w
    192 0.85%:  Nobody wants us to cut
    193 0.84%:  Nobody listened to it!
    194 0.84%:  Nobody wanted us to cut
    195 0.83%:  Nobody listens to bad
    196 0.83%:  Nobody likes it when you put us
    197 0.82%:  Nobody listens to the audio
    198 0.82%:  Nobody wants to die this
    199 0.81%:  Nobody said they would be cutting us
    200 0.80%:  Nobody said we should
    201 0.79%:  Nobody listened to him today
    202 0.79%:  Nobody said the
    203 0.78%:  Nobody said the music
    204 0.78%:  Nobody thought he would use
    205 0.77%:  Nobody wants it
    206 0.77%:  Nobody wants to see you
    207 0.76%:  Nobody but him could
    208 0.76%:  Nobody likes that pun but
    209 0.76%:  Nobody told
    210 4.97%:  Nobody told us about
    211 15.89%:  Nobody told us about this
    212 3.90%:  Nobody told us about these
    213 9.72%:  Nobody told us about these pun
    214 3.31%:  Nobody told us about this when
    215 3.28%:  Nobody told him
    216 6.27%:  Nobody told him about
    217 18.27%:  Nobody told him about the new
    218 3.83%:  Nobody told him that
    219 2.45%:  Nobody told him about the new guy
    220 2.41%:  Nobody told us about this guy
    221 2.41%:  Nobody told him to
    222 2.30%:  Nobody told us about the kn
    223 2.30%:  Nobody told him about the kn
    224 2.21%:  Nobody told us about this!
    225 1.96%:  Nobody told him that we
    226 1.76%:  Nobody told him about the hidden
    227 1.65%:  Nobody told us about the music
    228 1.63%:  Nobody told him we
    229 1.44%:  Nobody told us about this guy!
    230 1.42%:  Nobody told us about the pun
    231 1.37%:  Nobody told him about his
    232 1.19%:  Nobody told him about the pun
    233 1.11%:  Nobody told him to say
    234 1.10%:  Nobody told him about the punch
    235 0.99%:  Nobody told him to say these
    236 0.98%:  Nobody told us about these kn
    237 0.98%:  Nobody told us about the punch
    238 0.91%:  Nobody told us about this in
    239 0.88%:  Nobody told us about this new
    240 0.84%:  Nobody told us that
    241 0.83%:  Nobody told him about this
    242 1.44%:  Nobody told him about this new
    243 0.78%:  Nobody told us about his
    244 0.76%:  Nobody wants you to put
    245 0.75%:  Nobody wants his
    246 0.75%:  Nobody listen to him he
    247 0.75%:  Nobody asked him to be
    248 0.75%:  Nobody knows the blade
    249 0.74%:  Nobody asked him to be so cutting
    250 0.74%:  Nobody wants you to be this much
    251 0.74%:  Nobody listen to the guy!
    252 0.73%:  Nobody told us to say
    253 0.73%:  Nobody thinks
    254 1.55%:  Nobody thinks that
    255 0.72%:  Nobody asked you
    256 1.37%:  Nobody asked you to cut
    257 0.95%:  Nobody asked you to cut the
    258 1.21%:  Nobody asked you to cut the music
    259 0.81%:  Nobody asked you to cut us
    260 0.84%:  Nobody asked you to cut us with
    261 0.72%:  Nobody wants to cut
    262 0.72%:  Nobody wants you to be such
    263 0.71%:  Nobody else
    264 0.70%:  Nobody asked us to cut
    265 2.24%:  Nobody asked us to cut the
    266 0.70%:  Nobody wants you to cut us up
    267 0.70%:  Nobody wanted us to get
    268 0.69%:  Nobody can see
    269 0.88%:  Nobody can see him
    270 0.69%:  Nobody likes that pun but us
    271 0.68%:  Nobody told us about this hidden
    272 0.68%:  Nobody thought he could be
    273 0.68%:  Nobody told us about the guy
    274 0.68%:  Nobody is talking to
    275 0.67%:  Nobody told him about kn
    276 0.67%:  Nobody told him about the puns we
    277 0.67%:  Nobody wants you to be like
    278 0.67%:  Nobody told us about the new
    279 0.67%:  Nobody thought he could speak
    280 0.67%:  Nobody but him knows the
    281 0.66%:  Nobody wants us to go
    282 0.66%:  Nobody listens to the guy
    283 0.66%:  Nobody asked you to cut them
    284 0.66%:  Nobody wanted us to stop
    285 0.65%:  Nobody thought he could cut
    286 0.65%:  Nobody asked us to go
    287 0.65%:  Nobody wants him to be the
    288 0.65%:  Nobody can see you
    289 0.65%:  Nobody likes this pun
    290 0.64%:  Nobody wants him to cut us up
    291 0.64%:  Nobody listened to my
    292 0.63%:  Nobody liked
    293 1.61%:  Nobody liked that pun
    294 0.75%:  Nobody liked that pun but
    295 0.63%:  Nobody wants us to be the
    296 0.63%:  Nobody else can
    297 0.62%:  Nobody thought he would be
    298 0.62%:  Nobody can see us!
    299 0.62%:  Nobody wants to help him get
    300 0.61%:  Nobody wanted us to come
    301 0.61%:  Nobody wants this guy
    302 0.61%:  Nobody listened to this!
    303 0.61%:  Nobody uses
    304 2.30%:  Nobody uses that pun
    305 0.79%:  Nobody uses the
    306 0.60%:  Nobody wants you to cut up
    307 0.60%:  Nobody said the music would
    308 0.59%:  Nobody likes you when
    309 0.59%:  Nobody told us about this new guy
    310 0.59%:  Nobody told us about these!
    311 0.59%:  Nobody wants to see him
    312 0.59%:  Nobody wants him to keep
    313 0.59%:  Nobody likes it when you cut out
    314 0.58%:  Nobody listened to us but
    315 0.58%:  Nobody asked you to cut the w
    316 0.58%:  Nobody asked him to do the
    317 0.58%:  Nobody likes it when you cut at
    318 0.58%:  Nobody told him that he
    319 0.57%:  Nobody asked him to be this
    320 0.57%:  Nobody asked us to come up with bl
    321 0.57%:  Nobody told him the
    322 0.57%:  Nobody asked him to cut things
    323 0.56%:  Nobody but him is
    324 0.56%:  Nobody complained
    325 0.56%:  Nobody wants to die this much
    326 0.56%:  Nobody listened to you this
    327 0.56%:  Nobody wants to help him!
    328 0.55%:  Nobody asked us to be cutting
    329 0.55%:  Nobody told him about the new physics
    330 0.55%:  Nobody listen to the music!
    331 0.55%:  Nobody wants to be lect
    332 0.55%:  Nobody told us we
    333 0.56%:  Nobody told us we had
    334 1.07%:  Nobody told us we had to be
    335 0.60%:  Nobody told us we had to be this
    336 0.55%:  Nobody needs
    337 0.54%:  Nobody said they liked pun
    338 0.54%:  Nobody listen to him we
    339 0.54%:  Nobody but us can
    340 0.54%:  Nobody wants this to keep
    341 0.54%:  Nobody likes it when you cut us up
    342 0.54%:  Nobody wants to stop
    343 0.53%:  Nobody wants him to stick
    344 0.53%:  Nobody told him about the new hip
    345 0.53%:  Nobody wants him to be this
    346 0.53%:  Nobody likes you!
    347 0.53%:  Nobody likes it when you shout at
    348 0.52%:  Nobody asked him to sing
    349 0.52%:  Nobody seems
    350 2.32%:  Nobody seems to know
    351 0.87%:  Nobody seems to want
    352 0.51%:  Nobody listen to those
    353 0.51%:  Nobody knows him
    354 0.51%:  Nobody told him he
    355 1.06%:  Nobody told him he was being
    356 0.61%:  Nobody told him he was cutting
    357 0.51%:  Nobody asked him to punch
    358 0.51%:  Nobody asked us to be cut
    359 0.50%:  Nobody asked us to be on
    360 0.50%:  Nobody asked us to cut the w
    361 0.50%:  Nobody speak
    362 0.50%:  Now this
    363 0.50%:  Nobody told us this
    364 1.08%:  Nobody told us this guy
    365 0.73%:  Nobody told us this guy knew
    366 0.50%:  Nobody asked him to use
    367 0.49%:  Nobody asked to
    368 0.65%:  Nobody asked to be insult
    369 0.49%:  Nobody wanted to cut
    370 0.49%:  Nobody noticed!
    371 0.49%:  Nobody thinks we
    372 0.89%:  Nobody thinks we should
    373 0.49%:  Nobody told him this
    374 0.49%:  Nobody listen to this guy he
    375 0.49%:  Nobody listens to my
    376 0.52%:  Nobody listens to my tech
    377 0.49%:  Nobody saw
    378 0.48%:  Nobody wants you to cut us!
    379 0.48%:  Nobody thought he could make
    380 1.14%:  Nobody thought he could make pun
    381 0.48%:  Nobody wants him to be so
    382 0.48%:  Nobody wants us to get
    383 0.48%:  Nobody wants him to cut us!
    384 0.48%:  Nobody but the
    385 0.48%:  Nobody told him about the w
    386 0.48%:  Nobody told him what
    387 0.48%:  Nobody asked us to help
    388 0.64%:  Nobody asked us to help him with
    389 0.48%:  Nobody likes that pun but him
    390 0.48%:  Nobody but us is
    391 0.47%:  Nobody laugh
    392 0.47%:  Nobody wants us to be cut
    393 0.47%:  Nobody said they would come
    394 0.47%:  Nobody likes it when you add
    395 0.46%:  Nobody told us to put
    396 0.46%:  Nobody wants you to get
    397 0.46%:  Nobody told him to be
    398 0.61%:  Nobody told him to be nice
    399 0.46%:  Nobody asked us to do the
    400 0.62%:  Nobody asked us to do the thing
    401 0.46%:  Nobody told him about his new
    402 0.46%:  Nobody said they liked to
    403 0.45%:  Nobody asked him to include
    404 0.45%:  Nobody else has
    405 0.45%:  Nobody but him thinks
    406 2.46%:  Nobody but him thinks these
    407 1.28%:  Nobody but him thinks those
    408 0.45%:  Nobody wants you to slice
    409 0.56%:  Nobody wants you to slice them
    410 0.45%:  Nobody wants this type
    411 0.44%:  Nobody listen to the guy who said
    412 0.44%:  Nobody thought he would cut
    413 0.44%:  Nobody wanted to get
    414 0.44%:  Nobody told us that guy
    415 0.44%:  Nobody wanted us to use
    416 0.44%:  Nobody thought he could speak in
    417 0.44%:  Nobody listened to his dumb
    418 0.44%:  Nobody knows these idi
    419 0.44%:  Nobody said he
    420 0.50%:  Nobody said he could
    421 0.44%:  Nobody asked him to sing!
    422 0.44%:  Nobody wants it to
    423 0.71%:  Nobody wants it to be like
    424 0.43%:  Nobody likes it when you po
    425 0.43%:  Nobody wants the
    426 0.91%:  Nobody wants the music
    427 0.43%:  Nobody but the guy
    428 0.51%:  Nobody but the guy who cut
    429 0.43%:  Nobody told him he was doing
    430 0.43%:  Nobody said we should be
    431 1.42%:  Nobody said we should be cutting
    432 0.43%:  Nobody listens to you
    433 0.42%:  Nobody asked us to hold
    434 0.42%:  Nobody likes that puns
    435 0.42%:  Nobody told us to stand
    436 0.42%:  Nobody told him to say this
    437 0.42%:  Nobody told him about these
    438 0.42%:  Nobody thought he could say
    439 0.42%:  Nobody is using that tech
    440 0.42%:  Nobody told him the song
    441 0.42%:  Nobody listen to me
    442 0.42%:  Nobody spoke
    443 0.41%:  Nobody told him about his pun
    444 0.41%:  Nobody can see his
    445 0.41%:  Nobody listen to him at
    446 0.41%:  Nobody wants to keep
    447 0.41%:  Nobody wanted us to be cut up
    448 0.41%:  Nobody but him has
    449 0.41%:  Nobody listened to us though
    450 0.41%:  Nobody wants you to cut music
    451 0.41%:  Nobody likes us!
    452 0.41%:  Nobody but us knows that he
    453 0.41%:  Nobody told us these
    454 0.41%:  Nobody listen to the guy who is
    455 0.41%:  Nobody asked you to be
    456 0.41%:  Nobody asked him to punch us with
    457 0.41%:  Nobody told us what
    458 0.42%:  Nobody told us what the
    459 0.41%:  Nobody has time
    460 0.41%:  Now it
    461 0.63%:  Now it sounds
    462 3.06%:  Now it sounds like he
    463 2.02%:  Now it sounds like they
