One thing's for certain: you sure can carry on a conversation!
100.00%: 
0.19%:  O
0.06%:  One
0.02%:  you
0.02%:  One for
0.02%:  that
0.05%:  that's funny
0.02%:  that's not
0.06%:  that's not funny
0.02%:  that's not even
0.05%:  that's not even funny
0.01%:  no
0.01%:  everyone
0.01%:  funny
0.01%:  One of
0.03%:  One of your
0.01%:  you'
0.02%:  you're funny
0.01%:  you're not
0.03%:  you're not even
0.02%:  you're not even trying
0.01%:  you're not even in
0.06%:  you're not even in court right
0.01%:  you're not even facing
0.01%:  you're not even on
0.01%:  One for the court
0.03%:  One for the court trans
0.01%:  that's not serious
0.01%:  you're not even trying!
0.01%:  One of your character
0.01%:  One of your characters
0.01%:  you're gonna
0.01%:  that's not even a
0.01%:  nice
0.01%:  you've
0.01%:  you can
0.01%:  you can't even
0.01%:  you can't even hear
0.01%:  that's not fair
0.01%:  oh
0.01%:  that's a
0.01%:  that's a funny
0.01%:  that's a funny reaction
0.01%:  '
0.01%:  you're not even facing any
0.01%:  you're not funny
0.01%:  your
0.01%:  funny story
0.01%:  yeah
0.01%:  your reaction
0.01%:  not
0.01%:  not funny
0.01%:  nice one
0.01%:  you're in
0.01%:  you can't hear
0.01%:  One sec
0.00%:  you're not even funny
0.00%:  you're not even in the
0.02%:  you're not even in the court
0.00%:  you can't even hear us
0.00%:  that's not a
0.01%:  that's not a serious
0.00%:  that's not even a serious
0.00%:  for
0.00%:  you're not even facing the
0.01%:  you're not even facing the court
0.00%:  you can't even concentrate
0.00%:  everyone'
0.01%:  everyone's gonna
0.00%:  you're not gonna
0.00%:  nice try!
0.00%:  One thing
0.00%:  you're not funny either
0.00%:  very
0.02%:  very funny!
0.00%:  you're in court
0.00%:  everyone in
0.00%:  you can't convince
0.00%:  you're not even in court yet
0.00%:  you're not even a
0.00%:  very serious
0.00%:  you're on
0.00%:  One of your characters is
0.00%:  h
0.00%:  that's not gonna
0.00%:  
0.00%:  incorrect
0.00%:  nice!
0.00%:  you're not on
0.00%:  you can't even say
0.00%:  that's not even fair
0.00%:  you're funny too
0.00%:  you are
0.00%:  that's not even a funny
0.00%:  One can
0.00%:  the
0.01%:  the court
0.00%:  the court is
0.00%:  you're not in
0.01%:  you're not in court!
0.00%:  nice one!
0.00%:  that's not funny everyone
0.00%:  you're not gonna convince
0.00%:  you're not even facing any serious
0.00%:  of
0.02%:  of course!
0.00%:  of course it
0.00%:  it
0.01%:  it's funny
0.00%:  it's a reference
0.01%:  it's a reference to your
0.01%:  it's a reference to our
0.00%:  you're innocent
0.00%:  you're not even facing serious
0.00%:  you can't hear us
0.00%:  the court is in
0.00%:  the court is in rec
0.00%:  never
0.00%:  One of your characters is running
0.00%:  you're in for
0.00%:  you're not even hearing
0.00%:  One thing you
0.30%:  One thing you can say for certain
0.18%:  One thing you can say for certain:
0.10%:  One thing you can say for sure:
0.03%:  One thing you can say for certain!
0.02%:  One thing you can say for sure!
0.02%:  One thing you can say for sure: it
0.03%:  One thing you can say for sure: it's not
0.02%:  One thing you can say for sure: it's never
0.02%:  One thing you can say for certain: it
0.01%:  One thing you can say for certain: court
0.09%:  One thing you can say for certain: court is never
0.01%:  One thing you can count
0.01%:  One thing you can say for certain: it's never
0.01%:  One thing you can say for certain: our
0.02%:  One thing you can say for certain: our conversation
0.01%:  One thing you can say for certain: no
0.01%:  One thing you can say for sure: it's not a
0.01%:  One thing you can count on:
0.01%:  One thing you can say for certain: it's a
0.01%:  One thing you can say for certain is:
0.01%:  One thing you can count on in
0.01%:  One thing you can say for sure: it's a
0.01%:  One thing you can count on!
0.01%:  One thing you can'
0.00%:  One thing you can say for sure: no
0.00%:  One thing you can say for certain: never
0.00%:  One thing you can say for sure: it's never a
0.00%:  One thing you can never
0.00%:  One thing you can say for sure: never
0.00%:  One thing you can never say
0.00%:  One thing you can say for certain: conversation
0.00%:  One thing you can say for sure: it's not an
0.00%:  One thing you can say for sure: conversation
0.00%:  One thing you can say for sure: it's never too
0.00%:  One thing you can say for sure: it's an
0.00%:  One thing you can say for sure: no one
0.00%:  One thing you can say for sure is:
0.00%:  One thing you can say for certain: no one
0.00%:  One thing you can't say
0.00%:  One thing you can say for sure: it's certain
0.00%:  One thing you can count on is a
0.00%:  that one
0.00%:  that's our
0.00%:  One thing you can say for certain: court isn
0.00%:  you're right
0.00%:  you're not hearing
0.00%:  One thing you can say for certain: court'
0.01%:  One thing you can say for certain: court's never
0.00%:  that's not even a serious concern
0.00%:  One of the
0.00%:  you're not even in court! this
0.00%:  you're not even trying are
0.00%:  One of your charges
0.00%:  you're not innocent
0.00%:  sorry
0.00%:  that's not funny! you
0.00%:  it's not
0.01%:  it's not funny
0.00%:  it's not funny!
0.00%:  One thing you can say for certain: it's never a
0.00%:  you can't say
0.00%:  you can't say that in
0.00%:  that's not gonna convince
0.00%:  ha
0.00%:  that's an
0.00%:  you're gonna have
0.00%:  that's not funny in
0.00%:  of course not! this
0.00%:  One thing you can say for sure: it's never not
0.00%:  you're not serious
0.00%:  you're not even in front
0.00%:  it's not even
0.00%:  it's not even funny
0.00%:  it's not even court
0.00%:  One thing you can say for certain: it's an
0.00%:  that's your
0.00%:  the court is not
0.00%:  court
0.00%:  that's a great
0.00%:  that one's funny
0.00%:  that's not even an
0.00%:  One sentence
0.00%:  of course not! you
0.00%:  of course not! you're not
0.01%:  of course not! you're not even
0.01%:  of course not! you're not even in
0.00%:  of course not! you're in
0.00%:  i
0.00%:  for your
0.00%:  fantastic
0.00%:  of course not! you're innocent
0.00%:  One thing you can say for certain: court never
0.00%:  you never
0.00%:  of course not! that
0.01%:  of course not! that's insane
0.00%:  you can't even hear us!
0.00%:  a
0.00%:  One thing you can say for certain: it's no
0.00%:  One thing you can say for sure: no conversation
0.00%:  that's not a serious concern
0.00%:  of course not:
0.00%:  One thing you can say for sure is never
0.00%:  you're not in court right
0.00%:  of course not! it
0.00%:  One of your character traits
0.00%:  you got
0.00%:  you're not funny!
0.00%:  not serious
0.00%:  of course not! it's a
0.00%:  that's racist
0.00%:  everyone's in
0.00%:  everyone's in on it
0.00%:  funny enough
0.00%:  One year
0.00%:  you're not even in court! i
0.00%:  that's our first
0.00%:  in
0.00%:  in your
0.00%:  One thing you can say for certain: it's sure
0.00%:  One conviction
0.00%:  you're not even gonna
0.00%:  no no
0.00%:  One thing you can say for certain: no court
0.00%:  you can't argue
0.00%:  you're a
0.01%:  you're a funny
0.00%:  you're a funny one
0.00%:  One thing you can say for certain: our ver
0.00%:  !
0.00%:  you can't even concentrate for
0.00%:  you're not even facing that
0.00%:  of course not! you're not in
0.00%:  that's not very
0.01%:  that's not very funny
0.00%:  that's not very funny!
0.00%:  One of your characters is on
0.00%:  everyone's in court
0.00%:  you're a funny character
0.00%:  that's our favourite
0.00%:  that's funny cause
0.00%:  One thing you can say for sure: conviction
0.00%:  you're not even in this
0.01%:  you're not even in this country
0.00%:  you're not even in this court!
0.00%:  that's great
0.00%:  everyone can
0.00%:  One thing you can say for certain: even
0.00%:  you can't use
0.00%:  you can't use that in
0.00%:  One thing you can count on is a fair
0.00%:  that is
0.00%:  the iron
0.00%:  One thing you can say for certain: our conversation'
0.00%:  One thing you can say for sure: it's convenient
0.00%:  One thing you can say for sure: it's not over
0.00%:  One thing you can say for certain: it sure
0.00%:  of course not! i
0.00%: !
0.00%:  One for the court!
0.00%:  that's not a very
0.00%:  that's not a very serious
0.00%:  that's not a very funny
0.00%:  One thing you can count on for
0.01%:  One thing you can count on for certain
0.01%:  One thing you can count on for certain:
0.01%:  One thing you can count on for certain!
0.00%:  One thing you can say for sure: no one'
0.00%:  that one's gonna
0.00%:  One of your characters in
0.01%:  One of your characters in your conversation
0.00%:  One thing you can say for sure: at
0.00%:  One thing you can say for sure: even
0.00%:  that's not even our
0.00%:  One chance
0.00%:  you're a funny one!
0.00%:  One thing you can say for certain is never
0.00%:  you're not even in the country
0.00%:  One thing you can say for certain: court is never on
0.00%:  One thing you can say for sure: in
0.00%:  you're not even serious
0.00%:  that's gonna
0.00%:  that's gonna cost you five
0.00%:  that's gonna cost you five years
0.00%:  that's gonna cost you five years in
0.00%:  you're not even hearing your
0.00%:  that's not even serious
0.00%:  One thing you can say for certain: in
0.00%:  One thing you can say for certain: in court
0.00%:  it's funny cause
0.00%:  One thing'
0.24%:  One thing's for certain
0.18%:  One thing's for certain: you never
0.17%:  One thing's for certain: your
0.21%:  One thing's for certain: your conversation
0.14%:  One thing's for certain: you sure
0.14%:  One thing's for certain: you can
0.13%:  One thing's for certain: you are
0.12%:  One thing's for certain: you can never
0.09%:  One thing's for certain: you are not
0.08%:  One thing's for certain: you are one
0.08%:  One thing's for certain: you sure are
0.07%:  One thing's for certain: you can count
0.07%:  One thing's for sure: your
0.09%:  One thing's for sure: your conversation
0.06%:  One thing's for certain!
0.06%:  One thing's for sure: you can
0.06%:  One thing's for certain: your court
0.06%:  One thing's for sure: you never
0.05%:  One thing's for sure: you can never
0.05%:  One thing's for certain: you sure can
0.04%:  One thing's for certain: you sure aren
0.04%:  One thing's for sure: you are
0.03%:  One thing's for certain: you cannot
0.03%:  One thing's for certain: you aren
0.03%:  One thing's for sure: your conviction
0.03%:  One thing's for certain: you are a
0.03%:  One thing's for certain: it
0.03%:  One thing's for certain: your case
0.02%:  One thing's for certain: you can never acc
0.02%:  One thing's for sure!
0.02%:  One thing's for certain: you are not a
0.03%:  One thing's for certain: you are not a very
0.02%:  One thing's for certain: your actions
0.02%:  One thing's for certain: no
0.02%:  One thing's for certain: no one
0.02%:  One thing's for sure: you are one
0.02%:  One thing's for certain: you sure are a
0.02%:  One thing's for certain: your reaction
0.02%:  One thing's for certain: you are a very
0.02%:  One thing's for sure: you can never acc
0.02%:  One thing's for certain: you are correct
0.02%:  One thing's for sure: you are not
0.06%:  One thing's for sure: you are not innocent
0.02%:  One thing's for certain: you can count on a
0.01%:  One thing's for certain: court
0.03%:  One thing's for certain: court is never
0.01%:  One thing's for certain: your actions are
0.01%:  One thing's for sure: you aren
0.01%:  One thing's for certain: you are an
0.01%:  One thing's for sure: it
0.01%:  One thing's for certain: you sure are not
0.01%:  One thing's for certain: no one can
0.02%:  One thing's for certain: no one can say your
0.01%:  One thing's for certain: you are correct in
0.01%:  One thing's for certain: our
0.03%:  One thing's for certain: our court
0.03%:  One thing's for certain: our conversation
0.01%:  One thing's for certain: no one can acc
0.02%:  One thing's for certain: no one can accuse your
0.01%:  One thing's for certain: you can convince
0.01%:  One thing's for sure: you are a
0.01%:  One thing's for certain: your conscience
0.01%:  One thing's for certain: you sure are an
0.01%:  One thing's for certain: you are not serious
0.01%:  One thing's for certain: you are not a serious
0.01%:  One thing's for certain: you are innocent
0.01%:  One thing's for certain: your voice
0.01%:  One thing's for certain: no one can say your court
0.01%:  One thing's for sure: your case
0.01%:  One thing's for certain: you are no
0.01%:  One thing's for certain: you never run
0.01%:  One thing's for certain: your ver
0.01%:  One thing's for certain: you can sure
0.01%:  One thing's for certain: you sure are conv
0.01%:  One thing's for certain: you are not very
0.01%:  One thing's for certain: you sure can convince
0.01%:  One thing's for certain: you sure are!
0.01%:  One thing's for sure: you cannot
0.01%:  One thing's for sure: you cannot convince
0.01%:  One thing's for certain: even
0.01%:  One thing's for certain: no one can accuse us
0.01%:  One thing's for certain: you sure as
0.01%:  One thing's for certain: you are not on
0.01%:  One thing's for certain: you are very
0.01%:  One thing's for sure: your reaction
0.01%:  One thing's for certain: your current
0.01%:  One thing's for sure: court
0.01%:  One thing's for sure: court is never
0.01%:  One thing's for certain: your story
0.01%:  One thing's for sure: no
0.01%:  One thing's for sure: you can convince
0.01%:  One thing's for certain: you can say
0.01%:  One thing's for certain: our court is
0.01%:  One thing's for certain: you can count on a ver
0.01%:  One thing's for certain: you ain
0.01%:  One thing's for certain: you can never run
0.01%:  One thing's certain
0.01%:  One thing's for sure: your conviction rate
0.01%:  One thing's for sure: no one
0.01%:  One thing's for certain: you can rest
0.01%:  One thing's for certain: you never say
0.01%:  One thing's for certain: you are one conv
0.01%:  One thing's for certain: never
0.01%:  One thing's for certain: your court case
0.01%:  One thing's for sure: you are innocent
0.01%:  One thing's for certain: your reactions
0.01%:  One thing's for certain: you are in
0.01%:  One thing's for certain: you are in court
0.01%:  One thing's for certain: none
0.01%:  One thing's for certain: your convers
0.01%:  One thing's for certain: you continue
0.01%:  One thing's for certain: you cannot say
0.01%:  One thing's for certain: conversation
0.01%:  One thing's for certain: your sense
0.01%:  One thing's for certain: you can never count
0.01%:  One thing's for sure: your actions
0.01%:  One thing's for certain: you never can
0.01%:  One thing's for sure: you are a very
0.01%:  One thing's for sure: no one can
0.02%:  One thing's for sure: no one can say you aren
0.01%:  One thing's for sure: no one can say your
0.00%:  One thing's for sure: no one can acc
