YOUR IDEA OF HAPPINESS IS LOWERED EXPECTATIONS?
100.00%: 
21.09%: UN
19.94%:  YOU
20.98%:  YOU ARE
17.13%: UND
4.38%:  YOU W
4.03%:  YOU S
3.16%: ON
3.05%:  YOU ARE A
2.79%:  YOU SA
2.76%:  YOU TH
2.76%:  YOU D
2.94%:  YOU DID
2.65%:  YOU ARE NOT
2.38%:  WE
3.04%:  WE ARE
2.25%:  WH
5.97%:  WHAT ARE
21.45%:  WHAT ARE YOU DO
7.80%:  WHAT ARE YOU S
6.47%:  WHAT ARE YOUR
3.84%:  WHAT YOU
2.71%:  WHAT ARE YOUR D
2.36%:  WHAT ARE YOUR P
2.54%:  WHAT ARE YOUR PLANS?
2.18%:  S
2.11%:  WHAT DO
3.13%:  WHAT DO YOU DO
2.02%:  YOU WANTED
1.99%:  WHAT DO YOU S
1.71%:  YOU ARE AN
1.62%:  YOU DID NOT
1.58%:  YOU WON
1.50%:  SAD
1.45%:  STO
1.45%:  WHAT ARE YOUR PLANS NO
1.44%:  YOUR
1.31%:  WHAT YOU ARE RE
1.28%:  YOU RE
1.25%:  YOU ARE THE
1.21%:  I
1.20%:  L
1.16%:  WHAT DO YOU EXPECT
1.15%:  WHAT ARE YOU RE
1.13%:  YOU ARE THE ONE
1.12%:  YOU ARE T
1.11%:  YOU ARE ST
1.09%:  UN
1.06%:  WHAT ARE YOU A
0.97%:  WHAT ARE YOU P
0.96%:  SAYS
0.95%:  D
0.94%:  WHAT DO YOU P
5.41%:  WHAT DO YOU PLAN ON
2.31%:  WHAT DO YOU PLAN ON S
0.93%:  YOU DID L
0.92%: ON E
0.90%:  WHAT DO YOU DO NO
0.89%:  YOU ARE A S
0.86%:  YOU ARE RE
0.86%:  WHAT ARE YOU EXPECT
0.83%:  TRUE
0.77%:  WE ARE IN
0.76%:  YOU WERE
0.76%:  WHAT DO YOU DO FOR
0.75%:  WHAT DO YOU DO IN
0.75%:  WHAT ARE YOUR F
0.72%:  WHAT ARE YOU PRA
0.70%:  DID
0.95%:  DID YOU ST
0.68%:  WHAT DOES
0.66%:  YOUR D
0.65%:  WHAT ARE YOUR PLANS IN
0.64%:  WHAT DOES YOUR
0.63%:  WHAT ARE YOUR PLANS ON
0.63%:  NO
1.25%:  NOW YOU ARE S
0.86%:  NOW YOU ARE T
0.70%:  NOW YOU ARE AN
1.85%:  NOW YOU ARE AN OLDER T
0.70%:  NOW YOU ARE A
0.62%:  DID YOU E
0.62%:  ST
0.61%:  YOU ARE NO
0.61%:  YOU ARE LE
0.59%: ON YOU ARE
0.59%:  YOU ARE TR
0.58%:  YOU ST
0.57%:  YOU WO
0.57%:  ARE
0.92%:  ARE YOU S
0.68%:  ARE WE
0.57%:  YOU ARE P
0.56%: ON YOUR
0.55%:  STOP D
0.55%:  YOU WISH
0.53%:  WHEN
20.37%:  WHEN YOU ARE OLDER AND
6.75%:  WHEN YOU ARE OLDER DO
3.07%:  WHEN YOU ARE OLDER I
2.64%:  WHEN YOU ARE OLDER AND ST
2.40%:  WHEN YOU ARE OLDER AND I
2.19%:  WHEN YOU ARE OLDER DOES
2.01%:  WHEN YOU ARE OLD AND
1.68%:  WHEN YOU ARE OLDER DO NOT
1.21%:  WHEN YOU ARE OLDER DO NOT EXPECT
1.17%:  WHEN YOU ARE OLDER AND STOP
1.11%:  WHEN YOU ARE OLDER AND S
0.84%:  WHEN YOU ARE OLDER ONE
0.78%:  WHEN YOU ARE OLDER D
0.74%:  WHEN YOU ARE OLDER I EXPECT
0.57%:  WHEN YOU ARE OLDER IT
0.57%:  WHEN YOU ARE OLDER IS
0.56%:  WHEN YOU ARE OLDER AND STOP S
0.53%:  WHEN YOU ARE OLDER AND STOPP
0.52%:  WHEN YOU ARE AN
1.77%:  WHEN YOU ARE AN OLDER T
0.85%:  WHEN YOU ARE AN OLDER S
0.84%:  WHEN YOU ARE AN OLDER AD
0.52%:  WHAT D
3.34%:  WHAT DID YOU LE
7.82%:  WHAT DID YOU LEARN?
3.20%:  WHAT DID YOU LEARN IN
1.31%:  WHAT DID YOU LEARN A
0.97%:  WHAT DID YOU E
0.75%:  WHAT DID YOU LEARN ON
0.63%:  WHAT DID YOU S
0.57%:  WHAT DID YOUR
0.51%:  WHAT DO YOU RE
0.51%:  PRO
0.51%:  WHAT DID YOU LEARN FOR
0.51%:  YOU ARE AN O
1.14%:  YOU ARE AN OLDER D
0.50%:  YOU DID LIST
0.50%:  DID YOU S
0.50%:  F
0.74%:  FAR YOU ARE
0.50%:  IN
0.50%:  NOW YOU ARE THE
0.50%:  WHEN YOU ARE OLDER AND A
0.49%:  YOU ARE A D
0.49%:  WHAT DID YOU EXPECT
0.48%:  YOU ARE SET
0.48%:  WHAT DO YOU PLAN ON E
0.48%:  STOP DAY
0.46%: UL
0.46%:  TH
1.40%:  THERE ARE
0.75%:  THERE ARE NO
0.71%:  THERE IS
0.62%:  THERE YOU
1.14%:  THERE YOU ARE
0.59%:  THERE IS NO PO
0.46%:  YOU ARE IN
0.46%:  YOU ARE LEAR
0.46%:  YOU DID NOT LE
0.67%:  YOU DID NOT LEARN A
0.46%:  THE
0.45%:  PROFOUND AND
0.45%:  SO
0.48%:  SOUND
0.45%:  WHERE
0.62%:  WHERE ARE
0.46%:  WHERE ARE YOU ST
0.45%:  WHAT IF
1.76%:  WHAT IF YOU
4.33%:  WHAT IF YOU ARE
1.49%:  WHAT IF YOU ARE A
1.38%:  WHAT IF YOU ARE O
23.48%:  WHAT IF YOU ARE OLDER AND
12.13%:  WHAT IF YOU ARE OLDER?
2.60%:  WHAT IF YOU ARE OLDER AND S
2.59%:  WHAT IF YOU ARE OLD AND
1.45%:  WHAT IF YOU ARE OLDER? I
1.42%:  WHAT IF YOU ARE OLDER ONE
0.94%:  WHAT IF YOU ARE AN
2.58%:  WHAT IF YOU ARE AN OLDER D
0.81%:  WHAT IF YOU ARE OLDER AND NO
0.76%:  WHAT IF YOU D
2.22%:  WHAT IF YOU DON
0.74%:  WHAT IF YOU ARE OLDER? SO
0.71%:  WHAT IF YOU ARE OLDER AND NE
0.62%:  WHAT IF YOU ARE ONE
0.59%:  WHAT IF YOU ARE OLDER NO
0.58%:  WHAT IF YOU ARE OLD AND S
0.53%:  WHAT IF YOU ARE OLDER AND IN
0.48%:  WHAT IF YOU ARE ON
0.45%: ON WE
0.45%:  WHEN YOU ARE OLDER AND T
0.45%:  WHAT IF YOU ARE AN OLD S
0.45%:  WHAT ARE YOUR PLANS IF
0.45%:  NOW YOU ARE AN OLDER S
0.44%:  FINE
0.44%:  YOU ARE NOT A
0.44%:  YOU ARE AFRA
0.44%:  SAYS THE D
9.98%:  SAYS THE DINOSAUR W
3.80%:  SAYS THE DINOSAUR IN
1.11%:  SAYS THE DINOSAUR ON
0.75%:  SAYS THE DINOSAUR IN A
0.63%:  SAYS THE DINOSAUR OF
0.44%:  WHAT IS
1.85%:  WHAT IS YOUR PO
1.34%:  WHAT IS YOUR SE
1.20%:  WHAT IS YOUR P
3.34%:  WHAT IS YOUR PLAN?
1.74%:  WHAT IS YOUR PLAN FOR S
1.27%:  WHAT IS YOUR PLAN FOR DE
