don't think you should use the word "retarded" like that, Michael Chabon.
100.00%: 
83.59%:  think
71.31%:  think you
1704.32%:  think you should write
2344.14%:  think you should write another
4497.11%:  think you should write another book
1730.73%:  think you should write a better
1668.00%:  think you should write another book,
3837.62%:  think you should write another book, Michael C
3441.07%:  think you should write another book, Michael.
1481.96%:  think you should write about
1415.83%:  think you should write another book, Michael "
1212.15%:  think you should write another book that
1143.81%:  think you should write a book
1037.55%:  think you should write another Michael
678.83%:  think you should read
668.29%:  think you should write another book Michael
549.63%:  think you should write about the
541.67%:  think you should write a better one
504.32%:  think you should read this
500.54%:  think you should write better
485.70%:  think you should read it and
469.88%:  think you should write the
897.03%:  think you should write the rest
449.51%:  think you should write another book that has
446.92%:  think you should read this one
438.96%:  think you should write another book, dude
417.05%:  think you should read this book
377.02%:  think you should write that
342.00%:  think you should write about a
333.40%:  think you should write a letter
1935.67%:  think you should write a letter to Michael
19602.02%:  think you should write a letter to Michael Chabon,
6475.56%:  think you should write a letter to Michael Chabon'
5494.53%:  think you should write a letter to Michael Chabon.
2203.65%:  think you should write a letter to Michael Chabon's dad
1585.65%:  think you should write a letter to Michael Chabon, the
1149.67%:  think you should write a letter to Michael Chabon to
1038.87%:  think you should write a letter to Michael Chabon's head
1016.50%:  think you should write a letter to Michael Chabon, dude
967.64%:  think you should write a letter to Michael Chabon, author
744.48%:  think you should write a letter to Michael Chabon so
787.67%:  think you should write a letter to Michael Chabon so he'
553.95%:  think you should write a letter to Michael Chabon's dad,
429.03%:  think you should write a letter to Michael Chabon, dear
367.07%:  think you should write a letter to Michael Chabon's dead
351.42%:  think you should write a letter to Michael Chabon to ask
348.71%:  think you should write a letter to Michael Chabon, ask
315.36%:  think you should read this book and
295.54%:  think you should write about Michael
289.18%:  think you should write another book, Michael C. "
286.94%:  think you should write a book that
280.27%:  think you should write a letter to Michael Chabon's ed
280.22%:  think you should write another book star
277.96%:  think you should write the book
272.25%:  think you should read what
264.64%:  think you should write about that
263.21%:  think you should write a better one,
357.28%:  think you should write a better one, Michael C
255.30%:  think you should read the
597.85%:  think you should read the whole
2496.40%:  think you should read the whole book instead
1656.24%:  think you should read the whole book and
1001.97%:  think you should read the whole book,
2535.22%:  think you should read the whole book, Michael.
1253.53%:  think you should read the whole book, Michael C
709.87%:  think you should read the whole book, Michael "
558.87%:  think you should read the whole book, then
469.01%:  think you should read the whole book instead,
804.13%:  think you should read the whole book instead, Michael.
735.67%:  think you should read the whole book instead, Michael C
516.50%:  think you should read the whole book instead, Michael "
435.18%:  think you should read the whole book then
434.53%:  think you should read the whole book Michael
381.45%:  think you should read the whole book instead, Michael C.
345.72%:  think you should read the whole book, dude
271.50%:  think you should read the rest
261.56%:  think you should read the whole book then Michael
257.94%:  think you should read the whole book, and
252.66%:  think you should read the whole book and see
245.13%:  think you should write that book
234.90%:  think you should write a letter to Michael Chabon, h
232.40%:  think you should write another book.
232.12%:  think you should write a letter to Michael Chabon, dude.
230.62%:  think you should read the whole book, Michael and
230.00%:  think you should write another book, Ch
228.89%:  think you should write a better one, Michael "
225.39%:  think you should write a letter to Michael Chabon's head,
225.07%:  think you should write one
550.79%:  think you should write one about
223.76%:  think you should write that one
221.01%:  think you should be
203.96%:  think you should write a letter to Michael Chabon the
202.95%:  think you should read the whole book then,
618.37%:  think you should read the whole book then, Michael.
293.66%:  think you should read the whole book then, Michael C
241.14%:  think you should read the whole book then, Michael "
193.44%:  think you should write a letter to Michael Chabon, the dude
185.20%:  think you should write a letter to Michael Chabon's author
