i should get me some clothes
      0 100.00%: 
      1 26.06%:  i should go
      2 25.19%:  i should get
      3 23.97%:  i should go home
      4 23.27%:  i should go to
      5 23.24%:  i could
      6 23.13%:  i should get some
      7 23.11%:  i should see
      8 23.08%:  i should come
      9 22.54%:  it
     10 22.42%:  this
     11 20.69%:  i could get
     12 20.46%:  i should go to the m
     13 20.36%:  the
     14 20.25%:  i do
     15 20.24%:  i should go see
     16 20.24%:  i should get some clothes
     17 20.23%:  i got
     18 20.21%:  i sh
     19 20.15%:  i ought
     20 20.11%:  i should come home
     21 19.82%:  i could get some
     22 19.79%:  i should go h
     23 19.72%:  i should go clothes
     24 19.69%:  i should go some
     25 19.60%:  i should get the
     26 19.45%:  i should get to
     27 19.23%:  i should get these
     28 19.23%:  i should get those
     29 19.19%:  i should get them
     30 19.08%:  i should get t
     31 19.07%:  i should get me
     32 19.06%:  i should get home
     33 19.04%:  i should get clothes
     34 19.01%:  i shoul
     35 19.00%:  she
     36 18.88%:  he
     37 18.87%:  i shoudl
     38 18.80%:  im
     39 18.77%:  these
     40 18.72%:  some
     41 18.64%:  i shou
     42 18.63%:  its
     43 18.59%:  
     44 18.58%:  those
     45 18.58%:  i could go
