because i don't like being fat and pooping is good times
100.00%: 
74.38%:  because
18.16%:  because it
19.42%:  because it's making
17.01%:  because if
15.27%:  because it makes
12.98%:  because po
77.95%:  because pooping
61.01%:  because pooping is like
37.71%:  because pooping is good
33.45%:  because pooping makes
20.09%:  because pooping is like eating
15.23%:  because pooping is kinda
14.03%:  because pooping feels
14.47%:  because pooping feels good and
12.88%:  because pooping feels good and being
11.77%:  because poops
11.70%:  because pooping is like eating food
10.83%:  because pooping is like a
10.11%:  because pooping is a
9.70%:  because it's like
9.57%:  because pooping is like being
9.32%:  because poop is good
9.26%:  because pooping is good and
8.68%:  because pooping is a good
21.60%:  because pooping is a good time
8.48%:  because pooping doesn
50.94%:  because pooping doesn't make
14.47%:  because pooping doesn't take
8.32%:  because i
8.26%:  because it's going
9.69%:  because it's going to take
8.96%:  because it's going to make
7.58%:  because pooping is a lot
7.19%:  because poop is like
5.95%:  because people
5.59%:  please
5.49%:  because pooping'
5.23%:  because pooping is a lot of
5.15%:  because it's not
11.09%:  because it's not like
5.14%:  because pooping feels good and it
4.85%:  because being
8.11%:  because being fat makes
7.40%:  because being fat is like
4.73%:  i
4.59%:  because being fat makes it
4.59%:  because pooping doesn't take long
4.52%:  because it's going to take a
4.48%:  because pooping is like eating food and
4.33%:  because pooping is like doing
4.33%:  because it doesn
10.22%:  because it doesn't make
5.54%:  because it doesn't look
5.67%:  because it doesn't look good in
4.20%:  because pooping is not
4.15%:  because it's not going
4.10%:  because pooping is one
4.06%:  because pooping's like
4.02%:  because pooping is kind
3.98%:  because it feels
6.09%:  because it feels good
4.24%:  because it feels good to poop and
3.98%:  because it's kinda
3.96%:  because if it
7.32%:  because if it poops
3.93%:  because it's too
3.89%:  because pooping is good and being
3.84%:  because pooping takes
3.74%:  because poo
3.72%:  because it's going to take me
3.65%:  because pooping is neat
3.58%:  please don
5.32%:  please don't go
4.90%:  please don't po
4.21%:  please don't make
3.57%:  because i'
3.56%:  because if it pooped it
3.47%:  because pooping doesn't add
3.47%:  because being fat is good
3.41%:  because pooping makes it
3.35%:  because poop makes
3.28%:  because it looks
3.24%:  po
13.83%:  pooping is like
9.75%:  pooping is fun
7.36%:  pooping is good
9.95%:  pooping is good because
6.42%:  pooping makes
5.69%:  pooping is like eating
5.49%:  pooping is kinda
5.15%:  pooping is cool
4.21%:  pooping is good times
3.65%:  poops
3.65%:  pooping is so
3.43%:  pooping is kinda fun
3.34%:  pooping is nice
3.07%:  because it's not polite
2.97%:  because pooping is a good time and
2.91%:  because it's a
3.53%:  because it's a good
2.87%:  please don't be
2.86%:  because pooping is like a gift
2.86%:  please don't stop
2.86%:  pooping is like a
2.84%:  pooping is like eating food
2.80%:  because pooping in
2.77%:  because it doesn't po
2.75%:  because it is
2.73%:  because poop doesn
6.15%:  because poop doesn't make
5.11%:  because poop doesn't take
2.64%:  pooping is a
2.62%:  because it's too late
2.61%:  because i'm going
2.57%:  because it's going to make it
