whatever! My formula is still good DESPITE nurse racism.
100.00%: 
29.71%:  that
19.76%:  I
13.64%:  whatever
11.22%:  clearly
10.27%:  clearly this
71.01%:  clearly this formula
25.01%:  clearly this formula doesn
24.26%:  clearly this formula needs
11.47%:  clearly this formula isn
9.76%:  clearly this formula is not
8.34%:  this
12.96%:  this formula
10.54%:  this formula is clearly
8.33%:  that was
8.22%:  so
6.31%:  I guess
5.84%:  now
5.83%:  whatever.
5.59%:  so clearly
5.50%:  whatever!
5.43%:  clearly I should
5.32%:  that one was
5.27%:  clearly this formula needs to
5.16%:  clearly this formula was
4.98%:  this is clearly
4.78%:  you
4.30%:  clearly this formula does
4.16%:  this formula clearly
4.15%:  so clearly this
42.98%:  so clearly this formula
17.05%:  so clearly this formula doesn
11.24%:  so clearly this formula needs
10.37%:  so clearly this formula isn
4.09%:  this formula clearly needs
3.94%:  well
3.80%:  I have
3.75%:  this last
3.67%:  clearly nurses
6.87%:  clearly nurses should
4.35%:  clearly nurses have
3.60%:  yeah
3.52%:  clearly this formula is great
3.52%:  my
6.96%:  my formula
5.01%:  my last
8.54%:  my last advice
27.34%:  my last advice formula
11.82%:  my last advice is for
4.70%:  my last advice formula is this
4.01%:  my friends
3.55%:  my last advice is for nurses
3.52%:  clearly this formula is never
3.38%:  clearly this formula is over
3.37%:  so clearly this formula is not
3.33%:  nurses
3.28%:  this formula is really
3.26%:  clearly I should never
3.25%:  my friend
3.18%:  that one was really
3.16%:  that one is
3.87%:  that one is clearly
3.14%:  listen
3.09%:  never
2.93%:  clearly this formula runs
2.92%:  that was really
3.69%:  that was really gross
2.92%:  last
2.82%:  my last formula
2.76%:  this formula really
2.74%:  clearly I have
2.70%:  this was
2.66%:  so clearly nurses
7.67%:  so clearly nurses should
2.63%:  that sounds
2.71%:  that sounds really
4.51%:  that sounds really awful
2.62%:  my formula has
2.61%:  that sounds awful
2.60%:  clearly this formula was never
2.54%:  my last advice for
3.25%:  my last advice for nurses
2.49%:  um
2.45%:  my last advice for nurses was
2.36%:  my formula doesn
2.36%:  so clearly this formula is great
2.36%:  I guess that
2.28%:  I admit
2.25%:  clearly this formula gets
2.22%:  you win!
2.15%:  I really
3.41%:  I really should
2.13%:  I should
2.13%:  I guess this
9.98%:  I guess this formula
4.36%:  I guess this formula only
3.56%:  I guess this formula doesn
3.55%:  I guess this formula is
3.53%:  I guess this formula really
3.26%:  I guess this formula isn
2.52%:  I guess this formula really doesn
2.10%:  clearly this formula is more
2.10%:  this formula could
2.09%:  clearly this formula is now
2.08%:  this formula only
2.07%:  clearly I should write
2.06%:  clearly this formula is great.
2.01%:  so clearly I should
2.01%:  this formula doesn
1.99%:  it
1.97%:  so clearly nurses have
1.95%:  I should really
1.95%:  I can
1.95%:  clearly that
1.92%:  yes
1.92%:  so clearly this formula was
1.91%:  clearly this formula is a
1.90%:  clearly this was
1.88%:  my last advice is for all
1.86%:  that one was really gross
1.86%:  so clearly this formula does
1.80%:  this formula is clearly not
1.78%:  that one is clearly awful
1.77%:  that one was clearly
1.74%:  my advice
11.06%:  my advice formula
4.21%:  my advice formula has
3.64%:  my advice formula isn
1.73%:  what
1.72%:  this formula needs
1.72%:  I guess this formula only covers
1.72%:  whatever. I
1.71%:  clearly this formula gets worse
1.68%:  my last formula was
1.68%:  this formula clearly doesn
1.68%:  clearly this formula is great!
1.68%:  that was really gross!
1.67%:  that one is less
1.62%:  clearly this formula is so
1.61%:  so I
2.68%:  so I guess
1.59%:  whatever! I
1.58%:  clearly this formula is awesome
1.55%:  I guess this formula can
1.54%:  this formula isn
1.53%:  that one is really
1.51%:  no
1.50%:  that was clearly
1.49%:  clearly this formula must
1.48%:  I guess nurses
1.47%:  I really should start
1.46%:  I give
1.46%:  my advice formula is now
1.46%:  my friends!
1.45%:  that was my
1.44%:  clearly this formula needs a
1.43%:  so clearly I should never
1.43%:  this last one was
1.43%:  that one is clearly less
1.41%:  my final
2.69%:  my final advice
1.41%:  clearly I need
1.41%:  I guess nurses have
1.40%:  my formula isn
1.39%:  clearly this formula is awesome!
1.38%:  clearly we
1.37%:  clearly this formula is over!
1.35%:  whoever
1.33%:  my last advice will
1.32%:  my last advice was
1.32%:  so clearly this formula gets
1.32%:  clearly this formula is more vers
1.31%:  so clearly I have
1.29%:  clearly I should start
1.27%:  this formula can
1.27%:  this formula was
3.06%:  this formula was clearly
1.27%:  so clearly this formula runs
1.22%:  I guess this formula is really
1.21%:  so clearly this is
1.21%:  so clearly this formula was never
1.20%:  fine
1.20%:  clearly this formula gives
1.18%:  you can
1.18%:  my advice formula still
1.17%:  clearly this formula was not
1.16%:  finally
1.16%:  this formula only covers
1.15%:  clearly this formula is not as
1.15%:  my last advice formula isn
1.14%:  this one
1.14%:  so clearly this formula is great.
1.14%:  so that
1.13%:  my advice formula is still
1.13%:  I guess this formula will
1.13%:  that sounds really awful!
1.13%:  nurses are
1.12%:  I guess this formula really is
1.12%:  I will
1.36%:  I will admit
1.11%:  clearly this isn
1.11%:  they
1.09%:  I should really start
1.09%:  clearly this formula is good
1.09%:  clearly this formula is DE
1.07%:  my last one
1.07%:  clearly this formula won
1.07%:  so clearly this formula gets worse
1.07%:  so this
3.19%:  so this formula
1.19%:  so this formula is
1.73%:  so this formula is clearly
1.07%:  whatever man
1.06%:  that one is clearly worse
1.06%:  clearly this formula is not as vers
1.06%:  now I really
1.06%:  clearly this formula is genius
1.05%:  so clearly this formula won
1.05%:  clearly this last
1.05%:  so clearly this formula is great!
1.05%:  this was fun
1.04%:  that one was less
1.04%:  that one really
1.04%:  so clearly this formula gives
1.04%:  clearly this is over
1.04%:  my friend!
1.03%:  listen.
1.02%:  that was gross
1.01%:  clearly this formula gets worse and
1.01%:  clearly this formula is over.
1.01%:  clearly this formula is meant
1.00%:  clearly we should
1.00%:  my advice formula was
1.00%:  I might
1.00%:  I really have
1.00%:  there
0.99%:  that one was really gross!
0.99%:  turns
0.97%:  my last advice is this
0.97%:  nurses are clearly
0.97%:  clearly this formula is over now
0.97%:  forget
2.22%:  forget nurses
1.54%:  forget nurses!
0.96%:  so clearly this formula is more
0.96%:  well that
0.95%:  those
0.95%:  final
0.94%:  this was clearly
0.94%:  my last one is for
0.94%:  that wasn
0.94%:  I guess this formula is only
0.94%:  that is
0.93%:  I confess
0.93%:  I clearly
0.93%:  this formula really is
0.93%:  I can see why
0.93%:  I guess this formula really isn
0.92%:  that was a
0.92%:  my last advice formula is the
0.91%:  clearly this is not
0.91%:  my advice formula has run
0.91%:  so this formula isn
0.91%:  my last advice is for all nurses
0.91%:  wait
0.90%:  I have clearly
0.90%:  my last advice formula is less
0.90%:  that sounds awful!
0.90%:  this last one is clearly
0.89%:  this is clearly not
0.89%:  this formula is clearly never
0.89%:  this formula clearly isn
0.89%:  whoever said
2.76%:  whoever said nurses
0.88%:  clearly it
0.87%:  clearly this formula is wrong
0.87%:  so this formula clearly
0.87%:  this advice
6.42%:  this advice formula
1.00%:  this advice formula really
0.86%:  my formula has its
0.86%:  this advice formula is really
0.86%:  this last one was really
0.86%:  who
0.85%:  clearly this formula sounds
0.93%:  clearly this formula sounds great
0.85%:  this formula still
0.84%:  so nurses
0.84%:  my last advice is free
0.84%:  clearly this formula is too
0.84%:  the
3.68%:  the formula
2.04%:  the formula is
2.25%:  the formula is clearly
0.92%:  the last one was really
0.89%:  the formula clearly
0.83%:  so my
6.39%:  so my formula
4.13%:  so my formula is
3.37%:  so my formula isn
2.41%:  so my formula doesn
1.92%:  so my formula has
1.77%:  so my advice
15.08%:  so my advice formula
12.79%:  so my advice formula isn
2.88%:  so my advice formula has
2.14%:  so my advice formula still
2.29%:  so my advice formula still has
1.40%:  so my formula has its
1.37%:  so my advice formula has its
1.30%:  so my advice formula is still
1.20%:  so my advice formula is less
0.88%:  so my advice formula turns
0.83%:  my last answer
0.83%:  clearly this last one was
0.83%:  clearly this formula wasn
0.83%:  this formula really doesn
0.83%:  nurses should
0.83%:  that was less
0.83%:  so clearly this formula is never
0.82%:  this was really
0.89%:  this was really fun!
0.82%:  my formula sounds
0.82%:  enough
0.81%:  clearly this formula never
0.81%:  that was really gross. I
0.81%:  now I have
0.81%:  this formula is great
0.81%:  my last word
1.50%:  my last word on this
0.81%:  I will never
0.98%:  I will never forget
1.31%:  I will never forget this
0.92%:  I will never forget this day!
0.81%:  I need
0.81%:  now that
0.80%:  my advice formula has serious
0.80%:  this formula was clearly never
0.80%:  so I guess this
3.89%:  so I guess this formula
2.04%:  so I guess this formula only
1.43%:  so I guess this formula really
0.80%:  my last advice is for mothers
0.80%:  nurses!
0.80%:  so it
0.80%:  my final words
0.80%:  now I really have
0.79%:  my advice formula is great
0.79%:  I could
0.79%:  my advice formula is not
0.79%:  my formula is still
0.78%:  I really should start using
0.78%:  this is really
0.78%:  so this formula doesn
0.78%:  this formula sounds
0.78%:  that one is really gross
0.78%:  so nurses should
0.77%:  you should
0.77%:  this formula really needs
0.77%:  so this formula only
0.77%:  so clearly this formula is vers
0.77%:  I don
0.76%:  my advice formula still has
0.76%:  this advice formula only
0.76%:  clearly this formula is doing
0.76%:  sorry
0.76%:  I guess this formula really does
0.76%:  that sounds really gross
0.76%:  my last one is for lovers
0.75%:  my last advice follows
0.75%:  this last one was clearly
0.75%:  clearly this formula is genius!
0.75%:  clearly this is a
0.75%:  this formula is great!
0.74%:  my friends.
0.74%:  I guess you
0.74%:  clearly this formula is strong
0.74%:  clearly this formula is so vers
0.74%:  this clearly
0.74%:  you win. I
0.73%:  yeah.
0.73%:  clearly this formula is vers
0.72%:  you caught
0.72%:  so my advice isn
0.72%:  it sounds
0.72%:  clearly this is a formula
0.72%:  so clearly this formula is a
0.72%:  my advice formula runs
0.71%:  fine.
0.71%:  that one is awful
0.71%:  my last advice is for the
0.71%:  let
0.71%:  clearly the
4.18%:  clearly the formula
1.20%:  clearly the formula doesn
1.05%:  clearly the formula isn
0.71%:  my formula has serious
0.70%:  this formula is now
0.70%:  I really should write
0.70%:  so my formula can
0.70%:  so my advice formula is not
0.68%:  I guess my
7.89%:  I guess my formula
3.90%:  I guess my formula doesn
3.76%:  I guess my formula isn
3.56%:  I guess my formula is
3.14%:  I guess my formula has
1.79%:  I guess my formula can
0.95%:  I guess my advice
13.14%:  I guess my advice formula
10.87%:  I guess my advice formula isn
6.94%:  I guess my advice formula is
3.67%:  I guess my advice formula has
2.59%:  I guess my advice formula has its
0.82%:  I guess my advice formula is still
0.80%:  I guess my advice formula still
0.78%:  I guess my advice formula will
0.76%:  I guess my advice formula wasn
0.75%:  I guess my formula does
0.71%:  I guess my advice formula is sort
0.68%:  this formula really does
0.68%:  my formula was
0.68%:  my formula is great
0.67%:  my last advice is for all nurses who
0.67%:  you caught me.
0.67%:  my turn
0.67%:  that one is clearly awful!
0.67%:  I guess it
0.66%:  so clearly nurses should get
0.66%:  this formula may
0.66%:  this formula is really great
0.66%:  this formula sounds really
0.66%:  this formula clearly needs to
0.66%:  so my advice formula wasn
0.66%:  I really should get
0.66%:  I guess this formula really can
0.66%:  so clearly I should write
0.66%:  that is clearly
0.66%:  we
0.66%:  so my advice formula was
0.65%:  the formula is really
0.65%:  I guess this formula does
0.65%:  clearly I should give
0.65%:  so clearly this formula needs to
0.65%:  my final words are
0.65%:  fr
0.65%:  you win! I
0.64%:  really
0.64%:  this formula runs
0.64%:  my final word
0.64%:  so clearly this isn
0.64%:  your
0.64%:  this formula will
0.63%:  nurses are hard
0.63%:  my last advice is for writers
0.63%:  the formula runs
0.77%:  the formula runs dry
0.63%:  my friends! I have
0.63%:  so clearly this was
0.63%:  my friend.
0.63%:  clearly this formula is great. I
0.63%:  forget this
0.63%:  so clearly I haven
0.63%:  yes.
0.63%:  so clearly this formula needs a
0.63%:  last one.
0.63%:  you win this
0.62%:  my last words
0.62%:  so I guess my
4.45%:  so I guess my formula
2.35%:  so I guess my formula isn
1.64%:  so I guess my formula is
1.57%:  so I guess my formula doesn
1.51%:  so I guess my formula has
1.23%:  so I guess my advice
13.15%:  so I guess my advice formula
12.25%:  so I guess my advice formula isn
6.18%:  so I guess my advice formula is
2.04%:  so I guess my advice formula has
1.38%:  so I guess my advice formula still
1.28%:  so I guess my advice formula will
0.88%:  so I guess my formula can
0.62%:  my formula can
0.62%:  my advice formula is useless
0.62%:  so clearly this formula gets worse and
0.61%:  clearly the formula runs
0.61%:  that sounds really awful. I
0.61%:  that really
0.66%:  that really sounds
0.77%:  that really sounds awful
0.61%:  clearly this is over!
0.61%:  that one is really awful
0.60%:  this really
0.60%:  my last advice formula is this one
0.60%:  this formula is clearly over
0.60%:  so my formula still
0.85%:  so my formula still needs
0.60%:  so I guess this formula will
0.60%:  so this formula is really
0.60%:  clearly I am
0.59%:  this formula was clearly not
0.59%:  clearly this formula IS
0.59%:  I guess that was
0.59%:  that sounds less
0.59%:  this formula is almost
0.59%:  I guess this formula will never
0.59%:  my formula needs
0.59%:  this last one really
0.59%:  this formula is really good
0.59%:  my advice formula is less
0.59%:  my final words are this
0.59%:  so this formula really
0.58%:  my last advice formula!
0.58%:  my last advice for this
0.58%:  my last words are
0.58%:  I have clearly run
1.72%:  I have clearly run out of words
0.81%:  I have clearly run out of steam
0.71%:  I have clearly run out of ideas
0.71%:  I have clearly run out of words.
0.59%:  I have clearly run out of steam.
0.58%:  I should really start using
0.58%:  the formula doesn
0.58%:  I guess this was
0.57%:  I guess this formula is only valid
0.57%:  this was really fun.
0.57%:  my formula is over
0.56%:  this could
0.56%:  my last advice formula.
0.56%:  so I guess this formula can
0.56%:  my last advice is for mothers.
0.56%:  this formula will never
0.56%:  this formula is really good!
0.56%:  clearly this formula is un
0.55%:  this advice formula isn
0.55%:  this formula is clearly awesome
0.55%:  clearly this formula is so great
0.55%:  that was gross!
0.55%:  fine!
0.55%:  I clearly have
0.54%:  I guess you win
0.54%:  clearly I haven
0.54%:  this is clearly a
0.54%:  so my formula is still
0.54%:  I admit it!
0.54%:  so clearly the
4.69%:  so clearly the formula
3.28%:  so clearly the formula is
1.49%:  so clearly the formula isn
0.91%:  so clearly the formula doesn
0.54%:  I guess nurses are
0.54%:  so clearly this formula is awesome
0.54%:  clearly this formula is a sm
0.53%:  so what
0.53%:  the formula isn
0.53%:  listen!
0.53%:  I was
0.53%:  this is clearly over
0.53%:  so clearly it
0.53%:  it turns
0.53%:  clearly that was
0.52%:  my last advice is for all women
0.52%:  so clearly I need
0.52%:  so this formula clearly needs
0.52%:  now you
0.52%:  this formula is clearly awesome!
0.52%:  clearly this is over now
0.52%:  my last advice is free.
0.52%:  my formula still
0.52%:  well!
0.51%:  my formula still needs
0.51%:  I guess my advice formula was
0.51%:  I still
0.67%:  I still have
0.51%:  my friends have
0.51%:  so clearly this formula wasn
0.51%:  so clearly that
0.51%:  so clearly this formula sounds
0.69%:  so clearly this formula sounds great
0.51%:  my advice formula has now
0.51%:  clearly I have some
0.51%:  my last advice is for when
0.51%:  so it turns
0.51%:  turns out I
0.51%:  clearly we have
0.51%:  I guess my formula covers
0.51%:  so my advice formula will
0.51%:  clearly we should start
0.51%:  I lied
0.50%:  so clearly nurses should give
0.50%:  so my advice might
0.50%:  those last few
0.50%:  this formula was really
0.49%:  clearly this doesn
0.49%:  clearly this formula writes
0.49%:  moving
0.49%:  nurses have
0.49%:  the formula only
0.49%:  so clearly this formula is over
0.48%:  so my advice form
0.48%:  that one is awful!
0.48%:  clearly this formula is now over
0.48%:  we should
0.48%:  this last one is really
0.48%:  so my advice formula IS
0.48%:  now this
0.66%:  now this formula
0.61%:  now this formula is clearly
0.48%:  this formula gets
0.48%:  my formula is not
0.48%:  so clearly this doesn
0.48%:  I guess my formula is still
0.48%:  and
0.48%:  so my advice formula still isn
0.48%:  so my formula is less
0.48%:  turns out my
1.25%:  turns out my advice
0.48%:  the last one was clearly
0.48%:  this formula is not
0.48%:  clearly this formula is too vers
0.48%:  this is really fun
0.48%:  my advice formula has lost
0.47%:  so clearly this formula is more vers
0.47%:  so I guess this formula will never
0.47%:  clearly the nurses
0.47%:  I am
0.47%:  clearly this formula is no
0.47%:  clearly I have to
0.47%:  clearly this formula is awesome. I
0.47%:  this formula clearly runs
0.47%:  this formula still sounds
0.47%:  my formula runs
0.47%:  this is my
0.59%:  this is my last advice
2.61%:  this is my last advice formula
1.58%:  this is my last advice formula!
0.52%:  this is my last advice for
0.47%:  I guess my formula covers all
0.47%:  clearly this formula is worse
0.47%:  I have to admit
0.47%:  this one is clearly
0.47%:  my last advice formula is so
0.47%:  I never
0.64%:  I never said this
6.46%:  I never said this formula
0.83%:  I never said this formula was P
0.60%:  I never said this formula was gr
0.46%:  this is my last advice formula. I
0.46%:  so nurses have
0.46%:  so my advice formula still has its
0.46%:  this formula is still
0.46%:  so clearly there
0.46%:  the last one is
0.46%:  I guess this formula still
0.46%:  this formula is really great!
0.46%:  this is my last formula
0.46%:  I guess this really
0.46%:  my mind
0.46%:  well I
0.83%:  well I guess
0.74%:  well I guess that
0.50%:  well I guess that covers
0.45%:  all
0.70%:  all right
0.45%:  I should really get
0.45%:  so my formula sounds
0.45%:  my formula is now
0.45%:  so there
0.45%:  hold
0.45%:  I guess this formula was
0.45%:  clearly nurses should start
0.45%:  that sounds awful. I
0.45%:  this formula does
0.44%:  clearly this formula grows
0.44%:  my last advice is for the nurses
0.44%:  I have to say
0.44%:  my last one is for lovers!
0.44%:  my last advice is for women
0.44%:  that one is clearly worse.
0.44%:  my formula is still great
0.44%:  I guess this formula covers
0.44%:  clearly the last
0.44%:  my formula still has
0.44%:  clearly I don
0.43%:  my last advice is for mothers!
0.43%:  so clearly this formula must
0.43%:  clearly this formula gives us
0.43%:  the last one is clearly
0.43%:  clearly this formula is uns
0.43%:  so my last
1.08%:  so my last advice
7.32%:  so my last advice formula
2.49%:  so my last advice formula is
1.11%:  so my last advice formula isn
0.93%:  so my last advice was
0.83%:  so my last formula
0.43%:  I never said my
6.32%:  I never said my formula
0.80%:  I never said my formula was P
0.65%:  I never said my formula was gr
0.49%:  I never said my formula is
0.43%:  I never said my form
0.43%:  so nurses are
0.43%:  this formula is way
0.43%:  my formula sounds less
0.43%:  I guess this could
0.42%:  so I guess my advice isn
0.42%:  this formula is really great.
0.42%:  clearly this formula is an
0.42%:  clearly this needs
0.42%:  not
0.63%:  not really
0.67%:  not really sure
0.46%:  not all
0.68%:  not all advice
0.42%:  screw
0.49%:  screw nurses
0.42%:  my advice formula is great.
0.42%:  my advice formula has its
0.42%:  this is my last advice.
0.42%:  I guess my formula covers all the
0.42%:  now it
0.42%:  so yeah
0.42%:  this is all
0.42%:  I deserve
0.42%:  my advice formula is great!
0.42%:  clearly the formula is strong
0.42%:  finally!
0.41%:  my last formula is this
0.41%:  you can tell
0.41%:  this sounds
0.41%:  I confess!
0.41%:  my last advice for the
0.41%:  clearly whatever
0.41%:  whatever man.
0.41%:  clearly nurses should give
0.41%:  clearly the formula is over
0.41%:  clearly this formula gets more
0.41%:  I totally
0.41%:  clearly this formula is even
0.41%:  so clearly this formula is awesome!
0.41%:  clearly this formula grows tired
0.41%:  my last advice is for nurses.
0.41%:  this formula is way more
0.52%:  this formula is way more vers
0.41%:  so this formula clearly doesn
0.41%:  that one was really gross. I
0.41%:  this formula IS
0.41%:  this advice formula was
0.41%:  well! I guess
0.41%:  this formula is clearly great
0.41%:  this formula is really not
0.41%:  turns out I have
0.41%:  clearly nurses have it worst
0.41%:  I guess this formula covers all
0.41%:  my last advice for nurses was more
0.41%:  my advice formula will
0.41%:  this isn
0.40%:  what if
0.50%:  what if nurses
0.40%:  this was a
0.42%:  this was a really
0.40%:  I guess my formula wasn
0.40%:  I guess this advice
4.31%:  I guess this advice formula
2.25%:  I guess this advice formula isn
2.19%:  I guess this advice formula only
1.90%:  I guess this advice formula really
1.42%:  I guess this advice formula is
0.64%:  I guess this advice formula is really
0.63%:  I guess this advice formula really isn
