These two questions better not have the same answer!!
      0 100.00%: 
      1 5.89%:  These
      2 166.11%:  These are questions
      3 262.69%:  These are questions that
      4 330.77%:  These are questions that have
      5 1070.80%:  These are questions that have been
      6 387.48%:  These are questions that have been on
      7 244.37%:  These are questions that have no
      8 127.73%:  These are questions that are
      9 88.10%:  These are questions that are not
     10 70.31%:  These are questions better
     11 67.74%:  These are questions we
     12 65.87%:  These are questions that matter
     13 58.57%:  These are questions that have to
     14 40.61%:  These questions
     15 122.67%:  These questions are rhet
     16 60.97%:  These questions are not
     17 45.97%:  These questions are not the
     18 318.54%:  These questions are not the same!!
     19 316.62%:  These questions are not the same at
     20 40.58%:  These are questions that are best
     21 39.54%:  These questions are not even
     22 37.68%:  These are questions that were
     23 51.81%:  These are questions that were meant
     24 34.83%:  These are questions that matter to
     25 34.70%:  These are questions that are too
     26 32.08%:  These are questions that matter!!
     27 31.94%:  These are serious
     28 30.80%:  These questions are not the same answer
     29 29.98%:  These questions are both
     30 94.63%:  These questions are both rhet
     31 28.48%:  These are questions that we
     32 27.62%:  These are questions that are best not
     33 27.39%:  These questions have
     34 45.34%:  These questions have been
     35 26.95%:  These questions are not even worth
     36 26.08%:  These questions have answers
     37 61.86%:  These questions have answers that
     38 24.38%:  These are questions that aren
     39 23.23%:  These are questions that are both
     40 22.72%:  These questions are not meant
     41 56.92%:  These questions are not meant to be rhet
     42 22.45%:  These are questions we have
     43 657.33%:  These are questions we have to answer
     44 91.86%:  These are questions we have to answer on
     45 51.35%:  These are questions we have to answer to
     46 30.71%:  These are questions we have to answer!!
     47 21.65%:  These questions are so
     48 20.46%:  These are questions that bother
     49 18.87%:  These are questions that are not even
     50 18.58%:  These questions are too
     51 17.80%:  These are questions better than
     52 17.41%:  These are questions that are between
     53 17.33%:  These questions are better
     54 36.10%:  These questions are better than
     55 26.65%:  These questions are better than the
     56 56.29%:  These questions are better than the ones
     57 20.08%:  These questions are better than those
     58 25.34%:  These questions are better than those ones
     59 16.43%:  These questions are not even the
     60 73.91%:  These questions are not even the same!!
     61 22.64%:  These questions are not even the same at
     62 15.70%:  These questions are not that
     63 15.51%:  These are questions that are somehow
     64 16.04%:  These are questions that are somehow even
     65 15.21%:  These questions are not the same answer!!
     66 15.08%:  These are questions that both
     67 14.87%:  These questions aren
     68 14.81%:  These are questions best
     69 13.91%:  These questions are better than these
     70 13.84%:  These are questions we have to answer one
     71 13.56%:  These questions have no
     72 554.49%:  These questions have no answers
     73 565.52%:  These questions have no answers that
     74 316.08%:  These questions have no answers!!
     75 95.24%:  These questions have no answer
     76 72.56%:  These questions have no answer that
     77 54.86%:  These questions have no answer!!
