know what? It's really weird when you say that.
85.34%:  know
163.97%:  know what?
140.27%:  know what they
65.68%:  know what I said
62.35%:  know what I really
121.24%:  know what I really want
77.26%:  know what I really hate
66.30%:  know what I really want?
54.20%:  know what they say?
50.73%:  know what? I don
288.36%:  know what? I don't really
45.85%:  know what they are
42.63%:  know what they'
55.16%:  know what they're really
41.19%:  know what'
89.28%:  know what's really
76.02%:  know what's really weird
48.05%:  know what's weird
44.29%:  know what's really weird? I
43.24%:  know what's really hard
37.25%:  know what they said
32.95%:  think
32.87%:  know what's weird? I
32.79%: '
44.92%: 're not
32.68%:  think they
67.08%:  think they're really
31.91%:  know what you
26.80%:  know what I was
25.95%:  know what this
25.29%:  know what? I really
24.98%:  said
24.20%:  don
191.18%:  don't think
67.55%:  don't think I
63.10%:  don't know
162.35%:  don't know what
117.03%:  don't know what they
65.01%:  don't know what they are?
45.12%:  don't know what a
43.15%:  don't know what these
39.21%:  don't want
33.94%:  don't know why
36.58%:  don't know why they
31.48%:  don't want to hear
23.30%:  know what's really hard to
22.99%:  said that
22.90%:  know what I said there
21.73%:  don't think these
21.15%:  know what? I really don
21.02%:  heard
20.60%:  know what they say when
20.56%:  know what's worse
20.42%:  know what these
19.71%:  know what I'd
67.28%:  know what I'd really
19.51%:  know what I really need
19.29%:  were
19.24%:  know what I really want to hear
18.92%:  know what's really weird? It
18.71%:  know what they said?
18.42%:  know you
17.80%: 're not really
17.69%:  know what I hate
17.51%:  know what they say in
16.90%:  know what they say.
15.68%:  think you
14.79%:  know what? It
17.99%:  know what? It's really
32.57%:  know what? It's really hard
16.60%:  know what? It's not
14.63%:  wrote
15.33%:  wrote that
14.56%:  know what's worse than a
14.40%:  don't really
14.00%:  know what's weird? I really
14.89%:  know what's weird? I really want
13.98%:  know what's hard
13.87%:  don't know what this
13.86%:  know what you said
13.83%:  know what the
27.65%:  know what the worst
13.78%:  know what you'
13.65%:  know what? I don't really see
51.42%:  know what? I don't really see what
21.90%:  know what? I don't really see why
13.65%: 're the
13.12%:  know what I really don
12.85%:  know what I want
12.43%:  know what I really wish
12.36%:  know what? It's really not
12.29%:  know what's weird? It
12.17%:  know what? I really need
12.03%:  don't think you
11.99%:  think that
11.84%:  don't really think you
11.72%:  said that really
11.61%:  know I
11.54%:  don't know what the
11.49%:  know what? It's not really
11.45%:  don't know where
11.33%:  think that's really
11.32%:  don't know why these
11.12%:  don't know why I
10.92%:  don't really think they
10.91%:  know the
10.89%:  know what's the
10.87%:  know what I'd really hate
10.67%:  don't think those
16.40%:  don't think those are really
10.27%:  really
21.01%:  really think
15.98%:  really think they
14.35%:  really think that
11.36%:  really think that was
10.14%:  know that
12.17%:  know that's what
10.09%:  know what? I don't really see why this
10.03%:  know what's the worst? I
10.02%:  know what's really weird? I was
10.02%:  know what? I really want
9.95%:  don't know?
9.91%:  know what they're?
9.71%:  wrote this
9.52%:  wrote that?
9.40%:  know you're really
9.32%:  know what's really weird? It was
9.25%:  know what? It turns
9.19%: 're really
9.17%:  know these
9.06%:  don't think the
9.06%:  know what's worse than the
9.00%:  think that was
8.98%:  think you're really
8.87%:  don't think there
8.86%:  said that?
8.84%:  don't think your
8.75%:  know what I really want to say
8.53%:  don't really think your
8.36%:  know what I was really
8.26%:  know this
8.22%:  think these
8.01%:  know what? It's really easy
7.89%:  don't really want
8.45%:  don't really want to hear
7.86%:  don't know the
7.85%:  know what that
7.80%:  don't really think I was
7.72%:  know what I'd really hate to
7.61%:  know what you're really
7.52%:  know what they say in the
7.40%:  don't want your
7.39%:  know how
7.31%:  really think you
8.71%:  really think you're that
7.24%:  really think that's a
7.23%:  really think these
7.19%:  know what? I really wish
7.18%:  don't know these
7.14%:  know what? It's really weird
