in recognition is fun! We all should do it right now!
14.63%:  is
12.86%: !
11.24%:  is the
7.89%:  through
6.96%:  in
5.69%:  all
5.51%:  in recognition
5.02%:  out
5.81%:  out loud right
4.68%:  things
3.84%:  it
3.71%:  at this
3.68%:  and
3.14%:  at the
2.85%:  is not
2.76%:  in recognition of
2.61%:  until
2.56%:  along
2.44%:  right
2.38%:  at things
2.21%:  at this is
2.09%:  for
2.05%:  in recognition!
1.97%:  at our
1.92%:  on
1.80%:  out loud is
1.74%:  this
4.07%:  this hard is
1.70%:  is all
1.68%:  so
1.63%:  in recognition is
1.59%:  isn
1.48%:  inside
1.40%:  in recognition of the iron
1.33%:  so hard!
1.31%:  at things is
1.28%:  in recognition of our
1.27%:  in recognition of this
1.27%:  is hilar
1.22%:  to
1.21%:  hard
1.15%:  at other
1.14%: ! We
1.11%:  at things is fun
1.10%:  for the
1.00%:  and rolling
0.99%:  in recognition of this shared
0.99%:  in recognition is the
0.93%:  doesn
0.89%:  out loud and
1.70%:  out loud and rolling
0.89%:  is nothing
0.88%:  out loud at
0.85%:  is not illegal
0.84%:  is a
0.84%:  for no
0.83%: ! We all
0.82%:  in recognition of the hilar
0.80%:  out loud in
0.78%:  in recognition of shared
0.76%:  so hard it
0.73%: ! We should
1.57%: ! We should laugh
0.71%:  at others
0.70%:  hilar
0.68%:  through life
0.64%:  in the rain
0.63%:  out loud isn
0.62%:  our
0.62%:  out loud is the
0.61%:  and shouting
0.60%:  or
0.60%:  out loud is right
0.58%:  is still
0.58%:  is the solution
0.56%: ! We laugh
0.55%:  hilarious
0.55%:  instead
0.71%:  instead of rolling
0.55%:  in their
0.55%:  aside
0.54%:  as
0.53%:  hard!
0.52%:  during
0.51%:  on the floor
0.51%:  at old
0.51%:  is not enough
0.50%:  has
0.49%:  gas
0.48%:  out loud for
0.48%:  at us
0.47%:  and telling
0.47%:  is hard
0.47%:  h
0.46%:  and rolling on
0.46%:  in recognition of all
1.41%:  in recognition of all the things
0.45%:  this hard!
0.45%:  and nod
0.45%:  is the first
0.44%:  is so
0.40%:  in laughter
0.40%:  is one
0.42%:  is one thing
0.40%:  alone
