Off panel: Can we talk about what was said earlier
100.00%: 
3.34%:  was
1.75%:  and
0.81%:  has
0.60%:  is
0.52%:  is a
0.47%:  wanted
0.45%:  said
0.38%:  is a statue
0.36%:  paid
0.34%:  was a
0.34%:  has been
0.31%:  had
0.29%:  has a
0.34%:  has a statue
0.25%:  paid a
0.25%:  was able
0.23%:  asked
0.22%:  has a friend
0.21%:  wanted a
0.24%:  wanted a statue of a
0.21%: :
0.20%:  built
0.19%:  wants
0.17%:  said that
0.17%:  paid a statue
0.15%:  drew
0.15%:  had a
0.24%:  had a statue
0.13%:  is a bad
0.12%:  is an
0.17%:  is an awful
0.12%:  is an awful artist
0.12%:  was kinda
0.12%:  is a statue and
0.12%:  found
0.12%:  was a statue
0.11%:  has taken
0.11%:  was a little
0.10%:  wanted a statue where
0.09%:  is an artist
0.09%:  has paid
0.09%:  was able to find
0.16%:  was able to find a statue
0.09%:  was a little off
0.09%:  put
0.09%:  wins
0.09%:  worked
0.09%:  is an artist and
0.08%:  is a real
0.11%:  is a real friend
0.09%:  is a real artist
0.12%:  is a real artist and
0.09%:  is a real statue
0.13%:  is a real statue and
0.08%:  said that if
0.08%:  is a statue of what
0.08%:  has drawn
0.08%:  wasn
0.08%:  wanted a statue of a real
0.08%:  was kind
0.07%:  asked for
0.07%:  said he
0.12%:  said he was
0.07%:  was a bad
0.07%:  drew it for
0.07%:  paid for this
0.09%:  paid for this statue
0.07%:  built a
0.07%:  was a real
0.22%:  was a real friend
0.07%:  paid for that
0.07%:  was here
0.09%:  was here and
0.07%:  was able to find a real
0.07%:  is an awful friend who
0.07%:  is a friend
0.07%:  will
0.07%:  wanted a statue of his
0.07%:  showed
0.07%:  was a little unfair
0.07%:  paid an
0.07%:  was afraid
0.07%:  is the
0.07%:  and his
0.07%:  has drawn a
0.23%:  has drawn a statue
0.07%:  wants his
0.06%:  has paid a
0.10%:  has paid a statue
0.06%:  paid an artist a
0.06%:  draws
0.06%:  was able to pull
0.06%:  was a friend
0.06%:  turned
0.06%:  has asked
0.06%:  has been a
0.07%:  has been a friend
0.06%:  is a statue of what a
0.26%:  is a statue of what a friend
0.14%:  is a statue of what a real
0.06%:  asked for a
0.06%:  said that was
0.06%:  is a better
0.06%:  found a
0.06%:  is a statue of a
0.09%:  is a statue of a friend
0.06%:  spent
0.09%:  spent all
0.06%:  paid for it after
0.05%:  was the
0.05%:  knows
0.15%:  knows what
0.07%:  knows what a
0.06%:  knows what a real
0.05%:  here
0.05%:  has paid for a
0.05%:  is an awful person
0.05%:  is a real artist and he
0.05%:  has taken a
0.05%:  drew it after
0.05%:  paid for the
0.05%:  would
0.05%:  beat
0.05%:  used
0.05%:  used a
0.05%:  is an award
0.05%:  asked if
0.05%:  and his wife
0.05%:  has been a friend for
0.05%:  said it
0.34%:  said it was awful
0.22%:  said it was a
0.08%:  said it was what
0.05%:  built it after
0.05%:  had a point
0.05%:  was an
0.05%:  built this
0.05%:  built it for
0.04%:  was a better
0.04%:  and his wife are
0.04%:  was a little off with
0.04%:  was the winner
0.04%:  was able to find a real artist
0.04%:  paid for a
0.04%:  is an awful artist and
0.04%:  was so
0.04%:  paid an artist real
0.04%:  asked us
0.04%:  based
0.04%:  was able to draw
0.04%:  thinks
0.04%:  has built
0.04%:  has put
0.04%:  was an awful
0.07%:  was an awful friend to
0.04%:  wants a
0.13%:  wants a refund
0.04%:  pain
0.04%:  was the artist
0.04%:  is the statue
0.04%:  has drawn it for
0.04%:  said that was a
0.04%:  also
0.04%:  also wanted
0.04%:  was C
0.04%:  said it was what a
0.04%:  has a point
0.04%:  drew this
0.04%:  found this
0.04%:  has paid for a life
0.04%:  is a far
0.04%:  was able to pull this
0.04%:  has been a friend of
0.04%:  based it off
0.04%:  is a real statue now
0.03%:  was ahead
0.03%:  went
0.08%:  went ahead
0.04%:  went and
0.03%:  wanted his
0.03%:  said it was the
0.03%:  won
0.03%:  was a statue of
0.03%:  is awful
0.03%:  is awful and
0.03%:  saw
0.04%:  saw it and
0.04%:  saw it and was
0.06%:  saw it and was all
0.03%:  spent a
0.03%:  spent a week
0.03%:  was kind of a
0.03%:  has done
0.04%:  has done a
0.04%:  has done a fine
0.03%:  was a little hard
0.03%:  is a bad artist
0.03%:  put a
0.03%:  wanted us
0.03%:  is awful at
0.03%:  wanted it
0.03%:  has turned
0.03%:  wanted a statue of a bear
0.03%:  has failed
0.03%:  was a friend of
0.03%:  is an artist and a
0.03%:  was a real artist
0.03%:  has been a statue
0.03%:  was all
0.03%:  shaped
0.03%:  wants a statue like
0.03%:  put this
0.03%:  drew that
0.03%:  was a real artist and
0.03%:  was able to find an
0.03%:  threw
0.03%:  threw a
0.06%:  threw a statue
0.03%:  was in
0.03%:  based it off a
0.04%:  based it off a real
0.03%:  what
0.06%:  what are
0.03%:  wanted a statue like
0.03%:  has taken it
0.03%:  was a real friend when
0.03%:  said that was awful
0.03%:  was a statue and
0.03%:  was asked
0.03%:  statue
0.03%:  built that
0.03%:  worked with
0.03%:  was a little off base
0.03%:  built it and
0.03%:  was in the park
0.07%:  was in the park and
0.11%:  was in the park and saw
0.03%:  was in the park and saw a
0.03%:  has been a statue all
0.03%:  also said
0.03%:  is a real statue of
0.03%:  here was
0.03%:  paid the
0.03%:  paid the artist
0.03%:  was a little ahead
0.03%:  is a fraud
0.03%:  wanted a statue for
0.06%:  wanted a statue for his lawn
0.04%:  wanted a statue for his park
0.03%:  has used
0.03%:  has an
0.03%:  was the artist and
0.03%:  has been a statue for a
0.03%:  was paid
0.03%:  has put a
0.03%:  wants a refund for
0.03%:  has worked
0.03%:  is a bad statue
0.03%:  had us
0.03%:  was an artist
0.03%:  is a friend of
0.02%:  said he was a
0.02%:  would be
0.02%:  is afraid
0.02%:  has been a real
0.02%:  is a statue now
0.02%:  has drawn a statue for
0.02%:  has said
0.02%:  wins the
0.05%:  wins the award
0.02%:  is an awful friend who talks
0.02%:  was able to draw it after
0.02%:  was awful
0.02%:  is a real artist and a
0.02%:  please
0.02%:  wins the award for best fake
0.02%:  kinda
0.02%:  said it was all
0.02%:  has a friend in
0.02%:  worked with a statue
0.02%:  was like
0.02%:  has a real
0.05%:  has a real statue
0.02%:  was a statue for
0.02%:  was hired
0.02%:  was an awful artist
0.02%:  paid for a real
0.02%:  worked real
0.02%:  pulled
0.02%:  sure
0.03%:  sure was
0.03%:  sure was a
0.02%:  has paid an
0.02%:  wanted a statue of all
0.02%:  is a better friend than a
0.02%:  would like
0.02%:  said it was an
0.05%:  said it was an awful
0.02%:  is afraid that
0.02%:  said that after
0.02%:  draws well
0.02%:  likes
0.02%:  draws a
0.02%:  wants his friend
0.02%:  was afraid to
0.02%:  said we
0.02%:  saw it and he
0.02%:  saw it and he was
0.06%:  saw it and he was all
0.02%:  put that
0.02%:  and the
0.02%:  built this for
0.02%:  paid an artist for
0.02%:  is a friend who
0.02%:  takes
0.02%:  has a real talent
0.02%:  has a life
0.02%: : statue
0.02%:  has been paid
0.02%:  had to
0.02%:  was a better friend to
0.02%:  was a statue all
0.02%:  was a statue for a
0.08%:  was a statue for a while
0.07%:  was a statue for a while and
0.02%:  was an awful friend who
0.02%:  is an awful artist and he
0.02%:  is the real
0.04%:  is the real statue
0.03%:  is the real deal
0.02%:  is the real friend
0.02%:  helped
0.02%:  wants us
0.02%:  paid a real
0.04%:  paid a real statue
0.02%:  found it at
0.04%:  found it at a fle
0.03%:  found it at a park
0.02%:  has beaten
0.02%:  was a little afraid
0.02%:  told
0.02%:  drew a
0.05%:  drew a statue
0.02%:  found it in
0.06%:  found it in a park
0.03%:  found it in a trash
0.02%:  has a better
0.05%:  has a better idea
0.03%:  has a better idea for
0.02%:  used his
0.02%:  is the statue and
0.02%:  said it was what a real
0.02%:  and all
0.02%:  has a friend at
0.02%:  wanted a real
0.02%:  paid to
0.02%:  is a fan
0.02%:  is a fan of real
0.02%:  found a real
0.04%:  found a real artist
0.02%:  warned
0.02%: : what
0.02%:  for
0.02%:  worked all
0.02%:  doesn
0.02%:  asked a
0.02%:  spent all his
0.02%:  is the real statue and
0.02%:  said it wasn
0.02%:  has drawn a statue of a
0.02%:  spent hours
0.02%:  has a new
0.02%:  sure knows
0.04%:  sure knows what
0.02%:  is an awful artist and a
0.02%:  pulled it off
0.02%:  has it
0.02%:  said if
0.02%:  paid a few
0.02%:  based his
