now I'm certain of it. I am speaking of the ninja teen.
      0 100.00%: 
      1 87.82%:  that
      2 92.49%:  that's not
      3 88.21%:  that was
      4 54.30%:  there
      5 44.57%:  I think
      6 37.53%:  that makes
      7 32.36%:  I'm not
      8 29.35%:  there it
      9 34.02%:  there it is again
     10 26.83%:  there's no point
     11 61.50%:  there's no point in mention
     12 24.83%:  there it goes
     13 23.54%:  I'm not certain
     14 47.77%:  I'm not certain that
     15 22.07%:  that's not a
     16 21.64%:  that's it
     17 21.37%:  that's a
     18 57.69%:  that's a conf
     19 21.21%:  that means
     20 20.20%:  there's no point in making
     21 19.90%:  I think I'm gonna
     22 35.47%:  I think I'm gonna paint
     23 25.21%:  I think I'm gonna paint some
     24 17.06%:  now
     25 16.63%:  I know
     26 28.28%:  I know that
     27 16.30%:  the
     28 16.18%:  I was
     29 15.82%:  there's no taking
     30 15.33%:  that is
     31 15.24%:  that makes me want
     32 18.08%:  that makes me want to go
     33 14.62%:  I think I'm gonna paint it
     34 14.24%:  I'm not ash
     35 14.13%:  there's no point in knowing
     36 13.89%:  that was a
     37 29.34%:  that was a conf
     38 13.52%:  now that
     39 13.29%:  that conf
     40 13.08%:  I think I'm gonna paint more
     41 12.98%:  I think it
     42 56.35%:  I think it's time
     43 185.11%:  I think it's time for me to face
     44 56.06%:  I think it's time to
     45 53.48%:  I think it's time for a
     46 67.12%:  I think it's time for a new
     47 42.07%:  I think it's time to go
     48 40.45%:  I think it's time for me to join
     49 39.56%:  I think it's time for a nap now
     50 31.13%:  I think it was
     51 28.23%:  I think it's time for a paint
     52 27.90%:  I think it's time for me to go nap
     53 27.64%:  I think it's time for me to go in
     54 26.85%:  I think it's time for me to open
     55 25.00%:  I think it's time I
     56 27.33%:  I think it's time I went
     57 21.80%:  I think it's time for a nap.
     58 18.11%:  I think it's time for me to join a new
     59 17.38%:  I think it's time for me to go.
     60 15.33%:  I think it's time to come
     61 14.75%:  I think it's time for a nap now.
     62 13.01%:  I think it's time for me to conf
     63 12.97%:  I'm not certain what
     64 12.84%:  I'm not certain that makes
     65 12.72%:  now I'm certain
     66 15.70%:  now I'm certain that
     67 12.57%:  I forgot
     68 11.95%:  I think I'm gonna stop
     69 13.16%:  I think I'm gonna stop now
     70 11.92%:  there's no point to
     71 11.76%:  that makes two
     72 23.12%:  that makes two conf
     73 11.26%:  that's not coming
     74 22.42%:  that's not coming from
     75 11.24%:  I think it's time to wrap
     76 10.99%:  that means I'm not
     77 10.71%:  I'm not certain that was
     78 10.69%:  it
     79 12.30%:  it was on
