should've bet that, in ten years, he'd win the bet.
100.00%: 
17.02%:  should
59.13%:  should have bet the
15.36%: '
14.34%:  should'
31020.86%:  should've bet that in ten years we
65054.00%:  should've bet that in ten years we'd be
22645.05%:  should've bet that in ten years, we
35289.72%:  should've bet that in ten years, we'd be
20489.60%:  should've bet that in ten years, the
10484.04%:  should've bet that in ten years the
2469.64%:  should've bet that in ten years he
1656.37%:  should've bet that in ten years, when
1653.49%:  should've bet that in ten years we'd be in
1619.09%:  should've bet that in ten years we'd be in the
1204.76%:  should've bet that in ten years, we'd be in
1207.96%:  should've bet that in ten years, we'd be in the
1020.81%:  should've bet that in ten years, he
1018.72%:  should've bet that in ten years he'd be the
864.08%:  should've bet that in ten years we'd be the
733.87%:  should've bet that in ten years, we'd be the
570.00%:  should've bet that in ten years, he'd be the
546.96%:  should've bet that in ten years, when the
453.55%:  should've bet that in ten years we'd be,
415.46%:  should've bet that in ten years, the new
358.28%:  should've bet that in ten years, the din
355.75%:  should've bet that in ten years, it
351.86%:  should've bet that in ten years we'd be n
331.23%:  should've bet that in ten years, it'd
261.74%:  should've bet that the
260.89%:  should've bet that in ten years he'd bet
214.37%:  should've bet that in ten years'
211.69%:  should've bet that in ten years he'd be in
187.25%:  should've bet that in ten years it
276.90%:  should've bet that in ten years it'd
186.46%:  should've bet that in ten years when
171.96%:  should've bet that in ten years the new
170.71%:  should've bet that in ten years we'd been
157.41%:  should've bet that in ten years we'd be h
157.25%:  should've bet that in ten years the din
149.72%:  should've bet that in ten years, din
147.13%:  should've bet that in ten years, we'd be n
144.53%:  should've bet that in 
131.34%:  should've bet that in ten years, we'd be,
126.02%:  should've bet that in ten years we'd be t
123.93%:  should've bet that in ten years we'd,
122.73%:  should've bet that in ten years he'd be,
121.11%:  should've bet the
121.08%:  should've bet that in ten years, white
117.70%:  should've bet that in ten years he'd win
389.84%:  should've bet that in ten years he'd win the bet
220.70%:  should've bet that in ten years he'd win the bet,
113.09%:  should've bet that we
176.91%:  should've bet that we'd be
110.99%:  should've bet that in ten years, we'd been
104.58%:  should've bet that in ten years, the web
100.69%:  should've bet that in ten years we'd be hit
94.98%:  should've bet that in ten years, he'd be in
93.74%:  should've bet that in ten years the web
83.43%:  should've bet that in ten years, d
82.88%:  should've bet that in ten years he'd be in the
82.50%:  should've bet that in ten years we'd bet
80.40%:  should've bet that in ten years, he'd bet
79.93%:  should've bet that in ten years, we'd be h
76.00%:  should've bet that in ten years, we'd be t
74.82%:  should've bet that in ten years he'd be t
74.43%:  should've bet that in ten years, 
74.15%:  should've bet that in ten years, '
73.64%:  should've bet that in ten years, we'd be hit
60.29%:  should've bet that in ten years, with
59.59%:  should've bet that in ten years he'd be with
58.57%:  should've bet that in ten years, the end
57.20%:  should've bet that in ten years, when he
55.54%:  should've bet that in ten years, when it
55.12%:  should've bet that in ten years white
53.68%:  should've bet that in ten years, h
53.42%:  should've bet that in ten years we'd be 
50.86%:  should've bet that in the
49.32%:  should've bet that in ten years, new
49.10%:  should've bet that in ten years, we'd,
47.23%:  should've bet that in ten years, he'd win
135.14%:  should've bet that in ten years, he'd win the
88.39%:  should've bet that in ten years, he'd win the bet,
47.02%:  should've bet that in ten years he'd be n
46.90%:  should've bet that in ten years, we'd bet
46.41%:  should've bet that in ten years, the d
46.16%:  should've bet that in ten years, the '
45.57%:  should've bet that in ten years, he'd be in the
43.75%:  should've bet that in ten years, when he'
43.17%:  should've bet that in ten years, the 
41.54%:  should've bet that in ten years d
41.09%:  should've bet that in ten years din
40.76%:  should've bet that in ten years we'd be en
39.88%:  should've bet that in ten years the '
39.81%:  should've bet that in ten years we'd hit
39.41%:  should've bet that in ten years, wed
38.97%:  should've bet that in ten years, b
37.33%:  should've bet that in ten years we'd b
36.63%:  should've bet that in ten years we'd be he
36.50%:  should've bet that in ten years he'd bet he
36.29%:  should've bet that in ten years, we'd be 
34.42%:  should've bet that in ten years '
34.07%:  should've bet that in ten years, he'd be t
33.49%:  should've bet that in ten years when the
33.40%:  should've bet that in ten years, the i
33.12%:  should've bet that in ten years wed
31.81%:  should've bet that in ten years he'd be w
31.48%:  should've bet that in ten years, the wind
30.58%:  should've bet he
29.90%:  should've bet that he
38.64%:  should've bet that he'd be
28.25%:  should've bet he'd be
27.95%:  should've bet that in ten years, wh
27.65%:  should've bet that in ten years, the h
26.75%:  should've bet that in ten years he'd be hit
26.50%:  should've bet that in ten years, we'd be en
26.49%:  should've bet that in ten years, he'd be,
26.40%:  should've bet that in ten years, in
35.49%:  should've bet that in ten years, in the
26.29%:  should've bet that in ten years, we'd hit
25.55%:  should've bet that in ten years, the w
25.54%:  should've bet that in ten years i
55.55%:  should've bet that in ten years i'd be the
25.41%:  should've bet that in ten years he'd been
25.00%:  should've bet that in ten years, be
23.81%:  should've bet that in ten years he'd bet we
23.45%:  should've bet we
31.80%:  should've bet we'd be
23.42%:  should've bet that in ten years, e
23.29%:  should've bet that in ten years, he'd be with
22.72%:  should've bet that in ten years new
22.57%:  should've bet that he'd win
26.80%:  should've bet that he'd win the
69.02%:  should've bet that he'd win the bet,
22.33%:  should've bet that in ten years, w
21.73%:  should've bet that in ten years he'd be 
21.21%:  should've bet that in ten years we'd be th
20.79%:  should've bet that when
20.68%:  should've bet that in ten years, teen
20.29%:  should've bet that in ten years the 
19.89%:  should've bet that in ten years the i
19.88%:  should've been
19.46%:  should've bet that in ten years, he'd win the bet.
19.37%:  should've bet that in ten years the d
19.24%:  should've bet that in ten years, the b
18.96%:  should've bet that in ten years he'd win the bet.
18.61%:  should've bet that in ten years, we'd be he
18.59%:  should've bet that in ten years the wind
18.27%:  should've bet that in ten years we be
18.11%:  should've bet that in ten years web
18.03%:  should've bet that in ten years b
17.82%:  should've bet that in ten years we,
17.62%:  should've bet that in ten years, web
17.48%:  should've bet that in ten years, we'd b
17.42%:  should've bet that in ten years, we'd be ten
17.38%:  should've bet that in ten years we'd be in the 
17.33%:  should've bet that in ten years, the be
17.25%:  should've bet that in ten years be
17.18%:  should've bet that in ten years, we,
21.73%:  should've bet that in ten years, we, the
16.86%:  should've bet that in ten years, the e
16.85%:  should've bet that in ten years we, the
16.72%:  should've bet that in ten years 
16.28%:  should've bet that in ten years, he'd been
16.26%:  should've bet that in ten years we'd be ten
15.97%:  should've bet that,
3723.06%:  should've bet that, in ten years, we
5240.94%:  should've bet that, in ten years, we'd be
2782.91%:  should've bet that, in ten years, the
171.28%:  should've bet that, in ten years, when
169.79%:  should've bet that, in ten years, we'd be in
184.04%:  should've bet that, in ten years, we'd be in the
153.02%:  should've bet that, in ten years, he
118.87%:  should've bet that, in ten years, we'd be the
98.38%:  should've bet that, in ten years, he'd be the
66.78%:  should've bet that, in ten years, it
64.89%:  should've bet that, in ten years, the din
59.14%:  should've bet that, in ten years, the new
56.21%:  should've bet that, in ten years, it'd
47.43%:  should've bet that, in ten years, when the
30.05%:  should've bet that, in ten years'
27.18%:  should've bet that, in ten years we
36.51%:  should've bet that, in ten years we'd be
25.52%:  should've bet that, in ten years the
21.63%:  should've bet that, in ten years, we'd be n
19.82%:  should've bet that, in ten years, we'd been
16.64%:  should've bet that, in ten years, white
15.92%:  should've bet that in ten years he'd,
15.76%:  should've bet that in ten years, i
15.71%:  should've bet that ten
99.63%:  should've bet that ten years in
15.67%:  should've bet that in ten years, he'd be n
15.44%:  should've bet that when the
15.43%:  should've bet that in ten years the w
15.32%:  should've bet that, in ten years, din
15.15%:  should've bet with
14.83%:  should've bet that in ten years, then
14.65%:  should've bet that in ten years we'd then
14.29%:  should've bet that in ten years we'd h
14.03%:  should've bet that in ten years, diet
13.86%:  should've bet that in ten years, we, the din
13.71%:  should've bet that in ten years he'd be he
13.45%:  should've bet that, in ten years, the web
13.22%:  should've bet that, in ten years, he'd be in
13.20%:  should've bet that in ten years we'd be ent
13.16%: 've
14.00%: 've been
13.00%:  should've bet that in ten years, we'd then
12.94%:  should've bet that in ten years he'd hit
12.88%:  should've bet that in ten years the e
12.58%:  should've bet that we'd be in
12.55%:  should've bet that in ten years, he'd be hit
12.50%:  should've bet that in ten years he'd be h
12.37%:  should've bet that in ten years, the deb
12.36%:  should've bet he'd win
17.94%:  should've bet he'd win the
24.46%:  should've bet he'd win the bet,
16.18%:  should've bet he'd win the bet, then
12.35%:  should've bet that in ten years, he'd be w
12.31%:  should've bet that, in ten years, he'd bet
12.26%:  should've bet that in ten years the end
12.11%:  should've bet that in ten years h
12.10%:  should've bet that in ten years, we'd be in the 
11.97%:  should've bet that in ten years, di
11.82%:  should've bet that in ten years, we'd be th
11.75%:  should've bet that in ten years, hed
11.62%:  should've bet that in ten years, i'd be the
11.60%:  should've bet that, in ten years, we'd be h
11.49%:  bet
11.34%:  should've bet that in ten years hed
11.24%:  should've bet that in ten years, the wh
11.13%:  should've bet that in ten years, we'd be ent
11.04%:  should've bet that, in ten years, we'd be t
11.02%:  should've bet that in ten years, we'd then be
10.98%:  should've bet that in ten years he'd bite
10.97%:  should've bet that in ten years we'd then be
10.91%:  should've bet that the din
10.88%:  should've bet that in ten years, we be
10.88%:  should've bet that in ten years, t
10.87%:  should've bet that in ten years, we the
10.84%:  should've bet that in ten years, he'd bet he
