looking forward to being an old guy over here!
1.16%:  not
0.97%:  the
0.88%:  going
0.63%:  looking
576.75%:  looking forward to being an old
614.21%:  looking forward to being an old guy
380.23%:  looking forward to being one
284.40%:  looking forward to being old
1055.20%:  looking forward to being old enough
134.69%:  looking forward to being old!
89.74%:  looking forward to being an older
72.45%:  looking forward to being one!
57.00%:  looking forward to being an older guy
49.18%:  looking forward to being elder
41.72%:  looking forward to being older
26.62%:  looking forward to being a
19.45%:  looking forward to being 
18.73%:  looking forward to being older!
17.70%:  looking forward to doing
17.32%:  looking forward to being old one
16.09%:  looking forward to being around
14.96%:  looking forward to being an old!
12.94%:  looking forward to aging
12.75%:  looking forward to having
11.51%:  looking forward to being an el
9.41%:  looking forward to being one day
9.40%:  looking forward to being an old g
9.03%:  looking forward to going
8.90%:  looking forward to being over
8.73%:  looking forward to being an old gr
8.21%:  looking forward to being an elder!
8.07%:  looking forward to being old enough!
6.57%:  looking forward to having elder
6.20%:  looking forward to old
13.63%:  looking forward to old age!
5.56%:  looking forward to being an old guy here
5.53%:  looking forward to dying
5.14%:  looking forward to being an old guy over
