my understanding he died an infinitely rich man infinity years later
100.00%: 
64.07%:  called
302.27%:  called the infinite
24.00%:  definitely
21.35%:  called infinite
15.26%:  nice
14.81%:  really
9.94%:  still
9.93%:  nice that
13.99%:  nice that infinite
9.39%:  a
8.92%:  definitely the
7.56%:  a nice
7.02%:  definitely a
6.95%:  really nice
6.52%:  a nice little
6.23%:  infinite
5.58%:  still infinite
4.63%:  definitely a mathematical
4.51%:  the
36.46%:  the infinite
4.48%:  really nice that
17.56%:  really nice that infinite
4.47%:  a really
9.55%:  a really nice
26.06%:  a really nice infinite
4.08%:  all
3.48%:  entirely
3.30%:  certainly
3.24%:  a little
4.14%:  a little different
3.10%:  nice that he
3.07%:  nice that he didn
2.98%:  definitely mathematical
2.91%:  a little different in
2.86%:  time
2.77%:  a miracle
3.08%:  a miracle infinite
2.46%:  a mathematical
2.44%:  really hard
2.39%:  a nice little infinite
2.37%:  called the infinite infinite
2.34%:  definitely infinite
2.27%:  really the
18.74%:  really the infinite
2.29%:  really the infinite case
2.20%:  a shame
2.16%:  definitely an
2.16%:  infinite math
2.11%:  definitely a nice
1.96%:  called the infinite di
1.92%:  the infinite math
1.92%:  an
32.59%:  an infinite infinite
22.31%:  an infinite mathematical
3.85%:  an infinite mystery
2.88%:  an infinite miracle
2.64%:  an infinite math
2.11%:  an infinite scale
1.91%:  definitely time
1.89%:  a different
1.86%:  a really efficient
1.73%:  mathematical
1.71%:  a nice reminder
114.43%:  a nice reminder that infinite
15.69%:  a nice reminder that infinite is
6.33%:  a nice reminder that infinite means
5.56%:  a nice reminder that infinite isn
4.86%:  a nice reminder that infinite means inf
4.73%:  a nice reminder that infinite understanding
3.69%:  a nice reminder that in
67.11%:  a nice reminder that infinity isn
42.91%:  a nice reminder that infinity is a
22.94%:  a nice reminder that infinity is a hell
14.85%:  a nice reminder that infinity is all
10.47%:  a nice reminder that infinity has
9.73%:  a nice reminder that infinity is an
9.51%:  a nice reminder that infinity means
8.79%:  a nice reminder that infinity is inf
7.88%:  a nice reminder that infinity and
7.36%:  a nice reminder that infinity is an understanding
6.51%:  a nice reminder that infinity is a handy
5.15%:  a nice reminder that infinity is understanding
4.02%:  a nice reminder that infinity min
3.66%:  a nice reminder that infinity ain
3.59%:  a nice reminder that infinity is in
3.48%:  a nice reminder that if
3.16%:  a nice reminder that infinity is hell
2.96%:  a nice reminder that infinite and
3.59%:  a nice reminder that infinite and inf
2.85%:  a nice reminder that infinity has many
2.85%:  a nice reminder that infinity is a mind
2.44%:  a nice reminder that infinite understanding is
2.40%:  a nice reminder that if infinite
2.39%:  a nice reminder that infinity means inf
