IS EXACTLY WHY I KEEP MAKING IT SO YOU NEVER GET A PRINTING PRESS
100.00%: 
182.74%:  IS WHY
156.23%:  IS WHAT YOU
104.58%:  IS WHAT YOU GET
87.06%:  IS WHY YOU
55.43%:  IS WHY YOU CAN
51.79%:  IS THE
50.31%:  IS WHAT YOU ARE
48.21%:  IS WHERE
42.63%:  IS EX
1632.44%:  IS EXACTLY WHAT
517.43%:  IS EXACTLY WHAT I SA
413.96%:  IS EXACTLY WHY YOU
303.62%:  IS EXACTLY WHAT YOU
221.05%:  IS EXACTLY HO
197.41%:  IS EXACTLY WHY I NE
325.14%:  IS EXACTLY WHY I NEVER USE
199.56%:  IS EXACTLY WHY I NEVER T
179.52%:  IS EXACTLY WHAT I ME
150.81%:  IS EXACTLY THE
347.48%:  IS EXACTLY THE REASON YOU
297.73%:  IS EXACTLY THE REASON I NE
456.23%:  IS EXACTLY THE REASON I NEVER USE
329.29%:  IS EXACTLY THE REASON I NEVER T
280.52%:  IS EXACTLY THE REASON I W
248.43%:  IS EXACTLY THE REASON I NEVER W
672.55%:  IS EXACTLY THE REASON I NEVER WANT TO
422.05%:  IS EXACTLY THE REASON I NEVER WANT YOU
240.49%:  IS EXACTLY THE REASON WE
235.46%:  IS EXACTLY THE REASON I NEVER S
223.04%:  IS EXACTLY THE REASON I WANT
205.67%:  IS EXACTLY THE REASON I NEVER IN
199.66%:  IS EXACTLY THE REASON I WENT
198.73%:  IS EXACTLY THE REASON I NEVER G
179.07%:  IS EXACTLY THE REASON I WRO
175.37%:  IS EXACTLY THE REASON YOU ARE
174.57%:  IS EXACTLY THE REASON NO
173.92%:  IS EXACTLY THE REASON I NEVER GOT IN
150.20%:  IS EXACTLY THE PRO
149.80%:  IS EXACTLY WHY I NEVER S
145.03%:  IS EXACTLY WHY YOU ARE
144.43%:  IS EXACTLY THE REASON I MA
142.67%:  IS EXACTLY THE REASON I WROTE IT
138.38%:  IS EXACTLY WHY PE
125.93%:  IS EXACTLY THE REASON I NEVER SPE
315.28%:  IS EXACTLY THE REASON I NEVER SPEAK IN
195.23%:  IS EXACTLY THE REASON I NEVER SPEAK TO
119.35%:  IS EXACTLY THE REASON YOU S
117.40%:  IS EXACTLY THE REASON I USE
115.47%:  IS EXACTLY WHAT I T
114.25%:  IS EXACTLY THE REASON I NEVER WENT
113.51%:  IS EXACTLY WHY YOU NE
157.55%:  IS EXACTLY WHY YOU NEVER
184.95%:  IS EXACTLY WHY YOU NEVER GET
113.33%:  IS EXACTLY THE REASON I NEVER MA
110.40%:  IS EXACTLY WHY I NEVER G
109.37%:  IS EXACTLY WHAT I S
109.30%:  IS EXACTLY THE REASON I WANT YOU
106.56%:  IS EXACTLY THE REASON PE
105.96%:  IS EXACTLY WHY I NEVER IN
104.18%:  IS EXACTLY THE REASON I NEVER GOT ANY
103.11%:  IS EXACTLY WHAT I MEANT TO
102.71%:  IS EXACTLY THE REASON I NEVER GET
102.67%:  IS EXACTLY THE REASON I NEVER TR
386.79%:  IS EXACTLY THE REASON I NEVER TRUST ANY
98.75%:  IS EXACTLY HOW IT
97.99%:  IS EXACTLY THE REASON I NEVER AN
248.99%:  IS EXACTLY THE REASON I NEVER ANSWER YOU
127.05%:  IS EXACTLY THE REASON I NEVER ANSWER PE
107.50%:  IS EXACTLY THE REASON I NEVER ANSWER MY
97.59%:  IS EXACTLY WHY I NEVER GOT IN
95.46%:  IS EXACTLY WHAT I SAY E
2927.65%:  IS EXACTLY WHAT I SAY EVERY TIME
1909.38%:  IS EXACTLY WHAT I SAY EVERY TIME SO
603.89%:  IS EXACTLY WHAT I SAY EVERY TIME I SPE
501.48%:  IS EXACTLY WHAT I SAY EVERY TIME I T
357.67%:  IS EXACTLY WHAT I SAY EVERY TIME I GET
309.90%:  IS EXACTLY WHAT I SAY EVERY TIME I RE
268.52%:  IS EXACTLY WHAT I SAY EVERY M
983.58%:  IS EXACTLY WHAT I SAY EVERY MORNING IN
880.28%:  IS EXACTLY WHAT I SAY EVERY MORNING TO
266.25%:  IS EXACTLY WHAT I SAY EVERY MORNING TO GET
254.59%:  IS EXACTLY WHAT I SAY EVERY S
296.47%:  IS EXACTLY WHAT I SAY EVERY SING
236.36%:  IS EXACTLY WHAT I SAY EVERY TIME I S
227.63%:  IS EXACTLY WHAT I SAY EVERY MORNING INST
227.12%:  IS EXACTLY WHAT I SAY EVERY TIME I PO
208.78%:  IS EXACTLY WHAT I SAY EVERY TIME I POINT
201.63%:  IS EXACTLY WHAT I SAY EVERY MORNING ON
191.96%:  IS EXACTLY WHAT I SAY EVERY TIME I OP
246.94%:  IS EXACTLY WHAT I SAY EVERY TIME I OPEN UP
174.29%:  IS EXACTLY WHAT I SAY EVERY TIME I PR
159.21%:  IS EXACTLY WHAT I SAY EVERY TIME I POST ON
147.48%:  IS EXACTLY WHAT I SAY EVERY TIME I POOP
129.69%:  IS EXACTLY WHAT I SAY EVERY TIME I P
129.33%:  IS EXACTLY WHAT I SAY EVERY TIME I GO
122.34%:  IS EXACTLY WHAT I SAY EVERY MORNING SO
116.67%:  IS EXACTLY WHAT I SAY EVERY TIME I PUN
106.29%:  IS EXACTLY WHAT I SAY EVERY TIME PE
95.29%:  IS EXACTLY THE REASON I NEVER WANT YOU IN
93.09%:  IS EXACTLY WHAT I SAY EVERY TIME I ST
93.02%:  IS EXACTLY THE REASON I ST
90.16%:  IS EXACTLY THE REASON I NEVER WORK
88.93%:  IS EXACTLY THE REASON I NEVER INT
