wait suddenly I see your point
      0 100.00%: 
      1 7.68%:  no
      2 14.02%:  no I
      3 10.26%:  no I don
      4 8.90%:  no I was
      5 8.82%:  no I lied
      6 8.71%:  no wait
      7 11.07%:  no wait I
      8 8.21%:  no I need
      9 14.20%:  no I need to
     10 11.75%:  no I need to lie
     11 9.09%:  no I need to sit
     12 8.42%:  no I need a
     13 8.20%:  no wait I don
     14 7.82%:  no wait I need
     15 11.94%:  no wait I need to
     16 8.62%:  no wait I need to re
     17 7.70%:  no wait I need to lie
     18 7.66%:  no I need to say
     19 8.17%:  no I need to say it
     20 7.54%:  no I need to write
     21 7.58%:  no I need to write a
     22 7.45%:  no I need to eat
     23 7.36%:  no I need to lay
     24 7.14%:  no I lied we
     25 7.14%:  no I didn
     26 7.06%:  no I lied it
     27 8.69%:  no I lied it was
     28 6.98%:  no I need to rest
     29 6.95%:  no wait I need you
     30 6.84%:  nope
     31 9.67%:  nope I
     32 8.16%:  nope I lied
     33 8.07%:  nope I don
     34 7.41%:  nope I lied we
     35 7.37%:  nope I was
     36 6.81%:  no I need you
     37 6.80%:  no I need to re
     38 6.79%:  no I lied we are
     39 8.43%:  no I lied we are not
     40 6.77%:  no I need to step
     41 6.76%:  nope I need
     42 10.59%:  nope I need to
     43 8.18%:  nope I need a
     44 7.25%:  nope I need to sit
     45 6.61%:  nope I lied it
     46 7.73%:  nope I lied it was
     47 6.49%:  no I need to put
     48 6.35%:  nope I need to say
     49 6.90%:  nope I need to say it
     50 6.31%:  no wait I need to res
     51 6.22%:  no wait I lied
     52 6.13%:  no I need to rest up
     53 6.67%:  no I need to rest up a
     54 6.12%:  nope I need to lay
     55 6.07%:  no I lied you
     56 6.19%:  no I lied you are
     57 6.25%:  no I lied you are stupid
     58 6.07%:  no wait I need to use
     59 6.03%:  nope I lied you
     60 6.01%:  nope I lied you are
     61 6.00%:  no I need to rest a
     62 5.97%:  no I lied to
     63 5.87%:  no I was not
     64 5.78%:  nope I lied now
     65 6.22%:  nope I lied now it
     66 5.71%:  nope now
     67 10.50%:  nope now I
     68 5.87%:  nope now it
     69 5.68%:  no wait I didn
     70 5.67%:  nope I lied to
     71 5.63%:  no wait I need to r
     72 5.61%:  no wait I lied to
     73 5.59%:  no I lied you were
     74 5.55%:  no I need to wrap
     75 5.54%:  no I need a lie
     76 5.54%:  nope I didn
     77 5.49%:  nope I was not
     78 5.47%:  no I need to pause
     79 5.47%:  no I need to put a
     80 6.39%:  no I need to put a lid
     81 5.45%:  no I lied you were a
     82 5.43%:  no wait I need to red
     83 5.41%:  no I need to write up
     84 7.03%:  no I need to write up a
     85 5.35%:  nope I lied wait
     86 5.31%:  no I need to say it is
     87 5.31%:  no I lied it sounds
     88 5.60%:  no I lied it sounds way
     89 5.30%:  no I want
     90 9.60%:  no I want to
     91 6.79%:  no I want to see
     92 6.29%:  no I want to die
     93 6.02%:  no I want to re
     94 5.29%:  no I lied it was super
     95 5.29%:  no I was only
     96 5.28%:  I
     97 5.26%:  no I did
     98 9.57%:  no I did not
     99 8.64%:  no I did not say
    100 7.93%:  no I did not say it
    101 6.13%:  no I did it
    102 7.85%:  no I did it on
    103 6.11%:  no I did not write
    104 5.30%:  no I did not write a
    105 5.23%:  nope I lied it turns
    106 5.20%:  no I lied it wasn
    107 5.18%:  no I did not wait
    108 5.16%:  nope I need you
    109 5.15%:  no I want you
    110 5.11%:  no I lied it was so
    111 5.11%:  no I need to rest up a l
    112 5.11%:  no I need to wrap it
    113 5.11%:  no wait let
    114 5.09%:  nope I lied it wasn
    115 5.07%:  nope I said
    116 7.83%:  nope I said it
    117 6.46%:  nope I said it out
    118 6.20%:  nope I said it now
    119 6.09%:  nope I said it now let
    120 5.10%:  nope I said it let
    121 5.09%:  nope I said it on
    122 5.08%:  nope I said it now let us
    123 5.07%:  no I lied wait
    124 5.06%:  no I lied now
    125 5.57%:  no I lied now it
    126 5.05%:  nope now I see
    127 5.52%:  nope now I see it
    128 5.05%:  no I was only pret
    129 5.02%:  nope I lied today
    130 7.82%:  nope I lied today is
    131 5.24%:  nope I lied today is 
    132 5.01%:  no I did not see
    133 5.01%:  no I lied we are no
    134 5.00%:  nope I need to r
    135 4.97%:  no I need to write 
    136 4.95%:  nope I lied it sounds
    137 5.43%:  nope I lied it sounds way
    138 4.93%:  nope it
    139 6.38%:  nope it turns
    140 4.89%:  no I did not say we
    141 4.89%:  nope I was only
    142 4.88%:  nope I need to stay
    143 4.88%:  no wait I see
    144 6.02%:  no wait I see your
    145 4.85%:  no I lied it doesn
    146 4.85%:  nope I lied it doesn
    147 4.84%:  nope we
    148 4.84%:  no I said
    149 7.62%:  no I said it
    150 6.41%:  no I said it out
    151 4.82%:  nope I said it to
    152 4.81%:  nope I said it so
    153 4.81%:  no I lied it was 
    154 4.79%:  no I need to eat 
    155 4.78%:  nope I need to say it is
    156 4.78%:  no I said it on
    157 4.77%:  no I lied you were stupid
    158 4.76%:  no I did it now
    159 4.75%:  no wait I lied you
    160 4.75%:  no I said it to
    161 4.73%:  nope I lied no
    162 4.72%:  no I wrote
    163 6.53%:  no I wrote it
    164 5.50%:  no I wrote it in
    165 6.25%:  no I wrote it in a
    166 4.99%:  no I wrote it in p
    167 4.71%:  no I said it now
    168 4.98%:  no I said it now let
    169 4.69%:  nope now i
    170 4.67%:  no wait it
    171 4.66%:  nope I lied it was so
    172 4.65%:  nope I lied it was 
    173 4.64%:  no wait I did
    174 5.34%:  no wait I did not
    175 4.63%:  no I put
    176 6.35%:  no I put it
    177 7.62%:  no I put it in
    178 7.27%:  no I put it on
    179 7.65%:  no I put it on a
    180 7.26%:  no I put it in a
    181 5.88%:  no I put it down
    182 5.88%:  no I put it down as
    183 5.37%:  no I put it in your
    184 5.05%:  no I put it in a worse
    185 4.64%:  no I put it in a lower
    186 4.63%:  no I need to write a 
    187 4.61%:  no I need to write up a 
    188 4.61%:  no I lied we aren
    189 4.60%:  nope I went
    190 4.60%:  no I need to write up a dis
    191 4.59%:  nope it was
    192 4.59%:  no I lied and
    193 5.10%:  no I lied and we
    194 4.58%:  no wait no
    195 6.65%:  no wait no I
    196 4.68%:  no wait no I lied
    197 4.56%:  no I need to lay up
    198 4.56%:  no I put it in so
    199 4.81%:  no I put it in so we
    200 4.56%:  no I lied we are in
    201 4.54%:  no I want out
    202 4.53%:  nope I lied no way
    203 4.53%:  no I lied it was st
    204 7.01%:  no I lied it was stup
    205 5.25%:  no I lied it was stupor
    206 4.95%:  no I lied it was stupend
    207 4.66%:  no I lied it was stupd
    208 4.53%:  no I lied we are so
    209 4.53%:  no I need to say it yes
    210 4.52%:  no I put it in as
    211 4.52%:  nope I lied wait no
    212 4.52%:  no I need to say it we
    213 4.51%:  no I need a lie to
    214 4.51%:  no I put it on a swe
    215 4.51%:  no I lied we are not p
    216 4.50%:  no I wrote it and
    217 4.50%:  no I was super
    218 4.50%:  no I put it way
    219 4.50%:  no I did not say it super
    220 4.50%:  no I lied and it
    221 4.48%:  no I lied it was on
    222 4.48%:  no wait I need it
    223 4.47%:  no I put it in a s
    224 4.47%:  no I lied it was true
    225 4.47%:  nope I lied wait you
    226 4.47%:  no I want to sleep
    227 4.45%:  no I need to sit up
    228 4.42%:  no I lied it was not
    229 4.42%:  nope I did
    230 7.12%:  nope I did it
    231 6.50%:  nope I did it on
    232 6.27%:  nope I did not
    233 6.66%:  nope I did not say
    234 5.98%:  nope I did not say it
    235 5.73%:  nope I did not see
    236 5.48%:  nope I did it now
    237 4.88%:  nope I did not write
    238 4.58%:  nope I did it to
    239 4.55%:  nope I did it now let
    240 4.47%:  nope I did not wait
    241 4.40%:  no wait I need to lie up
    242 4.40%:  nope I lied we don
    243 4.39%:  nope I was in
