the best part is: that's what I was ALREADY planning to do anyway!
100.00%: 
53.36%:  that
11.63%:  that I
10.24%:  that this
10.12%:  that the
16.34%:  that the poison stays
8.71%:  that'
14.42%:  that's what
10.44%:  that's pretty
5.93%:  that it
7.32%:  that it doesn
13.93%:  that it doesn't wash
12.87%:  that it doesn't wash away
8.47%:  that it doesn't pass
5.72%:  that's what they
5.40%:  that's not
5.39%:  that I don
6.89%:  that I don't start
5.23%:  that it doesn't wear
5.07%:  that it stays
3.82%:  that this doesn
3.81%:  that's the
3.74%:  that's another
3.53%:  that doesn
3.43%:  that's a
14.82%:  that's a pretty
3.27%:  that that
4.59%:  that that's how
3.66%:  that that's what
3.26%:  that there
4.11%:  that there's a
3.53%:  that there's not
3.15%:  that poison
3.14%:  that it doesn't stop
3.08%:  then
3.07%:  that it doesn't wash away!
2.91%:  that's what dent
2.81%:  that's why
2.59%:  that there's no way
2.53%:  that there's no way that
2.50%:  that it stays there!
2.46%:  that's what the
10.58%:  that's what the dentist was
5.98%:  that's what the dentist says
2.46%:  that's not a
2.88%:  that's not a bad
2.39%:  that I don't wash
2.39%:  that it's the
2.32%:  that's how
2.13%:  that's the story
2.10%:  AL
2.05%:  that that's the
2.02%:  that's what this
2.01%:  that I don't pass
1.89%:  that's what they do
1.88%:  that it doesn't start
1.87%:  that that's not
1.83%:  that's what the dentist says!
1.81%:  that I don't breathe
1.78%:  that's it
1.73%:  that it stays there and
1.72%:  that's what we
1.71%:  that's not what
1.71%:  that's what the dentist says to
1.59%:  that this doesn't say
1.58%:  that it stays on
1.56%:  that I don't wash it
1.54%:  that it's not a
1.49%:  that's what the dentist says I
1.47%:  that's what the dentist was planning
1.43%:  that the poison has
1.43%:  that it doesn't taste
1.42%:  that's the best
1.41%:  that there's not a
1.32%:  then sp
1.31%:  that that doesn
1.30%:  that's what the dentist says too
1.28%:  I
1.25%:  that's what the dentist was planning to
1.02%:  that they
1.00%:  that's what I do
0.99%:  that it's a
0.98%:  that there's no way this
0.96%:  that's not weird
0.94%:  that there's any
0.93%:  that it doesn't stay
0.92%:  that that's what dent
0.92%:  that there's no way to
0.90%:  that it doesn't se
0.89%:  that's the way
0.88%:  that doesn't stop
0.88%:  that what
0.87%:  the
1.13%:  the rest
0.87%:  that there's an
0.86%:  that that's the way
0.86%:  that it stays that
0.85%:  that that's a
0.85%:  that that's what poison
0.82%:  that it doesn't bother
0.81%:  that's what that
0.80%:  that doesn't start
0.80%:  that's an
0.79%:  this
0.79%:  that it doesn't wash away the
0.78%:  that I don't eat
0.77%:  that I don't stop
0.77%:  that dent
0.77%:  that's that
0.77%:  that that's how it
0.76%:  that's how I spent
0.75%:  that there's poison
0.72%:  that these
0.70%:  that's what this story
0.70%:  that this doesn't start
0.69%:  that's the best part
0.69%:  that the dent
1.31%:  that the dentist was
0.69%:  I'
0.68%:  that the dentist'
0.68%:  that the poison'
0.67%:  that doesn't wear
0.67%:  that that's not a
0.66%:  that I don't sp
0.65%:  that it's spread
0.64%:  that the dentist has
0.64%:  that there's a way
0.64%:  that when
0.61%:  that those
0.61%:  then I
0.60%:  that I don't taste
0.59%:  that this doesn't stop
0.59%:  that this has
0.59%:  that I don't pass it
0.58%:  that I don't start sp
0.58%:  that by
0.57%:  what
0.57%:  that's how I spent today
0.57%:  that the body
1.43%:  that the body treats
0.57%:  that that's the best
0.55%:  that doesn't bother
0.53%:  that I don't start to
0.53%:  that the poison starts
0.52%:  that's not what I
0.52%:  that that's where
0.52%:  that's what they do at
0.51%:  that's what I was
3.37%:  that's what I was planning
5.67%:  that's what I was planning to do this
4.44%:  that's what I was planning to do with
1.82%:  that's what I was planning to do!
1.75%:  that's what I was planning on
0.88%:  that's what I was planning to do when
0.81%:  that's what I was planning to do that
0.59%:  that's what I was planning to do that entire
0.51%:  that's not the
0.91%:  that's not the worst
0.51%:  that instead
0.50%:  that it's that
0.83%:  that it's that easy!
0.50%:  that's what they said
0.49%:  that it spread
0.72%:  that it spreads to
0.49%:  that it has
0.48%:  that's not what they
0.48%:  that I don't breath
0.47%:  that when I say
0.47%:  that I don't stop br
0.47%:  that's what the dentist saw
0.46%:  that I don't wash it away
0.46%:  that's what it
0.46%:  that's what those
0.46%:  that this hasn
0.45%:  that's what these
0.45%:  that this doesn't wear
0.45%:  that that's what I
0.45%:  that the rest
0.44%:  that's the worst
0.43%:  that's not how
0.43%:  that's what I was planning to do in
0.43%:  that's what I do with
0.43%:  that it passes
0.43%:  that that is
0.42%:  that's not a bad way
0.42%:  that doesn't wash
0.42%:  that the poison tastes
0.42%:  that's the part
0.89%:  that's the part that
0.42%:  that the poison was
0.42%:  that it's not the
0.41%:  that that's not a bad
0.41%:  that I wasn
0.41%:  that the poison stays that
0.41%:  that tooth
0.40%:  that there isn
0.40%:  they
0.39%:  that that's not a bad way
0.39%:  that's not that
0.39%:  that this wasn
0.39%:  that the body treats that
0.39%:  that there's a poison
0.41%:  that there's a poison that
0.39%:  that's how I spent this
0.39%:  that this doesn't AL
0.38%:  that nobody
0.38%:  that's the best I
0.38%:  that it's not spread
0.38%:  that I don't wash that
0.37%:  that teeth
0.37%:  that's where
0.37%:  that a
0.36%:  that's what they want
0.36%:  that I don't spit the
