somehow managed to say that like it's a bad thing!
136.43%:  managed
460.71%:  managed to make
157.87%:  managed to make that
129.60%:  managed to make this
117.53%:  managed to make the
85.01%:  managed to make this whole
71.98%:  managed to say
108.19%:  managed to say that
97.15%:  managed to say that while
91.62%:  managed to say that with
68.16%:  managed to take
79.30%:  managed to take the
71.72%:  managed to take the wind
67.91%:  managed to take away
64.86%:  managed to talk
128.20%:  managed to talk me into
100.22%:  managed to talk me down
64.64%:  managed to take away the
56.26%:  managed to make a
56.25%:  somehow
902.48%:  somehow managed
579.92%:  somehow managed to take
557.24%:  somehow managed to talk
432.79%:  somehow managed to say
1600.21%:  somehow managed to say that
699.00%:  somehow managed to say that in
374.08%:  somehow managed to say that in the
359.89%:  somehow managed to take that
323.69%:  somehow managed to be
297.78%:  somehow managed to steal
280.79%:  somehow managed to best
211.20%:  somehow managed to take this
194.84%:  somehow managed to say that like
