have to count that as a win!
      0 100.00%: 
      1 4.64%: !
      2 3.93%:  a
      3 6.94%:  a win
      4 6.40%:  a waste
      5 5.89%:  a win!
      6 5.32%:  a waste!
      7 3.11%:  a win on
      8 4.82%:  a win on that
      9 4.54%:  a win on the
     10 3.26%:  a win on that!
     11 3.15%:  a win on the o
     12 2.38%:  a win on the s
     13 2.38%:  a waste in
     14 3.15%:  a waste in that
     15 3.05%:  a waste in a
     16 2.36%:  a wash
     17 3.55%:  a wash!
     18 2.29%:  nice
     19 6.03%:  nice!
     20 4.15%:  nice to
     21 3.14%:  nice to not
     22 2.21%:  a win on the ch
     23 2.18%:  a win on the act
     24 2.52%:  a win on the act!
     25 2.11%:  a win on a
     26 2.01%:  a win on the actu
     27 1.92%:  a win on the chast
     28 1.89%:  a waste to
     29 1.99%:  a waste to not
     30 1.87%:  a waste on
     31 3.18%:  a waste on that
     32 4.44%:  a waste on that count
     33 5.28%:  a waste on that count!
     34 2.40%:  a waste on that!
     35 1.83%:  a win at
     36 3.37%:  a win at the
     37 3.09%:  a win at the cost
     38 2.89%:  a win at that
     39 3.40%:  a win at that!
     40 3.24%:  a win at that one
     41 4.03%:  a win at that one!
     42 2.34%:  a win at that one at
     43 1.90%:  a win at that count
     44 2.72%:  a win at that count!
     45 1.83%:  nice that
     46 1.98%:  nice that that
     47 2.08%:  nice that that was
     48 2.57%:  nice that that was a
     49 2.02%:  nice that that was an
     50 1.83%:  nice that at
     51 1.80%:  a win on the oats
     52 2.21%:  a win on the oats!
     53 1.78%:  a waste at
     54 3.48%:  a waste at that
     55 3.60%:  a waste at that!
     56 1.72%:  a waste on a
     57 1.68%:  a win at that at
     58 1.66%:  nice that that was!
     59 1.66%:  a net
     60 5.23%:  a net win
     61 5.48%:  a net win!
     62 1.98%:  a net win to
     63 1.90%:  a net win to that
     64 2.49%:  a net win to that!
     65 1.85%:  a net win to us
     66 2.07%:  a net win to us!
     67 1.65%:  a waste to not at
     68 1.65%:  a win at that too
     69 2.37%:  a win at that too!
     70 1.61%:  nice that that was on
     71 1.61%:  a waste too
     72 2.55%:  a waste too!
     73 1.61%:  a win at that cost
     74 2.25%:  a win at that cost!
     75 1.59%:  nice that that was a 
     76 1.58%:  a net win to a
     77 1.57%:  a wash on
     78 3.56%:  a wash on the
     79 3.14%:  a wash on that
     80 5.31%:  a wash on that one
     81 5.93%:  a wash on that one!
     82 3.05%:  a wash on that count
     83 3.92%:  a wash on that count!
     84 2.56%:  a wash on that!
     85 2.34%:  a wash on that count at
     86 2.01%:  a wash on the o
     87 1.95%:  a wash on the act
     88 2.56%:  a wash on the actin
     89 2.36%:  a wash on the act!
     90 1.88%:  a wash on the no
     91 1.78%:  a wash on the actin!
     92 1.76%:  a wash on the oint
     93 1.69%:  a wash on that note
     94 2.44%:  a wash on that note!
     95 1.67%:  a wash on the actu
     96 1.56%:  a win on the act that
     97 1.56%:  a win on the chaa
     98 2.61%:  a win on the chaaa
     99 1.54%:  a win on the act as
    100 2.66%:  a win on the act as a
    101 1.47%:  wish
    102 2.20%:  wish that
    103 2.28%:  wish that one
    104 1.44%:  a waste to not act
    105 1.41%:  a waste to a
    106 1.39%:  a wash in
    107 3.10%:  a wash in the
    108 1.74%:  a wash in that
    109 1.56%:  a wash in that one
    110 1.96%:  a wash in that one!
    111 1.37%:  a wash on the oat
    112 1.37%:  a win on each
    113 1.36%:  a wash on the act in
    114 1.37%:  a wash on the act in tot
    115 1.35%:  nice that no
    116 1.35%:  a win on those
    117 1.33%:  neat
    118 6.63%:  neat!
    119 1.32%:  a win at a
    120 1.83%:  a win at a cost
    121 2.48%:  a win at a cost!
    122 1.83%:  a win at a cost to
    123 2.31%:  a win at a cost to the
    124 1.66%:  a win at a cost to a
    125 1.61%:  a win at a cost to the un
    126 1.51%:  a win at a cost that
    127 1.42%:  a win at a cost that no
    128 1.32%:  wish he
