this keeps up I'm just going to invent my OWN Nobel prize, I swear to god
100.00%: 
9.04%:  I
2.40%:  I'
1.70%:  this
1.17%:  it
0.55%:  the
0.35%:  this keeps
52.48%:  this keeps up I'm going to stop
20.95%:  this keeps up I'm going to get
19.22%:  this keeps up I'm going to go
10.06%:  this keeps up I'm going to stop using
9.56%:  this keeps up I'm going to turn
7.75%:  this keeps up I'm going to go nuts
5.38%:  this keeps up I'm going to just
4.94%:  this keeps up I'm going to just stop
4.91%:  this keeps up I'm going to turn to
4.65%:  this keeps up I'm going to put
4.49%:  this keeps up I'm going to open
4.42%:  this keeps up I'm going to get super
4.39%:  this keeps up I'm going to just give
4.22%:  this keeps up I'm going to get some
4.08%:  this keeps up I'm going to get so
2.61%:  this keeps up I'm going to go into
2.22%:  this keeps up,
40.17%:  this keeps up, I'm going to stop
20.31%:  this keeps up, I'm going to get
15.13%:  this keeps up, I'm going to go
9.03%:  this keeps up, I'm going to stop using
8.04%:  this keeps up, I'm going to turn
5.74%:  this keeps up, I'm going to go nuts
5.38%:  this keeps up, I'm going to get some
4.98%:  this keeps up, I'm going to turn into
4.14%:  this keeps up, I'm going to get super
3.76%:  this keeps up, I'm going to just
3.88%:  this keeps up, I'm going to just stop
3.72%:  this keeps up, I'm going to put
3.61%:  this keeps up, I'm going to turn to
3.51%:  this keeps up, I'm going to open
3.31%:  this keeps up, I'm going to just give
3.10%:  this keeps up, I'm going to get so
2.63%:  this keeps up, I'm going to go into
2.08%:  this keeps up, I'm going into
1.87%:  this keeps up I'm going to go on
1.80%:  this keeps up, I'm going to get upset
1.79%:  this keeps up I'm going to get upset
1.73%:  this keeps up I'm going to go to
1.70%:  this keeps up I'm going to set
1.64%:  this keeps up, I'm going to run
1.58%:  this keeps up I'm going to run
1.55%:  this keeps up I'm going to set up
1.51%:  this keeps up I'm going into
1.43%:  this keeps up I'm going to go post
1.42%:  this keeps up I'm going to go nuts,
1.42%:  this keeps up, I'm going to set
1.42%:  this keeps up I'm going to jump
1.40%:  this keeps up I'm going to get piss
1.39%:  this keeps up, I'm going to miss
1.37%:  this keeps up I'm just
62.02%:  this keeps up I'm just going to stop
29.22%:  this keeps up I'm just going to give
20.04%:  this keeps up I'm just going to go
19.62%:  this keeps up I'm just going to invent
9.87%:  this keeps up I'm just going to invent some
9.02%:  this keeps up I'm just going to move
6.66%:  this keeps up I'm just going to invent time
5.82%:  this keeps up I'm just going to get
4.89%:  this keeps up I'm just going to stop even
4.67%:  this keeps up I'm just going to invent my
3.84%:  this keeps up I'm just going to stop invent
3.65%:  this keeps up I'm just going to open
3.51%:  this keeps up I'm just going to sit
3.45%:  this keeps up I'm just going to go to
2.95%:  this keeps up I'm just going to move into
2.79%:  this keeps up I'm just going to print
2.67%:  this keeps up I'm just going to go into
1.91%:  this keeps up I'm just going to set
1.88%:  this keeps up I'm just going to give my
1.85%:  this keeps up I'm just going to go on
1.83%:  this keeps up I'm just going to invent more
1.55%:  this keeps up I'm just going to go invent
1.34%:  this keeps up I'm just going to stop ever
1.34%:  this keeps up I'm just going to never
1.32%:  this keeps up I'm going to get so upset
1.32%:  this keeps up, I'm going to get into
1.30%:  this keeps up I'm just going to sit in
1.28%:  this keeps up, I'm going to go on
1.26%:  this keeps up, I'm just
50.58%:  this keeps up, I'm just going to stop
22.75%:  this keeps up, I'm just going to give
15.42%:  this keeps up, I'm just going to invent
14.07%:  this keeps up, I'm just going to go
8.64%:  this keeps up, I'm just going to invent some
7.92%:  this keeps up, I'm just going to invent time
5.90%:  this keeps up, I'm just going to move
4.82%:  this keeps up, I'm just going to stop invent
4.50%:  this keeps up, I'm just going to invent my
3.87%:  this keeps up, I'm just going to get
3.87%:  this keeps up, I'm just going to stop even
3.05%:  this keeps up, I'm just going to sit
2.77%:  this keeps up, I'm just going to go to
2.61%:  this keeps up, I'm just going to print
2.47%:  this keeps up, I'm just going to move into
2.45%:  this keeps up, I'm just going to open
2.04%:  this keeps up, I'm just going to go into
1.47%:  this keeps up, I'm just going to set
1.43%:  this keeps up, I'm just going to go on
1.42%:  this keeps up, I'm just going to sit in
1.42%:  this keeps up, I'm just going to invent more
1.25%:  this keeps up, I'm going to go to
1.23%:  this keeps up I'm just going to post
1.20%:  this keeps up, I'm just going to go invent
1.19%:  this keeps up I'm just going to sit on
1.16%:  this keeps up, I'm going to get so upset
1.16%:  this keeps up I'm going to miss
1.15%:  this keeps up, I'm going to get piss
1.14%:  this keeps up I'm going to just invent
1.14%:  this keeps up I'm going to stom
1.14%:  this keeps up, I'm just going to give my
1.14%:  this keeps up, I'm just going to sit on
1.13%:  this keeps up I'm going to get into
1.11%:  this keeps up I'm just going to go invent time
1.10%:  this keeps up I'm just going to stom
1.49%:  this keeps up I'm just going to stomp on every
1.10%:  this keeps up I'm going to join
1.10%:  this keeps up I'm going to go out
1.08%:  this keeps up I'm just going to go invent some
1.06%:  this keeps up, I'm just going to go invent time
1.06%:  this keeps up, I'm just going to stop ever
1.04%:  this keeps up I'm going to just go
1.02%:  this keeps up I'm going to turn into some
1.01%:  this keeps up, I'm going to print
1.01%:  this keeps up I'm going to print
0.96%:  this keeps up, I'm just going to never
0.95%:  this keeps up, I'm going to go post
0.94%:  this keeps up, I'm going to turn into some
0.94%:  this keeps up, I'm just going to go invent some
0.92%:  this keeps up I'm just going to get more
0.92%:  this keeps up, I'm going to get super into
0.91%:  this keeps up, I'm going to go out
0.91%:  this keeps up, I'm going to re
0.90%:  this keeps up I'm just going to give it
