spend another decade making it so it can say other stuff too, okay?
100.00%: 
38.20%:  make
74.27%:  make another
51.57%:  make out
50.10%:  make another friend
34.52%:  teach
30.29%:  make another friend so
29.51%:  name
28.85%:  keep
41.86%:  keep making
28.50%:  make another one,
22.93%:  go
21.70%:  make another one, okay
20.41%:  make another friend and
20.17%:  make another one and
19.88%:  make another one for
18.94%:  hug
18.68%:  keep him
33.93%:  keep him around
18.07%:  make another one that
17.59%:  kiss
17.54%:  press
17.05%:  get
15.81%:  keep doing
38.70%:  keep doing that
31.33%:  keep doing this for
268.18%:  keep doing this for another
335.40%:  keep doing this for another decade
147.07%:  keep doing this for another decade,
56.09%:  keep doing this for another decade at
38.48%:  keep doing this for another ten
23.85%:  keep doing that for
124.93%:  keep doing that for another
171.52%:  keep doing that for another decade
77.91%:  keep doing that for another decade,
19.79%:  keep doing that for another decade at
15.63%:  keep doing this for another decade, you
15.40%:  go home
15.20%:  press his
14.82%:  keep doing this for another decade okay
14.62%:  go home and kiss
14.49%:  keep doing this,
14.27%:  make another friend,
13.86%:  get him to
13.32%:  dance
13.13%:  make another friend so that
12.96%:  make out again
12.81%:  take
25.50%:  take him out
51.03%:  take him out for ice
43.47%:  take him out for a test
39.02%:  take him out for a spin today
24.12%:  take him for
54.35%:  take him for a test
18.84%:  take him out for a spin,
13.75%:  take him out for a spin, okay
12.76%:  keep doing that for another decade okay
12.71%:  get him a
12.50%:  make another one that says,
12.47%:  make another friend so he
12.33%:  take him for a spin today
12.03%:  keep doing this for another decade?
11.81%:  take him for a spin,
11.71%:  take him out for a spin and
11.41%:  take him for a test spin
11.36%:  get him to say
11.31%:  keep doing that for another ten
11.05%:  make another one, this
10.97%:  take him out for a spin today,
10.66%:  take him apart
9.98%:  put
26.23%:  put him on
9.85%:  keep doing that,
9.83%:  take him out for a spin and see
9.75%:  take him out to
20.63%:  take him out to dinner
9.63%:  keep doing this for another decade, my
9.61%:  put that
9.58%:  keep making this
9.55%:  make sure
11.22%:  make sure he says
10.57%:  make sure he doesn
9.52%:  keep making that
9.43%:  keep making out
9.41%:  go home and stare
14.84%:  go home and stare at it
12.25%:  go home and stare into
9.17%:  get this
8.99%:  check
8.92%:  make another one right
8.92%:  spend
47.88%:  spend another
104.86%:  spend another decade
325.45%:  spend another decade making
150.31%:  spend another decade making sure
184.61%:  spend another decade making sure that
106.77%:  spend another decade making this
95.74%:  spend another decade making that
48.04%:  spend another decade making sure that stays
48.02%:  spend another decade making this suck
63.20%:  spend another decade making this sucker say
45.08%:  spend another decade on
108.12%:  spend another decade on that
79.46%:  spend another decade on this
54.38%:  spend another decade on that,
39.24%:  spend another decade making it
185.00%:  spend another decade making it say other
1008.77%:  spend another decade making it say other stuff
417.34%:  spend another decade making it say other stuff too,
170.62%:  spend another decade making it say other stuff,
76.50%:  spend another decade making it say other stuff, too
57.77%:  spend another decade making it say other stuff too?
37.80%:  spend another decade making sure this
29.99%:  spend another decade on this guy
27.99%:  spend another decade making our
27.27%:  spend another decade on this suck
25.83%:  spend another decade making his
24.67%:  spend another decade on this,
21.32%:  spend another decade on this sucker,
66.31%:  spend another decade on this sucker, okay
20.57%:  spend another decade making sure his
19.36%:  spend another decade making it say other stuffs
40.72%:  spend another decade making it say other stuffs too
19.10%:  spend another decade on him,
18.79%:  spend another decade on making
17.37%:  spend another decade making it say stuff
20.35%:  spend another decade making it say stuff other
16.64%:  spend another decade or
88.21%:  spend another decade or so making
43.06%:  spend another decade or so making that
21.70%:  spend another decade or so making this
16.41%:  spend another decade on that suck
16.28%:  spend another decade making sure it
44.57%:  spend another decade making sure it stays
15.87%:  spend another decade on it
15.49%:  spend another decade or so making it
14.66%:  spend another decade trying
93.54%:  spend another decade trying to make
54.18%:  spend another decade trying to teach
33.59%:  spend another decade trying to make that
16.16%:  spend another decade trying to make his
13.89%:  spend another decade trying to make this
13.46%:  spend another decade or so making this suck
13.38%:  spend another decade making out
13.29%:  spend another decade on that sucker,
36.45%:  spend another decade on that sucker, okay
12.82%:  spend another decade making this sucker into
11.66%:  spend another decade on this guy,
11.60%:  spend another decade making that one
11.48%:  spend another decade making that suck
25.63%:  spend another decade making that sucker say
10.97%:  spend another decade on this, guys
10.84%:  spend another decade on that, guys
10.78%:  spend another decade making it say other stuff too, ok
10.69%:  spend another decade making it say other stuff too, so
39.10%:  spend another decade making it say other stuff too, so it can
10.21%:  spend another decade of
10.20%:  spend the
26.45%:  spend the rest of today
73.08%:  spend the rest of today making
53.16%:  spend the rest of today making out
10.12%:  spend another decade making that our
10.07%:  spend another decade on making that
9.83%:  spend another decade making sure it says
9.82%:  spend another decade making it say stuff that
8.82%:  punch
8.71%:  spend another decade making it say other stuff?
8.59%:  spend another decade on him, guys
8.54%:  take him out for a test spin
8.52%:  get him another
8.44%:  spend another decade trying to make it
8.43%:  make another friend so he doesn
8.41%:  keep that
8.37%:  go home and take
8.35%:  spend another decade making the
8.33%:  take him to space
8.32%:  spend another decade trying to teach it
8.31%:  get him out
8.29%:  spend another decade or so on
30.13%:  spend another decade or so on that
15.58%:  spend another decade or so on that,
14.13%:  spend another decade or so on this
8.27%:  spend the rest of today doing
8.20%:  go home and take off
8.54%:  go home and take off our
18.05%:  go home and take off our pants
8.92%:  go home and take off our pants and
8.20%:  spend another decade on that guy
8.14%:  make that
10.43%:  make that our
8.10%:  go home and turn
8.09%:  take him out for a dance
8.09%:  make another one of
48.90%:  make another one of those
32.69%:  make another one of these guys
13.75%:  make another one of those guys
10.75%:  make another one of these guys,
10.31%:  make another one of those,
18.42%:  make another one of those, okay
9.64%:  make another one of these,
9.96%:  make another one of these, okay
7.99%:  spend another decade or so making that suck
7.98%:  spend the rest of today making it
7.96%:  keep doing this for as
7.95%:  make sure he stays
7.88%:  spend another decade making it say other stuff too, k
7.83%:  make another one of these suck
7.76%:  make another friend and see
7.71%:  make another one too
7.70%:  make another friend, and
7.67%:  start
7.64%:  spend another decade making this sucker a
7.62%:  take him out to dinner and
7.58%:  spend another decade or so making it say stuff
9.38%:  spend another decade or so making it say stuff that
7.56%:  keep him around,
7.50%:  spend another decade making it say other stuff so
10.43%:  spend another decade making it say other stuff so it can
7.40%:  take him to a
10.88%:  take him to a party
7.34%:  spend another decade on making this
7.29%:  spend some
7.24%:  keep this
7.19%:  get some
7.19%:  keep doing this for another decade so
7.17%:  make another one and put
7.20%:  make another one and put it on
11.65%:  make another one and put it on the roof of
7.07%:  get him drunk
11.03%:  get him drunk and see
7.06%:  spend another decade making this sucker as
6.98%:  take him on
13.46%:  take him on a date
8.36%:  take him on a trip
6.96%:  go home and kiss our
6.95%:  not
14.63%:  not forget
7.84%:  not forget to
6.87%:  keep doing that for another decade?
6.80%:  take him for a spin, okay
6.77%:  press his face
6.73%:  spend another decade or so on this guy
6.72%:  take him out for another
6.59%:  kiss our
6.56%:  spend another decade making it say other stuff too so
22.40%:  spend another decade making it say other stuff too so it can
6.54%:  teach it
19.53%:  teach it to say more
25.35%:  teach it to say more stuff
15.61%:  teach it to speak
11.21%:  teach it to dance
6.82%:  teach it to say more stuff,
6.51%:  put that on a card
9.57%:  put that on a card and send it to my
6.51%:  keep doing this and
6.49%:  spend the rest of today making another
6.49%:  make another one soon
6.49%:  press his face into
6.45%:  spend another decade making it say other stuff as
6.38%:  turn
16.98%:  turn him off
11.10%:  turn him off and on
9.32%:  turn him off and go
8.01%:  turn him into
11.93%:  turn him into a spaces
7.77%:  turn him on and
7.60%:  turn him off and go to
6.35%:  check out
6.33%:  go for
15.49%:  go for another
8.09%:  go for another spin
6.33%:  make another one, and
9.02%:  make another one, and this
6.20%:  take him apart and find
6.15%:  keep that one
6.10%:  turn him on and see if
6.04%:  spend another decade making sure it says that,
5.98%:  go home and start
5.95%:  make another one for the
5.93%:  keep making it
5.91%:  spend the rest of today making out and
5.91%:  spend another decade trying to make this suck
5.89%:  teach it to say more stuff soon
5.83%:  keep doing this for another decade, at
5.82%:  take him out for tea
5.80%:  make another one today
5.79%:  see
5.79%:  make another friend so this
5.75%:  spend another decade making sure this is
5.74%:  make another one for each
5.73%:  press the giant
5.73%:  make another one for you
5.69%:  get him drunk and take
5.68%:  make another friend so they
5.68%:  kiss him and
5.63%:  make this
5.63%:  make another friend so this guy
17.13%:  make another friend so this guy doesn
5.71%:  make another friend so this guy can
5.62%:  get another
7.69%:  get another friend
6.21%:  get another friend so
5.58%:  make out and
6.43%:  make out and then
5.57%:  take turns
5.55%:  go home and spend
5.54%:  take him for a spin and
5.52%:  make another friend, so
5.50%:  keep doing that for another decade, you
5.48%:  teach it to speak more
5.48%:  get some drinks
6.70%:  get some drinks and
5.46%:  not forget to feed
23.43%:  not forget to feed him today
9.18%:  not forget to feed him today,
5.42%:  change
5.42%:  keep doing this for another decade, man
5.41%:  spend another decade on making sure
8.61%:  spend another decade on making sure that
5.41%:  get another friend and
7.06%:  get another friend and make
5.39%:  not forget to thank
5.33%:  spend another decade on this, you
5.31%:  take him on a date to
5.31%:  not forget that,
11.94%:  not forget that, okay
5.27%:  not forget the
5.25%:  take him apart and kiss
5.23%:  go to
23.02%:  go to the park
43.87%:  go to the park and make
38.92%:  go to the park and make out in
22.09%:  go to the park and feed
13.31%:  go to the park and make out on
12.32%:  go to the park and see
21.51%:  go to the park and see if anyone
10.05%:  go to the park and make out and
7.03%:  go to the park and dance
6.88%:  go to the park and take
9.54%:  go to the park and take some
6.14%:  go to the park and make out,
5.20%:  make another friend today
5.19%:  take him out and
5.16%:  keep doing that for as
5.09%:  get him another friend
5.06%:  make another one for each of us
5.05%:  go home and feed
5.05%:  go make
5.03%:  spend another decade making his face
5.02%:  take turns saying
5.01%:  make another friend, and then
4.97%:  spend another decade on his
4.96%:  make it
6.08%:  make it say that
4.94%:  spend another decade or so on making
4.93%:  make sure he says it often
4.92%:  go for another spin in
4.92%:  turn him off again
4.90%:  make another friend to
4.89%:  get another drink
4.89%:  go home and party
4.87%:  keep doing this for a decade
4.84%:  go home and start another
4.83%:  spend another decade or so making that one
4.82%:  take him to space and
4.78%:  make another friend so he can say
4.78%:  ignore
9.01%:  ignore that
5.45%:  ignore that second
4.78%:  go home and take off its
4.77%:  spend another decade on our
4.76%:  spend another decade trying to make that into
4.75%:  make another one that speaks
4.72%:  put him in a rock
4.70%:  spend another decade making it say other stuffs too,
4.70%:  make it say other
15.75%:  make it say other stuff
11.37%:  make it say other stuff too,
4.70%:  keep making those
4.69%:  do
12.15%:  do this
12.27%:  do this again in
112.19%:  do this again in another
197.22%:  do this again in another decade
100.21%:  do this again in another decade,
59.67%:  do this again in another decade or
52.97%:  do this again in another ten
87.98%:  do this again in another ten years,
49.81%:  do this again in another decade or so,
