because stories like this make me worry I'm living my life wrong
      0 100.00%: 
      1 2498.90%:  because
      2 3029.45%:  because I'
      3 4455.30%:  because I'm totally
      4 3069.56%:  because I'm totally going
      5 2604.94%:  because I think
      6 2523.28%:  because everything
      7 3862.18%:  because everything else
      8 2387.22%:  because I was
      9 10530.31%:  because I was thinking
     10 20021.97%:  because I was thinking of
     11 11384.85%:  because I was thinking it
     12 4604.03%:  because I was thinking of like
     13 4409.07%:  because I was thinking we
     14 4401.21%:  because I was thinking more
     15 15429.67%:  because I was thinking more of like
     16 5148.43%:  because I was thinking more of some
     17 4395.71%:  because I was thinking more like
     18 3613.19%:  because I was trying
     19 3406.53%:  because I was thinking if
     20 2932.24%:  because I was looking
     21 2484.79%:  because I was thinking like
     22 2297.74%:  because sometimes
     23 40689.81%:  because sometimes I worry
     24 19986.75%:  because sometimes I feel
     25 106498.71%:  because sometimes I feel like throwing
     26 46559.92%:  because sometimes I feel like things
     27 36845.97%:  because sometimes I feel like things in
     28 29237.32%:  because sometimes I feel like this
     29 28925.54%:  because sometimes I feel like nothing
     30 129167.20%:  because sometimes I feel like nothing works
     31 108088.76%:  because sometimes I feel like nothing'
     32 77501.10%:  because sometimes I feel like nothing is
     33 20759.53%:  because sometimes I feel like throwing my
     34 23312.26%:  because sometimes I feel like throwing my arms
     35 26472.40%:  because sometimes I feel like throwing my arms in
     36 20164.85%:  because sometimes I feel like anything
     37 17824.02%:  because sometimes I think
     38 17512.60%:  because sometimes I feel like throwing a
     39 14754.21%:  because sometimes I feel like my
     40 14111.35%:  because sometimes I like
     41 690175.57%:  because sometimes I like to imagine myself
     42 496144.23%:  because sometimes I like to imagine myself living
     43 332132.87%:  because sometimes I like to imagine how
     44 95386.23%:  because sometimes I like to imagine myself on
     45 75580.81%:  because sometimes I like to imagine myself lying
     46 48889.37%:  because sometimes I like to imagine how life
     47 48735.06%:  because sometimes I like to imagine myself working
     48 48210.62%:  because sometimes I like to imagine my
     49 44598.65%:  because sometimes I like to imagine life
     50 31832.62%:  because sometimes I like to imagine my own
     51 30532.82%:  because sometimes I like to imagine my own life
     52 83893.89%:  because sometimes I like to imagine my own life is
     53 30259.19%:  because sometimes I like to imagine myself loving
     54 30222.34%:  because sometimes I like to imagine more
     55 29907.20%:  because sometimes I like to imagine my life
     56 88091.12%:  because sometimes I like to imagine my life is
     57 21449.17%:  because sometimes I like to imagine losing
     58 21436.73%:  because sometimes I like to imagine life working
     59 21169.88%:  because sometimes I like to imagine losing my
     60 77573.01%:  because sometimes I like to imagine losing my vir
     61 19521.98%:  because sometimes I like to imagine myself wrong
     62 19473.76%:  because sometimes I like to imagine my life in
     63 18431.13%:  because sometimes I like to imagine how my
     64 31241.47%:  because sometimes I like to imagine how my life
     65 41886.81%:  because sometimes I like to imagine how my life is
     66 18002.25%:  because sometimes I like to imagine my whole
     67 13578.77%:  because sometimes I like to imagine losing while
     68 12927.31%:  because sometimes I like to imagine myself in hor
     69 11957.72%:  because sometimes I feel like it
     70 13255.62%:  because sometimes I feel like it's gonna
     71 11744.58%:  because sometimes I like to imagine my own er
     72 11677.52%:  because sometimes I like to imagine my life'
