still believe me when I'm talking to you, yes?
100.00%: 
67.81%:  know
40.59%:  think
37.83%: '
24.06%:  like
22.30%:  know,
13.57%:  believe
18.44%:  believe me now
12.63%: 'll
12.13%:  still
11.47%:  know the
11.42%:  see
10.15%:  win
9.83%:  think I
29.61%:  think I'm lying
9.46%:  guys
9.02%:  think you
7.26%:  might
7.07%:  think we
7.01%:  believe me,
6.84%:  like the
6.22%:  got
6.13%:  guys think
5.97%:  still think
8.32%:  still think I'm a
5.65%:  believe me now,
5.56%:  think I'm lying,
5.50%:  think it
5.45%:  see how
5.35%:  tell
11.52%:  tell me what
8.83%:  tell me how
5.82%:  tell me how you
5.65%:  tell me what you'
5.30%:  see?
4.87%:  must
4.86%:  tell me what'
4.68%:  want
4.59%:  see what I'
4.51%:  believe me when
15.18%:  believe me when I tell
12.34%:  believe me when I tell you it
7.06%:  believe me when I tell you it's not
5.28%:  believe me when I tell you my
4.21%:  won
4.10%:  know, I'
4.07%:  still like
3.99%:  believe me when I tell you it's a
3.85%:  got any
3.56%:  think you'll get
3.53%:  like to
3.52%:  know, the
3.41%:  guys want
3.40%:  believe me, yes
3.39%:  know, let
7.25%:  know, let's not
3.34%:  still think I'm an
3.28%:  lost
3.27%:  guys know
3.27%:  know, it
3.22%:  believe me when I say it
3.11%:  think you'll win
3.09%:  guys like
3.04%:  think we'
2.99%:  win the
4.18%:  win the game
2.98%:  think I'm a
2.98%:  believe in
2.91%:  know, this
2.89%:  get
2.89%:  like it
5.74%:  like it when
2.86%:  know, I'm still
2.84%:  still want
2.75%:  believe him
2.67%:  know, you
2.52%:  know this
2.52%:  think it'll
2.51%:  see my
2.46%:  tell me how you'
2.44%: 'll let
13.40%: 'll let me know
4.83%: 'll let me win
2.41%:  know, I believe
2.37%:  won the
2.33%:  know, I still
2.32%:  still owe
2.27%:  still owe me money
2.27%:  believe me when I tell you it's my
2.26%:  know I
5.37%:  know I'm lying
2.25%:  like that
2.24%:  see how it
2.21%:  believe the
2.12%:  believe me, then
2.11%:  guys believe
4.81%:  guys believe me now
2.53%:  guys believe me?
2.06%: 'll let me win the
2.04%:  like it when I
2.03%:  believe me when I say you
2.02%:  take
2.01%:  believe in the
1.99%:  think I'll
1.96%:  know any
1.94%:  lose
1.93%:  know my
1.93%:  tell me,
2.34%:  tell me, what
1.92%:  see,
1.89%:  tell me what you like
1.85%:  believe me when I tell you,
1.84%:  believe me when I tell you it's only
1.84%:  won the game,
1.82%: 'll let me win this
3.65%: 'll let me win this game
2.00%: 'll let me win this game,
1.82%:  think we'll see
1.82%:  know, it's not
1.80%:  seem
1.88%:  seem like
1.80%:  think I'm a genius
1.80%:  know you
1.79%:  tell me how it
1.77%:  believe me now, yes
1.77%:  might want
1.73%:  tell me how I
1.71%:  know him
1.70%:  know?
1.68%:  won'
12.56%:  won't believe
7.07%:  won't believe this
6.48%:  won't believe the
1.68%:  still believe
1.65%:  must know
1.64%:  know, you might
1.61%:  seem to know
1.61%: 'll let me win,
1.54%:  won?
1.54%:  tell me why
2.14%:  tell me why you
1.54%:  still think I'm not
1.53%:  think my
1.52%:  still owe me ten
1.51%:  tell me what you believe
1.51%: 'll take
1.50%:  lost?
1.50%:  like him
1.49%:  tell me what I
1.49%:  believe me when I say you'll
1.47%: 'll let me know the
1.46%:  think we'll get
1.45%:  might say we
1.45%:  see why
1.45%: 'll let me get
1.44%:  believe that
1.43%:  win the game?
1.42%:  believe this
1.40%:  think you'll see
1.40%:  know, I might
1.38%:  like the game
1.38%:  win this
1.36%:  tell me, how
