got like a thousand REALLY GOOD REASONS for doing that
100.00%: 
1.31%:  got the
1.14%:  got to
0.96%:  got like
0.88%:  got a
0.73%:  got SO
0.35%:  got to find
0.28%:  gotten
0.27%:  gotta
0.26%:  got a lot
0.28%:  got a lot of naked
0.20%:  got it
0.18%:  got on
0.17%:  got naked
0.16%:  got other
0.15%:  AL
0.21%:  ALSO
0.25%:  ALSO got
0.14%:  got to go
0.14%:  tried
0.14%:  left
0.13%:  got a thing
0.12%:  got a great
0.11%:  talked
0.10%:  got great
0.10%:  often
0.10%:  ALREAD
0.18%:  ALREADY told
0.18%:  ALREADY got
0.16%:  ALREADY talked
0.11%:  ALREADY talked to
0.11%:  ALREADY got the
0.09%:  talked to
0.08%:  tried to
0.08%:  ALREADY tried
0.08%:  ALSO tried
0.07%:  got a t
0.07%:  got ALL
0.09%:  got ALL the
0.07%:  got like 
0.07%:  got to go find
0.07%:  got like a
0.07%:  got one
0.07%:  gotta go
0.06%:  got like ONE
0.05%:  got ONE
0.05%:  told
0.05%:  got to find SO
0.05%:  gotta find
0.05%:  ALSO got the
0.05%:  got S
0.05%:  got good
0.05%:  gotten SO
0.05%:  ALREADY got naked
0.04%:  got like a thousand
0.04%:  ALSO tried going
0.04%:  got no
0.04%:  got an
0.04%:  got to do
0.04%:  tried it
0.04%:  got too
0.04%:  got t
0.04%:  got fr
0.04%:  got G
0.04%:  got a friend
0.03%:  got NO
0.03%:  got one of
0.03%:  gone
0.03%:  got L
0.03%:  ALSO tried to
0.03%:  got the good
0.03%:  ALREADY got a
0.03%:  taken
0.03%:  got a delight
0.03%:  ALREADY tried going
0.03%:  got A
0.03%:  ALSO got naked
0.03%:  got it on
0.03%:  got at
0.03%:  got fl
0.03%:  ALREADY gotten
0.03%:  got like SO
0.03%:  done
0.08%:  done that
0.03%:  ALSO gotten
0.03%:  got a light
0.02%:  got a naked
0.02%:  gotta look
0.02%:  ALREADY done
0.02%:  looked
0.02%:  tried going
0.02%:  gotta go find
0.02%:  gotten good
0.02%:  felt
0.02%:  G
0.02%:  got a good
0.02%:  got LONG
0.02%:  ALREADY told the
0.02%:  done that ON
0.04%:  done that ONLY
0.02%:  got a fr
0.02%:  ALREADY looked
0.02%:  got AN
0.02%:  got like a t
0.02%:  gotten SO good
0.02%:  got old
0.02%:  had
0.02%:  looked into
0.02%:  got RE
0.64%:  got REASONS for doing
0.27%:  got REASONS for it
0.10%:  got REASONS to
0.10%:  got REASONS for not
0.08%:  got REASONS for the
0.07%:  got REASONS for taking
0.06%:  got REASONS for talking
0.05%:  got REALL
0.06%:  got REALLY GO
0.04%:  got REALLY good
0.03%:  got REALLY great
0.03%:  got REASONS for doing the
0.02%:  got REALLY GOOD naked
0.02%:  got REASONS to do
0.02%:  got ON
0.03%:  got ONLY SO
0.02%:  got ONLY the
0.02%:  had to
0.02%:  got REALLY GOOD RE
2.49%:  got REALLY GOOD REASONS for doing
1.72%:  got REALLY GOOD REASONS for doing it
0.63%:  got REALLY GOOD REASONS for not
0.15%:  got REALLY GOOD REASONS for it
0.11%:  got REALLY GOOD REASONS to
0.09%:  got REALLY GOOD REASONS for taking
0.08%:  got REALLY GOOD REASONS for talking
0.08%:  got REALLY GOOD REASONS for doing the
0.06%:  got REALLY GOOD REASONS for naked
0.05%:  got REALLY GOOD REASONS for the
0.03%:  got REALLY GOOD REASONS not
0.02%:  got REALLY GOOD REASONS to do
0.02%:  got REALLY GOOD REASONS for hiding
0.02%:  got on the
0.02%:  gotten SO GO
0.02%:  got tr
0.02%:  not
0.02%:  got REALLY GOOD REASONS for it and
0.02%:  NE
0.02%:  ALREADY talked too
0.02%:  got the S
0.02%:  got leg
0.02%:  got REASONS for naked
0.02%:  long
0.02%:  got REALLY G
0.01%:  got light
0.01%:  ALSO talked
0.01%:  ALREADY tried to
0.01%:  ALSO got to
0.01%:  got like a thousand t
0.01%:  got D
0.03%:  got DRESS
0.01%:  got naked AND
0.01%:  got to do SO
0.01%:  ALSO got like
0.01%:  got REALLY GOOD REASONS for holding
0.01%:  got A L
0.01%:  got kind
0.01%:  got an old
0.01%:  got like S
0.01%:  got n
0.01%:  got a fl
0.01%:  got le
0.01%:  ALREADY looked at
0.01%:  ALSO got a thing
0.01%:  ALREADY looked into it
0.01%:  got the f
0.01%:  got f
0.01%:  got LAY
0.06%:  got LAYERS of
0.02%:  got LAYERS on
0.02%:  got LAYERS on right
0.01%:  got GO
0.01%:  got ONES
0.01%:  ALREADY taken
0.01%:  gotten a
0.01%:  got a tank
0.01%:  got GREY
0.01%:  got ONLY A
0.01%:  got a fet
0.01%:  got REASONS not
0.01%:  got life
0.01%:  got to GO
0.01%:  got to GO SO
0.01%:  got 
0.01%:  got AD
0.02%:  got ADOR
0.01%:  got kind of a lot
0.01%:  got REAL
0.01%:  got k
0.01%:  got LONG S
0.01%:  got the GO
0.03%:  got the GOOD kind
0.01%:  got a flight
0.01%:  got AS
0.01%:  got REALLY GOOD REASONS for doing a
0.01%:  ALREADY got a good
0.01%:  got LE
0.02%:  got LESS
0.02%:  got LEGS
0.01%:  got real
0.01%:  got SOL
0.01%:  got night
0.01%:  ALSO got to find
0.01%:  got a k
0.01%:  done it ON
0.01%:  got DRES
0.01%:  got Y
0.05%:  got YEARS of naked
0.01%:  ALREADY gone
0.01%:  got d
0.01%:  got a lot of reg
0.01%:  got like ONE thing
0.01%:  ALSO gotta
0.01%:  got on SO
0.01%:  got GOAL
0.01%:  got a life
0.01%:  got N
0.01%:  got the old
0.01%:  left it
0.01%:  ALREADY tried it
0.01%:  got R
0.01%:  got RAD
0.01%:  had to get
0.01%:  got giant
0.01%:  ALSO left
0.01%:  got long
0.01%:  like
0.01%:  got REALLY S
0.01%:  got it ALL
0.01%:  gotta do
0.01%:  got GOOD RE
1.10%:  got GOOD REASONS for doing
0.20%:  got GOOD REASONS for not
0.15%:  got GOOD REASONS for it
0.11%:  got GOOD REASONS to
0.07%:  got GOOD REASONS for taking
0.05%:  got GOOD REASONS for talking
0.04%:  got GOOD REASONS for doing the
0.04%:  got GOOD REASONS for the
0.03%:  got GOOD REASONS for naked
0.02%:  got GOOD REASONS to do
0.01%:  got GOOD REASONS not
0.01%:  ALREADY got it
0.01%:  got LAYERS ON
0.01%:  got to go find a
0.01%:  got a giant
0.01%:  got to hide
0.01%:  got eight
0.01%:  got REASONS for lik
0.03%:  got REASONS for liking the
0.01%:  got REASONS for liking to
0.01%:  got REALLY SO
0.01%:  ALREADY done it
0.01%:  ALREADY got like
0.01%:  got a ton
0.01%:  ALSO often
0.01%:  got GOOD REASONS for hiding
0.01%:  got LESSER
0.01%:  got the d
0.01%:  got GOOD naked
0.01%:  got GOR
0.01%:  ALREADY got the look
0.01%:  got a L
0.01%:  got fle
0.01%:  got no idea
0.01%:  got the R
0.01%:  got freak
0.01%:  got the fig
0.01%:  got REALLY GOOD REASONS for eating
0.01%:  ALSO gone
0.01%:  ALREADY got one
0.01%:  got a dog
0.01%:  got ONE thing
0.01%:  got LONG SLEE
0.01%:  told the
0.01%:  tried to go
0.01%:  ALSO tried talking
0.01%:  ALREADY done that for
0.01%:  got REALLY GOOD REASONS for lik
0.04%:  got REALLY GOOD REASONS for liking to
0.02%:  got REALLY GOOD REASONS for liking the
0.01%:  got the fr
0.01%:  tried taking
0.01%:  got a ro
0.01%:  gone to
0.01%:  ALSO got a lot
0.01%:  got half
0.01%:  got a thousand
0.01%:  got a hat
0.01%:  got the n
0.01%:  got REALLY GOOD REASONS for taking a
0.01%:  got to hold
0.01%:  got another
0.01%:  got ONLY a
0.01%:  let
0.01%:  ALSO taken
0.01%:  ALSO got a great
0.01%:  got REALLY GOOD S
0.01%:  kind
0.04%:  kind of got
0.02%:  kind of got the
0.01%:  got flight
0.01%:  ALREADY forgot
0.01%:  got a lot of n
0.01%:  got DR
0.02%:  got DRAGONS
0.01%:  got DRAGONS on
0.01%:  got a talking
0.01%:  got a to
0.01%:  got the D
0.01%:  gotta do SO
0.01%:  got right
0.01%:  got GOOD REASONS for it and
0.01%:  got SE
0.01%:  got to fold
0.01%:  got a RE
0.14%:  got a REASON for doing
0.08%:  got a REASON for it
0.07%:  got a REALL
0.19%:  got a REALLY GO
0.15%:  got a REALLY GOOD RE
10.37%:  got a REALLY GOOD REASON for doing
8.67%:  got a REALLY GOOD REASON for doing it
1.93%:  got a REALLY GOOD REASON for not
1.26%:  got a REALLY GOOD REASON for it
0.48%:  got a REALLY GOOD REASON to
0.33%:  got a REALLY GOOD REASON for talking
0.30%:  got a REALLY GOOD REASON for taking
0.21%:  got a REALLY GOOD REASON for it and
0.19%:  got a REALLY GOOD REASON for naked
0.17%:  got a REALLY GOOD REASON for the
0.14%:  got a REALLY GOOD REASON for doing the
0.13%:  got a REALLY good
0.12%:  got a REALLY GOOD REASON to do
0.08%:  got a REALLY great
0.07%:  got a REALLY GOOD REASON not
0.05%:  got a REALLY GOOD REASON for holding
0.04%:  got a REASON to
0.03%:  got a REALLY GOOD S
0.03%:  got a REALLY GOOD REASON for hiding
0.02%:  got a REALLY GOOD REASON and
0.02%:  got a REALLY GOOD thing
0.02%:  got a REALLY GOOD REASON to go
0.02%:  got a REALLY S
0.02%:  got a REALLY GOOD RO
0.02%:  got a REALLY GOOD REASON for not lik
0.02%:  got a REALLY GOOD REASON for the n
0.02%:  got a REALLY GOOD REASON for lik
0.04%:  got a REALLY GOOD REASON for liking the
0.02%:  got a REALLY A
0.02%:  got a REALLY GOOD REASON right
0.01%:  got a REASON for the
0.01%:  got a REALLY GOOD REASON for eating
0.01%:  got a REALLY G
0.01%:  got a REALLY GOOD hat
0.01%:  got a REALLY GOOD REASON too
0.01%:  got a REALLY GOOD N
0.01%:  got a REASON for talking
0.01%:  got a REASON for not
0.01%:  got a REALLY GOOD R
0.01%:  got a REALLY N
0.01%:  got a REALLY GOOD AN
0.01%:  got a REALLY GOOD REASON for heading
0.01%:  got a REALLY GOOD naked
0.01%:  got a REALLY GOOD REASON for doing a
0.01%:  got a REALLY GOOD idea
0.01%:  got a REALLY GOOD REASON for n
0.01%:  got a REALLY GOOD looking
0.01%:  got a REALLY GOOD t
0.01%:  got a REASON for taking
0.01%:  got a REALLY R
0.01%:  got a REALLY GOOD REASON and if
0.01%:  got a REALLY GOOD ro
0.01%:  got a REASON to do
0.01%:  ALREADY looked that
0.01%:  got a REALLY GOOD thing for
0.01%:  got a REALLY GOOD SE
0.01%:  got YEARS of old
0.01%:  got AR
0.01%:  got a REALLY good tail
0.01%:  often told
0.01%:  ALREADY had
0.01%:  ALSO got a lot of naked
0.01%:  ON
0.02%:  ONLY done
0.02%:  ONLY done it
0.01%:  ONLY got
0.01%:  ONLY gone
0.01%:  tried to look
0.01%:  got a REALLY GOOD REASON for dealing
0.01%:  got it SO
0.01%:  got the kind
0.01%:  got talking
0.01%:  got the RAD
0.01%:  ALREADY had to
0.01%:  got a REALLY GOOD REASON it
0.01%:  ONLY gotten
0.01%:  got a lot of h
0.01%:  got the SO
0.01%:  got fig
0.01%:  tried looking
0.01%:  got a REALLY GOOD REASON for heading to
0.01%:  ALREADY got a great
0.01%:  got a REALLY GOOD REASON for holding it
0.01%:  ALREADY gotten rid
0.01%:  got REALLY GOOD REASONS for not lik
0.01%:  got kinda
0.01%:  got a REALLY GRO
0.01%:  got a REALLY old
0.01%:  got a REALLY GOOD friend
0.01%:  got a REALLY GOOD REASON for dating
0.01%:  got REALLY A
0.01%:  ALSO got other
0.01%:  got a S
0.01%:  got a REALLY GOOD hood
0.00%:  ALREADY got a lot
0.00%:  tried looking at
0.00%:  got SENS
0.00%:  got E
0.00%:  forgot
0.00%:  got l
0.00%:  got LO
0.02%:  got LOADS of naked
0.01%:  got LOADS of great
0.00%:  ALSO got it
0.00%:  got legit
0.00%:  ALSO got great
0.00%:  got a great look
0.00%:  got a f
0.00%:  got SER
0.00%:  ALSO looked
0.00%:  got O
0.00%:  got a REALLY GOOD REASON to like
0.00%:  got LESSON
0.00%:  got to deal
0.00%:  ALREADY talked to a
0.00%:  ALREADY left
0.00%:  done it ONLY
0.00%:  got a REALLY GOOD REASON for doing it a
0.00%:  got ASS
0.00%:  got DE
0.00%:  legit
0.00%:  got not
0.00%:  got it good
0.00%:  got GOOD REASONS for lik
0.02%:  got GOOD REASONS for liking the
0.00%:  ALSO done
0.02%:  ALSO done that
0.00%:  ALREADY got too
0.00%:  got an old t
0.00%:  got it half
0.00%:  got GOOD REASONS for holding
0.00%:  got fat
0.00%:  got a legit
0.00%:  got a REALLY SAD
0.00%:  got foot
0.00%:  ALSO tried looking
0.00%:  got a REALLY hot
0.00%:  got a REALLY GOOD REASON for it in
0.00%:  kind of got a lot
0.00%:  got REASONS for it and
0.00%:  got it in
0.00%:  got a REALLY GOOD REASON for do
0.00%:  got REASONS for the n
0.00%:  done that SO
0.00%:  got YEARS of hiding
0.00%:  kind of got to
0.00%:  got a REALLY GOOD REASON in
0.00%:  got YEARS of talking
0.00%:  got a REALLY GOOD idea of
0.00%:  ALREADY gone too
0.00%:  got a long
0.00%:  got GRO
0.00%:  got ONLY one
0.00%:  got a REAL
0.00%:  got the DRESS
0.00%:  got like ONE t
0.00%:  done that ONLY SO
0.00%:  got on a t
0.00%:  got fake
0.00%:  ALSO tried going to
0.00%:  got left
0.00%:  kind of got it
0.00%:  got to go naked
0.00%:  ALSO looked at
0.00%:  got a G
0.00%:  tried talking
0.00%:  ONLY done that a
0.00%:  got the ing
0.00%:  got REALLY GOOD REASONS to go
0.00%:  got the ol
0.00%:  got the fl
0.00%:  talked to a
0.00%:  got h
0.00%:  got a fine
0.00%:  got a night
0.00%:  got a REALLY long
0.00%:  got a REALLY GOOD ONE
0.00%:  got to head
0.00%:  got a left
0.00%:  got the k
0.00%:  got a REALLY GOOD tank
0.00%:  got DAY
0.01%:  got DAYS of naked
0.00%:  got a lot of d
0.00%:  got a fig
0.00%:  ALSO tried taking
0.00%:  got GOD
0.00%:  got REALLY GOOD REASONS for the n
0.00%:  ALSO tried not
0.00%:  got faith
0.00%:  got LOADS of other
0.00%:  got a REALLY O
0.00%:  gotten old
0.00%:  heard
0.00%:  got the G
0.00%:  ALREADY got to
0.00%:  got YEARS of great
0.00%:  got SAND
0.00%:  got LAR
0.00%:  fl
0.00%:  got di
0.00%:  ALREADY G
0.00%:  got the N
0.00%:  done it SO
