their racist name for us!!
      0 100.00%: 
      1 19.05%:  a
      2 17.35%:  the
      3 14.59%:  me
      4 19.14%:  me!
      5 13.22%:  not
      6 19.58%:  not a
      7 11.37%:  me!!
      8 10.99%:  the most
      9 10.67%:  us
     10 12.04%:  us!
     11 10.02%:  an
     12 9.67%:  the reason
     13 9.48%:  the one
     14 9.43%:  it
     15 13.41%:  it!
     16 10.19%:  it for
     17 14.59%:  it for me
     18 16.26%:  it for me!
     19 13.35%:  it for me!!
     20 9.41%:  some
     21 8.69%:  it!!
     22 8.69%:  one
     23 8.41%:  their
     24 8.27%:  mort
     25 8.21%:  not the
     26 8.18%:  the s
     27 8.16%:  it for the
     28 8.13%:  the first
     29 8.07%:  the c
     30 13.29%:  the cra
     31 7.94%:  it for this
     32 7.87%:  short
     33 7.87%:  me in
     34 12.37%:  me in the
     35 7.79%:  not racist
     36 9.34%:  not racist!
     37 7.82%:  not racist!!
     38 7.67%:  a term
     39 7.57%:  a fun
     40 7.56%:  a nice
     41 7.36%:  me in the first
     42 7.32%:  it for us
     43 8.09%:  it for us!
     44 7.31%:  the sort
     45 7.15%:  not a term
     46 7.71%:  not a term!
     47 7.10%:  us!!
     48 7.10%:  the fun
     49 6.98%:  another
     50 6.92%:  the main
     51 6.81%:  our
     52 6.77%:  the most fun
     53 6.74%:  me in a
     54 6.68%:  their one
     55 6.67%:  the most un
     56 6.63%:  it for us!!
     57 6.53%:  a racist
     58 9.33%:  a racist term
     59 9.35%:  a racist term!
     60 8.23%:  a racist term for
     61 7.86%:  a racist term for us
     62 8.12%:  a racist term for us!
     63 6.96%:  a racist term!!
     64 6.43%:  the first reason
     65 6.31%:  if
     66 6.27%:  in
     67 9.15%:  in the
     68 6.89%:  in case
     69 6.25%:  me in a hat
     70 7.68%:  me in a hat!
     71 6.24%:  some racist
     72 6.24%:  the true
     73 6.22%:  a name
     74 7.48%:  a name for
     75 9.21%:  a name for us
     76 9.87%:  a name for us!
     77 7.33%:  a name for us!!
     78 6.92%:  a name for the
     79 6.18%:  me in the t
     80 6.17%:  a term for
     81 6.85%:  a term for a
     82 6.56%:  a term for us
     83 6.81%:  a term for us!
     84 6.03%:  me in the 
     85 6.02%:  morties
     86 7.76%:  morties!
     87 6.01%:  a racist term for us!!
     88 5.99%:  me in a hat!!
     89 5.97%:  a name!
     90 5.96%:  it for them
     91 8.27%:  it for them!
     92 6.58%:  it for them!!
     93 5.95%:  a fine
     94 5.94%:  a racist term so
     95 5.94%:  a racist term if
     96 5.93%:  me in case
     97 5.92%:  a term!
     98 5.91%:  not a term!!
     99 5.90%:  the name
    100 6.26%:  the name for
    101 8.05%:  the name for us
    102 8.85%:  the name for us!
    103 6.25%:  the name for us!!
    104 5.95%:  the name of
    105 5.89%:  me in the car
    106 7.42%:  me in the car!
    107 5.88%:  so
    108 5.87%:  us in
    109 9.78%:  us in the
    110 9.68%:  us in the mirror
    111 10.66%:  us in the mirror!
    112 8.87%:  us in the mirror!!
    113 6.47%:  us in the com
    114 6.29%:  us in the mort
    115 6.22%:  us in the 
    116 5.86%:  me on
    117 9.93%:  me on the
    118 7.31%:  me on the far
    119 5.85%:  us in the first
    120 5.85%:  the name for a
    121 5.85%:  not me
    122 7.50%:  not me!
    123 5.83%:  the reason!
    124 5.83%:  me in the fr
    125 5.83%:  some fine
    126 5.81%:  the time
    127 7.69%:  the time for
    128 7.96%:  the time for us
    129 7.68%:  the time for us!
    130 6.78%:  the time for s
    131 5.81%:  the nice
    132 5.81%:  the t
    133 7.67%:  the tini
    134 5.98%:  the tac
    135 5.80%:  the time of
    136 5.74%:  me for
    137 5.73%:  so much
    138 5.72%:  some nice
    139 5.70%:  the name of a
    140 5.69%:  in the fr
    141 5.69%:  them
    142 8.82%:  them!
    143 5.62%:  a n
    144 6.84%:  a nif
    145 5.60%:  one time
    146 5.60%:  the time for a
    147 5.60%:  me for the
    148 5.60%:  the nic
    149 9.93%:  the nicest
    150 5.56%:  in a
    151 5.56%:  from
    152 7.45%:  from the
    153 6.63%:  from a
    154 5.54%:  the iron
    155 7.12%:  the ironic
    156 5.54%:  in case the
    157 5.53%:  the most s
    158 5.53%:  in the same
    159 5.50%:  us in the rear
    160 5.47%:  a terr
    161 9.68%:  a terrific
    162 8.95%:  a terrific name
    163 8.50%:  a terrific name!
    164 7.98%:  a terrific term
    165 8.07%:  a terrific term!
    166 6.90%:  a terrific name!!
    167 6.29%:  a terrific term!!
    168 6.00%:  a terrific ne
    169 5.52%:  a terrific name to
    170 5.45%:  the nicest form
    171 5.44%:  in the first
    172 5.44%:  it for the name
    173 5.43%:  in case of
    174 5.76%:  in case of a
    175 5.48%:  in case of the
    176 5.43%:  me in that
    177 5.42%:  me in that case
    178 6.88%:  me in that case!
    179 5.67%:  me in that case!!
    180 5.42%:  it for the name!
    181 5.42%:  the smart
    182 5.41%:  the time for us!!
    183 5.40%:  racist
    184 7.39%:  racist!
    185 5.51%:  racist!!
    186 5.37%:  morties!!
    187 5.36%:  me in the car!!
    188 5.34%:  it for the 
    189 5.34%:  the cru
    190 5.30%:  their time
    191 6.47%:  their time!
    192 5.29%:  their name
    193 7.43%:  their name for
    194 11.26%:  their name for us
    195 12.66%:  their name for us!
    196 10.08%:  their name for us!!
    197 6.55%:  their name!
    198 5.28%:  their time for
    199 6.51%:  their time for us
    200 7.67%:  their time for us!
    201 5.96%:  their time for us!!
    202 5.25%:  us in the fr
    203 5.24%:  us in the t
    204 5.23%:  me in this
    205 5.73%:  me in this case
    206 7.18%:  me in this case!
    207 5.91%:  me in this case!!
    208 5.23%:  the name of us
    209 6.09%:  the name of us!
    210 5.22%:  us in the same
    211 5.22%:  me on the t
    212 5.20%:  an ac
    213 5.18%:  in their
    214 5.18%:  the time for sarc
    215 5.17%:  a nicer
    216 5.17%:  us in the m
    217 5.15%:  me for sh
    218 5.15%:  some nice rh
    219 5.15%:  in case if
    220 5.14%:  in case it
    221 5.13%:  not the same
    222 6.95%:  not the same as
    223 5.12%:  me short
    224 5.12%:  me in the first 
    225 5.12%:  a terrific turn
    226 5.10%:  it for sh
    227 5.08%:  the fr
    228 5.07%:  it for this!
    229 5.05%:  the most sane
    230 5.04%:  it for the s
    231 5.41%:  it for the sarc
    232 7.76%:  it for the sarcasm
    233 8.60%:  it for the sarcasm!
    234 6.75%:  it for the sarcasm!!
    235 6.57%:  it for the sarcasm in
    236 5.04%:  them for
    237 5.63%:  them for us
    238 7.42%:  them for us!
    239 5.88%:  them for us!!
    240 5.03%:  the most c
    241 5.20%:  the most cra
    242 5.03%:  
    243 5.02%:  a terrific one
    244 5.28%:  a terrific one!
    245 5.00%:  in case of their
    246 4.99%:  the same
    247 6.81%:  the same as
    248 5.86%:  the same as it
    249 5.20%:  the same as our
    250 4.98%:  the ironic use
    251 4.97%:  our name
    252 6.60%:  our name!
    253 4.97%:  not racist is
    254 4.96%:  us in the tr
    255 4.94%:  the name!
    256 4.92%:  me in case it
    257 4.91%:  a terrific m
    258 7.07%:  a terrific mn
