definitely possible to get a PhD in that, yes?
100.00%: 
38.08%:  definitely
36.52%:  a
25.32%:  not
20.92%:  a little
19.72%:  definitely a
18.57%:  totally
21.96%:  totally fine
15.27%:  definitely not that
14.39%:  been
14.29%:  definitely possible
13.62%:  definitely not the
12.22%:  definitely the
14.16%:  definitely the best
11.76%:  a little thing
10.77%:  the
10.60%:  possible
12.30%:  possible that
12.22%:  possible she
9.99%:  a good
9.63%:  the best
9.24%:  not that
8.22%:  definitely not a
10.87%:  definitely not a ghost
6.45%:  the best feeling
6.03%:  possible that the
5.76%:  not possible
5.58%:  possible this
5.50%:  possible that this
13.85%:  possible that this feeling
5.31%:  possible that she
5.13%:  so
4.82%:  this
9.54%:  this feeling
12.28%:  this feeling that
7.48%:  this little
5.17%:  this feeling inside
4.33%:  definitely not this
4.15%:  so intense
4.12%:  not polite
4.05%:  the best feeling in
4.02%:  definitely a thing
3.86%:  possible they
3.77%:  nothing
3.63%:  this little thing
3.57%:  been sitting
3.56%:  fine
3.53%:  only
10.03%:  only polite
4.11%:  only polite,
3.38%:  the only
3.34%:  not possible that
3.30%:  all
3.25%:  only been
3.24%:  still
3.24%:  definitely not that easy
3.24%:  definitely a thing that
3.17%:  honestly
3.55%:  honestly the
8.51%:  honestly the best
5.55%:  honestly the best feeling
3.14%:  totally fine,
3.12%:  possible the
3.02%:  definitely the best thing
3.00%:  been so
6.55%:  been so long,
3.55%:  been so long that
3.00%:  an
2.84%:  not that big
2.81%:  the best thing
2.81%:  this feeling inside that
2.80%:  possible he
2.67%: ,
2.63%:  been a little
2.42%:  definitely not the ghost
2.34%:  totally fine that
2.25%:  that
9.09%:  that feeling
3.16%:  that feeling that
2.24%:  one
2.16%:  good
2.11%:  definitely that
2.09%:  totally this
2.07%: , it
2.06%:  definitely a thing,
2.06%:  possible it
2.05%:  definitely too
2.05%:  the only thing
2.04%:  definitely hitting
2.01%:  an old
1.98%:  possible that they
1.92%:  possible that it
1.89%:  the best feeling,
1.89%:  not a
1.88%:  definitely one
1.87%:  a feeling
1.87%:  definitely been
1.86%:  not letting
1.86%:  honestly the best idea
1.83%:  a feeling that
1.77%:  possible that the feelings
1.76%:  definitely gotta
1.76%:  a little thing of
1.75%:  gotta
1.70%:  one of the best
3.15%:  one of the best things
1.67%:  been playing
1.66%:  totally fine to
1.65%:  honestly the only
1.65%:  definitely this
1.61%:  possible that he
1.61%:  a long
1.56%:  definitely an
1.53%:  not the
1.51%:  totally the
3.05%:  totally the best
2.81%:  totally the best thing
1.44%:  possible she left
1.44%:  this thing
1.43%:  that little
1.40%:  definitely got
1.40%:  gonna
1.40%:  this feeling in
1.39%:  not that big of
1.39%:  that one
1.39%:  a delight
1.36%:  been so long, it
1.36%:  definitely not the best
1.34%:  this feeling,
1.33%:  a little bit
1.31%:  honestly been
1.29%:  totally not
1.28%:  not that she
1.27%:  a thing
1.27%:  got
1.26%:  not possible,
1.26%:  been so long, it feels
1.26%:  totally fine to be
1.25%:  a thing that
1.24%:  a little thing,
1.22%:  in
1.37%:  in the title
1.22%:  definitely not that she
1.21%:  honestly the best feeling,
1.18%:  the feeling
2.58%:  the feeling that
1.17%:  definitely gotta be the
1.15%:  silly
1.15%:  definitely gotta be that
1.14%:  totally a
3.26%:  totally a thing
1.14%:  definitely gotta be this
1.14%:  totally fine, she
1.13%:  the latest
1.12%:  that feeling,
1.11%:  a little inside
1.09%:  that thing
1.09%:  this little ghost
1.07%:  gotta be the
1.06%:  definitely not as
1.04%:  a polite
1.03%:  been days
1.02%:  a little thing that
1.02%:  a totally
1.01%:  not a thing
1.01%:  gotta be this
1.00%:  too
0.99%:  possible that the feeling
0.99%:  this little dog
0.99%:  essential
0.98%:  been so long that it
4.67%:  been so long that it feels
0.98%:  the little
3.74%:  the little things, isn
2.72%:  the little things in
0.97%:  definitely not that easy,
0.97%:  a bit
0.97%:  been,
0.96%:  in the title,
0.95%:  the best idea
0.95%:  still inside
0.95%:  a feeling,
0.94%:  been a good
0.93%:  only polite that
0.93%:  a little intense
0.90%:  been eating
0.88%:  this intense
0.88%:  fine, it
0.88%:  nothing to
0.86%:  not that he
0.84%:  been doing
5.00%:  been doing this lately
3.51%:  been doing that
5.82%:  been doing that lately
2.35%:  been doing this all
2.12%:  been doing this to
1.25%:  been doing that all
1.06%:  been doing that lately,
0.84%:  a big
0.83%:  not possible that they
0.83%:  not possible that this
2.54%:  not possible that this feeling
0.82%:  definitely not the bo
0.82%:  a bit of a long
0.82%:  that one feeling
0.82%:  been ages
0.81%:  this feeling in the
0.80%:  definitely not that last
0.79%:  inside
0.79%:  the best of
0.78%:  a little bit of
0.78%:  definitely playing
0.77%:  so intense,
0.77%:  one of the things
0.77%:  essential to the
0.76%:  the best feeling, honestly
0.76%:  a delight to see
0.75%:  been a hell
0.74%:  this feeling that is
0.73%:  listening
0.73%:  this little ghost inside
0.73%:  not possible that he
0.73%:  been doing this lately,
0.73%:  only the
0.77%:  only the best
1.38%:  only the best feeling
0.71%:  not that deep
0.71%:  intense
0.71%:  definitely nost
0.71%:  not possible that she
0.71%:  totally that
0.71%:  definitely not the title
0.70%:  a little thing she
0.70%:  this little thing in
0.69%:  the latest in
0.69%:  not the best
0.69%:  delight
0.69%:  this one
0.68%:  honestly a
0.68%:  totally the best episode
0.68%:  totally fine that she
0.67%:  not that bad
0.67%:  gotta be inside
0.66%:  been days,
0.66%:  too late,
0.74%:  too late, isn
0.66%:  a little thing she does,
0.66%:  totally a thing,
0.66%:  definitely gotta be a
0.66%:  not the pills
0.65%:  a fine
0.65%:  this tiny
3.18%:  this tiny little
0.96%:  this tiny little thing
0.93%:  this tiny little ghost
0.82%:  this tiny little dog
0.65%:  this giant
0.65%:  definitely in
0.64%:  possible that she left
0.64%:  the least
0.63%:  only a
0.63%:  not helping
0.62%:  been so long that the
0.62%:  been too
0.61%:  the title
2.63%:  the title of his
1.67%:  the title of the
1.33%:  the title of his latest
0.60%:  nothing,
0.60%:  been doing it
0.60%:  the best feeling and
0.60%:  definitely not a ghost, is
0.59%:  not that they
0.58%:  his
0.58%:  totally the best idea
0.58%:  got to
0.57%:  gotta be the pills
0.57%:  doing
0.62%:  doing this
0.57%:  gotta be in
0.57%:  been ten
0.56%:  not often
0.56%:  all the
0.55%:  been a long day, h
0.55%:  totally fine that he
0.55%:  definitely not the least
0.55%:  possible he doesn
0.55%:  this little thing on
0.54%:  been hitting
0.54%:  definitely the best song
0.53%:  not easy
1.33%:  not easy being
0.75%:  not easy being the
0.52%:  totally not the
0.52%:  the last
0.52%:  possibly
0.52%:  possible that the only
0.51%:  one of the little
2.88%:  one of the little things
0.51%:  listening to
0.51%:  possible she got
0.50%:  sitting
1.35%:  sitting on the table
0.50%:  been a long shift
0.50%:  a thing,
0.49%:  a little boy
0.49%:  a good title
0.49%:  old
0.49%:  not possible that it
0.49%:  possible that the nost
0.49%:  in the title of
1.88%:  in the title of the sign
0.58%:  in the title of this
1.01%:  in the title of this episode
0.64%:  in the title of this sign
0.48%:  the feelings
1.08%:  the feelings that
0.48%:  the best song
0.48%:  this feeling, and
0.48%:  this old
1.56%:  this old feeling
1.41%:  this old feeling that
1.21%:  this old feeling,
0.47%:  only been eight
0.47%:  been a hell of a night
0.47%:  honestly not
0.86%:  honestly not that big
0.47%:  this little boy
0.47%:  been ages,
0.47%:  been totally
0.47%:  fine, they
0.47%:  the one
0.47%:  been eight
0.46%:  possible that that
0.46%:  definitely in the title
0.46%:  that old
7.92%:  that old feeling
6.35%:  that old feeling,
1.35%:  that old feeling, isn
0.80%:  that old feeling that
0.45%:  easy
1.01%:  easy to see
0.90%:  easy to tell
0.77%:  easy to tell she
0.60%:  easy to get
0.83%:  easy to get lost
1.26%:  easy to get lost in the
0.68%:  easy to get lost in the past
0.49%:  easy to get lost inside
0.47%:  easy to identify
0.44%:  definitely his
0.44%:  in the title of the sign,
0.44%:  also
0.76%:  also possible
0.66%:  also possible that the
0.44%:  the title of his best
0.44%:  the best episode
0.83%:  the best episode of the
0.44%:  definitely the best thing to
0.44%:  an inside
0.44%:  that last
0.44%:  definitely less
0.44%:  totally fine, don
0.44%:  gotta be in the
0.43%:  a slightly
0.43%:  one of the little things,
0.43%:  not helping that
0.43%:  this feeling that only
0.43%:  got to be the
0.43%:  only been,
0.43%:  a silent
0.43%:  been sitting at
0.43%:  totally been
0.42%:  possible that the title
0.42%:  definitely the best one
0.42%:  old feelings
0.42%:  the little things, e
0.41%:  a little thing inside
0.41%:  possible that he doesn
0.41%:  a little thing he
1.44%:  a little thing he does,
0.40%:  definitely the best title
0.40%:  so delight
0.40%:  easy to get lost in this
0.40%:  this sensation
0.39%:  that feeling in
0.39%:  been all
0.39%:  honestly the best title
0.39%:  definitely the best song title
0.39%:  possible,
0.39%:  a good title,
0.39%:  possible that if
0.39%:  fine, honestly
0.38%:  possible to
0.38%:  possible that,
0.38%:  the one that
0.38%:  definitely,
0.38%:  no
1.25%:  no big deal, she
1.08%:  no big deal if
0.90%:  no big deal, honestly
0.54%:  no big deal, it
0.51%:  no big deal, they
0.37%:  definitely a thing that is
0.37%:  got to be this
0.37%:  a lot
0.37%:  this totally
0.37%:  not easy to find
0.37%:  that one feeling that
0.37%:  so intense that
0.37%:  fine, she
0.37%:  totally fine, it
0.36%:  easy to tell that
0.49%:  easy to tell that she
