that's awesome; I'm glad we live in this wicked sweet world!!
100.00%: 
14.04%:  I
11.73%:  I made
7.90%:  I think
7.78%:  it
11.88%:  it's called
8.54%:  it's called the
6.86%:  it's the
6.82%:  this
6.56%:  that
6.26%:  he
5.70%:  it's more
5.20%:  it was
5.25%:  it was called
5.13%:  I'
6.45%:  I'm making
11.42%:  I'm making this
4.80%:  I think he
4.69%:  the
4.32%:  I think he's more
4.25%:  I think he was
3.79%:  I have
3.72%:  he's still
3.71%:  there
4.95%:  there's like
4.04%:  there's a
3.61%:  it's a
3.56%:  I think he's dead
3.51%:  this whole
3.42%:  I'm making this all
3.39%:  it's more like he
3.31%:  it's more like he's the
3.31%:  his
3.02%:  I've
2.97%:  I'm making all
2.94%:  he was
2.84%:  he's more
2.79%:  it's like
2.66%:  it's more like the
2.64%:  it's named
2.63%:  I wrote
2.54%:  I'm making it
2.53%:  that was
2.39%:  I think he was more
2.38%:  wait
2.35%:  that's wrong
2.28%:  I wrote this
2.21%:  he's more like
2.18%:  he didn
2.09%:  that's the
2.09%:  it's the second
2.03%:  it's more like he was
2.01%:  he's dead
1.97%:  this might
1.93%:  I made this
1.90%:  this is the
1.86%:  it's still
1.74%:  there's a whole
1.74%:  I think he's still
1.73%:  this is making
1.67%:  I'm making this whole
1.66%:  he's still alive and
1.64%:  it's more like a
1.64%:  I made him
1.64%:  I made it
1.63%:  that's a
1.62%:  this is the worst
1.61%:  we
1.59%:  this was
1.58%:  it's the latter
1.57%:  I think he died
1.51%:  we call
2.21%:  we call him the
1.50%:  that's a lie
1.50%:  I've made
1.93%:  I've made him
1.48%:  it's kinda
1.46%:  there's like a
1.44%:  I wrote this while
1.43%:  it's more like he's the god
1.41%:  it's more like his
1.40%:  I think we
1.39%:  he died
1.35%:  I made all
1.35%:  it's hard
1.34%:  there was
1.30%:  it's more like he's a
1.30%:  it's like the
1.30%:  that's like
1.27%:  it's like the worst
1.26%:  it's all
1.21%:  I'm still
1.18%:  I made the
1.85%:  I made the whole
1.16%:  the whole
1.15%:  I think he's called
1.15%:  I was
1.14%:  he's the
1.14%:  it's kind
1.11%:  I was making
1.09%:  it's made
2.73%:  it's made him the
1.11%:  it's made him a
1.08%:  I lied
1.08%:  his work
1.06%:  he's still alive and works
1.06%:  that might
1.05%:  this is all
1.05%:  the second
1.05%:  his sem
1.04%:  his work was
1.04%:  he wrote
1.02%:  there's a lot
1.02%:  I'm making it all
1.01%:  it's making
1.37%:  it's making him
1.00%:  there's this
0.99%:  his name
1.00%:  his name'
0.97%:  there's like 
0.97%:  he's called
0.97%:  that rh
0.96%:  I didn
0.96%:  that's kinda
