if it's the former then may I just say: AWESOME
100.00%: 
37.31%:  that
68.58%:  that's the
33.99%:  either
24.30%:  if
389.07%:  if it's the former
485.73%:  if it's the former then
120.05%:  if it's the former I
104.89%:  if it's the former then I just
64.92%:  if it's the former then just
49.03%:  if it's the former I just
46.39%:  if it's the former then my
43.75%:  if it's the former then I am
37.49%:  if it's that
31.78%:  if it's the former that
59.93%:  if it's the former that means
21.45%:  if it's the former than
20.42%:  if it's that then
18.07%:  if it's the former I am
16.82%:  if it's the former then I must
26.50%:  if it's the former then I must say:
14.78%:  there
14.12%:  if it's the former then I say
13.86%:  if it's the former then um
13.82%:  if that
28.74%:  if that's the former
12.80%:  the
12.29%:  that's a
12.24%:  if it's the former:
11.14%:  there's a
10.75%:  there's no
10.42%:  those
10.33%:  that's my
10.40%:  that's my story
9.19%:  if it's the former then I am just
8.96%:  that's the sort
8.57%:  those are the
8.16%:  this
8.06%:  I'm not
9.07%:  I'm not sure that
7.94%:  there are
7.82%:  those are my
7.67%:  I'm not sure if
7.44%:  if it's the former just
7.41%:  if the
7.30%:  it
7.11%:  the first
7.06%:  there's that
6.83%:  if the former
6.72%:  if that's the one
6.56%:  if it's the former then I am SO
6.51%:  that's the story
6.31%:  I'm not sure if that
6.30%:  it's the
6.21%:  that's the first
6.01%:  if that's the former I
5.83%:  that's me
5.61%:  if it's the former then say
5.17%:  if it's the former I must
5.16%:  this story
5.03%:  that is
4.89%:  if it's the former then:
4.86%:  that's an
4.58%:  if it's the former then O
4.57%:  if it's the former I meant
4.49%:  that's not
4.36%:  if so
4.77%:  if so then
4.35%:  if it's the former then A
4.26%:  if it's the former then W
4.25%:  that's the one
4.24%:  if it's the former then I just say
4.18%:  if it's that one I
4.17%:  I'm not sure either
4.15%:  if it's the former then WE
4.08%:  that's the issue
4.06%:  these
3.97%:  that's just
3.86%:  that's more
3.75%:  it's the first
3.74%:  if it's the former my
3.64%:  if it's the former then I may
3.60%:  if it's the former then I say:
3.57%:  that is the
3.40%:  if it's the former I am just
3.39%:  if that's your
3.30%:  my
5.13%:  my story
3.13%:  if it's the former than I just
3.10%:  if the former then
3.03%:  the former
3.00%:  if it's the former then S
2.89%:  I'm not sure yet
2.83%:  if it's the former then I W
2.81%:  that's fine
2.78%:  that's my story either
2.77%:  that seems
2.76%:  there is
2.69%:  there's not
2.69%:  if it's the former then I AM
2.68%:  if it's the former then I WAS
2.61%:  there's this
2.60%:  if it's the former I say
2.58%:  there are many
2.58%:  I'm not sure if this
2.56%:  that's the same
2.55%:  that's the first one
2.53%:  if that's more
2.52%:  if it's the former then may
24.18%:  if it's the former then may I just
87.69%:  if it's the former then may I just say:
4.31%:  if it's the former then may I say
3.88%:  if it's the former then may I just say W
3.78%:  if it's the former then may I say:
2.56%:  if it's the former then may I just say: A
