when I lost someone's baby!
      0 100.00%: 
      1 25.37%:  my
      2 24.61%:  how
      3 27.06%:  how I'm so
      4 26.12%:  how I'm an
      5 25.83%:  how I'm not
      6 25.31%:  how I'm 
      7 25.29%:  how I'm able
      8 25.28%:  how I'm obs
      9 25.28%:  how I'm on
     10 25.24%:  how I'm one
     11 25.22%:  how I'm too
     12 25.22%:  how I'm only
     13 25.21%:  how I'm at
     14 24.63%:  how I'm a t
     15 24.48%:  how I'm a 
     16 24.46%:  how I'm a l
     17 24.46%:  how I'm a b
     18 24.03%:  how I'm able to be
     19 23.70%:  how I'm able to see
     20 23.57%:  how I'm able to sne
     21 23.56%:  how I'm able to b
     22 23.42%:  how I'm not a
     23 23.36%:  the
     24 23.17%:  how I am
     25 22.68%:  the one
     26 22.20%:  how I'm obsess
     27 22.07%:  when
     28 23.17%:  when I say
     29 22.06%:  when I met
     30 21.98%:  a
     31 21.96%:  when I ate
     32 21.96%:  how I ate
     33 21.90%:  how I stole
     34 21.84%:  how I lost
     35 21.78%:  how I eat
     36 21.73%:  how I met
     37 21.73%:  when I'
     38 21.71%:  how I almost
     39 21.70%:  I
     40 21.70%:  how I only
     41 21.64%:  how I beat
     42 21.61%:  how I say
     43 21.58%:  how I sm
     44 21.58%:  how I set
     45 21.49%:  I'
     46 22.06%:  I'm a t
     47 22.02%:  I'm a w
     48 22.01%:  I'm a hot
     49 22.01%:  I'm a sweet
     50 22.01%:  I'm a h
     51 22.01%:  I'm a sh
     52 22.00%:  I'm a l
     53 21.99%:  I'm a b
     54 21.98%:  I'm a n
     55 21.69%:  I'm an
     56 21.49%:  how I'm only a
     57 21.48%:  I'm the
     58 21.42%:  how I'm only 
     59 21.41%:  how I'm on a one
     60 21.34%:  the one I
     61 22.11%:  the one I'm now
     62 21.34%:  the one I'm on
     63 21.33%:  when I lost
     64 21.32%:  the one I'm so
     65 21.27%:  I'm a hob
     66 23.44%:  I'm a hobo!
     67 21.27%:  how I'm so easy
     68 21.26%:  when I almost
     69 21.22%:  how I'm so obs
     70 21.22%:  when I stole
     71 21.21%:  how I'm so neat
     72 21.19%:  when I meet
     73 21.14%:  when I beat
     74 21.14%:  I'm so
     75 21.12%:  when I am
     76 21.12%:  when I eat
     77 21.12%:  when I sm
     78 21.12%:  how I'm on a lot
     79 21.11%:  when I set
     80 21.08%:  when I see
     81 21.03%:  how I'm on a 
     82 21.03%:  I'm not
     83 21.00%:  how I'm on a b
     84 20.86%:  I'm now
     85 20.85%:  when I'm on
     86 20.82%:  when I set a
     87 20.75%:  how I'm not so
     88 20.72%:  how I'm only one
     89 20.72%:  when I'm at
     90 20.68%:  how I'm one to
     91 20.66%:  how I'm on an
     92 20.56%:  how I'm not only
     93 20.55%:  how I'm not as
     94 20.52%:  how I'm an e
     95 20.48%:  how I'm an ele
     96 20.47%:  how I'm a lone
     97 20.46%:  how I'm an 
     98 20.45%:  how I'm an obs
     99 20.43%:  I'm 
    100 20.43%:  how I'm an only
    101 20.42%:  I'm one
    102 20.41%:  I'm on
    103 20.40%:  I'm at
    104 20.36%:  how I'm not one
    105 20.33%:  how I'm not an
