IS A SENTENCE ONLY AN OLD MAN WOULD SAY
      0 100.00%: 
      1 26.83%:  IS
      2 25.85%:  W
      3 30.82%:  WAS SO
      4 28.50%:  WAS A S
      5 31.19%:  WAS A SENTENCE I D
      6 30.36%:  WAS A SENTENCE I S
      7 29.19%:  WAS A SENTENCE A
      8 29.06%:  WAS A SENTENCE IN
      9 28.93%:  WAS A SENTENCE YOU
     10 28.43%:  WAS A SENTENCE SO
     11 28.40%:  WASN
     12 28.33%:  WAS A SENTENCE AND
     13 28.30%:  WAS A SENTENCE S
     14 28.16%:  WAS A SENTENCE U
     15 28.14%:  WAS A SENTENCE MA
     16 28.07%:  WAS A SENTENCE NO
     17 28.06%:  WAS A SENTENCE D
     18 28.05%:  WAS A SENTENCE N
     19 28.04%:  WAS A SENTENCE ON
     20 28.02%:  WAS A SENTENCE MO
     21 28.01%:  WAS A SENTENCE SU
     22 28.00%:  WAS A SENTENCE L
     23 28.00%:  WAS A SENTENCE AL
     24 27.99%:  WAS A SENTENCE MY
     25 27.97%:  WAS A SENTENCE M
     26 27.95%:  WAS A SENTENCE DI
     27 27.94%:  WAS A SENTENCE AN
     28 27.94%:  WAS A SENTENCE UN
     29 27.82%:  WAS A SENTENCE I N
     30 27.78%:  WAS A SENTENCE I ON
     31 27.74%:  WAS AN
     32 27.67%:  WAS A SENTENCE I AM
     33 27.63%:  WAS A SENTENCE I AL
     34 27.60%:  WAS A SENTENCE I DO
     35 27.59%:  WAS A SENTENCE I A
     36 27.58%:  WAS A SENTENCE I SA
     37 27.57%:  WAS A SENTENCE I M
     38 27.57%:  WAS A SENTENCE I MA
     39 27.54%:  WAS A SENTENCE I L
     40 27.54%:  WAS A SENTENCE I NO
     41 27.41%:  WAS A SENTENCE ONLY AN
     42 27.32%:  WAS A SENTENCE ONLY A M
     43 27.04%:  WAS SO M
     44 26.86%:  WAS A SENTENCE ONLY SO
     45 26.82%:  WAS A SENTENCE ONLY A D
     46 26.77%:  WAS A SENTENCE AND I
     47 26.74%:  WAS A SENTENCE ONLY A S
     48 26.74%:  WAS NOT
     49 26.65%:  WAS MY
     50 26.59%:  WAS T
     51 26.53%:  WAS C
     52 26.52%:  WAS A SENTENCE ONLY A N
     53 26.51%:  WAS A SENTENCE ONLY A DO
