um... I guess I'll talk to you later huh
      0 100.00%: 
      1 19.93%:  yeah
      2 18.73%:  there
      3 18.13%:  that
      4 17.98%:  you
      5 17.54%:  um
      6 17.03%:  your
      7 16.75%:  okay
      8 16.70%:  that's really
      9 16.60%:  tell
     10 16.59%:  here
     11 16.47%:  more
     12 16.30%:  you thought
     13 15.71%:  the
     14 15.61%:  that's the
     15 15.30%:  that's three
     16 15.18%:  that's your
     17 15.10%:  are
     18 15.10%:  there's that...
     19 14.98%:  let
     20 14.92%:  the story
     21 14.70%:  yes
     22 14.57%:  um...
     23 14.49%:  hey
     24 14.42%:  let me
     25 14.35%:  all
     26 14.89%:  all together
     27 14.17%:  I
     28 16.21%:  I guess
     29 14.43%:  I thought
     30 13.97%:  the moral
     31 13.95%:  that's okay
     32 13.91%:  tell me your
     33 13.87%:  yeah.
     34 13.76%:  so
     35 13.72%:  that story
     36 13.70%:  there's also
     37 13.66%:  here's a
     38 13.60%:  there's a
     39 13.57%:  that makes
     40 13.50%:  there's lots
     41 13.44%:  so totally
     42 13.43%:  yeah that
     43 13.37%:  there you
     44 13.35%:  you gotta
     45 13.28%:  you agree
     46 13.14%:  that's all
     47 13.06%:  let's all
     48 12.97%:  my
     49 14.16%:  my thoughts
     50 12.78%:  that's our
     51 12.78%:  yeah...
     52 12.75%:  that's...
     53 12.72%:  I guess that
     54 12.71%:  that's you
     55 12.68%:  to
     56 12.56%:  I really
     57 12.87%:  I really thought
     58 12.55%:  let's talk
     59 12.54%:  here's that
     60 12.53%:  tell us
     61 12.52%:  that's really the
     62 12.49%:  let's get
     63 12.41%:  tell me that
     64 12.35%:  that's my
     65 12.35%:  there's all
     66 12.33%:  tell me your thoughts
     67 12.28%:  I thought you
     68 12.27%:  I guess you
     69 12.26%:  here's my
     70 12.26%:  there that
     71 12.25%:  let's start
     72 12.25%:  am
     73 13.48%:  am I totally
     74 12.32%:  am I really
     75 12.24%:  let's shake
     76 12.23%:  ah
     77 12.23%:  er
     78 12.22%:  go
     79 12.22%:  there's...
     80 12.19%:  as
     81 12.38%:  as you
     82 12.18%:  he
     83 12.17%:  tell your
     84 12.16%:  let's share
     85 12.11%:  he totally
     86 12.08%:  all those
     87 12.06%:  the other
     88 12.05%:  you thought I
     89 11.97%:  that last
     90 11.92%:  all that
     91 11.84%:  are you the
     92 11.80%:  you hear
     93 11.79%:  the truth
     94 11.79%:  you seem
     95 11.79%:  you talk
     96 11.79%:  you must
     97 11.78%:  you make
     98 11.78%:  are you...
     99 11.77%:  the short
    100 11.77%:  you lost
    101 11.77%:  you take
    102 11.75%:  there's that I
    103 11.72%:  you take that
    104 11.71%:  that makes us...
    105 11.71%:  are you all
    106 11.70%:  that's a
    107 11.68%:  let's make
    108 11.63%:  let's hear
    109 11.61%:  tell that
    110 11.58%:  okay.
    111 11.55%:  let me ask
    112 11.50%:  let's go
    113 11.47%:  um yeah
    114 11.46%:  I'm totally
    115 11.46%:  all these
    116 11.45%:  are those
    117 11.43%:  that's the moral
    118 11.42%:  there's my
    119 11.41%:  more salt
    120 11.39%:  I guess your
    121 11.37%:  your last
    122 11.32%:  that's me
    123 11.31%:  you lost the
    124 11.26%:  I gotta
    125 11.25%:  that's us
    126 11.25%:  you're the
    127 11.24%:  all the
    128 11.23%:  I guess I really
    129 11.22%:  u
    130 11.20%:  to resume
    131 11.20%:  tell me all
    132 11.19%:  you agree to
    133 11.18%:  as usual
    134 11.14%:  let's take
    135 11.13%:  tell me...
    136 11.10%:  let's stay
    137 11.09%:  all you
    138 11.09%:  let's team
    139 11.07%:  tell me you
    140 11.03%:  um... there
    141 13.45%:  um... there's that
    142 11.03%:  okay that
    143 11.01%:  I guess the
    144 11.12%:  I guess the moral
    145 11.01%:  let's say
    146 10.99%:  he says
    147 10.98%:  you agree that
    148 10.96%:  to sum
    149 10.95%:  tell them
    150 10.94%:  let's all gather
    151 10.93%:  all three
    152 10.93%:  there's at
    153 10.92%:  you're that
    154 10.92%:  you're team
    155 10.92%:  you got
    156 10.90%:  hey guess
    157 10.90%:  let's look
    158 10.90%:  I guess they
    159 10.90%:  there may
    160 10.89%:  tell us more
    161 10.87%:  there...
    162 10.83%:  the story takes
    163 10.82%:  he really
    164 10.81%:  that's all you
    165 10.78%:  am I guest
    166 10.76%:  let's talk through
    167 10.76%:  the rest
    168 10.72%:  tell the
    169 10.71%:  um... yeah
    170 10.67%:  yes.
    171 10.67%:  here's to
    172 10.66%:  the real
    173 10.63%:  I guess I'm
    174 10.83%:  I guess I'm totally
    175 10.62%:  there's that. I
    176 10.62%:  so great
    177 10.62%:  that's the real
    178 10.57%:  you see
    179 10.55%:  the story goes
    180 10.54%:  the last
    181 10.53%:  you get
    182 10.50%:  all I
    183 10.69%:  all I really
    184 10.46%:  you are
    185 10.44%:  um... that
    186 10.57%:  um... that's really
    187 10.43%:  there's a lot
    188 10.43%:  I'm really
    189 10.40%:  the same
    190 10.40%:  that's the same
    191 10.39%:  the take
    192 10.38%:  here's a small
    193 10.38%:  here's a shout
    194 10.43%:  here's a shout out
    195 10.37%:  the guys
    196 10.37%:  the most
    197 10.36%:  you use
    198 10.35%:  I guess...
    199 10.32%:  let that
    200 10.32%:  are you al
    201 10.31%:  let's all shake
    202 10.31%:  you...
    203 10.30%:  I really thought I
    204 10.30%:  there's a small
    205 10.24%:  all your
    206 10.21%:  y
    207 12.12%:  y'all thought
    208 10.19%:  a
    209 10.89%:  a message
    210 10.18%:  that's your theme
    211 10.17%:  here you
    212 10.17%:  that'll
    213 10.17%:  tell me a
    214 10.15%:  that's a yes
    215 10.11%:  your last thought
    216 10.10%:  I thought I
    217 10.09%:  h
    218 10.09%:  my other
    219 10.09%:  yeah um
    220 10.08%:  uh...
    221 10.07%:  you're...
    222 10.06%:  let's say that
    223 10.06%:  am I your
    224 10.06%:  that's okay.
    225 10.05%:  so true
    226 10.04%:  you're all
    227 10.04%:  let's make that
    228 10.04%:  that's our team
    229 10.04%:  y'all gotta
    230 10.03%:  I guess I'm really
    231 10.03%:  that makes you
    232 10.02%:  are they
    233 10.02%:  my house
    234 10.02%:  let's all share
    235 10.01%:  er...
    236 9.98%:  there'll
    237 9.97%:  tell us your
    238 10.06%:  tell us your thoughts
    239 9.96%:  the story gets
    240 9.95%:  let's all stay
    241 9.95%:  let's all get
    242 9.94%:  all those years
    243 9.94%:  yeah that's true
    244 9.94%:  let's all start
    245 9.92%:  um... tell
    246 9.92%:  okay...
    247 9.89%:  tell me a story...
    248 9.89%:  I guess my
    249 9.89%:  I thought your
    250 9.88%:  am I guest star
    251 9.88%:  let's all go
    252 9.87%:  yes that
    253 10.61%:  yes that's true
    254 9.84%:  um... your
    255 10.48%:  um... your thoughts
    256 9.84%:  I guess our
    257 9.83%:  let's sum
    258 9.82%:  tell you
    259 9.81%:  let me talk
    260 10.03%:  let me talk to you
    261 9.81%:  um... okay
    262 9.81%:  you're out
    263 9.79%:  um... stay
    264 9.78%:  let's try
    265 9.77%:  I guess all
    266 9.77%:  let me ask you...
    267 9.77%:  yeah that's sort
    268 9.77%:  y'all there
    269 9.77%:  that's all you got
    270 9.77%:  y'all share
    271 9.77%:  yeah that's more
    272 9.76%:  y'all thought I
    273 9.70%:  I guess let
    274 9.69%:  all the other
    275 9.68%:  there ya
    276 9.66%:  y'all share the
    277 9.66%:  there's... that
    278 9.65%:  um... that's great
    279 9.65%:  am I the
    280 9.64%:  let's use
    281 9.64%:  let's reg
    282 9.62%:  let's let
    283 9.61%:  let's...
    284 9.61%:  a really
    285 9.61%:  I thought you'
    286 9.60%:  let's hug
    287 9.60%:  let's set
    288 9.60%:  let's eat
    289 9.58%:  tell our
    290 9.55%:  that's your last
    291 9.55%:  I take
    292 9.55%:  hey look
    293 9.55%:  here...
    294 9.54%:  you must agree
    295 10.07%:  you must agree that
    296 9.54%:  am I here
    297 9.53%:  more out
    298 9.52%:  I guess I'll take
    299 9.51%:  I hear
    300 9.51%:  I took
    301 9.51%:  are you a
    302 9.50%:  all I really thought
    303 9.50%:  I guess I'll tell
    304 9.50%:  a story
    305 9.47%:  let's talk later
    306 9.46%:  all they
    307 9.46%:  he stole
    308 9.46%:  he looks
    309 9.46%:  more the
    310 9.45%:  he makes
    311 9.44%:  I guess I'll talk
    312 11.60%:  I guess I'll talk to you later...
    313 11.18%:  I guess I'll talk to you later.
    314 10.13%:  I guess I'll talk to your
    315 9.79%:  I guess I'll talk to you later h
    316 9.44%:  more...
    317 9.44%:  he takes
    318 9.44%:  he shoot
    319 9.49%:  he shoots me
    320 9.43%:  I must
    321 9.42%:  I guess I'll make
    322 9.42%:  yeah... that
    323 9.40%:  um... there's also
    324 9.37%:  my thoughts are all
    325 9.37%:  let's use that
    326 9.35%:  here's a shot
    327 9.34%:  um... you
    328 9.43%:  um... you thought
    329 9.34%:  that's your take
    330 9.61%:  that's your take home
    331 9.34%:  so that
    332 9.34%:  um... that's your
    333 9.32%:  that's the guy
    334 9.32%:  I really gotta
    335 9.32%:  here's a salt
    336 9.31%:  I guess I'll tell you
    337 9.29%:  um... that really
    338 9.29%:  I guess you'll
    339 9.28%:  um... there's a
    340 9.28%:  that's your team
    341 9.27%:  um... tell your
    342 9.26%:  yeah I
    343 11.85%:  yeah I guess that
    344 9.25%:  that's your goal
    345 9.24%:  so yeah
    346 9.24%:  there's a shot
    347 9.24%:  there's a salt
    348 9.24%:  so meta
    349 9.23%:  that's... really
    350 9.22%:  that's all I got
    351 9.21%:  let's all take
    352 9.20%:  I guess I'll talk to my
    353 9.20%:  so hurt
    354 9.19%:  you take the
    355 9.19%:  um... there's lots
    356 9.19%:  am I guest or
    357 9.19%:  let's all make
    358 9.19%:  so real
    359 9.18%:  let's all talk
    360 9.18%:  you gotta tell
    361 9.17%:  the story has
    362 9.15%:  um... that's the
