still really want to be pals!!
      0 100.00%: 
      1 21.06%:  really
      2 18.83%:  still
      3 18.62%:  swear
      4 17.67%:  want
      5 17.33%:  will
      6 19.59%:  will personally
      7 16.66%:  really want
      8 16.54%:  only
      9 16.39%:  still totally
     10 15.93%:  still want
     11 15.53%:  will totally
     12 15.38%:  was
     13 17.08%:  was literally
     14 15.06%:  still really
     15 14.92%:  will not
     16 14.62%:  say
     17 14.57%:  was totally
     18 14.54%:  see
     19 14.52%:  won
     20 14.51%:  bet
     21 14.36%:  saw
     22 14.33%:  now
     23 14.18%:  will repeat
     24 13.82%:  swear to
     25 13.79%:  really wasn
     26 13.67%:  now realise
     27 13.58%:  still won
     28 13.34%:  want to be really
     29 13.28%:  was really
     30 13.16%:  want to party
     31 13.12%:  will personally be
     32 12.98%:  was pretty
     33 12.79%:  only pal
     34 12.75%:  will start
     35 12.57%:  want to tell
     36 12.52%:  really was
     37 12.49%:  will not repeat
     38 12.41%:  still say
     39 12.40%:  really won
     40 12.37%:  want to say
     41 12.30%:  still only
     42 12.29%:  still plan
     43 12.27%:  only write
     44 12.18%:  no
     45 12.10%:  will not pal
     46 12.04%:  want to play
     47 11.96%:  will be
     48 11.92%:  really want to tell
     49 11.89%:  want to stay
     50 11.77%:  will tell
     51 11.73%:  want to see
     52 11.66%:  will say
     53 11.66%:  will only
     54 11.63%:  really want to beat
     55 11.56%:  swear it
     56 11.55%:  was still
     57 11.43%:  will totally be
     58 11.38%:  will also
     59 11.37%:  will stop
     60 11.12%:  will not steal
     61 11.12%:  want to be part
     62 11.09%:  will be totally
     63 11.09%:  want to be real
     64 11.01%:  want to pay
     65 10.96%:  still see
     66 10.92%:  will pay
     67 10.88%:  still want to see
     68 10.87%:  will not be party
     69 10.86%:  only tell
     70 10.83%:  was only
     71 10.81%:  swear all
     72 10.80%:  swear not
     73 10.76%:  still want to play
     74 10.74%:  really want to eat
     75 10.69%:  really want to bet
     76 10.68%:  want to let
     77 10.66%:  really want to let
     78 10.65%:  want to eat
     79 10.64%:  still really want a
     80 10.75%:  still really want a best
     81 10.61%:  want to bet
     82 10.59%:  want to pet
     83 10.57%:  want to tie
     84 10.52%:  swear on
     85 10.40%:  will not pay
     86 10.40%:  want all
     87 10.34%:  was born
     88 10.27%:  will not be press
     89 10.19%:  will not play
     90 10.18%:  will not tell
     91 10.18%:  was best
     92 10.15%:  was able
     93 10.15%:  was sent
     94 10.15%:  was also
     95 10.08%:  will try
     96 10.07%:  will eat
     97 10.05%:  will let
     98 10.04%:  will see
     99 10.00%:  will bet
    100 9.97%:  want to be its
    101 9.89%:  still plan to be
    102 9.87%:  still want to pay
    103 9.85%:  still want to say
    104 9.85%:  only let
    105 9.84%:  still want to pal
    106 9.82%:  only bet
    107 9.78%:  see only
    108 9.77%:  only eat
    109 9.75%:  only see
    110 9.71%:  only saw
    111 9.65%:  won best
    112 9.65%:  will not be part
    113 9.64%:  say wait
    114 9.60%:  only ate
    115 9.58%:  swear!!
    116 9.55%:  still want all
    117 9.51%:  will not say
    118 9.49%:  swear by
    119 9.47%:  swear in
    120 9.46%:  will no
    121 9.45%:  still really want to pal
    122 9.44%:  now tell
    123 9.43%:  swear!
    124 9.40%:  still say no
    125 9.38%:  want a
    126 9.35%:  will not be late
    127 9.34%:  will try not
    128 9.34%:  want to re
    129 9.33%:  saw it last
    130 9.32%:  will not let
    131 9.28%:  say no
    132 9.26%:  want it
    133 9.18%:  really want to be a
    134 9.14%:  really want a
    135 9.10%:  want to be a
    136 9.10%:  will not eat
    137 9.09%:  still want a
    138 9.08%:  will not see
    139 9.05%:  was not
    140 9.00%:  still really want to be p
    141 8.96%:  really want it
    142 8.95%:  will say no
    143 8.94%:  will not bet
    144 8.91%:  see no
    145 8.88%:  want to be as
    146 8.86%:  still really want to be a
    147 8.82%:  was all
    148 9.06%:  was all set to be
    149 8.82%:  still want to sl
    150 8.81%:  now see
    151 8.80%:  was one
    152 8.76%:  see now
    153 8.74%:  bet we
    154 8.74%:  want to party!
    155 8.73%:  see it
    156 8.72%:  was able to retain
    157 8.72%:  was able to insert
    158 8.71%:  was able to listen
    159 8.71%:  still want to be a
    160 8.70%:  still want to be p
    161 8.83%:  still want to be pals!
    162 8.65%:  will only be
    163 8.64%:  will try to be less
    164 8.58%:  was all set to tell
    165 8.54%:  really want it to be a
    166 8.53%:  still really want to be pals!
    167 8.47%:  will also say
    168 8.45%:  now say
    169 8.44%:  will not be pal
    170 8.41%:  say to
    171 8.39%:  bet it
    172 8.38%:  say now
    173 8.36%:  say one
    174 8.35%:  swear to all
    175 8.33%:  saw it all
    176 8.33%:  say all
    177 8.32%:  see all
    178 8.31%:  bet all
    179 8.28%:  see two
    180 8.27%:  was all set to betray
    181 8.26%:  saw one
    182 8.26%:  saw all
    183 8.25%:  now pal
    184 8.23%:  was so
    185 8.19%:  swear i
    186 8.19%:  was able to tell
    187 8.14%:  now eat
    188 8.10%:  will be late
    189 8.08%:  still plan to say
    190 8.04%:  want a better
    191 7.99%:  still want to be pals!!
    192 7.98%:  really want to be p
    193 7.98%:  will be less
    194 7.97%:  was able to learn
    195 7.95%:  will not be a
    196 8.91%:  will not be a party
    197 7.95%:  really want a best
    198 7.95%:  want a little
    199 7.94%:  still plan to steal
    200 7.91%:  was able to steal
    201 7.89%:  was really into
    202 7.87%:  was able to alter
    203 7.84%:  say we
    204 7.83%:  want to be p
