so that guy totally ate a sandwich the size of his head!!
100.00%: 
39.71%:  that
47.98%:  that was totally
42.75%:  that sounds
26.70%:  that was a
70.01%:  that was a little
20.36%:  that was a lie though
18.10%:  that was a little too
16.45%:  that was a little che
15.50%:  that last
35.76%:  that last one was a
92.56%:  that last one was a lie though
13.11%:  that sounds way
12.07%:  that was the
37.21%:  that was the last thing
16.54%:  that was the last thing you
25.92%:  that was the last thing you said
11.75%:  that was the last one though
10.13%:  that was totally the
10.10%:  that doesn
9.79%:  so
10.98%:  so that
16.38%:  so that was
13.20%:  so that was totally
9.51%:  that was the last of
79.74%:  that was the last of the hands
9.01%:  that was totally a
8.90%:  that was the last hand
8.88%:  that last one was a lie!!
8.39%:  that wasn
8.35%:  that sounds totally
8.19%:  that sounds cool
8.10%:  that was the last of these
7.87%:  that last one was a lie though!!
7.74%:  that was a lie and
7.64%:  that was the last one!!
7.42%:  that was the last of those
6.77%:  that sounds way cool
6.63%:  so that was a
21.65%:  so that was a little
8.85%:  so that was a lie
6.55%:  that last one was the
6.43%:  so that sounds
6.31%:  wait
11.51%:  wait that
48.73%:  wait that sounds
12.57%:  wait that sounds totally
9.87%:  wait that doesn
6.26%:  listen
5.94%:  so that was a little che
5.61%:  that last one is
5.50%:  that was the last of the hand
5.30%:  that last thing
5.29%:  that was a total
7.06%:  that was a total lie though
5.12%:  that was enough
5.08%:  that was a lot
5.02%:  so that last
12.09%:  so that last one was a
4.82%:  that was a little too high
4.60%:  that was totally not
4.57%:  that was the last of the hands so
4.51%:  that one
9.01%:  that one was totally
4.44%:  though
4.41%:  that was totally che
4.41%: !!
4.39%:  that last line
5.57%:  that last line was a
4.29%:  that was a lot of things
4.19%:  that was a totally
4.13%:  that was the last thing you said to
4.12%:  that sounds way less
3.99%:  so that was the
8.67%:  so that was the last
10.63%:  so that was the last thing
4.80%:  so that was the last one
4.48%:  so that was the last thing you
8.49%:  so that was the last thing you said
3.95%:  that was the last of the hands!!
3.85%:  that was too
3.78%:  that was not
3.73%:  so that last one was a lie though
3.73%:  that was a total lie and
3.72%:  that sounds way less cool
3.69%:  now
3.68%:  wait that last
3.67%:  that totally
7.15%:  that totally sounds
3.65%:  now that
3.62%:  this
3.51%:  that was che
3.49%:  guys
3.40%:  that was the last of the hands you
3.35%:  that sounds totally sweet
3.33%:  that was the longest
3.28%:  wait hold
5.38%:  wait hold on that
6.61%:  wait hold on that last
3.28%:  so that was a lie and
3.25%:  wait that last one
3.24%:  that was the last thing you said so
3.19%:  that sounds way too
3.19%:  no
5.37%:  no that
5.55%:  no that was
4.42%:  no wait
