T-Rex (punchline): Why are you doing this to me
      0 100.00%: 
      1 0.71%:  that
      2 0.51%:  excuse
      3 0.29%:  cough
      4 0.20%:  that one
      5 0.19%:  man
      6 0.18%:  -
      7 0.13%:  Why
      8 2.43%:  Why are you doing
      9 1.42%:  Why are you doing this to him
     10 1.42%:  Why are you doing this to meee
     11 1.21%:  Why are you putting
     12 0.90%:  Why are you shouting
     13 0.55%:  Why are you doing this to me in
     14 0.38%:  Why are you so
     15 0.38%:  Why are you doing these
     16 0.29%:  Why are you putting me on
     17 0.22%:  Why are you doing this to me T
     18 0.22%:  Why are you doing this to me u
     19 0.19%:  Why are you pointing
     20 0.15%:  Why are you coming
     21 0.15%:  Why are you doing these to
     22 0.14%:  Why are you hitting
     23 0.12%:  T
     24 0.42%:  T-Rex here
     25 0.13%:  T-Rex is
     26 0.12%:  Why are you shooting
     27 0.12%:  that reminds
     28 0.12%:  Why are you shouting into
     29 0.11%:  Why are you doing this to me -
     30 0.11%:  you
     31 0.11%:  you guys
     32 0.11%:  Why are you doing it
     33 0.11%:  Why are you doing it this
     34 0.10%:  Why are you putting him
     35 0.10%:  you should
     36 0.10%:  the
     37 0.09%:  Why are you shooting me
     38 0.09%:  Why are you doing this to me h
     39 0.09%:  there
     40 0.09%:  exc
     41 0.09%:  Why are you spending
     42 0.23%:  Why are you spending time
     43 0.08%:  that is
     44 0.08%:  Why are you doing this to me uncle
     45 0.08%:  Why are you coming inside
     46 0.08%:  Why are you putting d
     47 0.08%:  Why are you doing this in
     48 0.21%:  Why are you doing this in the
     49 0.08%:  oh
     50 0.30%:  oh my god that
     51 0.11%:  oh man
     52 0.10%:  oh my g
     53 0.16%:  oh my gosh that
     54 0.10%:  oh my gosh that one
     55 0.07%:  holy
     56 0.08%:  holy shit
     57 0.07%:  gotta
     58 0.07%:  Why are you putting so
     59 0.07%:  Why are you putting me inside
     60 0.07%:  holy crap i
     61 0.07%:  holy crap i need
     62 0.11%:  holy crap i need some
     63 0.28%:  holy crap i need some oxygen
     64 0.08%:  holy crap i need to go
     65 0.07%:  Why are you touching
     66 0.07%:  T-Rex needs
     67 0.20%:  T-Rex needs to lie
     68 0.08%:  T-Rex needs to go
     69 0.08%:  T-Rex needs to go home
     70 0.07%:  my
     71 0.16%:  my lungs
     72 0.07%:  - that
     73 0.07%:  Why are you coming into
     74 0.07%:  a
     75 0.07%:  Why are you pushing
     76 0.07%:  Why are you putting him in
     77 0.07%:  Why are you so into
     78 0.07%:  great
     79 0.07%:  excuse you
     80 0.06%:  my heart
     81 0.06%:  T-Rex needs to get
     82 0.06%:  Why are you putting me in cho
     83 0.06%:  Why are you doing the
     84 0.06%:  (
     85 0.06%:  T-Rex needs to cough
     86 0.06%:  you guys are
     87 0.06%:  oh my god oh
     88 0.06%:  Why are you hitting me so
     89 0.06%:  Why are you putting holes
     90 0.06%:  Why are you spending time on
     91 0.05%:  Why are you doing this ut
     92 0.05%:  oh my god that one
     93 0.05%:  Why are you holding
     94 0.07%:  Why are you holding out
     95 0.05%:  Why are you letting
     96 0.07%:  Why are you letting him
     97 0.06%:  Why are you letting me die
     98 0.05%:  my lungs are
     99 0.05%:  Why are you shouting in
    100 0.05%:  Why are you doing this to m
    101 0.05%:  nothing
    102 0.08%:  nothing personal
    103 0.05%:  ahh
    104 0.05%:  Why are you putting holes in me
    105 0.05%: c
    106 0.05%:  T-Rex needs a
    107 0.05%:  oh my gosh i
    108 0.05%:  T-Rex needs to go to
    109 0.05%:  excuse me a
    110 0.05%:  and
    111 0.05%:  um
    112 0.05%:  Why are you pushing the
    113 0.05%:  holy crap i need oxygen
    114 0.05%:  Why are you letting me do
    115 0.05%:  that should
    116 0.04%:  Why are you doing this to me-
    117 0.04%:  ahem
    118 0.04%:  someone
    119 0.04%:  Why are you hitting me in
    120 0.04%:  Why are you doing this t
    121 0.04%:  Why are you doing it to him
    122 0.04%:  someone help
    123 0.04%:  Why are you so much
    124 0.04%:  Why are you doing this to mel
    125 0.04%:  my clothes
    126 0.04%:  that is one
    127 0.04%:  Why are you pointing out
    128 0.04%:  oh my gosh oh
    129 0.04%:  T-Rex needs to go lay
    130 0.04%:  my heart is
    131 0.04%:  Why are you putting him on
    132 0.04%:  honestly
    133 0.17%:  honestly though
    134 0.04%:  T-Rex please
    135 0.04%:  T-Rex cough
    136 0.04%:  Why are you doing this T
    137 0.04%:  and then
    138 0.04%:  can
    139 0.04%:  yeah
    140 0.04%:  Why are you doing this -
    141 0.04%:  Why are you such
    142 0.04%:  oh my god i
    143 0.04%:  so
    144 0.04%:  T-Rex needs to learn
    145 0.03%:  la
    146 0.03%:  crap
    147 0.03%:  Why do
    148 0.16%:  Why do you hate me
    149 0.10%:  Why do you hate me so
    150 0.07%:  Why do you hate the
    151 0.04%:  Why do you hate them
    152 0.03%:  listen
    153 0.03%:  oh my gosh i need
    154 0.03%:  Why are you pointing this
    155 0.03%:  Why are you putting in
    156 0.03%:  that doesn
    157 0.03%:  Why are you so loud
    158 0.03%:  W
    159 0.03%:  my pants
    160 0.03%:  Why are you doing this on
    161 0.06%:  Why are you doing this on the
    162 0.03%:  god
    163 0.03%:  so there
    164 0.03%:  Why are you shouting it
    165 0.03%:  Why are you coming in
    166 0.03%:  exhaust
    167 0.03%:  hey
    168 0.03%:  Why are you holding this
    169 0.03%:  Why are you letting someone
    170 0.03%:  Why are you hitting him
    171 0.03%:  T-Rex doesn
    172 0.03%:  T-Rex please continue
    173 0.03%:  oh my gosh you
    174 0.03%:  o
    175 0.03%: exc
    176 0.03%:  my chest
    177 0.03%:  this
    178 0.03%:  Why are you putting someone
    179 0.03%:  Why are you pushing me into
    180 0.03%:  Why are you spending time in
    181 0.03%:  u
    182 0.03%:  holy crap i need some oxygen in
    183 0.03%:  oh my god please
    184 0.03%:  d
    185 0.03%:  - excuse
    186 0.03%:  let
    187 0.03%:  T-Rex is pretty
    188 0.03%:  oh my god i can
    189 0.03%:  Why are you sitting
    190 0.03%:  Why don
