FOR WHAT I CAN ONLY DESCRIBE AS "AWESOME REASONS"
34.88%:  RE
19.63%:  FOR
9.89%:  FOR RE
9.69%:  REAL
7.39%:  FOR REAL
6.24%:  FOR SO
29.69%:  FOR SOME REASONS
28.61%:  FOR SOME REASON I
21.37%:  FOR SOME REASON I CAN
10.45%:  FOR SOME REASON I D
10.10%:  FOR SOME REASON I CANNOT
5.42%:  FOR REAL RE
7.63%:  FOR REAL REASONS THIS
5.10%:  REAL RE
4.87%:  REAL REASONS THIS
4.74%:  SO
11.27%:  SOME REASONS
3.97%:  A
3.91%:  SOME REASON I
3.66%:  FOR SOME REASON I NE
3.66%:  FOR SOME REASON OR
3.62%:  REALS
3.23%:  FOR SOME REASON WH
3.13%:  SOME REASON I CAN
3.11%: RE
2.91%:  FOR SOME REASON NO
2.85%:  FOR A
2.84%:  FOR SOME REASON I TH
2.80%:  FOR SOME REASON I CANNOT DES
2.69%:  FOR C
12.36%:  FOR CHESS RE
2.54%:  FOR SOME REASON IT
2.39%:  FOR SOME REASON THIS
2.28%:  FOR SOME REASON OR AN
2.26%:  "
2.26%:  C
5.79%:  CHESS RE
2.24%:  FOR SOME REASON RE
2.24%:  FOR REALS
2.20%:  CHESS LE
2.16%:  FOR SOME REASON THE
2.05%:  OTHER
1.83%:  FOR SOME REASON I NEED TO SE
1.81%:  FOR SOME REASON IN
1.79%:  REASONS I
5.44%:  REASONS I CANNOT DIS
1.78%:  AN
1.76%:  CHESS D
1.75%:  A RE
1.72%:  SOME REASON I CANNOT
1.69%:  FOR A RE
1.58%:  FOR SOME REASON NOW I
1.55%:  FOR SOME REASON NOT
1.52%:  ANY
11.62%:  ANY REASON RE
7.32%:  ANY REASON AT
2.58%:  ANY REASON WH
1.50%:  FOR A REASON I
3.95%:  FOR A REASON I CANNOT
1.46%:  FOR SOME REASON I NEED H
2.06%:  FOR SOME REASON I NEED HORSE C
1.45%:  FOR SOME REASON I W
1.43%:  FOR MY
2.12%:  FOR MY HORSES
1.43%:  FOR REAL REASONS THIS ON
1.42%:  B
1.41%:  FOR REASONS I
2.21%:  FOR REASONS I CANNOT DIS
1.39%:  EM
1.36%:  FOR SOME REASON THIS CON
1.34%:  FOR SOME REASON I NEED TO BE
1.32%:  FOR CHESS LE
1.32%:  FOR AN
1.28%:  S
1.28%:  FOR ANY
14.29%:  FOR ANY REASON RE
13.55%:  FOR ANY REASON AT
4.31%:  FOR ANY REASON WH
1.98%:  FOR ANY REASON I
3.51%:  FOR ANY REASON I CAN CO
1.27%:  CON
1.25%:  FOR ANY REASON OTHER
1.17%:  FOR A REASON I CANNOT DIS
1.16%:  FOR SOME REASON I NEED A
1.16%:  ANY REASON I
2.27%:  ANY REASON I CAN CO
1.14%:  CHESS DAY
1.13%:  FOR SOME REASON TH
1.36%:  FOR SOME REASON THERE IS
1.12%:  REASONS I CANNOT SH
1.10%:  FOR REAL REASONS I
1.08%:  FOR SOME REASON W
1.07%:  FOR SOME REASON THEY ARE
1.06%:  FOR SOME REASON I NEED TO S
1.05%:  FOR SOME REASON T
1.63%:  FOR SOME REASON TODAY I
1.04%:  FOR CHEE
1.01%:  FOR SOME REASON I CANNOT AR
1.00%:  FOR SOME REASON I RE
0.99%:  SOME REASON I D
0.97%:  FOR SOME REASON WHAT
0.97%:  REASONS I CANNOT D
0.95%:  FOR SOME REASON I NEED HORSE S
0.95%:  FOR H
5.16%:  FOR HORSE RE
3.47%:  FOR HORSE C
1.19%:  FOR HORSE R
1.33%:  FOR HORSE REL
1.26%:  FOR HORSE RELATED M
1.14%:  FOR HORSES AND
0.92%:  M
0.92%:  FOR SOME REASON AL
0.90%:  FOR SOME REASON SO
0.90%:  FOR REAL REASONS NO
0.86%:  FOR SOME REASON TO
0.85%:  FOR SOME REASON A
0.85%:  FOR SOME REAL
0.85%:  FOR HORSE B
0.85%:  FOR SOME REASON I WAS
0.85%:  A REASON I
2.71%:  A REASON I CANNOT
1.34%:  A REASON I CANNOT DIS
0.84%:  FOR SOME REASON I ST
0.84%:  FOR CHESS D
0.83%:  MOR
1.94%:  MORAL S
1.61%:  MORAL REASONS OR
0.83%:  FOR SOME REASON REAL
0.83%:  FOR S
0.82%:  ANY REASON OTHER
0.81%:  H
3.67%:  HORSE RE
3.66%:  HORSE C
0.96%:  HORSE R
0.93%:  HORSE REL
1.32%:  HORSE RELATED REASONS I
1.79%:  HORSE RELATED REASONS I CAN
1.15%:  HORSE RELATED REASONS IN
0.87%:  HORSE RELATED M
0.80%:  FOR SOME REASON AND
0.80%:  FOR CHESS REASONS OR
0.80%:  FOR SOCIAL
0.79%:  IN
0.79%:  SOME REASON OR
0.78%:  FOR REASONS WH
0.77%:  FOR CHESS AND
0.76%:  FOR SOME REASON OTHER
0.76%:  FOR ANY REASON I CAN MA
0.76%:  FOR SOME REASON I CAN NE
0.76%:  FOR B
0.76%:  FOR SOME REASONS I
1.47%:  FOR SOME REASONS I CANNOT
0.76%:  FOR ANY REASON ACT
0.74%:  FOR SOMEONE
1.61%:  FOR SOMEONE ELSE TO
0.74%:  FOR CHESS REASONS I
0.74%:  FOR SOME REASON I NO
0.74%:  FOR SOME REASON I H
0.74%:  REASONS OF
0.73%:  REAL REASONS THIS ON
0.72%:  FOR REAL REASONS WH
0.72%:  INFORM
0.72%:  FOR REAL REASONS THIS ONE
0.70%:  E
0.70%:  FOR NO
3.91%:  FOR NO REASON AT
2.80%:  FOR NO REASON WH
0.86%:  FOR NO REASON I
1.06%:  FOR NO REASON I CAN TH
0.69%:  SER
0.69%:  FOR SOME REASON WHY
0.69%:  FOR SOME REASON I CANNOT DESCRIBE WH
0.69%:  FOR SOME REASON I CANNOT DESCRIBE Y
0.69%:  FOR SOME H
4.42%:  FOR SOME HORSE RE
3.26%:  FOR SOME HORSE C
0.91%:  FOR SOME HORSE ACTION
0.87%:  FOR SOME HORSEY
0.87%:  FOR SOME HORSES TO
0.86%:  FOR SOME HORSE REASONS I
0.68%:  FOR SOME REASON ALSO
0.68%:  FOR HORSE RID
0.68%:  FOR SOME REASON IT SE
0.68%:  SOME H
5.14%:  SOME HORSES
3.82%:  SOME HORSE RE
3.63%:  SOME HORSE C
1.36%:  SOME HORSE ACTION
0.68%:  FOR SOME REASON ALONE
0.66%:  HORSES AND
0.66%:  FOR SOME HORSE S
0.66%:  FOR NO REASON RE
0.65%:  FOR E
0.65%:  REASONS WH
0.65%:  SOMEONE
1.05%:  SOMEONE ELSE TO
0.65%:  FOR CHEESE AND
0.64%:  REASONS I CANNOT RE
0.64%:  FOR SOME REASON NOW I RE
0.64%:  FOR SOME REASON I DO
0.64%:  CHESS TIME
0.64%:  SE
0.64%:  FOR SOME REASON I NEED TO BR
0.63%:  FOR SOME REASON REASONS I
0.63%:  SOME HORSEY
0.62%:  SOME REASON THIS
0.62%:  MY
0.75%:  MY HORSES
0.62%:  OTHER REASONS I
0.62%:  FOR HORSE S
0.62%:  FOR REAL REASONS I CAN
0.61%:  SOME REASON IT
0.61%:  FOR SOME REASON THO
0.61%:  FOR SOME REASON BE
0.84%:  FOR SOME REASON BEYOND THE
0.61%:  FOR REASONS I CANNOT RE
0.61%:  SOME HORSE S
0.61%:  FOR SOME REASON THERE IS NO
0.60%:  REAL REASONS I
0.60%:  FOR SOME REASON I CAN NO
0.59%:  FOR SOME REASON BEYOND THE RE
0.59%:  FOR SOME REASON THESE
0.59%:  FOR HORSE RELATED B
0.59%:  FOR SOME REASON TODAY IS
0.58%:  FOR CON
0.58%:  OTHER REASONS IN
0.58%:  FOR SOME REASON ON
1.62%:  FOR SOME REASON ONLY I CAN DES
18.68%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "THE
9.40%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A
8.30%:  FOR SOME REASON ONLY I CAN DESCRIBE AS THE
7.83%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "H
6.68%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "HE
6.14%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "A
4.24%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WH
4.13%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "AW
3.29%:  FOR SOME REASON ONLY I CAN DESCRIBE AS THE "
2.89%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "TH
2.78%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "E
2.56%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "W
2.33%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "T
2.02%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WHATE
1.74%:  FOR SOME REASON ONLY I CAN DESCRIBE AS H
1.17%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "THE W
0.81%:  FOR SOME REASON ONLY I CAN DESCRIBE AS T
0.78%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "ETH
0.75%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "TE
0.72%:  FOR SOME REASON ONLY I CAN DESCRIBE AS E
0.70%:  FOR SOME REASON ONLY I CAN DESCRIBE AS "WE
0.59%:  FOR SOME REASON ONLY I CAN DESCRIBE AS A "H
0.58%:  FOR SOME REASON ONLY I CAN DESCRIBE AS W
0.58%:  FOR SOME REASON H
1.91%:  FOR SOME REASON HORSES CAN
1.06%:  FOR SOME REASON HORSE C
0.95%:  FOR SOME REASON HORSES AND
0.58%:  SOME HORSES TO
0.58%:  FOR SOME REASON I T
0.57%:  FOR "
0.57%:  OTHER REASONS AL
0.57%:  SOME REASON WH
0.57%:  SOME REASON OR AN
0.57%:  ANY REASONS
0.57%:  FOR ANY REASON REAL
0.57%:  CHESS IN
0.56%:  HORSE CON
0.56%:  FOR CHESS DAY
0.55%:  FOR HORSEY
0.55%:  MO
0.79%:  MORE CHESS RE
0.74%:  MORE RE
0.70%:  MORE REAS
2.80%:  MORE REASONS THAN I
3.03%:  MORE REASONS THAN I CAN CO
1.06%:  MORE REASONS THAN I CAN S
