checked Wikipedia and it's really hard to overdose on Vitamin C!
100.00%: 
73.13%:  have
193.97%:  have cookies
71.82%:  have already
122.10%:  have already eaten
174.81%:  have already eaten cookies
114.96%:  have already eaten Vit
1509.18%:  have already eaten Vitamin C cookies
725.09%:  have already eaten Vitamin C cookies!
569.38%:  have already eaten Vitamin C cookies this
188.16%:  have already eaten Vitamin C!
110.54%:  have already eaten cookies this
88.43%:  have already eaten Vitamin C this
74.81%:  have already decided
742.24%:  have already decided that cookies
126.93%:  have already decided that cookies are not
60.91%:  have already decided cookies
59.51%:  invented
94.95%:  invented cookies
56.90%:  have cookies!
56.30%:  have already decided that Vit
16384.02%:  have already decided that Vitamin C cookies
328.25%:  have already decided that Vitamin C cookies don
182.75%:  have already decided that Vitamin C cookies is
160.31%:  have already decided that Vitamin C is cookies
127.71%:  have already decided that Vitamin C cookies do
85.47%:  have already decided that Vitamin C rocks
67.64%:  have already decided that Vitamin C'
1217.07%:  have already decided that Vitamin C's cookies
53.42%:  invented cookies already
46.69%:  have cookies in
374.14%:  have cookies in my pocket!
244.96%:  have cookies in my pockets
189.80%:  have cookies in my pocket that
171.61%:  have cookies in my pocket and
171.16%:  have cookies in my kitchen
83.82%:  have cookies in my pockets!
47.40%:  have cookies in my kitchen!
43.95%:  have cookies in my pockets and
43.65%:  have eaten
73.78%:  have eaten cookies
90.88%:  have eaten cookies recently
42.94%:  have decided
83.46%:  have decided that
335.61%:  have decided that cookies
240.14%:  have decided that cookies are really
137.13%:  have decided that cookies are not
120.65%:  have decided that cookies are still
80.45%:  have decided that cookies are like
75.97%:  have decided that cookies are already
68.21%:  have decided that cookies are my
64.72%:  have decided that cookies are really rad
64.11%:  have decided cookies
123.15%:  have decided cookies are totally
100.54%:  have decided cookies are pretty
116.65%:  have decided cookies are pretty rad
91.03%:  have decided cookies are the
70.95%:  have decided cookies are the only
61.57%:  have decided that cookies are not really
57.33%:  have decided cookies are totally rad
53.57%:  have decided cookies are not
49.30%:  have decided cookies are pretty rad!
48.66%:  have decided that cookies are rad
47.74%:  have decided cookies are the most
41.93%:  have already decided that cookies aren
40.91%:  have already decided that Vitamin C's cookies don
40.91%:  have decided that cookies are my personal
39.98%:  invented cookies!
39.76%:  have already decided that Vitamin C cookies look
38.97%:  have already decided that Vitamin C's nick
38.96%:  have decided cookies are really
38.23%:  have already decided that Vitamin C is like
37.09%:  already
151.01%:  already invented
316.31%:  already invented cookies
67.45%:  already have
357.37%:  already have cookies
141.48%:  already have cookies!
136.96%:  already have cookies in
115.62%:  already have cookies planned
60.51%:  already invented sl
53.62%:  already invented that
52.80%:  already invented this
50.24%:  already have cookies in stock
48.31%:  already invented the
73.99%:  already invented the cookies
48.74%:  already invented the cookie
45.91%:  already invented that one
37.56%:  already have a cookie
35.12%:  have decided that Vit
3960.29%:  have decided that Vitamin C cookies
3398.20%:  have decided that Vitamin C cookies are really
391.65%:  have decided that Vitamin C cookies are only
341.92%:  have decided that Vitamin C cookies are like
332.98%:  have decided that Vitamin C cookies are also
260.87%:  have decided that Vitamin C cookies are rad
223.38%:  have decided that Vitamin C cookies are okay
222.61%:  have decided that Vitamin C cookies really
221.17%:  have decided that Vitamin C cookies are all
209.62%:  have decided that Vitamin C is also
186.24%:  have decided that Vitamin C cookies are a
137.75%:  have decided that Vitamin C cookies are sp
135.93%:  have decided that Vitamin C cookies and
130.45%:  have decided that Vitamin C cookies are in
125.61%:  have decided that Vitamin C cookies already
122.55%:  have decided that Vitamin C cookies don
110.96%:  have decided that Vitamin C cookies aren
87.11%:  have decided that Vitamin C cookies are sl
77.06%:  have decided that Vitamin C is really
76.47%:  have decided that Vitamin C cookies only
76.38%:  have decided that Vitamin C cookies do
71.83%:  have decided that Vitamin C cookies are okay!
71.02%:  have decided that Vitamin C cookies are y
70.00%:  have decided that Vitamin C cookies are so
62.30%:  have decided that Vitamin C cookies are really sp
61.04%:  have decided that Vitamin C cookies are no
60.92%:  have decided that Vitamin C cookies are W
60.87%:  have decided that Vitamin C cookies really do
60.38%:  have decided that Vitamin C cookies are likely
57.79%:  have decided that Vitamin C cookies are poison
49.85%:  have decided that Vitamin C cookies are 
49.79%:  have decided that Vitamin C cookies is
48.89%:  have decided that Vitamin C cookies are an
45.16%:  have decided that Vitamin C is a
44.61%:  have decided that Vitamin C cookies are kinda
41.25%:  have decided that Vitamin C cookies are kind
37.74%:  have decided that Vitamin C also
36.15%:  have decided that Vitamin C cookies are del
36.12%:  have decided that Vitamin C is cookies
35.69%:  have decided that Vitamin C cookies are all kinds
34.98%:  have decided that cookies are still rad
34.92%:  already invented Vit
2371.90%:  already invented Vitamin C cookies
169.71%:  already invented Vitamin C cookies last
91.97%:  already invented Vitamin C cookies earlier
158.57%:  already invented Vitamin C cookies earlier this
91.12%:  already invented Vitamin C cookies this
84.46%:  already invented Vitamin C sl
75.49%:  already invented Vitamin C!
69.32%:  already invented Vitamin C cookies so
52.36%:  already invented Vitamin C earlier
37.54%:  already invented Vitamin C earlier this
34.29%:  have decided that cookies are a
34.14%:  already invented Vitamin C cookies earlier!
33.65%:  have cookies in my pockets that
33.62%:  have decided that Vitamin C cookies really aren
33.20%: '
35.33%: 've
91.55%: 've already
249.30%: 've already eaten
223.79%: 've already eaten cookies
162.48%: 've already eaten cookies this
138.32%: 've already eaten Vit
4195.38%: 've already eaten Vitamin C cookies
4144.79%: 've already eaten Vitamin C cookies this
1499.23%: 've already eaten Vitamin C cookies!
651.08%: 've already eaten Vitamin C this
389.98%: 've already eaten Vitamin C!
317.69%: 've already eaten Vitamin C cookies and
97.57%: 've already decided
1090.55%: 've already decided that cookies
404.06%: 've already decided that cookies are rad
243.55%: 've already decided that cookies are not
156.52%: 've already decided that cookies aren
104.37%: 've already decided cookies
89.68%: 've already eaten Vitamin C so
86.55%: 've already decided that cookies are a
84.32%: 've already decided that cookies are Vit
197.99%: 've already decided that cookies are Vitamin C!
78.15%: 've already eaten some
198.19%: 've already eaten some cookies
76.85%: 've already decided that Vit
16789.40%: 've already decided that Vitamin C cookies
1006.00%: 've already decided that Vitamin C cookies don
566.32%: 've already decided that Vitamin C cookies are sp
558.25%: 've already decided that Vitamin C cookies aren
528.43%: 've already decided that Vitamin C cookies are W
367.35%: 've already decided that Vitamin C cookies are sl
323.95%: 've already decided that Vitamin C cookies and
319.00%: 've already decided that Vitamin C is also
267.69%: 've already decided that Vitamin C cookies are poison
259.87%: 've already decided that Vitamin C cookies are so
193.63%: 've already decided that Vitamin C cookies is
155.68%: 've already decided that Vitamin C is cookies
149.95%: 've already decided that Vitamin C cookies are kind
143.63%: 've already decided that Vitamin C is a
127.05%: 've already decided that Vitamin C cookies are non
124.07%: 've already decided that Vitamin C cookies do
109.33%: 've already decided that Vitamin C cookies are in
108.88%: 've already decided that Vitamin C doesn
104.86%: 've already decided that Vitamin C cookies are poison!
104.61%: 've already decided that Vitamin C are
323.85%: 've already decided that Vitamin C are cookies
96.33%: 've already decided that Vitamin C is like
89.62%: 've already decided that Vitamin C cookies are 
89.12%: 've already decided that Vitamin C cookies look
79.95%: 've already decided that Vitamin C is like cookies
76.20%: 've already eaten Vitamin C cookies so
76.18%: 've already decided that cookies are kinda
76.03%: 've already eaten them
73.15%: 've already eaten some Vit
69.51%: 've already decided that Vitamin C cookies are no
66.84%: 've already decided that cookies don
66.67%: 've already decided that cookies are sl
62.79%: 've already decided that Vitamin C is a cookie
62.64%: 've already decided that Vitamin C cookies are spook
61.65%: 've decided
107.03%: 've decided cookies
308.37%: 've decided cookies are totally
196.01%: 've decided cookies are the
251.52%: 've decided cookies are the only
175.00%: 've decided cookies are pretty
217.13%: 've decided cookies are pretty rad
153.49%: 've decided cookies are totally rad
119.75%: 've decided cookies are the most
92.74%: 've decided cookies are really
84.84%: 've decided that
270.32%: 've decided that cookies
323.84%: 've decided that cookies are really
320.32%: 've decided that cookies are the
337.03%: 've decided that cookies are the only
279.30%: 've decided that cookies are already
124.34%: 've decided that cookies are the only kind
122.73%: 've decided that cookies are really rad
97.90%: 've decided that cookies are not
94.03%: 've decided that cookies are still
93.60%: 've decided that cookies are like
80.26%: 've decided cookies are already
79.90%: 've decided that cookies are also
76.72%: 've decided that cookies are rad
69.84%: 've decided that cookies are my
62.29%: 've decided that cookies aren
61.23%: 've already eaten cookies this month
60.94%: 've decided cookies are the only kind
59.35%: 've decided cookies are pretty rad and
58.56%: 've decided that cookies already
54.28%: 've already decided that Vitamin C rocks
53.46%: 've already decided that Vitamin C cookies are r
53.28%: 've decided cookies are still
52.55%: 've already decided that Vitamin C cookies are pro
51.62%: 've already decided that cookies are sp
51.49%: 've already decided that Vitamin C cookies are on
50.94%: 've already decided that Vitamin C is sp
50.89%: 've already decided cookies are rad
49.40%: 've decided cookies are the only Vit
71.98%: 've decided cookies are the only Vitamin C!
49.36%: 've decided that cookies are a
48.92%: 've decided cookies are totally rad and
48.91%: 've decided cookies are totally the
48.86%: 've decided that cookies are not really
48.44%: 've already decided that Vitamin C is sl
48.15%: 've decided cookies are the only Vitamin C in
55.93%: 've decided cookies are the only Vitamin C in this
47.77%: 've already decided that Vitamin C can
47.02%: 've already decided that Vitamin C is one
46.98%: 've already decided that Vitamin C and
268.90%: 've already decided that Vitamin C and cookies
45.98%: 've already decided that Vitamin C is rad
45.60%: 've decided cookies are not
44.95%: 've already eaten a
44.83%: 've already decided that cookies are also
43.67%: 've already decided that cookies are W
43.49%: 've already eaten Vitamin C cookies in
43.14%: 've already decided that Vitamin C cookies are sold
43.10%: 've decided that cookies are rad already
42.92%: 've already decided that cookies and
42.63%: 've already decided that Vitamin C cookies also
42.25%: 've already eaten a lot
41.63%: 've decided that cookies are really rad and
41.20%: 've already eaten Vitamin C like
41.01%: 've decided cookies are my
40.93%: 've decided to call
40.33%: 've already eaten Vitamin C in
53.16%: 've already eaten Vitamin C in cookies
40.27%: 've already decided that Vitamin C looks
39.67%: 've already eaten some cookies!
39.31%: 've decided that cookies don
39.20%: 've already eaten Vitamin C three
38.58%: 've already decided that cookies are non
38.33%: 've already started
38.23%: 've already decided that Vitamin C cookies are hor
37.81%: 've decided that cookies are my personal
37.22%: 've decided that cookies are still rad
37.20%: 've already decided that Vitamin C is cool
36.97%: 've decided that cookies are more
36.47%: 've decided cookies are still pretty
36.42%: 've already decided that cookies are an
36.02%: 've already decided that Vitamin C is a nick
35.33%: 've already eaten most
35.25%: 've already eaten Vitamin C and
34.92%: 've decided cookies aren
34.31%: 've already eaten Vitamin C earlier
34.15%: 've decided that cookies are already rad
34.00%: 've already decided that Vitamin C cookies are d
33.65%: 've already decided that Vitamin C cookies are sn
33.42%: 've already decided that Vitamin C cookies are solid
33.17%: 've already decided that cookies are Vitamin C in
33.00%:  already have cookies on
32.99%: 've already decided that Vitamin C cookies are ind
32.94%:  have decided that Vitamin C cookies are one
32.72%:  have eaten cookies already
32.61%:  have recently
32.34%:  have already decided that Vitamin C is like cookies
32.31%: 've already decided that cookies make
32.25%:  have decided that cookies are also
32.19%: 've decided cookies are the most rad
32.12%:  have decided that Vitamin C are
150.69%:  have decided that Vitamin C are cookies
32.09%: 've already decided that Vitamin C has
