I'M SORRY BUT I AM BUSTING YOU DOWN TO JOKE PRESCHOOL
100.00%: 
35.58%:  YOU
29.43%:  YOU ARE NOT
14.59%:  YOU ARE THE
14.30%:  THAT
10.72%:  THAT'
8.00%:  YOU ARE NOT IN
119.22%:  YOU ARE NOT IN JOKES SCHOOL YOU
23.24%:  YOU ARE NOT IN JOKES SCHOOL BUT
8.85%:  YOU ARE NOT IN JOKES SCHOOL BUT YOU
7.99%:  YOU ARE NOT IN JOKES SCHOOL YOU'
7.26%:  YOU ARE NOT GO
6.76%:  THAT W
6.59%:  YOU ARE THE MO
6.21%:  YOU ARE NO
6.15%:  YOU'
7.15%:  YOU'RE NOT
5.87%:  YOU ARE GO
5.51%:  I
5.25%:  YOU ARE BE
5.01%:  YOU ARE SO
4.90%:  YOU ARE IN
4.80%:  YOU'RE NOT IN
161.74%:  YOU'RE NOT IN JOKES SCHOOL YOU
6.29%:  YOU'RE NOT IN JOKES SCHOOL BUT
6.09%:  YOU'RE NOT IN JOKES SCHOOL Y
5.38%:  YOU'RE NOT IN JOKES SCHOOL BUT YOU
5.35%:  YOU'RE NOT IN JOKES SCHOOL R
4.70%:  YOU CAN
7.48%:  YOU CAN GO HOME NOW YOU
4.60%:  YOU ARE S
5.59%:  YOU ARE SEND
4.37%:  YOU CAN GO HOME NOW YOUR
4.33%:  YOU'RE NOT IN JOKES SCHOOL YOUR
4.32%:  YOU ARE NOT IN JOKES SCHOOL YOUR
4.09%:  YOU ARE NOT IN JOKES SCHOOL R
4.04%:  YOU ARE THE B
3.89%:  YOU ARE SU
3.86%:  YOU ARE NOT GET
3.74%:  YOU CAN GO HOME NOW BE
3.68%:  YOU ARE C
3.56%:  YOU ARE ST
3.46%:  I'
3738.02%:  I'M SORRY BUT I AM SENDING YOU TO
1542.30%:  I'M SORRY BUT I AM SENDING YOU TO THE
1029.12%:  I'M SORRY BUT I AM SENDING YOU TO JO
4043.38%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TO
3660.61%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL 
3649.05%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL T
1994.51%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL R
1486.68%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL B
1005.82%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TW
929.71%:  I'M SORRY BUT I AM SENDING YOU HO
863.95%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL BUT
488.46%:  I'M SORRY BUT I AM SENDING YOU TO JOKER
447.50%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL W
444.49%:  I'M SORRY BUT I AM SENDING YOU R
440.70%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL P
433.16%:  I'M SORRY BUT I AM SENDING YOU TO S
479.67%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL TO
412.59%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL TO
356.60%:  I'M SORRY BUT I AM SENDING YOU STR
313.34%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL O
310.23%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOO
303.52%:  I'M SORRY BUT I AM SENDING YOU TO JOKE PR
296.72%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PRO
286.87%:  I'M SORRY BUT I AM SENDING YOU TO JOKES CH
282.92%:  I'M SORRY BUT I AM SENDING YOU TO JEST
264.47%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PR
255.54%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL U
251.25%:  I'M SORRY BUT I AM SENDING YOU TO JUST
250.84%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL TO BE
241.01%:  I'M SORRY BUT I AM SENDING YOUR
227.97%:  I'M SORRY BUT I AM SENDING YOU TO HO
208.56%:  I'M SORRY BUT I AM SENDING YOU TO THE S
204.52%:  I'M SORRY BUT I AM SENDING YOU TO RE
198.95%:  I'M SORRY BUT I AM SENDING YOU TO TE
181.22%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL TOO
177.05%:  I'M SORRY BUT I AM SENDING YOU TO JOKE CL
176.24%:  I'M SORRY BUT I AM SENDING YOU TO CL
175.23%:  I'M SORRY BUT I AM SENDING YOU TO HOUSE
175.22%:  I'M SORRY BUT I AM SENDING YOU TO JOKES CHUR
171.77%:  I'M SORRY BUT I AM SENDING YOU OUT
171.67%:  I'M SORRY BUT YOU
165.67%:  I'M SORRY BUT I AM SENDING YOU TO PR
159.59%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL OUT
158.38%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL UP
156.15%:  I'M SORRY BUT I AM SENDING YOU TO PRO
155.93%:  I'M SORRY BUT I AM SENDING YOU TO B
154.98%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL BO
138.46%:  I'M SORRY BUT I AM SENDING YOU TO JOKES COL
137.00%:  I'M SORRY BUT I AM SENDING YOU TO P
128.12%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL J
127.97%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL OR
123.41%:  I'M SORRY BUT YOU ARE NOT
121.46%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL RO
118.78%:  I'M SORRY BUT I AM SENDING YOU TO JOB
207.04%:  I'M SORRY BUT I AM SENDING YOU TO JOB SCHOOL R
114.20%:  I'M SORRY BUT I AM SENDING YOU TO JOKE HO
109.08%:  I'M SORRY BUT I AM SENDING YOU TO SPE
106.09%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL T
97.18%:  I'M SORRY BUT I AM SENDING YOU OUT TO
96.65%:  I'M SORRY BUT I AM SENDING YOU TO JOB SCHOOL TO
90.40%:  I'M SORRY BUT I AM SENDING YOU TO THE SUP
89.71%:  I'M SORRY BUT I AM SENDING YOU TO THE P
89.38%:  I'M SORRY BUT THAT
86.75%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL BE
85.68%:  I'M SORRY BUT I AM SENDING YOU TO JOKE H
84.74%:  I'M SORRY BUT I AM SENDING YOU TO THE B
80.57%:  I'M SORRY BUT I AM SENDING YOU TO JOKES UP
78.89%:  I'M SORRY BUT I AM SENDING YOU TO H
78.82%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL WOR
78.62%:  I'M SORRY BUT I AM SENDING YOU TO JOKE COL
72.05%:  I'M SORRY BUT I AM SENDING YOU SO
71.77%:  I'M SORRY BUT I AM SENDING YOU TO JOKES TO
71.71%:  I'M SORRY BUT I AM SENDING YOU TO JOKER SCHOOL BUT
69.52%:  I'M SORRY BUT YOU ARE THE
68.51%:  I'M SORRY BUT I AM SENDING YOU TO HOSP
68.50%:  I'M SORRY BUT I AM SENDING YOU BOT
67.42%:  I'M SORRY BUT I AM SENDING YOU TO T
67.02%:  I'M SORRY BUT I AM SENDING YOU TO PER
66.46%:  I'M SORRY BUT I AM SENDING YOU TO THE CO
66.07%:  I'M SORRY BUT I AM SENDING YOU TO C
64.38%:  I'M SORRY BUT YOU ARE GO
64.05%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL WR
63.47%:  I'M SORRY BUT I AM SENDING YOU TO CO
63.28%:  I'M SORRY BUT I AM SENDING YOU TO ST
66.45%:  I'M SORRY BUT I AM SENDING YOU TO STUP
61.58%:  I'M SORRY BUT I AM SENDING YOU TO JOKES HO
60.39%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PORT
59.22%:  I'M SORRY BUT YOU ARE NOT GO
57.81%:  I'M SORRY BUT I AM SENDING YOU TO THE PRO
56.25%:  I'M SORRY BUT I AM SENDING YOU TO JOKES H
55.47%:  I'M SORRY BUT I AM SENDING YOU TO E
53.47%:  I'M SORRY BUT I AM SENDING YOU TO JUR
53.42%:  I'M SORRY BUT I AM SENDING YOU TO JOKE PRO
52.04%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL PO
51.70%:  I'M SORRY BUT I AM SENDING YOU TO SCHOOL T
51.69%:  I'M SORRY BUT I AM SENDING YOU TO JOKES CL
51.62%:  I'M SORRY BUT I AM SENDING YOU TO THE C
57.96%:  I'M SORRY BUT I AM SENDING YOU TO THE CORP
51.27%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SUP
50.47%:  I'M SORRY BUT THIS
61.36%:  I'M SORRY BUT THIS IS NOT
49.42%:  I'M SORRY BUT I AM SENDING YOU TO JOKE SCHOOL TO P
49.18%:  I'M SORRY BUT I AM SENDING YOU TO JOKE P
48.56%:  I'M SORRY BUT YOU ARE ST
47.85%:  I'M SORRY BUT I AM SENDING YOU TO JEST COL
