come they act like they're so special when they really just taste like pork??
100.00%: 
491.27%:  come they keep
409.39%:  come they'
2336.61%:  come they're always
362.15%:  come they're always so
350.01%:  come they're not
303.52%:  come they're always like
226.36%:  come they're all
224.59%:  come they like
214.67%:  come they always
206.07%:  come they're always so upset
206.02%:  come they're so cute
192.94%:  come they're such
176.83%:  come they're so pretty
176.64%:  come they're still
142.81%:  come they're so cute when
945.94%:  come they're so cute when they sleep
680.97%:  come they're so cute when they sleep??
424.20%:  come they're so cute when they cry
204.31%:  come they're so cute when they cry??
142.65%:  come they think
233.13%:  come they think they
5559.64%:  come they think they're so special
3738.53%:  come they think they're so special??
2121.47%:  come they think they're so special just
1569.26%:  come they think they're special
1275.67%:  come they think they're special just
776.41%:  come they think they're special??
342.85%:  come they think they're the
253.56%:  come they think they're so special that
176.56%:  come they think they're such
141.05%:  come they're still here
129.55%:  come they're all so pretty
125.80%:  come they're so cute when they eat
124.83%:  come they're so into
123.69%:  come they eat
136.51%:  come they eat their
118.19%:  come they think they're all
155.90%:  come they think they're all that special
117.28%:  come they're so into their
117.25%:  come they think they're so pretty
114.12%:  come their
109.20%:  come they're always so upset??
109.15%:  come they like to eat
111.34%:  come they like to eat their
108.48%:  come they're always late
106.08%:  come they're so little
104.98%:  come they're so cute when they try
104.19%:  come they like their
103.90%:  come they can
153.37%:  come they can't just
263.88%:  come they can't just eat their
103.51%:  come they're such jer
131.91%:  come they're such jerks to
1060.63%:  come they're such jerks to each other??
482.83%:  come they're such jerks to each other all
165.31%:  come they're such jerks to their
159.84%:  come they're such jerks to each other like
173.28%:  come they're such jerks to each other like all
103.13%:  come they think they're all that special??
99.73%:  come they're so cute??
97.27%:  come they think they're such special
362.70%:  come they think they're such special little
96.45%:  come they're such jerks to other
94.49%:  come they think they're so cute
91.33%:  come they're like
181.10%:  come they're like this
91.22%:  come they think they're the special
89.34%:  come they think they're all that??
88.86%:  come they think they're so special that we
87.33%:  come they're like that
87.21%:  come they're so pretty??
86.64%:  come they're so upset
129.01%:  come they're so upset when
256.56%:  come they're so upset when they
121.60%:  come they're so upset when their
86.48%:  come they keep their
86.39%:  come they're all so pretty??
85.25%:  come they think they're really
419.28%:  come they think they're really special
241.04%:  come they think they're really special??
186.79%:  come they think they're really special just
84.18%:  come they're such jerks??
82.15%:  come they're always like this
81.32%:  come they're so pretty when
1018.21%:  come they're so pretty when they sleep
761.85%:  come they're so pretty when they sleep??
354.04%:  come they're so pretty when they cry
165.64%:  come they're so pretty when they cry??
80.89%:  come they think they're so special they
77.35%:  come they're so tiny
77.26%:  come they're so racist
76.11%:  come they're like this??
75.18%:  come they think they're super
623.88%:  come they think they're super special
296.55%:  come they think they're super special??
74.85%:  come they're always ste
74.69%:  come they're so cute when they talk
74.47%:  come they're still here??
71.81%:  come they're so into their pets
136.58%:  come they're so into their pets??
70.17%:  come they like their pets
69.37%:  come they think they're all that just
66.98%:  come they're so upset all
64.35%:  come they think they're cool
63.50%:  come they're not like
63.39%:  come they're so cute when they try to talk
62.66%:  come they're so cute when they say
62.62%:  come they're so pretty when they eat
62.57%:  come they're always upset
62.52%:  come they think they're so special just c
62.29%:  come they can't eat
101.35%:  come they can't eat their
62.17%:  come they're so little??
61.46%:  come they're not really
60.44%:  come they're always like this??
59.97%:  come they can't keep
140.18%:  come they can't keep their little
112.23%:  come they can't keep their eyes
98.89%:  come they can't keep their houses
91.19%:  come they can't keep their little houses
59.96%:  come they think they're all special
59.91%:  come they think they're all that special just
59.61%:  come they're so cute when they try really
58.23%:  come they like to watch
58.16%:  come they're so tiny??
58.04%:  come they think their
57.75%:  come they're always so pretty
56.91%:  come there
62.07%:  come there's like
56.69%:  come they think it
277.54%:  come they think it's okay
99.21%:  come they think it's okay to eat
89.78%:  come they think it's okay to eat their
56.45%:  come they're so pretty when they kiss
56.34%:  come they want
54.93%:  come they think they're pretty
172.27%:  come they think they're pretty special
101.44%:  come they think they're pretty special??
54.42%:  come they're so racist??
54.36%:  come they think they're so super
561.27%:  come they think they're so super special
381.51%:  come they think they're so super special??
106.31%:  come they think they're so super special that
54.22%:  come they put
107.06%:  come they put their
65.15%:  come they put their pants
54.14%:  come they think they're the top
54.04%:  come they're so cute when they try to talk like
53.76%:  come they think they're so pretty??
53.20%:  come they're so upset when their little
53.14%:  come they think they're still
52.53%:  come they're so easily
123.62%:  come they're so easily trick
52.23%:  come they're still here when
60.31%:  come they're still here when they
51.79%:  come they're such jerks all
51.78%:  come they still
51.60%:  come they're always just
51.58%:  come they write
