not particularly good at it!!"
      0 100.00%: 
      1 22.82%:  not a
      2 22.48%:  not good
      3 25.71%:  not good at it"
      4 22.83%:  not good at it!"
      5 21.97%:  not good at it"!
      6 21.87%:  not good at it!!
      7 21.78%:  not good at it!
      8 21.68%:  not good at it at
      9 22.31%:  not good at it at all!"
     10 22.13%:  not good at it at all"!
     11 21.41%:  glad
     12 21.66%:  glad you
     13 21.35%:  not good at it"!!
     14 21.27%:  not good at"
     15 21.25%:  not good at all
     16 21.24%:  not good at a
     17 21.19%:  a
     18 21.19%:  not good at it at all"!!
     19 20.63%:  not good at it at all!
     20 20.62%:  not good at it at all!!
     21 20.53%:  not too
     22 20.46%:  not your
     23 20.43%:  not actually
     24 20.38%:  not cool
     25 20.29%:  not old
     26 20.28%:  not at
     27 21.54%:  not at all good
     28 22.12%:  not at all good at it!"
     29 21.86%:  not at all good at it"!
     30 20.97%:  not at all good at it"!!
     31 20.76%:  not at all good at it!!
     32 20.65%:  not at all good at it!
     33 20.27%:  not!"
     34 20.26%:  not totally
     35 20.23%:  not gay
     36 20.20%:  not 
     37 20.19%:  not you
     38 20.19%:  not particularly
     39 24.82%:  not particularly good at it!"
     40 24.30%:  not particularly good at it"!
     41 23.35%:  not particularly good at it"!!
     42 23.10%:  not particularly good at it!!
     43 23.02%:  not particularly good at it!
