It's not bad if you're six
      0 100.00%: 
      1 27.08%:  If
      2 36.69%:  If you
      3 36.43%:  If you'
      4 35.62%:  If you're
      5 33.76%:  If you'd
      6 31.54%:  If you're a
      7 30.82%:  If you're not
      8 30.40%:  If you're into
      9 29.34%:  If you are
     10 29.34%:  If you don
     11 35.99%:  If you don'
     12 41.64%:  If you don't
     13 29.16%:  If you're in
     14 29.02%:  If you do
     15 28.89%:  If you're in a
     16 28.85%:  If you're an
     17 28.80%:  If you're on
     18 28.64%:  If you're at
     19 28.63%:  If you're so
     20 28.60%:  If you're 
     21 28.56%:  If you're bad
     22 28.23%:  If you're on a
     23 27.72%:  If you dis
     24 27.70%:  If you die
     25 27.70%:  If you start
     26 27.70%:  If you and
     27 26.78%:  If you're not a
     28 25.64%:  If you're in a d
     29 25.46%:  If you're a d
     30 25.46%:  If you're a bot
     31 25.43%:  If you're a sn
     32 25.41%:  If you're a bit
     33 25.40%:  If you're a din
     34 29.58%:  If you're a dinos
     35 25.37%:  If you're a 
     36 25.21%:  If you're into it
     37 24.94%:  If you're not 
     38 24.92%:  If you're not at
     39 24.88%:  If you're not d
     40 24.85%:  I
     41 24.79%:  If you're in it
     42 24.77%:  If you're into a
     43 24.67%:  If you're into d
     44 24.63%:  If you're a snob
     45 24.62%:  I'
     46 25.26%:  I'd
     47 24.51%:  It
     48 29.14%:  It'
     49 37.10%:  It's
     50 31.64%:  It's not
     51 31.50%:  It's a
     52 30.57%:  It's fun
     53 32.83%:  It's fun to
     54 29.11%:  It's so
     55 29.09%:  It's true
     56 28.98%:  It's too
     57 33.58%:  It's too bad
     58 28.95%:  It's an
     59 28.84%:  It's best
     60 28.96%:  It's best if
     61 32.89%:  It's best if you
     62 29.87%:  It's best if you'
     63 28.84%:  It's sort
     64 33.96%:  It's sort of
     65 30.95%:  It's sort of a
     66 28.84%:  It's for
     67 28.83%:  It's in
     68 28.82%:  It's 
     69 28.81%:  It's one
     70 30.87%:  It's one of
     71 28.80%:  It's on
     72 28.80%:  It's based
     73 33.90%:  It's based on
     74 28.80%:  It's un
     75 28.79%:  It's easy
     76 33.49%:  It's easy to
     77 28.78%:  It's far
     78 28.78%:  It's neat
     79 28.77%:  It's rad
     80 28.77%:  It's no
     81 28.77%:  It's fine
     82 28.76%:  It's often
     83 27.27%:  It's best if you don
     84 31.05%:  It's best if you don'
     85 27.05%:  It's rad to
     86 26.68%:  It's not a
     87 26.51%:  It's too bad if
     88 26.42%:  It's best if you do
     89 26.39%:  It's sort of an
     90 26.07%:  It's fun to say
     91 26.06%:  It's easy to find
     92 26.04%:  It's best if you and
     93 26.02%:  It's based on 
     94 25.97%:  It's based on our
     95 25.95%:  It's sort of in
     96 25.93%:  It's sort of ad
     97 25.93%:  It's sort of bad
     98 25.91%:  It's based on '
     99 25.88%:  It's fun to do
    100 25.86%:  It's easy to do
    101 25.81%:  It's rad if
    102 29.96%:  It's rad if you
    103 29.42%:  It's rad if you'
    104 25.81%:  It's for one
    105 25.76%:  It's fun to ride
    106 25.71%:  It's too bad sn
    107 25.70%:  It's too bad in
    108 25.63%:  It's fun to y
    109 25.63%:  It's easy to ruin
    110 25.63%:  It's easy to d
    111 25.59%:  It's fun to be
    112 25.49%:  It's for 
    113 25.33%:  It's not as
    114 25.25%:  It's a fun
    115 25.20%:  It's fun to read
    116 25.18%:  It's fun to re
    117 25.07%:  It's sort of a b
    118 25.00%:  It's not for
    119 24.91%:  It's not bad
    120 24.82%:  It is
    121 24.79%:  It's best if you'd
    122 24.65%:  It's sort of a n
    123 24.65%:  It's sort of a d
    124 24.63%:  It's sort of a '
    125 24.62%:  It's sort of a 
    126 24.48%:  If you're in to
    127 24.41%:  It's a bit
    128 25.04%:  It's a bit of
    129 24.36%:  It's fine to
    130 24.34%:  It's not bad if
    131 28.22%:  It's not bad if you
    132 28.74%:  It's not bad if you'
    133 30.40%:  It's not bad if you're
    134 25.84%:  It's not bad if you're 
    135 24.30%:  It's not so
    136 27.09%:  It's not so bad
    137 25.74%:  It's not so bad if
    138 24.28%:  It's sorta
    139 24.99%:  It's sorta fun
    140 24.24%:  It's fun to be a
    141 24.08%:  If you're in a 
    142 24.06%:  If you're in a box
    143 24.05%:  If you're in a bit
    144 24.05%:  If you're in a '
    145 24.02%:  It's not fair
    146 24.01%:  It's not easy
    147 24.00%:  It's in board
    148 23.93%:  It's not d
    149 23.93%:  It's not ready
    150 23.93%:  It's not 
    151 23.92%:  It's not your
    152 23.92%:  It's not due
    153 23.92%:  It's one of a
    154 23.91%:  It's rad if you sne
    155 23.90%:  If you're an idiot
    156 23.86%:  It's one of its
    157 23.85%:  It's a fine
    158 23.85%:  It's a 
    159 23.77%:  If you're in d
    160 23.75%:  It's a t
    161 23.75%:  It's a one
    162 23.74%:  It's a d
    163 23.73%:  It's a sn
    164 24.59%:  It's a snore
    165 23.73%:  It's a ton
    166 28.08%:  It's a ton of
    167 23.73%:  If you're on a 
    168 23.66%:  It's not bad for
    169 23.61%:  If you're an 
    170 23.58%:  If you're on a '
    171 23.56%:  If you're on a six
    172 23.56%:  If you're an obs
    173 23.56%:  If you're on a d
    174 23.51%:  If you're ants
    175 23.50%:  If you're on 
    176 23.48%:  If you're an '
    177 23.45%:  If you're on it
    178 23.44%:  If you're on '
    179 23.40%:  If you're at it
    180 23.35%:  If you're so bad
    181 23.34%:  If you're so in
    182 23.33%:  If you're at 
    183 23.32%:  If you're at sn
    184 23.31%:  If you're so ins
    185 23.22%:  It'd
    186 28.67%:  It'd be
    187 23.10%:  It's fun too
    188 23.07%:  It's fun at
    189 23.06%:  If you die in
    190 22.98%:  It's fun as
    191 22.97%:  If you are not
    192 22.89%:  It's often a
    193 22.86%:  It's for you
    194 22.86%:  It's a snoref
    195 22.79%:  It's often said
    196 22.79%:  It'd be a
    197 22.74%:  If you are in
    198 22.73%:  If you are into
    199 22.69%:  It's so fun
    200 24.12%:  It's so fun to
    201 22.67%:  It's best if your
    202 22.65%:  It's in a
    203 22.63%:  If you're a dino
    204 22.59%:  It's best if a
    205 22.57%:  It's far too
