know just enough about science for that to be really credible!!
41.65%:  think
368.66%:  think you just changed
961.93%:  think you just changed science
362.10%:  think you just blew
315.86%:  think you just changed science for
310.63%:  think you just changed science for all
126.90%:  think you just found
87.32%:  think you just created
92.18%:  think you just created the
69.29%:  think you just found science
62.21%:  think you just changed science for real
62.08%:  think you just changed our
57.34%:  think you just got
53.67%:  think you just called
52.28%:  think you just changed science!!
46.62%:  think you just created science
41.88%:  think you just blew science
39.30%:  think you just changed all
49.94%:  think you just changed all science
42.99%:  think you just changed all of
343.14%:  think you just changed all of science!!
78.71%:  think you just changed all of our
36.07%:  think you just blew our
35.19%:  think you just found a
34.16%:  think you just brought
90.73%:  think you just brought science
57.25%:  think you just brought science and
41.66%:  think you just brought down
220.47%:  think you just brought down science
51.30%:  think you just brought down science!!
39.09%:  think you just brought science to
34.14%:  think you just created a science
32.82%:  just
67.16%:  just thought
78.74%:  just thought of a
81.54%:  just thought of a new
80.47%:  just thought of a way
77.88%:  just thought of a better
69.10%:  just thought of a counter
67.42%:  just thought of a new science
57.75%:  just thought of dark
50.11%:  just thought of a new science book
86.61%:  just thought of a new science book title
73.05%:  just thought of a new science book title!!
48.56%:  just thought of a better way
46.96%:  just thought of a really
40.50%:  just thought of it
39.20%:  just figured
209.27%:  just figured out the
106.64%:  just figured out what the
101.21%:  just figured out how
65.22%:  just figured out that
57.79%:  just figured out what science
51.78%:  just figured out where
81.24%:  just figured out where all
59.73%:  just figured out where all the black
48.94%:  just figured out the whole
46.43%:  just figured out the science
42.88%:  just figured out what science really
40.03%:  just figured out how to be
38.57%:  just figured out why
38.33%:  just figured out what all
119.49%:  just figured out what all the science
37.60%:  just thought of a new science career
36.18%:  just thought of a new career
33.99%:  just thought of a science
32.18%:  just thought of a new book
58.52%:  just thought of a new book title
48.07%:  just thought of a new book title!!
32.16%:  just figured out that science
32.00%:  just thought of a better science
31.94%:  think you just blew science out
30.71%:  just figured out the theory
30.02%:  think you just changed science fore
29.40%:  just figured out what black
28.94%:  think you just found the science
28.79%:  think you just changed all of science bro
28.48%:  thought
33.42%:  thought you
105.77%:  thought you were just
58.53%:  thought you were on
28.28%:  just figured out why there
27.69%:  just figured out how science
27.27%:  think you just found the real
27.24%:  think you just won
298.47%:  think you just won the science
116.89%:  think you just won the science debate
100.85%:  think you just won science
89.76%:  think you just won the science debate!!
75.08%:  think you just won the science debate for
74.11%:  think you just won the science lot
62.43%:  think you just won the science debate for all
36.75%:  think you just won the debate
32.04%:  think you just won science!!
32.00%:  think you just won the science debate of
69.42%:  think you just won the science debate of our
29.15%:  think you just won the debate!!
26.44%:  think you just won the science debate of all
26.35%:  just thought of an
25.80%:  thought about
25.73%:  think you just wrote
35.46%:  think you just wrote a science
32.88%:  think you just wrote science
25.42%:  think you just won science for
25.33%:  just thought of a new science book called
24.75%:  think you just changed all of science to
24.52%:  just thought of a way to be
24.14%:  thought you couldn
24.08%:  think you should
23.93%:  think you just wrote the
23.83%:  thought you were a
35.89%:  thought you were a science
32.00%:  thought you were a friend
32.72%:  thought you were a friend!!
23.53%:  think you just brought science down
23.51%:  think you just won the science race
23.45%:  just thought of a really cool
61.62%:  just thought of a really cool science
23.39%:  think you just created a new science
23.39%:  just figured out where the
23.19%:  just figured out where all the science
23.14%:  thought you said
23.10%:  think you just got science
