dang!! Dude, I just remembered how life is sad
100.00%: 
24.98%: ,
3.35%:  d
6.54%:  dang,
1.56%: , I
1.51%: , d
1.44%:  dang!!
1.41%:  dang, I
3.03%:  dang, I just
383.14%:  dang, I just remembered
261.27%:  dang, I just remembered how
14.89%:  dang, I just remembered a
12.36%:  dang, I just remembered how sad
10.17%:  dang, I just remembered!!
6.77%:  dang, I just remembered how life
3.03%:  dang, I just remembered how life is
1.69%:  dang, I just remembered how sad life
1.36%:  dang, I just remember
1.36%:  dang, I just remembered how sad life is!!
1.15%:  dang, I just remembered how life is sad
1.09%:  dang, I just remembered D
1.04%:  dang, I just remembered how l
0.88%:  dang, I just remember how
0.62%:  dang, just
73.96%:  dang, just remembered
29.05%:  dang, just remembered how
18.53%:  dang, just remembered I
6.78%:  dang, just remembered how I
4.33%:  dang, just remembered a
2.21%:  dang, just remembered I had
1.86%:  dang, just remembered!!
1.42%:  dang, just remembered I said
1.13%:  dang, just remembered how I said
1.10%:  dang, just remembered how sad
0.97%:  dang, just remembered how I die
0.87%:  dang, just remembered I die
0.60%:  dang, I just remembered how self
0.57%:  dang, just remembered how life
0.54%:  dang, I just remembered how D
0.53%:  dang, I just remembered she
0.52%:  dang, dude
0.50%:  dang, I just remembered how a
0.49%:  dang, I just remembered how d
0.49%:  dang I
1.00%:  dang I just
174.92%:  dang I just remembered
123.69%:  dang I just remembered how
6.37%:  dang I just remembered,
4.76%:  dang I just remembered a
4.44%:  dang I just remembered how sad
3.17%:  dang I just remembered!!
2.55%:  dang I just remembered how life
0.90%:  dang I just remembered how life is
0.61%:  dang I just remember
0.58%:  dang I just remembered how sad life
0.50%:  dang I just remembered D
0.48%:  dang, just remembered how I D
0.46%:  dang, just remembered I used
0.44%:  dang I just remembered how l
0.43%: , dang!!
0.43%:  dang dude
0.38%:  dang I just remembered how life is sad
0.37%:  dang I just remembered she
0.37%:  dang, just remembered how I used
0.36%:  dang, I just remembered his
0.35%:  dang I just remember how
0.30%:  dang, just remember
0.30%:  dang, just remembered I D
0.30%:  dang I just remembered how D
0.29%:  dang, I just used
0.29%:  dang, I just remembered how 
0.28%:  dang, just remembered how life is
0.27%:  dang I just remembered how sad life is!!
0.26%:  dang, I just remembered how disease
0.26%:  dang, I just remembered how else
0.25%:  dang I just remembered how d
0.25%:  dang, I just remembered he
0.25%:  dang I just remembered how self
0.25%:  dang I just remembered, how
0.24%:  dang dude, I just
0.24%:  dang, I just remembered how sal
0.24%:  dang d
0.68%:  dang dudes
0.44%:  dang dudes,
0.24%:  dang, I just remembered how dis
0.24%:  dang, I just remembered she said
0.23%:  dang, I just remembered how i
0.22%:  dang, just remembered she
0.22%:  dang, I just remembered 
0.22%:  dang I just remembered how a
0.21%:  dang, I just remembered he said
0.20%:  dang dudes!!
0.19%:  dang dudes, I just
0.19%:  dang, I just remembered how less
0.19%:  dang, dude!!
0.19%:  dang, just remembered how I die!!
0.19%:  dang, just remembered how sad I
0.18%:  dang I just remembered how,
0.17%:  dang I just remembered his
0.17%:  dang I just remembered he
