YOU WANNA COME OVER AND WATCH A MOVIE OR WHAT
      0 100.00%: 
      1 44.13%:  I
      2 14.47%:  THAT
      3 13.57%:  YOU
      4 11.53%:  I AM
      5 10.12%:  CAN
      6 8.46%:  I HAVE
      7 7.19%:  CAN WE
      8 5.19%:  H
      9 4.87%:  I W
     10 8.27%:  I WANT TO E
     11 7.04%:  I WANT TO HAVE
     12 8.96%:  I WANT TO HAVE YOUR
     13 6.84%:  I WANT YOU
     14 4.29%:  I WANT TO MA
     15 4.24%:  I WANT TO HAVE CH
     16 4.23%:  CAN I HAVE
     17 5.89%:  CAN I HAVE ONE
     18 3.77%:  I WANT YOUR
     19 3.70%:  WE
     20 4.00%:  WE ARE
     21 3.57%:  ARE
     22 3.49%:  ARE WE
     23 3.44%:  MA
     24 3.33%:  CAN YOU
     25 3.30%:  D
     26 3.14%:  I HAVE NE
     27 2.91%:  HAM
     28 2.63%:  WH
     29 2.52%:  I CAN
     30 2.50%:  YOU ARE
     31 2.86%:  YOU ARE THE
     32 2.38%:  W
     33 2.34%:  YOU HAVE
     34 2.31%:  I WANT TO OR
     35 2.22%:  HAVE
     36 5.50%:  HAVE YOU
     37 2.13%:  ARE YOU READ
     38 2.08%:  I NE
     39 2.24%:  I NEED YOU
     40 1.99%:  I AM YOUR
     41 1.87%:  I WANT TO H
     42 1.86%:  I WANT YOU AND
     43 1.83%:  WANT
     44 1.78%:  I AM NOT
     45 1.78%:  I WAN
     46 3.67%:  I WANNA E
     47 8.74%:  I WANNA EAT YOU AND
     48 5.51%:  I WANNA EAT YOUR
     49 1.76%:  ARE YOU RE
     50 1.72%:  I NEED TO E
     51 9.17%:  I NEED TO EAT YOU
     52 1.69%:  CAN I HAVE THE
     53 1.67%:  I NEED TO EAT H
     54 1.66%:  WHAT THE
     55 1.66%:  I TH
     56 1.61%:  WHEN
     57 1.95%:  WHEN YOU
     58 1.61%:  HAVE YOU EVER W
     59 1.60%:  WE CAN
     60 1.58%:  I WANNA EAT YOU R
     61 1.50%:  THE
     62 1.49%:  I HAVE A
     63 1.42%:  I NEED THAT
     64 1.42%:  WHY
     65 1.41%:  THAT W
     66 1.41%:  DO
     67 2.53%:  DO YOU
     68 8.61%:  DO YOU WANT TO CO
     69 6.39%:  DO YOU WANT TO COME HO
     70 6.10%:  DO YOU WANT TO HAVE
     71 5.02%:  DO YOU WANT TO COME O
     72 2.30%:  DO YOU WANT TO H
     73 1.90%:  DO YOU HAVE
     74 1.68%:  DO YOU WANT TO HAVE CH
     75 1.41%:  DO YOU WANT TO HAVE A
     76 1.40%:  I NEED TO HAVE
     77 1.37%:  I WANT A
     78 1.37%:  ARE YOU H
     79 1.35%:  I WANNA EAT YOUR N
     80 1.35%:  I WANNA EAT H
     81 1.53%:  I WANNA EAT HER AND
     82 1.34%:  I NEED TO EAT A
     83 1.33%:  THAT ONE
     84 1.30%:  ARE YOU THE
     85 1.30%:  I WANT ONE
     86 1.29%:  I WANNA EAT HAM
     87 1.25%:  I WANNA EAT YOU AND TH
     88 1.24%:  I AM READ
     89 1.23%:  HAVE YOU M
     90 2.60%:  HAVE YOU MET H
     91 2.80%:  HAVE YOU MET HAM
     92 2.31%:  HAVE YOU MET THE
     93 1.22%:  YOU CAN
     94 1.22%:  I NEED TO EAT HAM
     95 1.22%:  I HAVE A NEW
     96 1.20%:  WHAT YOU
     97 1.19%:  DO YOU WANT TO COME OVER H
     98 1.17%:  I HAVE NO
     99 1.14%:  IT
    100 1.13%:  O
    101 1.13%:  WE HAVE
    102 1.09%:  WATCH
    103 1.28%:  WATCH ME
    104 1.06%:  HAVE YOU MET ME
    105 1.06%:  I WO
    106 1.05%:  I HAVE TO
    107 1.03%:  CAN I HAVE AN
    108 1.03%:  HAVE YOU EAT
    109 1.02%:  CAN I H
    110 1.01%:  NE
    111 0.99%:  CAN YOU H
    112 0.98%:  I WANT TO ME
    113 0.97%:  I WANNA HAVE
    114 1.40%:  I WANNA HAVE YOU
    115 0.96%:  WHEN WE
    116 0.95%:  I WANT YOU TO E
    117 0.95%:  ARE YOU MA
    118 0.94%:  I RE
    119 0.94%:  WANT ONE
    120 0.94%:  CAN I HAVE YOUR
    121 0.91%:  HAVE YOU EVER NOT
    122 0.91%:  I AM NOT A
    123 0.89%:  I NEED TO EAT YOU NO
    124 0.89%:  DO YOU WANT TO COME OVER IN
    125 0.89%:  I WANT TO M
    126 0.89%:  CAN I CO
    127 0.99%:  CAN I COME O
    128 3.84%:  CAN I COME OVER AND HAVE
    129 2.24%:  CAN I COME OVER AND E
    130 7.48%:  CAN I COME OVER AND EAT YOUR
    131 7.21%:  CAN I COME OVER AND EAT YOU
    132 2.83%:  CAN I COME OVER AND EAT YOUR H
    133 2.22%:  CAN I COME OVER AND WE
    134 2.16%:  CAN I COME OVER AND EAT YOUR N
    135 1.29%:  CAN I COME OVER AND EAT H
    136 1.26%:  CAN I COME OVER T
    137 1.73%:  CAN I COME OVER TOM
    138 1.00%:  CAN I COME OVER AND W
    139 0.92%:  CAN I COME OVER AND H
    140 0.88%:  YOU AND
    141 1.02%:  YOU AND I HAVE
    142 0.99%:  YOU AND ME
    143 2.07%:  YOU AND ME ARE
    144 0.88%:  DO I
    145 0.87%:  I WANT THE
    146 0.86%:  CAN I COME OVER AND HAVE A
    147 0.86%:  NOT
    148 0.85%:  I NEED TO EAT YOUR
    149 0.84%:  WANT TO
    150 0.84%:  I D
    151 0.84%:  I WANT YOU ON
    152 0.83%:  I WANT TO D
    153 0.83%:  CAN I COME OVER AND EAT A
    154 0.83%:  I CO
    155 0.82%:  WE HAVE TO
    156 0.82%:  YOU HAVE TO
    157 0.81%:  CAN I COME OVER YOUR
    158 0.81%:  I WANT MY
    159 0.81%:  I NEED TO EAT MY
    160 0.81%:  CAN YOU MA
    161 0.79%:  I WANNA H
    162 0.78%:  CAN YOU NOT
    163 0.78%:  IM
    164 0.78%:  I NEED TO EAT YOU R
    165 0.77%:  HAVE YOU EVER H
    166 0.76%:  I WANT TO HAVE A
    167 0.76%:  I WANT YOUR N
    168 2.37%:  I WANT YOUR NAME TO
    169 0.88%:  I WANT YOUR NAME ON THE
    170 0.76%:  I HAVE THE
    171 0.75%:  YOU CAN C
    172 0.75%:  I WANNA T
    173 0.75%:  I NEED YOUR
    174 0.92%:  I NEED YOUR NAME TO
    175 0.75%:  WHY ARE
    176 0.73%:  DO YOU WANT ME
    177 0.73%:  DO YOU WANT TO MA
    178 0.72%:  DIN
    179 0.72%:  I WANNA EAT THE
    180 0.72%:  I WANNA EAT MY
    181 0.71%:  ARE YOU A
    182 0.71%:  I WANT YOU AND ME
    183 0.94%:  I WANT YOU AND ME TO HAVE
    184 0.71%:  DO YOU WANT TO COME IN
    185 0.70%:  DO YOU WANT TO E
    186 0.70%:  HAVE YOU HE
    187 0.69%:  I WANNA EAT YOU AND HAVE
    188 0.69%:  CAN I HAVE ONE MO
    189 0.69%:  HAVE I E
    190 0.68%:  CAN THAT
    191 0.68%:  WHEN ARE
    192 0.68%:  E
    193 0.68%:  I AM A
    194 0.68%:  YOU ARE A
    195 0.67%:  I WANT YOU TO HAVE
    196 0.67%:  WHAT ARE
    197 0.77%:  WHAT ARE WE
    198 0.66%:  I A
    199 0.79%:  I ATE YOU
    200 0.66%:  CAN I E
    201 1.22%:  CAN I EAT YOUR
    202 0.66%:  HAVE YOU MET A
    203 0.65%:  I MA
    204 0.69%:  I MADE THAT
    205 0.65%:  ARE YOU HAM
    206 0.65%:  HAVE YOU EVER M
    207 0.65%:  IN
    208 0.65%:  M
    209 0.64%:  CO
    210 6.46%:  COME HERE AND
    211 3.97%:  COME HERE I
    212 1.04%:  COME HERE AND H
    213 0.89%:  COME WITH
    214 2.73%:  COME WITH ME AND
    215 1.94%:  COME WITH ME AND WE
    216 0.82%:  COME HERE I W
    217 4.15%:  COME HERE I WANT TO H
    218 2.83%:  COME HERE I WANT TO MA
    219 1.80%:  COME HERE I WANT YOU
    220 0.76%:  COME HERE AND I
    221 0.65%:  COME HERE I WAN
    222 1.79%:  COME HERE I WANNA H
    223 0.68%:  COME HERE I WANNA T
    224 0.64%:  HAVE YOU EVER TR
    225 0.64%:  CAN I COME OVER AND MA
    226 0.63%:  I WANT YOUR NAME AND
    227 0.63%:  I WANT TO HE
    228 1.87%:  I WANT TO HEAR YOUR
    229 0.63%:  I WANNA EAT YOU AND E
    230 0.62%:  COME HERE YOU
    231 0.62%:  CAN WE NOT
    232 0.88%:  CAN WE NOT NOT
    233 0.62%:  COME HERE AND I W
    234 0.62%:  Y
    235 0.61%:  I ATE ONE
    236 0.61%:  I NEED TO EAT YOUR N
    237 0.61%:  CON
    238 0.61%:  TH
    239 0.61%:  WE HAVE A
    240 0.61%:  HAVE I EVER M
    241 0.60%:  YOU CAN HAVE
    242 0.59%:  DO I EVER W
    243 5.05%:  DO I EVER WANT TO HE
    244 4.02%:  DO I EVER WANT TO HEAR YOU
    245 3.43%:  DO I EVER WANT TO E
    246 2.25%:  DO I EVER WANT TO ME
    247 2.19%:  DO I EVER WANT TO HAVE
    248 2.05%:  DO I EVER WANT TO HEAR WH
    249 1.44%:  DO I EVER WANT TO HEAR ANY
    250 1.12%:  DO I EVER WANT TO HEAR YOU C
    251 0.95%:  DO I EVER WANT TO HEAR MO
    252 0.93%:  DO I EVER WANT TO OR
    253 0.82%:  DO I EVER WANT TO HEAR A H
    254 0.74%:  DO I EVER WANT TO HEAR H
    255 0.65%:  DO I EVER WANT TO HEAR A MO
    256 0.64%:  DO I EVER WANT TO HEAR A N
    257 0.58%:  I H
