a death spasm that infects the galaxy.
      0 100.00%: 
      1 145.66%:  a
      2 181.05%:  a planet
      3 139.34%:  a planet that
      4 101.54%:  a planet that says
      5 95.75%:  the
      6 188.54%:  the last
      7 389.58%:  the last thing
      8 231.58%:  the last message
      9 194.07%:  the last thing that
     10 110.00%:  the last thing the
     11 79.86%:  a last
     12 76.81%:  the last thing a
     13 67.34%:  the last message that
     14 63.18%:  the last time
     15 60.99%:  a planet that has
     16 57.98%:  the last attempt
     17 54.84%:  the last things
     18 52.51%:  the last message that can
     19 47.38%:  the planet
     20 42.31%:  the last time the
     21 35.66%:  the last gas
     22 32.55%:  the last thing that seems
     23 31.47%:  the message
     24 31.13%:  a planet that is
     25 26.37%:  the last thing that says
     26 25.55%:  a message
     27 23.08%:  a statement
     28 42.90%:  a statement that
     29 104.34%:  a statement that says
     30 22.59%:  the last dance
     31 22.49%:  the last message any
     32 19.55%:  the end
     33 19.35%:  the message that
     34 17.82%:  a final
     35 167.54%:  a final message
     36 145.48%:  a final message that
     37 25.95%:  a final attempt
     38 16.81%:  the last dance.
     39 16.22%:  the single
     40 15.91%:  the last thing these
     41 14.88%:  the final
     42 174.80%:  the final message
     43 27.48%:  the final message that
     44 14.63%:  the last time any
     45 13.86%:  the last thing they
     46 13.07%:  the last things that
     47 12.77%:  a message in
     48 11.78%:  the last thing that a
     49 11.72%:  the planet that
     50 11.43%:  a statement that life
     51 10.69%:  an
     52 31.62%:  an attempt
     53 10.55%:  the signal
     54 17.39%:  the signal that
     55 10.25%:  that
     56 15.97%:  that simple
     57 10.16%:  a last stand
     58 9.86%:  the last act
     59 9.78%:  the same
     60 9.73%:  the last time that
     61 9.64%:  the last message that any
     62 9.43%:  the last statement
     63 9.05%:  that thing
     64 12.95%:  that thing that
     65 9.00%:  a death
     66 8.45%:  the planet that says
     67 8.23%:  the last piece
     68 8.15%:  fantastic
     69 7.76%:  a planet that has the
     70 7.71%:  the same as
     71 7.61%:  a last d
     72 2491.20%:  a last ditch attempt
     73 90.00%:  a last ditch message
     74 98.64%:  a last ditch message that
     75 7.59%:  the last thing that made
     76 7.34%:  saying
     77 7.33%:  a planet that says it
     78 7.04%:  a planet that has made
     79 16.15%:  a planet that has made the
     80 7.51%:  a planet that has made its
     81 6.97%:  a message that can
     82 6.80%:  dying
     83 6.56%:  the last thing my
     84 6.48%:  the last decent
     85 6.42%:  the species
     86 10.54%:  the species that
     87 6.00%:  as
     88 5.98%:  the last thing each
     89 5.83%:  a message that explains
     90 6.98%:  a message that explains that
     91 5.81%:  a single
     92 5.71%:  the highest
     93 5.51%:  the final attempt
     94 12.97%:  the final attempt at
     95 5.49%:  a final attempt at
     96 5.48%:  a message in the
     97 5.41%:  an example
     98 5.40%:  a planet that had
     99 5.35%:  the last message a
    100 5.33%:  explained
    101 5.32%:  a last ditch attempt.
    102 5.25%:  a tiny
    103 5.22%:  a dying
    104 5.13%:  a last dance
    105 5.03%:  the last and
    106 4.99%:  a planet that has said
    107 4.86%:  a message that ends
    108 4.84%:  a giant
    109 4.81%:  that thing that made
    110 4.79%:  estimated
    111 4.68%:  a death message
    112 4.63%:  the last dance at
    113 4.56%:  the last that
    114 6.12%:  the last that stands
    115 4.45%:  as if the
    116 35.82%:  as if the planet
    117 33.32%:  as if the planet says
    118 4.42%:  the last date
    119 4.36%:  a final message attached
    120 4.33%:  this
    121 15.02%:  this planet
    122 4.25%:  a last attempt
    123 12.10%:  a last attempt at
    124 4.24%:  the same signal
    125 5.77%:  the same signal that
    126 4.20%:  a statement that life has
    127 4.18%:  the last message in
    128 4.13%:  a planet that has had
    129 4.06%:  the last thing death
    130 4.05%:  a planet that missed
    131 4.02%:  a date
    132 5.06%:  a date that
    133 4.02%:  a species
    134 3.99%:  the same thing
    135 9.68%:  the same thing as
    136 15.10%:  the same thing as the
    137 10.75%:  the same thing as the last
    138 3.95%:  that thing that says
    139 3.93%:  the last thing that may
    140 3.90%:  the galaxy
    141 3.89%:  my
    142 3.88%:  the last statement a
    143 3.84%:  the last time that any
    144 3.81%:  in
    145 3.71%:  fantastic that
    146 3.64%:  a sign
    147 9.24%:  a sign that
    148 3.59%:  a planet that gets
    149 3.58%:  a planet that said
    150 3.55%:  the thing
    151 6.13%:  the thing that
    152 3.49%:  a failed
    153 15.54%:  a failed attempt
    154 4.15%:  a failed message
    155 3.92%:  a failed attempt at a
    156 3.44%:  a planet that tastes
    157 3.38%:  a planet that says its
    158 3.36%:  a delicate
    159 3.33%:  the date
    160 3.32%:  a planet that exists
    161 3.31%:  an attempt at
    162 3.26%:  a planet that had the
    163 3.23%:  a message sent
    164 3.22%:  the last image
    165 3.21%:  a planet that made
    166 6.48%:  a planet that made the
    167 3.18%:  the length
    168 3.16%:  meant
    169 3.15%:  death
    170 3.14%:  a physical
    171 3.13%:  the height
    172 3.09%:  a message that is
    173 3.05%:  estimated that the
    174 3.02%:  that simple.
    175 2.95%:  as if the galaxy
    176 2.92%:  played
    177 2.91%:  the death
    178 2.91%:  a planet that sees
    179 8.15%:  a planet that sees its
    180 2.90%:  signed
    181 2.90%:  a planet that stayed
    182 2.88%:  this planet that
    183 2.86%:  a planet that says this
    184 2.84%:  exactly
    185 3.55%:  exactly the
    186 7.86%:  exactly the same thing
    187 6.32%:  exactly the same thing that
    188 5.56%:  exactly the same thing as that
    189 2.84%:  a message that lands
    190 2.82%:  the feeling
    191 6.02%:  the feeling that
    192 2.80%:  the last that can
    193 2.79%:  the last dance that
    194 2.77%:  sad
    195 2.74%:  the last day
    196 2.73%:  the planet that says this
    197 2.73%:  the physical
    198 2.72%:  a final gas
    199 2.71%:  the final act
    200 2.69%:  a failed message that
    201 2.68%:  that final
    202 2.65%:  that last
    203 13.42%:  that last thing
    204 2.65%:  a self
    205 2.64%:  a manifest
    206 2.64%:  the latest
    207 2.62%:  a message that sh
    208 2.60%:  in the same
    209 2.60%:  the final stage
    210 2.60%:  a planet that dies
    211 2.59%:  a message that c
    212 2.58%:  the last message and
    213 2.57%:  a last gas
    214 6.10%:  a last gasp that
    215 2.54%:  exactly as
    216 2.53%:  a simple
    217 2.52%:  the last and highest
    218 2.49%:  the same planet
    219 7.39%:  the same planet that
    220 2.48%:  the same thing that
    221 2.47%:  that last dance
    222 2.47%:  a message that fails
    223 2.46%:  the signal that says that
    224 2.44%:  a last message
    225 2.43%:  the last in
    226 2.42%:  the last gasp in
    227 6.02%:  the last gasp in the death
    228 2.40%:  a last gasp at
    229 2.90%:  a last gasp at the
    230 2.37%:  a last gasp that ends
    231 2.36%:  simply
    232 2.36%:  the last species
    233 2.98%:  the last species that
    234 2.35%:  a planet that says the
    235 2.35%:  the last sh
    236 2.34%:  a message that plays
    237 2.34%:  the last stand
    238 2.33%:  a final act
    239 2.29%:  the last change
    240 2.27%:  the last the
    241 2.26%:  exactly that
    242 2.25%:  the distant
    243 2.23%:  simple
    244 2.21%:  a planet that has yet
    245 2.18%:  a planet that has the same
    246 2.16%:  the easiest
    247 2.15%:  the last thing the system
    248 2.14%:  a planet that gets its
    249 2.13%:  a species that
    250 2.13%:  a deathless
    251 2.11%:  the message in
    252 2.10%:  the last that says
    253 2.08%:  a fantastic
    254 2.07%:  a last stand that
    255 2.06%:  the last things they
    256 2.05%:  a planet that has hit
    257 2.04%:  a planet that sh
    258 2.03%:  the last time an
    259 2.03%:  a planet that says if
    260 2.02%:  time
    261 2.02%:  a message that has
    262 3.30%:  a message that has failed
    263 2.02%:  selfish
    264 2.18%:  selfish and
    265 2.02%:  the fastest
    266 2.00%:  titled
    267 1.98%:  that last night
    268 1.98%:  the end times
    269 1.97%:  a life
    270 1.96%:  the last that gets
    271 1.96%:  the legacy
    272 1.95%:  the thing that made
    273 1.95%:  a ple
    274 12.96%:  a plea that
    275 8.30%:  a plea that says
    276 1.95%:  the animal
    277 1.94%:  the last thing space
    278 1.93%:  said
    279 16.91%:  said that the
    280 15.53%:  said that the message
    281 14.22%:  said that the planet
    282 12.97%:  said that the last
    283 9.08%:  said that the galaxy
    284 6.45%:  said that the planets
    285 3.65%:  said that the message can
    286 3.18%:  said that the al
    287 2.71%:  said that a
    288 2.49%:  said the
    289 4.74%:  said the message
    290 2.45%:  said that these
    291 3.21%:  said that these space
    292 2.06%:  said that the spaces
    293 1.93%:  the last date in
    294 1.93%:  the last saying
    295 1.92%:  a planet that may
    296 1.91%:  a message that ple
    297 2.32%:  a message that pleads that
    298 1.91%:  exactly the same as it
    299 1.91%:  the planet that made
    300 1.96%:  the planet that made this
    301 1.90%:  this planet that says
    302 1.90%:  the date that
    303 1.87%:  a planet that has said the
    304 1.86%:  a message that last
    305 1.86%:  the final death
    306 1.86%:  the animal that
    307 1.84%:  a planet that says that
    308 5.54%:  a planet that says that if
    309 1.83%:  space
    310 1.83%:  in case
    311 2.36%:  in case the
    312 1.81%:  playing
    313 2.05%:  playing as
    314 1.80%:  a plea that might
    315 1.78%:  the exact
    316 55.41%:  the exact same thing
    317 40.39%:  the exact same thing that
    318 4.71%:  the exact thing
    319 8.76%:  the exact thing that
    320 7.76%:  the exact thing that made
    321 3.28%:  the exact same signal
    322 3.61%:  the exact same signal that
    323 2.89%:  the exact same thing as that
    324 2.38%:  the exact same as
    325 1.98%:  the exact same thing as last
    326 1.77%:  the final gas
    327 1.76%:  a planet that had its
    328 1.75%:  the last idea
    329 1.75%:  deathless
    330 1.74%:  a date that last
    331 1.74%:  a planet that has existed
    332 1.74%:  a planet that made it
    333 1.72%:  a message painted
    334 1.72%:  exactly the same as if
    335 1.70%:  a tiny spaces
    336 1.70%:  the last thing the spaces
    337 1.69%:  the dying
    338 1.68%:  the last page
    339 2.67%:  the last page in
    340 1.67%:  a dance
    341 1.71%:  a dance that
    342 2.07%:  a dance that last
    343 1.67%:  a planet that has its
    344 1.67%:  a message that the
    345 1.66%:  said the galaxy
    346 1.66%:  sad that
    347 1.87%:  sad that the
    348 3.12%:  sad that the message
    349 1.65%:  the last time a
    350 1.65%:  a message the
    351 1.63%:  sealed
    352 1.63%:  the date that changes
    353 1.63%:  a planet at
    354 1.62%:  a final attempt at the
    355 1.62%:  a last message that
    356 1.62%:  a planet that seems
    357 1.61%:  a last ditch fantasy
    358 5.12%:  a last ditch fantasy that
    359 1.61%:  saying that
    360 1.59%:  the planets
    361 1.59%:  death that
    362 1.58%:  essential
    363 1.58%:  the final message at
    364 1.58%:  nice
    365 3.57%:  nice that
    366 5.37%:  nice that the
    367 3.14%:  nice that the last
    368 2.64%:  nice that the galaxy
    369 1.57%:  that simple and
    370 1.56%:  as if the planets
    371 1.53%:  a message that if
    372 1.53%:  the last date that
    373 1.53%:  a species that lasted
    374 1.52%:  the final message a
    375 1.52%:  a planet that made its
    376 1.52%:  failed
    377 1.52%:  the last act that
    378 11.78%:  the last act that defines
    379 1.51%:  a planet that gets the
    380 1.51%:  the last message that can fit
    381 1.51%:  the final message that has
    382 1.51%:  painted
    383 1.50%:  a last gasp statement
    384 1.50%:  the last attempt any
    385 1.50%:  a message that sp
    386 1.50%:  a statement that has
    387 1.49%:  the least
    388 1.49%:  said the last
    389 1.49%:  the last speech
    390 1.48%:  the last sp
    391 1.48%:  the things
    392 1.48%:  the thing that seems
    393 1.48%:  a signal
    394 4.03%:  a signal that
    395 1.47%:  my last
    396 1.47%:  the final message sc
    397 1.46%:  the last step
    398 1.46%:  the last step in the
    399 1.46%:  the planets that
    400 1.46%:  a planet that has said the same
    401 1.46%:  as if the planet has
    402 3.08%:  as if the planet has a
    403 1.46%:  a last ditch statement
    404 1.45%:  the last thing they made
    405 1.45%:  the lengthiest
    406 1.45%:  the day
    407 3.26%:  the day the
    408 1.44%:  a last dance that
    409 1.44%:  the last manifest
    410 1.44%:  the species that has
    411 1.44%:  a death message that
    412 1.44%:  the day the planet
    413 1.44%:  that last message
    414 3.20%:  that last message that
    415 1.44%:  the highest and
    416 1.43%:  a space
    417 1.41%:  the finest
    418 1.41%:  the same thing as last
    419 1.40%:  a galaxy
    420 1.40%:  an attempt at self
    421 1.39%:  a pleading
    422 1.39%:  the things that
    423 1.39%:  the last saying that
    424 1.39%:  a plan
    425 1.38%:  the final message as
    426 1.37%:  the planet that dies
    427 1.37%:  the distance
    428 1.50%:  the distance that
    429 1.36%:  the last sign
    430 1.36%:  said the message can
    431 1.36%:  the last thing that came
    432 1.35%:  a planet that came
    433 1.34%:  the final attempt at a
    434 1.34%:  the last time they
    435 1.33%:  as if the last
    436 1.33%:  a plea that gets
    437 1.32%:  simply that
    438 1.31%:  a planet that adm
    439 1.31%:  a plea that ends
    440 1.31%:  a message that instead
    441 1.30%:  as if the message
    442 1.30%:  the last things each
    443 1.30%:  said that at
    444 4.53%:  said that at the last
    445 1.30%:  a planet that has a
    446 1.58%:  a planet that has a message
    447 1.30%:  a planet that might
    448 1.29%:  a message in the last
    449 1.29%:  named
    450 1.28%:  that feeling
    451 1.28%:  in the last
    452 1.28%:  the last idea that
    453 1.27%:  a species last
    454 1.25%:  the last image the
    455 1.24%:  the same thing as that
    456 1.24%:  the manifest
    457 1.23%:  the last dying
    458 1.23%:  the attempt
    459 1.23%:  a planet that has made this
    460 1.23%:  said that as
    461 4.68%:  said that as the space
    462 3.60%:  said that as the last
    463 1.54%:  said that as the planet
    464 1.23%:  that essential
    465 1.22%:  the last dance as
    466 1.36%:  the last dance as the ship
    467 1.22%:  a time
    468 1.22%:  a place
    469 3.10%:  a place that
    470 1.80%:  a place that says
    471 1.41%:  a place that has
    472 1.21%:  the last thing that c
    473 1.20%:  the last things that made
    474 1.19%:  a silent
    475 1.36%:  a silent message
    476 2.58%:  a silent message that
    477 1.19%:  a planet that ate
    478 2.84%:  a planet that ate its
    479 1.18%:  a species that has
    480 1.18%:  the planet that gets
    481 1.18%:  the message that can
    482 1.17%:  an ele
    483 1.17%:  dying.
    484 1.17%:  this galaxy
    485 1.16%:  the last days
    486 1.15%:  the same as saying
    487 1.15%:  a planet that has made a
    488 1.15%:  the saying
    489 2.49%:  the saying that
    490 1.15%:  a message that alien
    491 1.15%:  a message that explains that a
    492 1.14%:  existence
    493 1.14%:  a deathless attempt
    494 1.14%:  the exact same final
    495 1.14%:  an act
    496 1.14%:  a message left
    497 1.76%:  a message left in
    498 1.13%:  a final message cast
    499 1.13%:  against
    500 1.13%:  exactly the same as in
    501 1.13%:  the last dance that the
    502 1.12%:  sealed in a space
    503 1.12%:  a thing
    504 2.24%:  a thing that
    505 1.12%:  the same planet that says
    506 1.11%:  the same as the
    507 1.49%:  the same as the last
    508 6.98%:  the same as the last thing
    509 1.11%:  the last thing made
    510 1.11%:  a planet that says the same
    511 1.10%:  sealed in a caps
    512 1.10%:  this message
    513 1.09%:  the planets that say
    514 1.09%:  the silence
    515 2.66%:  the silence that
    516 1.09%:  a thing that says
    517 1.09%:  the final message that sh
    518 1.08%:  the thing that says
    519 1.07%:  a message that say
    520 1.07%:  that fantastic
    521 1.07%:  the same as that
    522 1.06%:  a test
    523 2.91%:  a testament that
    524 6.36%:  a testament that says
    525 1.06%:  the same thing the
    526 1.05%:  the same as the last dying
    527 1.05%:  helped
    528 1.05%:  the last date the
    529 1.05%:  that and
    530 1.04%:  that the
    531 2.65%:  that the planet
    532 1.04%:  lasted
    533 1.28%:  lasted this
    534 1.04%:  a planet at the height
    535 1.04%:  attempted
    536 1.03%:  a statement that says life
    537 1.03%:  a last gasp.
    538 1.02%:  said that the space
    539 1.02%:  sad that it
    540 1.02%:  the last dance at a
    541 1.01%:  exactly the same as that
    542 1.55%:  exactly the same as that thing
    543 1.01%:  the same as the final
    544 1.01%:  a failed attempt at the
    545 1.00%:  as simple
    546 14.39%:  as simple as that.
    547 2.24%:  as simple as that and
    548 2.96%:  as simple as that and that
    549 1.00%:  the exact same thing.
    550 1.00%:  as if a
    551 0.99%:  the last it
    552 0.99%:  a last date
    553 0.99%:  the planet that said
    554 0.98%:  a message that flies
    555 0.98%:  the last gift
    556 0.98%:  the last thing they made.
    557 0.98%:  the last thing she
    558 0.97%:  exactly the same thing as a
    559 0.97%:  the last message that a
    560 0.97%:  a statement that yes
    561 0.97%:  the finale
    562 0.96%:  nice that they
    563 0.96%:  nice.
    564 0.96%:  a mass
    565 0.96%:  fantastic.
    566 0.96%:  the last thing the date
    567 0.96%:  the sad
    568 1.78%:  the sadness
    569 0.95%:  that last thing they
    570 0.95%:  an attempted
    571 0.94%:  a planet that has shifted
    572 0.94%:  a final act that
    573 1.67%:  a final act that says
    574 0.94%:  a planet that miss
    575 1.34%:  a planet that misses the
    576 0.94%:  that and it
    577 0.93%:  that time
    578 0.93%:  the highest and last
    579 0.93%:  that and the
    580 2.38%:  that and the fact
    581 0.93%:  the date that the
    582 0.93%:  explained that
    583 0.93%:  a planet that ate the
    584 0.93%:  a planet that sees that
    585 0.92%:  attempting
