being really cool IS one of the perks of being a computer scientist!
100.00%: 
72.61%:  you
34.59%:  um
22.10%:  please
19.09%:  honestly
18.02%:  like
14.32%:  like all
72.87%:  like all computer
3319.27%:  like all computer science theories
1464.86%:  like all computer science stories
389.43%:  like all computer science things
337.17%:  like all computer science theory
62.76%:  like all computer science is
59.46%:  like all computer science the
45.38%:  like all computer science stories I
35.40%:  like all computer science proof
30.63%:  like all computer science insight
24.32%:  like all computer science present
20.91%:  like all computer science an
18.13%:  like all computer science things I
17.46%:  like all computer sciences
16.97%:  like all computer scientist
16.81%:  like all things
77.39%:  like all things computer
16.33%:  like all computer science theories I
15.45%:  like all computer science points
14.69%:  like all computer science progress
14.46%:  like all computer concepts
14.28%:  like all great
23.85%:  like all great things
21.60%:  like all great computer
5176.39%:  like all great computer science theories
811.87%:  like all great computer science stories
209.92%:  like all great computer science theory
123.09%:  like all great computer science things
62.90%:  like all great computer science insight
23.16%:  like all great computer science the
22.10%:  like all great computer science proof
19.30%:  like all great computer science theories of
13.60%:  like all things computer science is
13.22%:  like all computer science theories of
12.14%:  actually
11.90%:  like all great computer science present
11.71%:  like all computer science ner
11.12%:  like most
54.19%:  like most things in life
28.16%:  like most things in science
16.51%:  like most things I
14.14%:  like most cool
38.95%:  like most cool things in
73.46%:  like most cool things in science
36.46%:  like most cool things about
37.88%:  like most cool things about science
14.29%:  like most cool stuff
11.40%:  like most things about
11.06%:  it
11.03%:  you can
10.36%:  really
10.09%:  I
9.97%:  like all great computer science theories I
9.84%:  like all great theories
9.83%:  like all computer science presents
9.81%:  like all great computer sciences
16.97%:  like all great computer sciences theories
9.80%:  like all computer science has
23.40%:  like all computer science has been
15.77%:  like all computer science has been for
9.72%:  like all computer science history
9.64%:  like all computer science theories it
9.40%:  before
52.27%:  before you go thinking
28.37%:  before you get
22.46%:  before you go telling
68.25%:  before you go telling people
31.94%:  before you go telling people that
18.94%:  before you start
30.73%:  before you start thinking
19.55%:  before you start making
95.75%:  before you start making copies
26.32%:  before you start making copies of the
26.73%:  before you start making copies of the song
21.80%:  before you start making copies of things
16.02%:  before you get all
16.00%:  before you go telling people this
11.71%:  before you start thinking I
10.76%:  before you start making copies of this
10.71%:  before you mention
10.23%:  before you go telling others
9.84%:  before you ask
9.56%:  before you start making copies of the entire
9.27%:  because
20.55%:  because of this problem
8.83%:  like all great computer concepts
8.74%:  before you think
8.44%:  like all computer science these
8.39%:  like all computer science types
7.85%:  before you start thinking of
7.52%:  like all things computer sciences
7.47%:  because of the
7.41%:  like all computer science things I say
7.38%:  before you go thinking it
7.26%:  unlike
8.09%:  unlike most
40.28%:  unlike most things
16.63%:  unlike most things in
13.88%:  unlike most things in life
12.67%:  unlike most people
9.80%:  unlike most things I say
8.11%:  unlike most cool
18.95%:  unlike most cool things in
23.40%:  unlike most cool things in science
9.36%:  unlike most cool things I
7.37%:  unlike most other
9.38%:  unlike most other aspects
41.05%:  unlike most other aspects of life
7.20%:  unlike most things cool
7.14%:  like most cool theories
7.07%:  like all great computer science points
7.00%:  like all computer stories
6.98%:  like all great computer theories
6.95%:  like all great computer science ep
6.94%:  listen
6.85%:  unlike most other people
6.61%:  like I
6.57%:  like all great computer science is
6.53%:  unlike most other cool
6.52%:  before you start looking
6.73%:  before you start looking for
6.43%:  since
6.42%:  like all computer science I
6.41%:  like most things cool
6.41%:  before you get too into
6.28%:  like most cool things I
