would still like to hear about the sex, however!
      0 100.00%: 
      1 54.09%:  would
      2 95.31%:  would have
      3 32.57%:  should
      4 26.08%:  still
      5 22.99%:  would like
      6 17.33%:  would like to have
      7 17.66%:  would like to have this
      8 16.49%:  bet
      9 14.41%:  should write
     10 40.33%:  should write that
     11 14.97%:  should write better
     12 13.79%:  tried
     13 16.21%:  tried to tell
     14 15.35%:  tried to break
     15 13.72%:  was
     16 13.66%:  tried to be
     17 13.63%:  wish
     18 13.15%:  would also
     19 45.10%:  would also like to wish
     20 43.13%:  would also like to state
     21 24.00%:  would also like to have
     22 33.53%:  would also like to have this
     23 17.74%:  would also like to hear
     24 13.62%:  would also like to be
     25 12.19%:  should write this
     26 11.62%:  have
     27 10.53%:  wish there
     28 332.70%:  wish there was a better
     29 27.49%:  wish there were
     30 10.46%:  wrote
     31 37.03%:  wrote this
     32 36.06%:  wrote that last
     33 9.41%:  would write
     34 16.32%:  would write that
     35 13.60%:  would write that but
     36 9.29%:  tried to write
     37 9.27%:  tried to break it
     38 9.18%:  still like
     39 9.10%:  would also like to share
     40 8.97%:  would like to be
     41 8.88%:  still like the other
     42 8.06%:  would tell
     43 8.01%:  would like to assure
     44 7.96%:  would also like to share with
     45 7.85%:  still have
     46 7.78%:  still wish
     47 7.08%:  still wish there
     48 12.89%:  still wish there were
     49 6.85%:  would like to hear
     50 6.67%:  would also like it
     51 6.62%:  heard
     52 6.47%:  wrote this while
     53 6.39%:  would like to hear that
     54 6.37%:  would also like to share the
     55 6.37%:  hate
     56 29.50%:  hate break
     57 12.87%:  hate this
     58 6.24%:  would also like to throw
     59 6.16%:  also
     60 6.08%:  would like to see
     61 12.91%:  would like to see the
     62 6.08%:  would also like to steal
     63 12.12%:  would also like to steal their
     64 8.21%:  would also like to steal the
     65 5.89%:  have to
     66 5.70%:  like
     67 11.72%:  like this
     68 40.00%:  like this better
     69 9.53%:  like how
     70 13.07%:  like how we both
     71 38.89%:  like how we both said
     72 19.00%:  like how we both said the
     73 6.58%:  like how this
     74 5.88%:  like that
     75 5.62%:  bet this
     76 5.61%:  should have broke
     77 5.56%:  would write this
     78 8.97%:  would write this better
     79 5.51%:  would like to see this
     80 5.38%:  would like to see their
     81 5.36%:  love
     82 5.18%:  would also like to see
     83 7.69%:  would also like to see the
     84 5.13%:  bet that
     85 4.99%:  would like to have that
     86 4.86%:  said
     87 15.37%:  said that
     88 9.15%:  said that better
     89 4.80%:  have a
     90 4.63%:  would write better
     91 4.57%:  would like to state
     92 4.54%:  would also like to let
     93 4.53%:  should have wrote
     94 9.80%:  should have wrote this
     95 4.51%:  wish this
     96 7.02%:  wish this were
     97 16.01%:  wish this were a better
     98 4.51%:  bet he
     99 4.48%:  would also like to have the
    100 4.46%:  would be
    101 4.41%:  still love
    102 4.38%:  hate these
    103 4.36%:  told
    104 4.35%:  said that out
    105 4.31%:  would also like to see their
    106 4.29%:  wish this were better
    107 4.26%:  would like to wish
    108 4.21%:  would like to hear about
    109 8.46%:  would like to hear about this
    110 7.62%:  would like to hear about the
    111 6.88%:  would like to hear about how
    112 4.20%:  would like to tell
    113 4.14%:  wish we
    114 10.90%:  wish we had
    115 18.89%:  wish we had better
    116 12.01%:  wish we had a better
    117 4.11%:  like the
    118 4.06%:  would still
    119 42.13%:  would still like to see
    120 23.84%:  would still like to hear
    121 133.78%:  would still like to hear about
    122 98.84%:  would still like to hear about the
    123 38.97%:  would still like to hear about how
    124 38.59%:  would still like to hear about how the
    125 25.14%:  would still like to hear the
    126 18.34%:  would still like to hear what
    127 17.91%:  would still like to hear what the
    128 16.40%:  would still like to see the
    129 21.63%:  would still like to see the other
    130 16.17%:  would still like to have
    131 15.99%:  would still like to hear about the sex
    132 15.34%:  would still like to see what
    133 14.97%:  would still like to see that
    134 14.67%:  would still like to hear the rest
    135 12.95%:  would still like to have a
    136 12.08%:  would still like to have the
    137 10.76%:  would still like to hear how
    138 10.52%:  would still like to have a beer
    139 7.73%:  would still like to have a better
    140 7.22%:  would still like to hear the other
    141 6.68%:  would still like to have sex
    142 6.28%:  would still like to be
