means that not all dreams can come true!)
      0 100.00%: 
      1 185.90%:  rules
      2 37.56%: !)
      3 25.82%: !
      4 19.35%:  has
      5 13.78%:  doesn
      6 12.81%:  rules)
      7 7.68%:  can
      8 7.27%:  teaches
      9 11.92%:  teaches us to
     10 6.41%: )
     11 5.02%:  rules!
     12 4.16%:  has let
     13 3.69%:  means
     14 3.39%:  has made
     15 3.10%:  has done
     16 2.91%:  rules the
     17 2.81%:  teachers
     18 2.79%:  and
     19 2.69%:  and mathemat
     20 2.60%:  cannot
     21 2.52%:  has done me
     22 2.40%:  teaches us not
     23 4.69%:  teaches us not to dream
     24 2.31%:  nonetheless
     25 2.27%:  teaches me
     26 2.22%:  should
     27 2.42%:  should not
     28 2.12%:  means so
     29 67.68%:  means so much to me)
     30 7.00%:  means so much more
     31 3.43%:  means so much to me and
     32 2.04%:  teaches us to dream
     33 2.04%:  means more
     34 3.91%:  means more to me than a
     35 2.44%:  means more than
     36 2.02%:  does
     37 1.97%:  reasons
     38 1.96%:  teaches us all
     39 1.92%:  tells
     40 1.92%:  tells me
     41 4.92%:  tells me that
     42 1.87%:  has turned
     43 1.62%:  has no
     44 1.54%:  teaches me to
     45 1.52%:  and reason
     46 1.47%:  means so much to me!
     47 1.46%:  has stolen
     48 1.46%:  rules so
     49 2.84%:  rules so hard)
     50 1.46%:  teaches us all to
     51 2.67%:  teaches us all to dream
     52 1.44%:  rules once
     53 1.44%:  can also
     54 1.42%:  comes
     55 1.40%:  rules and
     56 1.32%:  comes second
     57 1.32%:  teachers are
     58 1.29%:  students
     59 1.27%:  does not care
     60 1.26%:  does that
     61 7.46%:  does that to me all
     62 2.42%:  does that to me a
     63 1.53%:  does that to me)
     64 1.25%:  rule
     65 1.23%:  rules and that
     66 1.19%:  mar
     67 1.32%:  marches on)
     68 1.26%:  marches on!
     69 1.18%:  teaches us not to eat
     70 1.17%:  means more to me than casual
     71 1.16%:  has some
     72 1.15%:  that
     73 1.15%:  rules once more
     74 1.13%:  needs
     75 2.63%:  needs more
     76 1.12%:  has done me no
     77 1.11%:  has come
     78 1.09%:  means so much to me)!
     79 1.09%:  has turned me
     80 1.09%:  and reason are
     81 2.72%:  and reason are the
     82 1.09%:  sure
     83 1.06%:  and reason are the most
     84 1.02%:  reasons!)
     85 1.00%:  means more to me than an
     86 0.98%:  sure has
     87 0.97%:  rule one
     88 0.96%:  does that to me!)
     89 0.94%:  means more to me than an accurate
     90 0.94%:  has made some
     91 0.93%:  and romance
     92 1.18%:  and romance are
     93 0.92%:  matters
     94 0.89%:  tells us there
     95 1.77%:  tells us there are
     96 0.88%:  rules the ro
     97 0.88%:  has no reason
     98 0.87%:  must
     99 0.85%:  has made me a
    100 0.85%:  seems
    101 0.84%:  rules)!
    102 0.82%:  that doesn
    103 0.82%:  means more than meets
    104 0.82%:  den
    105 0.82%:  means so much!)
    106 0.81%:  and common
    107 22.75%:  and common sense are
    108 10.56%:  and common sense are the
    109 1.66%:  and common sense!)
    110 1.34%:  and common sense are all
    111 1.48%:  and common sense are all the
    112 1.40%:  and common sense are all that
    113 1.45%:  and common sense are all that matter
    114 1.23%:  and common sense!
    115 0.81%:  teaches us all to dream!)
    116 0.81%:  comes second!)
    117 0.78%:  has treated
    118 1.63%:  has treated me real
    119 1.55%:  has treated me so
    120 0.76%:  tells me so
    121 0.76%:  nonetheless!)
    122 0.75%:  rules the roost)
    123 0.75%:  needs to
    124 0.72%:  ensures
    125 0.70%:  and common sense rule
    126 2.11%:  and common sense rule the
    127 0.70%:  means a
    128 58.35%:  means a lot to me!)
    129 1.97%:  means a lot to us
    130 1.97%:  means a lot to me and
    131 1.77%:  means a lot to me these
    132 1.28%:  means a lot to me and that
    133 1.22%:  means a lot to us here
    134 0.98%:  means a lot to us!)
    135 0.78%:  means a lot to me and that means
    136 0.69%:  rules here
    137 0.69%:  does that to us
    138 1.69%:  does that to us all
    139 0.78%:  does that to us all!)
    140 0.68%:  turns
    141 0.68%:  alone
    142 0.67%:  can do
    143 0.93%:  can do that
    144 0.70%:  can do that to
    145 0.67%:  holds
    146 0.67%:  sure can
    147 0.66%:  rules hard
    148 0.65%:  ner
    149 1.26%:  nerds!)
    150 0.65%:  don
    151 0.65%:  teaches us!)
    152 0.65%:  sure has come
    153 0.64%:  and the
    154 0.64%:  has also
    155 0.64%:  alert
    156 0.64%:  means more to me that
    157 0.64%:  rules that
    158 0.64%:  also
    159 0.76%:  also teaches
    160 0.66%:  also rules
    161 0.63%:  lets
    162 0.63%:  has ruled
    163 0.63%:  has also made
    164 0.61%:  ruled
    165 0.60%:  comment
    166 0.60%:  teaches us one
    167 0.60%:  lesson
    168 0.60%:  and common sense are all that are
    169 0.59%:  tells me that dreams
