I DON'T KNOW WHO I AM ANYMORE.
      0 100.00%: 
      1 23.88%:  I
      2 23.86%:  I'
      3 18.24%:  I'M
      4 15.86%:  I'M NOT
      5 14.59%:  I'M THE
      6 14.37%:  I'M A
      7 14.00%:  I'M NOT A
      8 13.70%:  I'M THE M
      9 17.41%:  I'M THE MAN
     10 18.50%:  I'M THE MAN W
     11 14.08%:  I'M THE MAN IN
     12 13.97%:  I'M THE MAN.
     13 14.36%:  I'M THE MAN. I
     14 13.63%:  I'M A D
     15 13.61%:  I'M H
     16 16.02%:  I'M HOT
     17 13.52%:  I'M NOT RE
     18 13.19%:  I'M HOT.
     19 13.84%:  I'M HOT. I
     20 13.13%:  I'M HOT AND
     21 14.49%:  I'M HOT AND I
     22 12.97%:  I'M THE MO
     23 12.85%:  I'M HOT IN
     24 12.82%:  I'M HOT. I AM
     25 12.78%:  I'M A RE
     26 12.77%:  I'M HOT AND WE
     27 15.65%:  I'M HOT AND WEIR
     28 12.69%:  I'M THE MAN I
     29 12.68%:  I'M HOT AND I K
     30 14.94%:  I'M HOT AND I KNO
     31 17.51%:  I'M HOT AND I KNOW
     32 13.22%:  I'M HOT AND I KNOW E
     33 12.68%:  I'M NOT H
     34 12.65%:  I'M HOT AND I KNOW A
     35 12.63%:  I'M HOT. I AM A
     36 12.57%:  I'M T
     37 12.53%:  I'M THE MAN. I D
     38 14.00%:  I'M THE MAN. I DON
     39 12.48%:  I'M IN
     40 12.45%:  I'M A M
     41 15.77%:  I'M A MAN
     42 17.95%:  I'M A MAN W
     43 21.31%:  I'M A MAN WHO
     44 20.01%:  I'M A MAN WHO NE
     45 18.42%:  I'M A MAN WHO D
     46 18.24%:  I'M A MAN WHO W
     47 17.45%:  I'M A MAN WHO DO
     48 17.34%:  I'M A MAN WHO WO
     49 17.26%:  I'M A MAN WHO K
     50 19.65%:  I'M A MAN WHO KNO
     51 16.80%:  I'M A MAN WHO RE
     52 16.40%:  I'M A MAN WHO WORE
     53 15.53%:  I'M A MAN WHO T
     54 15.82%:  I'M A MAN WHO TRE
     55 15.02%:  I'M A MAN WHORE
     56 14.96%:  I'M A MAN WHO R
     57 14.94%:  I'M A MAN WHO E
     58 14.86%:  I'M A MAN WHO KIN
     59 14.76%:  I'M A MAN WHO WON
     60 14.62%:  I'M A MAN WHO WOR
     61 14.62%:  I'M A MAN WHO WORN
     62 14.43%:  I'M A MAN WHO DON
     63 14.35%:  I'M A MAN WHO WORE IT
     64 14.73%:  I'M A MAN WHO WORE IT ON
     65 14.29%:  I'M A MAN WHO KNOW
     66 14.27%:  I'M A MAN WHO IN
     67 14.27%:  I'M A MAN WHO WOOD
     68 14.21%:  I'M A MAN WHO DE
     69 14.11%:  I'M A MAN WHO WENT
     70 14.06%:  I'M A MAN WHO KI
     71 14.01%:  I'M A MAN WHO KE
     72 13.97%:  I'M A MAN WHORE.
     73 13.97%:  I'M A MAN WHO TR
     74 13.95%:  I'M A MAN WHO WORE DO
     75 13.94%:  I'M A MAN WHO N
     76 13.87%:  I'M A MAN WHO WRO
     77 16.14%:  I'M A MAN WHO WROTE
     78 13.86%:  I'M A MAN WHO WOKE
     79 13.86%:  I'M A MAN WHO KNEW
     80 14.29%:  I'M A MAN WHO KNEW I
     81 13.81%:  I'M A MAN WHO WORE T
     82 13.80%:  I'M A MAN WHORE. I
     83 13.78%:  I'M A MAN WHO WENT IN
     84 13.72%:  I'M A MAN WHO WOE
     85 13.68%:  I'M A MAN WHO EN
     86 13.58%:  I'M A MAN WHO WE
     87 13.38%:  I'M A MAN WHO ON
     88 13.33%:  I'M A MAN WHO Y
     89 13.49%:  I'M A MAN WHO YET
     90 13.33%:  I'M A MAN WHO WORNED
     91 13.31%:  I'M A MAN WHO DRE
     92 15.19%:  I'M A MAN WHO DREW
     93 13.30%:  I'M A MAN WHO DRO
     94 13.79%:  I'M A MAN WHO DROWN
     95 13.29%:  I'M A MAN WHO O
     96 15.24%:  I'M A MAN WHO OW
     97 14.18%:  I'M A MAN WHO OWED
     98 13.28%:  I'M A MAN WITH
     99 13.24%:  I'M A MAN WHO I
    100 13.41%:  I'M A MAN WHO IDE
    101 13.10%:  I'M A MAN WHO RI
    102 13.12%:  I'M A MAN WHO RIOT
    103 13.21%:  I'M A MAN WHO RIOTED
    104 13.06%:  I'M A MAN WHO WORK
    105 13.03%:  I'M A MAN WHO WORE D
    106 13.15%:  I'M A MAN WHO WORE DIN
    107 12.99%:  I'M A MAN.
    108 14.65%:  I'M A MAN. I
    109 14.35%:  I'M A MAN. I D
    110 16.75%:  I'M A MAN. I DON
    111 13.76%:  I'M A MAN. I NE
    112 12.94%:  I'M A MAN WHO WOOD NE
    113 12.88%:  I'M A MAN WHO WOODY
    114 12.85%:  I'M A MAN WHO OWED 
    115 12.85%:  I'M A MAN WHORE. I D
    116 14.49%:  I'M A MAN WHORE. I DON
    117 12.84%:  I'M A MAN WHO OWN
    118 14.68%:  I'M A MAN WHO OWNED
    119 13.99%:  I'M A MAN WHO OWNED IT
    120 13.10%:  I'M A MAN WHO OWNED IT.
    121 13.09%:  I'M A MAN WHO OWNED T
    122 12.82%:  I'M A MAN WHO KNEW I N
    123 12.81%:  I'M A MAN WHO WORE N
    124 12.80%:  I'M A MAN WHO RID
    125 12.77%:  I'M A MAN WHO WEIR
    126 14.72%:  I'M A MAN WHO WEIRD
    127 12.76%:  I'M A MAN WHO WORE NON
    128 12.64%:  I'M A MAN WHO KINET
    129 12.62%:  I'M A MAN WHO WI
    130 12.59%:  I'M A MAN WHO WORKED
    131 12.59%:  I'M A MAN IN
    132 12.57%:  I'M A MAN WHO WORE 
    133 12.56%:  I'M A MAN WHO OWED IT
    134 12.53%:  I'M A MAN WHO DREW T
    135 12.50%:  I'M A MAN WHO OWNED 
    136 12.49%:  I'M A MAN WHO WORE O
    137 12.48%:  I'M A MAN WHORE. I W
    138 12.48%:  I'M A MAN WHO WROTE D
    139 12.47%:  I'M A MAN WHO RIOTED ON
    140 12.47%:  I'M A MAN WHO IND
    141 12.44%:  I'M NOT A D
    142 12.44%:  I'M RE
    143 12.42%:  I'M A MAN WHO WORE K
    144 13.10%:  I'M A MAN WHO WORE KI
    145 12.41%:  I'M A MAN WHO WORE DINO
    146 12.40%:  I'M THE MANI
    147 12.39%:  I'M HOT AND I NE
    148 12.37%:  I'M A MAN WHO WORE TO
    149 13.24%:  I'M A MAN WHO WORE TOO
    150 12.36%:  I'M A MAN WHO WENT ON
    151 12.31%:  I'M HOT AND I KNOW W
