by that I mean, "That was my first experience with losing a friend!"
100.00%: 
58.57%:  that
28.88%:  yet
14.09%:  that is
17.88%:  that is the
13.95%:  that,
13.89%:  the
11.89%:  I
7.88%:  then
7.17%: ,
6.41%:  yet, the
8.36%:  yet, the myster
6.24%:  by
6.71%:  by that
32.25%:  by that I mean that
24.08%:  by that I mean the
19.48%:  by that I mean "
13.19%:  by that I mean this
13.16%:  by that I mean that this
11.74%:  by that I mean this entire
11.23%:  by that I mean that we
11.06%:  by that I mean, "
7.67%:  by that I mean that this is
6.91%:  by that I mean, the
6.76%:  by that I mean that the
6.48%:  by that I mean that this experience
5.94%:  by that I mean it
5.46%:  by that I mean, this
4.93%:  yet, I
4.85%:  by that I mean that this experience was
4.72%:  by that I mean we
4.40%:  by that I mean that it
3.98%:  by that I mean the "
3.96%:  that is that
3.82%:  by that I mean, this is
3.53%:  by that I mean, yet
3.42%:  by that I mean, this entire
3.18%:  by that I mean it was
3.16%:  by that I meant
3.14%:  by that I mean in
24.54%:  by that I mean in the sense
9.02%:  by that I mean in the sense that we
5.57%:  by that I mean in the sense where
4.01%:  by that I mean in the "
3.06%:  by that,
23.09%:  by that, I mean that
12.99%:  by that, I mean the
12.26%:  by that, I mean that this
10.78%:  by that, I mean "
7.94%:  by that, I mean that we
7.65%:  by that, I mean that this is
6.85%:  by that, I mean that this experience
6.34%:  by that, I mean that the
6.25%:  by that, I mean this
5.37%:  by that, I mean this entire
3.87%:  by that, I mean that this experience was
3.51%:  by that, I mean that it
3.05%:  by that I mean a
2.76%:  by that, I mean it
2.71%:  by that I mean this is
2.68%:  hey
2.62%:  by that I mean that it is
2.61%:  by that I mean that it was
2.59%:  by that I mean that this was
2.43%:  by that I mean my
2.42%:  by that, I mean we
2.39%:  by that, I mean that it is
2.32%:  by that, I mean that this was
2.24%:  by that I mean yet
2.23%:  by that I mean that the answer
2.21%:  by that I mean, we
2.14%:  then,
2.11%:  by that, I mean the "
2.09%:  by that, I mean that it was
2.03%:  by that I mean "s
2.00%:  by that I mean it is
1.97%:  by that I mean that the answer is
1.97%:  by that, I mean in
22.58%:  by that, I mean in the sense
14.51%:  by that, I mean in the sense that we
6.63%:  by that, I mean in the sense where
2.50%:  by that, I mean in the sense that we are
1.95%:  by that, I mean it was
1.77%:  then the
1.75%:  by that I mean that my
1.73%:  by that I mean this series
1.71%:  by that, I meant
1.69%:  yet the
1.68%:  then I
1.62%:  yet I
1.62%:  then he
1.61%:  by that I mean, a
1.59%:  by that I mean in the sense that,
1.57%:  by that I mean that he
1.56%:  by that, I mean a
1.55%:  by that, I mean that my
1.53%:  by that, I mean that the answer
1.52%:  yet, my
1.50%:  they
1.47%:  by that, I mean that the answer is
1.46%:  by that I mean in the sense that we are
1.40%:  by that I mean, that
1.38%:  by that I mean "the
1.37%:  by that I mean that when
1.36%:  by that I mean that,
1.35%:  by that, I mean my
1.29%:  by that, I mean in the sense that my
1.27%:  by that I mean, it
1.22%:  by that, I mean this is
1.22%:  that is that,
1.22%:  by that, I mean in the sense that "
1.20%:  they say there
1.19%:  by that I mean the "wh
