hah! You sure do love your chips, JODIE FOSTER!
      0 100.00%: 
      1 234.54%:  h
      2 3487.52%:  hah,
      3 2986.30%:  hah! I
      4 3726.93%:  hah! I sure
      5 23128.04%:  hah! I sure do! They
      6 15062.12%:  hah! I sure do,
      7 3334.56%:  hah! I sure do! You
      8 3264.52%:  hah! I do
      9 3531.00%:  hah! I do!
     10 2540.23%:  hah! I do,
     11 2473.79%:  hah, I
     12 4080.04%:  hah, I sure
     13 33504.47%:  hah, I sure do! They
     14 15617.15%:  hah, I sure do!!
     15 5272.04%:  hah, I sure do! You
     16 3162.90%:  hah, I sure do! The
     17 3003.34%:  hah, I sure do! This
     18 2713.72%:  hah, I do
     19 3639.95%:  hah, I do!
     20 2378.87%:  hah, I sure do!! They
     21 2056.38%:  hah! I sure do! The
     22 1793.58%:  hah, I sure do! Do
     23 1694.10%:  hah, I sure do! Oh
     24 1681.54%:  hah! I sure do! This
     25 1391.68%:  hah, I do! They
     26 1343.50%:  hah! I do! They
     27 1173.62%:  hah, yes
     28 4499.34%:  hah, yes! I
     29 4010.47%:  hah, yes! I do
     30 1174.40%:  hah, yes! Yes
     31 1844.46%:  hah, yes! Yes I DO
     32 1555.30%:  hah, yes! Yes I do! Oh
     33 1362.04%:  hah, yes! Yes I do! Do
     34 1111.72%:  hah, sure
     35 19214.98%:  hah, sure do! I
     36 17223.63%:  hah, sure do! They
     37 3174.47%:  hah, sure do!!
     38 3108.47%:  hah, sure do! You
     39 2808.52%:  hah, sure do! I love
     40 3749.32%:  hah, sure do! I love you
     41 5123.53%:  hah, sure do! I love you!
     42 1899.12%:  hah, sure do! I love chips
     43 1535.23%:  hah, sure do! This
     44 1445.81%:  hah, sure do! The
     45 1099.00%:  hah! I DO
     46 1066.56%:  hah! I sure do! Do
     47 944.03%:  hah! Y
     48 7350.79%:  hah! YES! I
     49 3652.89%:  hah! YES! I DO
     50 3468.43%:  hah! YES,
     51 5020.37%:  hah! YES, I
     52 2857.52%:  hah! YES I
     53 15168.12%:  hah! YES I DO,
     54 3321.40%:  hah! YES I DO, F
     55 2618.25%:  hah! YES! I do
     56 2425.60%:  hah! YES, I DO! They
     57 2081.60%:  hah! YES I DO! They
     58 1998.53%:  hah! YES! They
     59 1888.00%:  hah! YES! I do,
     60 1654.05%:  hah! Yep
     61 7077.33%:  hah! Yep! I
     62 6388.60%:  hah! Yep! They
     63 2791.99%:  hah! Yep! I do
     64 1899.31%:  hah! Yep! I sure
     65 2442.24%:  hah! Yep! I sure do,
     66 1197.28%:  hah! YES, I DO! T
     67 1129.38%:  hah! YES I DO, T
     68 1120.73%:  hah! YES, I do
     69 1225.24%:  hah! YES, I do! They
     70 1086.51%:  hah! YES, I DO! E
     71 1067.74%:  hah! Yep! I do,
     72 1001.22%:  hah! YES I DO! T
     73 980.94%:  hah! YES! I DO,
     74 969.19%:  hah! YES, I DO! J
     75 920.36%:  hah! I sure do! Oh
     76 916.53%:  hah! YES, F
     77 901.38%:  hah! Yes
     78 2926.51%:  hah! Yes! I
     79 2373.72%:  hah! Yes! I do
     80 1723.26%:  hah! Yes! They
     81 1274.02%:  hah! Yes,
     82 1883.64%:  hah! Yes, I
     83 12335.44%:  hah! Yes, I do! They
     84 1148.03%:  hah! Yes! I do,
     85 980.23%:  hah! Yes, I do! The
     86 894.83%:  hah, yes! I DO
     87 892.48%:  hah! Yep! I DO
     88 886.78%:  hah! YES I DO! E
     89 878.27%:  hah! I do, yes
     90 869.04%:  hah, sure do! Do
     91 865.14%:  hah! I sure do, sir
     92 1016.45%:  hah! I sure do, sir! They
     93 858.96%:  hah! Yes I
     94 8892.83%:  hah! Yes I do! They
     95 6317.31%:  hah! Yes I do,
     96 1157.56%:  hah! Yes I do, yes
     97 969.87%:  hah! Yes I do, sir
     98 1340.96%:  hah! Yes I do, sir! They
     99 835.91%:  hah! I sure do, D
    100 827.68%:  hah! YES I DO! J
    101 793.14%:  hah, I sure do! E
    102 788.84%:  hah, yes I
    103 3213.45%:  hah, yes I do!!
    104 1728.73%:  hah, yes I do! Yes
    105 1343.35%:  hah, yes I do! You
    106 822.98%:  hah, yes I do! This
    107 819.45%:  hah, yes I do! The
    108 783.85%:  hah! Yes, I do! This
    109 777.15%:  hah! Yes I do! The
    110 769.04%:  hah! YES, I DO! O
    111 764.50%:  hah! Yep! I love
    112 743.24%:  hah! YES, I DO! FOR
    113 727.10%:  hah, sure do!! They
    114 708.82%:  hah! YES I DO! O
    115 703.09%:  hah! Yes! I DO
    116 701.61%:  hah! Yes, I DO
    117 695.80%:  hah! Yep! I love you
    118 695.66%:  hah, sorry
    119 792.45%:  hah, sorry!
    120 695.46%:  hah, sure do! I hope
    121 678.65%:  hah, yes I do! Do
    122 674.97%:  hah, sure do! I sure
    123 638.63%:  hah! They
    124 637.09%:  hah! YES I DO, O
    125 626.08%:  hah! Yes, I do! Do
    126 601.86%:  hah h
