Can I clean your dishes??
      0 100.00%: 
      1 21.81%:  I see
      2 21.18%:  I heard
      3 21.14%:  I do
      4 21.09%:  I don
      5 21.09%:  I can
      6 21.03%:  I need
      7 20.86%:  I hear
      8 20.74%:  I cleaned
      9 20.74%:  I had
     10 21.10%:  I had a nice
     11 20.69%:  I clean
     12 23.12%:  I clean your dishes?
     13 21.03%:  I clean dishes
     14 20.26%:  I clean your dishes??
     15 20.22%:  I see you had
     16 20.17%:  I see you in
     17 20.13%:  I see you can
     18 20.09%:  I see you?
     19 20.08%:  I see you and
     20 19.97%:  I heard you can
     21 19.94%:  I hear you can
     22 19.84%:  Is
     23 20.22%:  Is your dis
     24 19.79%:  I hear you and
     25 19.75%:  Can
