We get that ALL THE TIME!
      0 100.00%: 
      1 26.58%:  We
      2 21.56%:  It
      3 20.67%:  That
      4 19.61%:  What
      5 19.59%:  He
      6 19.55%:  WE
      7 19.39%:  T
      8 19.37%:  We get
      9 19.33%:  I
     10 19.21%:  The
     11 18.85%:  IT
     12 18.85%:  H
     13 20.26%:  Hah! We
     14 18.81%:  We T
     15 18.73%:  Let
     16 18.72%:  We ALL
     17 18.72%:  WH
     18 20.41%:  WHAT!
     19 19.13%:  WHAT the
     20 18.64%:  A
     21 18.64%:  HE
     22 18.63%:  We AL
     23 18.62%:  W
     24 18.61%:  THAT
     25 18.61%:  L
     26 18.90%:  LET
     27 18.61%:  TH
     28 18.60%:  E
     29 19.04%:  Eat
     30 18.60%:  Hah! It
     31 18.57%:  
     32 18.57%:  THE
     33 18.48%:  Hah! I
     34 18.37%:  Hah! T
     35 18.06%:  Hah! WE
     36 18.02%:  Hah! A
     37 17.98%:  Hah! AW
     38 17.97%:  Hah! L
     39 17.95%:  Hah! IT
     40 17.92%:  Hah! Let
     41 17.91%:  Hah! W
     42 17.89%:  Hah! E
     43 17.88%:  Hah! M
     44 17.57%:  EAT
     45 17.35%:  IT T
     46 16.98%:  TA
     47 16.97%:  We get that
