think your voice is a wonderful gift!
      0 100.00%: 
      1 22.44%:  know
      2 22.06%:  don
      3 21.45%:  have
      4 20.93%:  know!
      5 20.76%:  have to
      6 24.12%:  have to go now!
      7 23.22%:  have to go!
      8 20.72%:  have no
      9 20.57%:  think
     10 20.57%:  think you
     11 20.35%:  can
     12 20.31%:  was
     13 19.93%:  think we
     14 19.84%:  have to go to
     15 19.84%:  like
     16 19.86%:  like to
     17 19.51%:  like your
     18 19.46%:  need
     19 24.56%:  need to talk
     20 23.32%:  need to go
     21 21.64%:  need to go now!
     22 21.16%:  need to know
     23 20.47%:  need to go to
     24 20.25%:  need to know if
     25 20.18%:  need to say
     26 19.81%:  need to hang
     27 19.42%:  need to work
     28 21.22%:  need to work on this
     29 19.53%:  need to work on this a
     30 19.39%:  want
     31 20.23%:  want you
     32 20.56%:  want you to do
     33 20.01%:  want you to go
     34 19.94%:  want you to sign
     35 19.92%:  want you to give
     36 19.87%:  want you to feel
     37 19.86%:  want you to love
     38 19.84%:  want you to die
     39 19.83%:  want you to like
     40 19.82%:  want you to send
     41 19.78%:  want you to see
     42 19.77%:  want you to hold
     43 19.74%:  want you to live
     44 19.72%:  want you to sing
     45 19.71%:  want you to consider
     46 19.70%:  want you to use
     47 19.49%:  want to go
     48 19.39%:  want to see
     49 19.62%:  want to see your
     50 19.38%:  love
     51 22.92%:  love you!
     52 19.91%:  love you so
     53 19.36%:  need to ask
     54 19.34%:  want to die
     55 19.22%:  have to go do
     56 19.22%:  have to go for
     57 19.21%:  have to go on
     58 19.21%:  got
     59 19.66%:  got a
     60 19.25%:  got your
     61 19.20%:  have to go or
     62 19.20%:  have to go in
     63 19.20%:  have to go so
     64 19.18%:  love your
     65 22.14%:  love your work!
     66 19.63%:  love your work in
     67 19.12%:  need to think
     68 19.12%:  want to do
     69 19.11%:  want to go on
     70 19.07%:  need to warn
     71 19.05%:  love you and
     72 19.05%:  need to win
     73 19.04%:  hate
     74 20.43%:  hate you!
     75 19.74%:  hate to
     76 19.03%:  want to give
     77 19.02%:  would
     78 18.98%:  need to finish
     79 18.96%:  feel
     80 18.93%:  need to sit
     81 18.92%:  need to look
     82 18.92%:  need to cut
     83 19.21%:  need to cut you off!
     84 18.91%:  need to you
     85 18.91%:  need to cash
     86 18.91%:  gotta
     87 18.90%:  should
     88 18.90%:  see
     89 18.90%:  want to hold
     90 18.89%:  wanted
     91 20.24%:  wanted to congr
     92 20.12%:  wanted to give
     93 20.05%:  wanted to go
     94 20.05%:  wanted to offer
     95 19.40%:  wanted to go over
     96 18.88%:  had
     97 18.88%:  want to use
     98 18.86%:  want to live
     99 20.04%:  want to live in your
    100 20.36%:  want to live in your house!
    101 18.86%:  want to sue
    102 22.09%:  want to sue you!
    103 22.00%:  want to sue you for
    104 18.85%:  want to feel
    105 18.85%:  want to send
    106 18.84%:  said
    107 18.84%:  want to rev
    108 18.83%:  said we
    109 18.82%:  like it when
    110 21.00%:  like it when you do
    111 18.81%:  want to fuck
    112 19.46%:  want to fuck your
    113 18.80%:  want to suck
    114 18.80%:  want to end
    115 18.80%:  want to hug
    116 20.93%:  want to hug you!
    117 18.79%:  want to congr
    118 18.79%:  want to sing
    119 18.78%:  heard
    120 18.78%:  want to offer
    121 18.78%:  know that
    122 18.77%:  want to re
    123 18.76%:  want to like
    124 18.81%:  want to like you!
    125 18.76%:  want to y
    126 18.76%:  want to look
    127 18.76%:  want to see you in
    128 18.76%:  want to love
    129 19.11%:  want to love you!
    130 18.76%:  want to sl
    131 18.75%:  had to
    132 18.72%:  haven
    133 18.71%:  forgot
    134 21.98%:  forgot to say
    135 18.70%:  like that
    136 18.70%:  get
    137 18.88%:  get it
    138 18.67%:  wish
    139 18.66%:  kinda
    140 18.66%:  never
    141 18.66%:  heard you like
    142 18.63%:  think it
    143 18.63%:  hear
    144 18.62%:  wanted to go on
    145 18.62%:  like it when you don
    146 18.62%:  saw
    147 25.65%:  saw you on the
    148 23.24%:  saw you in
    149 21.83%:  saw you on tv
    150 21.22%:  saw you on 
    151 21.14%:  saw you on t
    152 21.14%:  saw you on one
    153 21.13%:  saw you on th
    154 20.99%:  saw you in the
    155 20.37%:  saw you on tv once
    156 20.21%:  saw you once
    157 19.99%:  saw you on the red
    158 19.88%:  saw you on the cover
    159 19.63%:  saw you on the te
    160 19.58%:  saw you on the t
    161 19.53%:  saw you on the 
    162 19.49%:  saw you on tv once!
    163 19.47%:  saw you on the tv
    164 19.39%:  saw you on the golf
    165 19.36%:  saw you on the corner
    166 19.36%:  saw you on the front
    167 19.34%:  saw you on the old
    168 19.16%:  saw you on tv!
    169 18.61%:  u
    170 20.11%:  uh don
    171 19.91%:  uh!
    172 19.87%:  uh love
    173 19.78%:  uh got
    174 19.77%:  uh like
    175 19.77%:  uh can
    176 19.07%:  uh like you
    177 18.92%:  uh got a
    178 18.76%:  uh love you!
    179 18.61%:  knew
    180 20.61%:  knew that!
    181 19.00%:  knew it
    182 18.60%:  do
    183 19.00%:  do not have
    184 18.60%:  dun
    185 27.39%:  dunno if
    186 26.25%:  dunno if that
    187 25.13%:  dunno how
    188 25.07%:  dunno why
    189 24.30%:  dunno what you
    190 23.39%:  dunno if this
    191 23.35%:  dunno if we
    192 22.85%:  dunno what it
    193 22.49%:  dunno how to say it
    194 22.32%:  dunno how you
    195 22.23%:  dunno how to use
    196 22.13%:  dunno what else
    197 22.07%:  dunno who
    198 21.80%:  dunno if it
    199 21.73%:  dunno where
    200 21.70%:  dunno how to feel
    201 21.69%:  dunno if you were
    202 21.62%:  dunno if you have
    203 21.57%:  dunno what!
    204 21.43%:  dunno how you feel
    205 21.39%:  dunno if you got
    206 21.38%:  dunno if you ever
    207 21.38%:  dunno what your
    208 21.36%:  dunno how to talk
    209 21.35%:  dunno if you like
    210 21.33%:  dunno if you care
    211 21.28%:  dunno what for
    212 21.28%:  dunno what i
    213 21.26%:  dunno if you are
    214 21.20%:  dunno if you saw
    215 21.17%:  dunno if you get
    216 21.13%:  dunno if you feel
    217 21.10%:  dunno if you like it
    218 21.08%:  dunno if you hear
    219 21.01%:  dunno how to get
    220 20.96%:  dunno how to use it!
    221 20.77%:  dunno who you are!
    222 20.77%:  dunno if you like that or
    223 20.73%:  dunno where you
    224 20.56%:  dunno if that is
    225 20.46%:  dunno how it
    226 20.45%:  dunno if there
    227 20.45%:  dunno if that works
    228 20.41%:  dunno!
    229 20.30%:  dunno if you saw it
    230 20.30%:  dunno how to take
    231 20.28%:  dunno that
    232 20.27%:  dunno how to act
    233 20.26%:  dunno if he
    234 20.20%:  dunno if that ever
    235 20.11%:  dunno how to ask
    236 20.06%:  dunno if i
    237 20.04%:  dunno how to react
    238 20.02%:  dunno if your
    239 19.98%:  dunno if the
    240 19.93%:  dunno if they
    241 19.85%:  dunno how to leave
    242 19.85%:  dunno how to tie
    243 19.84%:  dunno how to lie
    244 19.84%:  dunno what it is you
    245 19.77%:  dunno how to use it very
