Wow! No wonder people like capitalism so much!!
1.13%:  No
1.26%:  No wonder
5.54%:  No wonder people
4.51%:  No wonder capitalism
2.09%:  No wonder people like
45.74%:  No wonder people like capitalism
26.39%:  No wonder people like capitalism so
20.19%:  No wonder people like capitalism!!
0.62%:  Wow
0.40%:  Wow!
0.38%:  No wonder people like capitalism! Wow
0.36%:  No wonder capitalism keeps
0.28%:  No!
0.25%:  No wonder we
0.24%:  No wonder people look
0.23%:  No wonder people come
0.15%:  No wonder people like capitalism so!
0.08%:  No no
0.07%:  W
0.06%:  No wonder people like capitalism! Wow!!
0.06%:  No wonder people use
0.05%:  No wonder people suck
0.05%:  No wonder people use capitalism
0.05%:  No wonder people like capitalism! W
0.04%:  No more
0.04%:  No wonder people like capitalism!! Wow
0.03%:  No wonder capitalism is cool
0.03%:  No wonder people like capitalism so!!
0.03%:  No wonder people like us
0.03%:  No wonder we keep
0.04%:  No wonder we keep capitalism
0.03%:  No wonder people suck!
0.02%:  No one
0.12%:  No one would
0.06%:  No one could
0.02%:  N
0.02%:  Wow!!
0.02%:  No wonder people use capitalism!
0.02%:  No wonder we like
1.25%:  No wonder we like capitalism
0.78%:  No wonder we like capitalism!
0.21%:  No wonder we like capitalism!!
0.02%:  No need
0.02%:  No wonder some
0.02%:  No wonder capitalism is cool!!
0.01%:  No wonder we like capitalism so!
0.01%:  No wonder so
0.01%:  No wonder people smoke
0.01%:  No!!
0.01%:  No wonder we look
0.01%:  No wonder people like capitalism!! W
0.01%:  no
0.01%:  No wonder people like capitalism !!
0.01%:  people
0.01%:  people would
0.01%:  Wow people
0.01%:  well
0.01%:  No wonder people cl
0.01%:  Wow capitalism
0.01%:  capitalism
0.01%:  No wonder people lose
0.01%:  No wonder we keep capitalism!
0.01%:  No wonder people smile
0.01%:  No wonder people like capitalism so m
0.01%:  No wonder people like capitalism so muc
0.01%:  w
0.01%:  No no!
0.01%:  woo
0.01%:  No wonder we look up
0.01%:  Wow would
0.01%:  No wonder capitalism keeps me
0.01%:  No wonder people like us!!
0.00%:  No wonder we suck
0.00%:  No wonder people use capitalism!!
0.00%:  No wonder people like capitalism W
0.00%:  um
0.00%:  wow!
0.01%:  wow! capitalism
0.00%:  woooo
0.00%:  now
0.00%:  No word
0.00%:  
0.00%:  No wonder capitalism keeps me up
0.00%:  Wow! No
0.71%:  Wow! No wonder people
0.43%:  Wow! No wonder people like
13.57%:  Wow! No wonder people like capitalism
