even I think that one's not so good.
      0 100.00%: 
      1 183.88%:  thanks
      2 77.70%:  that
      3 631.47%:  that's the
      4 277.44%:  that's the end.
      5 244.58%:  that's not
      6 166.62%:  that's it.
      7 74.57%:  thank
      8 69.20%:  that's it I
      9 56.54%:  that one
     10 52.01%:  that one is
     11 46.81%:  that's it I need
     12 44.07%:  that one is done
     13 39.37%:  so
     14 58.54%:  so that
     15 65.12%:  so that one
     16 46.12%:  so that's not
     17 68.01%:  so that's not the
     18 149.77%:  so that's not the end
     19 45.42%:  so that's the
     20 102.98%:  so that's the end
     21 91.80%:  so that's the ending
     22 43.88%:  so that's not the ending
     23 50.46%:  so that's not the ending.
     24 37.49%: .
     25 37.35%:  so that's it
     26 34.37%:  I
     27 33.98%:  that's it. I
     28 40.13%:  that's it. I need
     29 33.81%:  that's good
     30 33.42%:  that's done
     31 32.12%:  that's one
     32 31.00%:  so that one doesn
     33 28.31%:  that's not the
     34 135.98%:  that's not the ending
     35 26.57%:  that's the end. I
     36 22.17%:  I need
     37 20.68%:  so that's not the end.
     38 20.13%:  so this
     39 20.06%:  that's the ending
     40 20.03%:  I need to get
     41 29.41%:  I need to get this
     42 19.84%:  so this one
     43 19.43%:  that's the end I
     44 18.97%:  that doesn
     45 18.28%:  that one doesn
     46 35.05%:  that one doesn't tie
     47 24.88%:  that one doesn't get
     48 17.80%:  that's not even
     49 17.57%:  so the
     50 17.23%:  that is
     51 39.85%:  that is the
     52 17.26%:  that is the end.
     53 14.49%:  so that's the ending.
     54 14.42%:  I think
     55 16.66%:  I think that one
     56 13.56%:  that one needs
     57 13.20%:  that's the ending to
     58 13.12%:  that's not the end.
     59 25.24%:  that's not the end. I
     60 12.92%:  I have
     61 12.33%:  that one'
     62 152.22%:  that one's done
     63 21.38%:  that one's done.
     64 12.55%:  that one's not
     65 18.60%:  that one's not on
     66 14.71%:  that one's not in
     67 12.28%:  so that's the end.
     68 12.24%:  that's not the ending.
     69 11.84%:  thanks this
     70 11.60%:  I think that one needs
     71 10.78%:  that's the ending so
     72 10.47%:  so that one'
     73 17.73%:  so that one's not
     74 12.01%:  so that one's not done
     75 10.24%:  that's not the end so
     76 10.12%:  that one got
     77 10.04%:  that's not good
     78 10.02%:  I need to go to
     79 9.93%:  that's the end so
     80 9.68%:  that one's not done
     81 9.67%:  so that's not the ending. I
     82 9.34%:  so that's the one
     83 9.06%:  that one's not so
     84 8.90%:  so that one took
     85 8.50%:  that one took
     86 8.15%:  no
     87 10.69%:  no that
     88 62.32%:  no that's not the
     89 64.67%:  no that's not the end.
     90 51.73%:  no that's not the ending
     91 114.02%:  no that's not the ending I
     92 81.79%:  no that's not the ending.
     93 36.41%:  no that's not the end I
     94 12.85%:  no that's not the ending. I
     95 11.97%:  no that's it
     96 9.56%:  no that's not the end. I
     97 8.79%:  no that one
     98 8.11%:  so that one doesn't tie
     99 7.93%:  so that one needs
    100 7.84%:  so I
    101 15.43%:  so I've got
    102 17.88%:  so I've got this
    103 7.75%:  so that one doesn't go
    104 7.73%:  that one's good
    105 7.69%:  no that's not it
    106 7.64%:  that's good too
    107 7.44%:  so that's not on
    108 7.19%:  that's one done
    109 7.08%:  that's too
    110 6.80%:  I gotta
    111 6.78%:  that's nothing
    112 6.39%:  that's not on
    113 6.37%:  that one is done.
    114 6.26%:  so that's the ending to
    115 6.04%:  I need to go take
    116 5.84%:  that's not even good
    117 5.80%:  that one needs to
    118 5.69%:  I need to take
    119 5.66%:  that's the one
    120 11.28%:  that's the one I
    121 5.64%:  that's the end. It
    122 5.64%:  that one isn
    123 5.90%:  that one isn't on
    124 5.55%:  no that's not on
    125 5.51%:  so that one is
    126 5.40%:  no that one doesn
    127 5.37%:  no that's the
    128 11.02%:  no that's the ending
    129 5.31%:  so that's not the one
    130 5.29%:  I need to take this
    131 12.97%:  I need to take this to
    132 5.27%:  so I need
    133 5.20%:  so that's one
    134 5.18%:  no this
    135 6.80%:  no this one
    136 5.16%:  I have to go to
    137 41.80%:  I have to go to the dent
    138 5.16%:  I think that does
    139 5.16%:  that is not
    140 5.10%:  so that's it.
    141 4.99%:  that's done.
    142 4.95%:  so I need to go
    143 6.29%:  so I need to go to
    144 4.89%:  that's good.
    145 4.87%:  so that's the ending I
    146 4.84%:  so that one ends
    147 4.84%:  and
    148 4.76%: . I
    149 4.66%:  this
    150 5.62%:  this one
    151 9.39%:  this one's done
    152 4.59%:  that one's not so good.
    153 4.58%:  I have to get
    154 5.95%:  I have to get this
    155 10.98%:  I have to get this done
    156 6.06%:  I have to get this done soon
    157 4.55%:  that's not done
    158 4.49%:  that's it. I don
    159 4.47%:  that's the good
    160 4.45%:  this one's gonna
    161 4.37%:  it
    162 4.69%:  it's gonna
    163 4.36%:  that one's not so hot
    164 4.24%:  that one doesn't go
    165 9.30%:  that one doesn't go on
    166 9.00%:  that one doesn't go in
    167 6.20%:  that one doesn't go so
    168 4.14%:  that's this
    169 6.07%:  that's this one
    170 8.42%:  that's this one done
    171 4.08%:  so that's not the end I
    172 4.07%:  I think that goes
    173 4.06%:  that's got
    174 3.99%:  that one isn't done
    175 3.90%:  no that's the end.
    176 3.89%:  that is one
    177 3.87%:  that's the one ending
    178 3.84%:  so I've got that
    179 3.80%:  so that's not the end. I
    180 3.74%:  so this one'
    181 3.69%:  no this one doesn
    182 5.23%:  no this one doesn't have
    183 7.19%:  no this one doesn't have to
    184 3.67%: . I think
    185 10.55%: . I think that's good
    186 5.82%: . I think that's done
    187 3.67%:  so that one doesn't get
    188 3.65%:  that one goes
    189 8.41%:  that one goes on
    190 6.27%:  that one goes in
    191 5.03%:  that one goes to
    192 3.63%:  I need to get to
    193 3.62%:  good
    194 3.59%:  so that's not the kind
    195 3.58%:  so it
    196 63.00%:  so it's not that
    197 122.21%:  so it's not that good
    198 24.23%:  so it's not done
    199 16.23%:  so it's not gonna
    200 15.48%:  so it's not a
    201 7.09%:  so it doesn
    202 10.47%:  so it doesn't have
    203 21.01%:  so it doesn't have to
    204 5.85%:  so it doesn't have the
    205 5.15%:  so it's the
    206 4.69%:  so it's not a good
    207 4.57%:  so it's not the
    208 4.18%:  so it's not gonna end
    209 3.53%: . I need
    210 4.45%: . I need to get
    211 9.21%: . I need to get to
    212 6.06%: . I need to get this
    213 3.52%:  so that's the end. It
    214 3.47%:  that's it. It
    215 3.43%:  so I have
    216 3.40%:  that one is good
    217 3.39%:  so I need to get
    218 7.51%:  so I need to get this
    219 7.41%:  so I need to get this to
    220 4.89%:  so I need to get to
    221 3.34%:  I think that's good
    222 3.34%:  so that doesn
    223 3.33%:  that one isn't so
    224 3.32%:  this one's gonna need
    225 3.29%: . I think that one
    226 3.25%:  that's the end to
    227 3.20%:  that's the ending.
    228 4.20%:  that's the ending. I
    229 3.19%:  that one ends
    230 3.19%:  so I've got a
    231 3.15%:  so it's not that good.
    232 3.15%:  so it's a
    233 3.14%:  so I've got to
    234 3.10%:  so it takes
    235 3.09%:  that one's not done.
    236 3.09%:  that's one thing
    237 3.07%:  I think that's good.
    238 3.05%:  that's not it
    239 3.05%:  no one
    240 3.03%:  that doesn't even
    241 3.01%:  I think that one'
    242 5.63%:  I think that one's done
    243 3.00%:  so I don
    244 16.51%:  so I don't think
    245 23.46%:  so I don't think that
    246 3.97%:  so I don't have it
    247 3.01%:  so I don't have this
    248 3.54%:  so I don't have this one
    249 3.00%: . I need to get this to
    250 2.98%:  so I need to get this on
    251 2.92%:  that one goes in the '
    252 2.90%:  that's not this
    253 2.87%:  that's it I need to go on
    254 2.86%:  no that's not good
    255 2.86%:  no that's not the end so
    256 2.78%:  so that one's done
    257 2.78%:  so the thing
    258 2.78%:  that's not the one
    259 2.77%:  thanks.
    260 2.73%: . I've
    261 2.72%:  so that one goes
    262 2.66%:  thanks I
    263 2.65%:  thanks good
    264 2.65%:  so that one doesn't go into
    265 2.63%:  no that's not the one
    266 2.61%:  I need a
    267 2.59%:  so I don't think that goes
    268 2.59%:  that's not the end I
    269 2.55%:  so I need to take
    270 4.58%:  so I need to take this
    271 2.54%:  that's the ending so I
    272 2.53%:  so I have nothing
    273 2.51%:  so it's gonna
    274 2.50%:  that took
    275 2.48%:  so that one doesn't get in
    276 2.47%:  so that's not it
    277 2.47%:  that ending
    278 2.44%:  it's not
    279 2.40%:  thanks so
    280 2.40%:  that's not so
    281 2.75%:  that's not so good
    282 2.39%:  that one's gone
    283 2.39%:  so that one gets
    284 2.37%: . I need to get this on
    285 2.34%:  that one gets
    286 2.32%:  that one got too
    287 2.31%:  so it's not the end
    288 2.25%:  this has
    289 4.82%:  this has gotten
    290 4.76%:  this has gone
    291 2.24%:  thats
    292 2.23%:  this takes
    293 2.22%:  that's it. I need the
    294 2.22%:  that's good isn
    295 2.21%:  so I don't think that one
    296 2.16%:  it's a
    297 2.14%:  it's not that
    298 5.77%:  it's not that good
    299 2.14%:  so it's not good
    300 2.13%:  this has gone on too
    301 2.13%:  that's the kind
    302 2.13%:  and the
    303 2.11%:  so this one took
    304 2.10%:  so that one I
    305 2.09%:  that's not even the
    306 2.08%:  that's not in
    307 2.07%:  so that one's not in
    308 2.07%:  that's the end so I
    309 2.05%:  I think that one goes
    310 2.03%:  so the ending
    311 2.02%:  so that doesn't even
    312 2.02%:  that's not the ending. I
    313 2.00%: . I think that goes
    314 4.84%: . I think that goes on
    315 2.16%: . I think that goes to
    316 2.00%:  that one's on
    317 1.99%:  that doesn't tie
    318 1.98%:  and it
    319 1.98%:  so I don't have to
    320 1.97%: . I think that one needs
    321 1.96%:  it's a good
    322 1.93%:  that one's kind
    323 1.90%:  this has gone too
    324 1.90%:  so that one's not the
    325 1.90%:  so that one's not on
    326 1.90%:  so it's got
    327 1.88%:  so that's not one
    328 1.87%:  so it needs
    329 1.86%:  I need to go have
    330 1.85%:  I think that's one
    331 1.85%:  that one's done. I
    332 1.84%:  so I need to have
    333 1.80%:  no that's not in
    334 1.80%:  so I've gotta
    335 1.79%:  so that's it. It
    336 1.79%:  no that one'
    337 5.03%:  no that one's not done
    338 1.78%:  that one needs no
    339 1.78%:  that one's in
    340 1.77%:  that one's done. I think
    341 1.77%:  so it's done
    342 1.77%:  so that's not in
    343 1.77%:  so I have to go
    344 2.12%:  so I have to go to
    345 1.76%: . I have
    346 2.17%: . I have nothing
    347 1.76%:  so that's the ending. I
    348 1.75%:  so I haven
    349 6.11%:  so I haven't got
    350 4.57%:  so I haven't gotten
    351 4.51%:  so I haven't got this
    352 3.90%:  so I haven't gotten the
    353 2.00%:  so I haven't gotten it
    354 1.83%:  so I haven't done
    355 3.70%:  so I haven't done the
    356 2.47%:  so I haven't done this
    357 1.74%:  so that one doesn't go on
    358 1.73%:  gotta
    359 1.73%:  that doesn't go
    360 1.73%:  so that's not done
    361 1.72%:  no that's not the ending so
    362 1.72%:  that one's not so good. It
    363 1.71%: . I need to get on
    364 1.70%:  no that's the ending to
    365 1.69%:  no thanks
    366 1.88%:  no thanks I
    367 1.69%:  no that's not the kind
    368 1.69%:  these
    369 1.68%:  so that one is done
    370 1.67%:  that doesn't get
    371 1.66%:  so it doesn't go
    372 1.66%:  that's it. I got
    373 1.65%:  that's not good.
    374 1.63%:  that's it. I need to go on
    375 1.63%:  that is the end. I
    376 1.62%:  that needs
    377 1.61%:  that's the end. I got
    378 1.60%:  that one ends in
    379 1.59%:  that's it on
    380 4.44%:  that's it on the
    381 1.58%:  no this one'
    382 4.30%:  no this one's not
    383 5.33%:  no this one's not done
    384 1.57%:  so I need to get a
    385 1.57%: . I've gotta
    386 1.57%:  no that's too
    387 1.56%:  I think that's done
    388 1.64%:  I think that's done.
    389 1.55%: . I think that does
    390 1.54%:  that's one good
    391 1.54%:  so I haven't gotten it done
    392 1.54%:  this one's not
    393 6.25%:  this one's not gonna
    394 2.36%:  this one's not on
    395 1.54%:  that one ends on
    396 1.53%:  so it's a good
    397 1.53%:  so that one doesn't get on
    398 1.53%:  so that's eight
    399 1.51%:  that one isn't so hot
    400 1.51%:  thanks see
    401 1.51%:  I need to go into
    402 1.51%:  that one's done so
    403 1.50%:  so the idea
    404 1.49%:  that's good. It
    405 1.49%:  then
    406 1.57%:  then.
    407 1.48%:  that one took too
    408 1.48%:  no that's too good
    409 1.48%:  so I have no
    410 1.47%:  that's good I
    411 3.26%:  that's good I think.
    412 1.47%:  so that isn
    413 2.06%:  so that isn't the
    414 4.93%:  so that isn't the end
    415 1.46%:  I need to sit
    416 1.45%:  no that's it I
    417 1.45%: . I need to get on this
    418 1.44%:  that's ten
    419 1.44%:  so instead
    420 1.44%:  so I've got that done
    421 1.43%:  so that one doesn't go in
    422 1.42%:  that one took the
    423 1.42%:  that's the end. It is
    424 1.41%:  no that's the ending.
    425 1.41%:  so that's it I
    426 1.40%:  so I need to have this
    427 1.40%:  so it's not even
    428 1.40%:  that is the end I
    429 1.40%:  I have to get this one
    430 1.39%:  so thanks
    431 1.39%:  this one doesn
    432 48.25%:  this one doesn't have
    433 4.61%:  this one doesn't have to
    434 2.97%:  this one doesn't have to go
    435 2.88%:  this one doesn't get
    436 2.43%:  this one doesn't take
    437 1.38%:  that one isn't so good.
    438 1.38%:  no that one's not good
    439 1.37%:  so that one is not
    440 1.37%:  thanks nothing
    441 1.37%:  so I need the
    442 1.37%:  and this
    443 2.71%:  and this one
    444 1.36%:  so I think
    445 3.00%:  so I think that
    446 2.06%:  so I think that needs
    447 1.85%:  so I think that one
    448 1.58%:  so I think that's good
    449 1.42%:  so I think that's one
    450 1.40%:  so I think that one needs
    451 1.36%:  this one has
    452 1.36%:  so that's the end. I
    453 1.35%:  so that one's in
    454 1.34%: . I've got a
    455 1.33%:  so it's not even that
    456 1.32%:  I've
    457 17.53%:  I've gotta
    458 1.69%:  I've got to take
    459 4.14%:  I've got to take this
    460 1.32%:  this one's done.
    461 1.31%:  no this one doesn't go
    462 1.31%:  this doesn
    463 1.31%:  I think that's good to
    464 1.30%:  that's tonight
    465 1.30%:  so that's the kind
    466 1.29%:  I need to get this on
    467 1.82%:  I need to get this on a
    468 1.28%:  it's done
    469 1.42%:  it's done.
    470 1.27%:  so that's the one I
    471 1.27%:  so that one ties
    472 1.26%:  I think that's got
    473 1.26%:  that's eighteen
    474 1.26%:  so that's not the ending on
    475 1.25%:  no that's not even
    476 1.89%:  no that's not even the
    477 1.25%:  no thanks I need
    478 1.52%:  no thanks I need to get
    479 1.45%:  no thanks I need to get this
    480 1.25%:  thank goodness
    481 1.24%:  no this one's not good
    482 1.24%:  that's not so hot
    483 1.24%:  so it's not on
    484 1.22%:  so that one's on
    485 1.21%:  so it doesn't go that
    486 1.20%:  I need to get this to
    487 1.19%:  so it doesn't take
    488 1.19%:  so I need to give
    489 1.19%:  it's not done
    490 1.18%:  that one ends things
    491 1.18%:  this one's a
    492 1.17%:  that's 
    493 1.17%:  no one asked
    494 1.16%:  that is the end so
    495 1.16%:  I need to take it
    496 1.16%:  that's not the kind
    497 1.16%:  no thanks I need to go to
    498 1.15%:  the
    499 1.96%:  the end
    500 1.15%:  that one's too
    501 1.15%: . I need to go to
    502 1.14%:  no that's it.
    503 1.14%:  so that's not even
    504 1.59%:  so that's not even the
    505 1.13%:  those
    506 1.13%:  no that one's too
    507 1.13%:  that one doesn't go into
    508 1.13%:  so that took
    509 1.13%:  so that one isn
    510 7.46%:  so that one isn't done
    511 1.39%:  so that one isn't the
    512 1.18%:  so that one isn't on
    513 1.13%:  so I've got the
    514 1.12%:  that one I
    515 2.41%:  that one I think
    516 1.98%:  that one I'
    517 1.48%:  that one I think needs
    518 1.12%:  so it's the end
    519 1.12%:  it's not the
    520 1.12%:  it's gonna need
    521 1.11%:  no that's the one
    522 1.11%:  I think that one's done so
    523 1.10%:  I need to go on
    524 1.45%:  I need to go on the
    525 1.09%:  so don
    526 1.09%:  so I haven't got this done
    527 1.09%:  so that's the ending to one
    528 1.07%:  no this one's too
    529 1.07%:  so I need to get on
    530 1.09%:  so I need to get on that
    531 1.07%:  no I
    532 1.06%:  so I have one
    533 1.05%:  no that one doesn't tie
    534 1.05%:  so I haven't got it
    535 1.04%:  so I need to go on
    536 1.04%:  no that's it I need
    537 1.04%:  that one's not done so
    538 1.04%:  that's one I
    539 1.03%:  that one's not good
    540 1.67%:  that one's not good.
    541 1.03%:  so I have this
    542 1.03%:  that's not too
    543 1.03%:  thanks I need
    544 9.68%:  thanks I need to go to
    545 2.02%:  thanks I need to get
    546 4.76%:  thanks I need to get to
    547 1.99%:  thanks I need to get this
    548 1.02%:  no thanks to
    549 1.10%:  no thanks to the
    550 1.02%:  so that's not good
    551 1.02%:  so that one's not good
    552 1.02%:  that's the ending. It
    553 1.01%:  I think the
    554 1.01%:  I've got it
    555 1.01%:  that's not one
    556 1.01%:  so it doesn't get
    557 1.01%:  that one isn't done.
    558 1.01%:  no thank
    559 1.01%:  so I need to get it
    560 1.00%:  so I haven't gotten this
    561 1.68%:  so I haven't gotten this one
    562 0.99%:  so I need to take this to
    563 0.99%:  so thanks to
    564 1.27%:  so thanks to the
    565 0.99%:  so it's not a good one
    566 0.98%:  I have to get to
    567 0.98%:  that one's not even
    568 2.03%:  that one's not even on
    569 0.97%:  I need this
    570 0.97%:  so that's nothing
    571 2.58%:  so that's nothing to
    572 0.97%:  that's good then
    573 0.96%:  no that one doesn't go
    574 0.96%:  that's the one ending I
    575 0.95%:  that's this one done.
    576 0.95%:  so it's not an
    577 0.95%:  that is not the
    578 0.95%:  that one's good.
    579 0.95%:  no that's the end. It
    580 0.95%:  that one's not too
    581 0.95%:  so I've got this done
    582 0.94%:  so that one I don
    583 1.55%:  so that one I don't think
    584 0.94%:  so this took
    585 0.94%:  this one's gonna end
    586 0.93%:  that's not this good
    587 0.92%:  so I had
    588 1.10%:  so I had this
    589 0.92%:  I need to get this onto
    590 0.92%:  so I need to thank
    591 1.95%:  so I need to thank the
    592 0.92%:  that's good to
    593 0.91%:  that's it I need to go.
    594 0.91%:  that one doesn't get on
    595 0.91%:  so it's good
    596 1.62%:  so it's good that
    597 0.91%:  so that one's not even
    598 0.91%:  that's the 
    599 0.91%: . I think that's gone
    600 0.90%:  and I
    601 4.16%:  and I think
    602 0.90%:  so that one's got
    603 0.90%:  this needs
    604 0.90%:  that's not the ending I env
    605 0.89%:  no that isn
    606 2.21%:  no that isn't the
    607 1.76%:  no that isn't the end.
    608 1.08%:  no that isn't the end I
    609 0.89%:  so that one tied
    610 0.89%:  so that's the one good
    611 0.89%:  that's the end it
    612 0.89%:  so that one got
    613 0.89%:  it's the
    614 0.88%:  that one doesn't go to
    615 0.88%:  this one needs
    616 0.88%:  no that's not ending
    617 0.87%:  that's it go
    618 0.87%:  that's not the end. In
    619 0.87%:  so that's one ending
    620 0.86%:  so it's gonna need
    621 0.86%:  that does
    622 0.86%:  I think that goes to
    623 0.86%:  so good
    624 0.86%:  so I don't have this on
    625 0.86%:  so I haven't got it done
    626 0.86%:  that one's not so good I
    627 1.27%:  that one's not so good I think
    628 1.27%:  that one's not so good I think.
    629 0.86%:  so I have the
    630 0.85%:  that one's not on this
    631 0.85%:  that's not one I
    632 0.85%:  I need to go think
    633 0.85%:  that's done. It
    634 1.08%:  that's done. It took
    635 0.85%:  that one does
    636 1.49%:  that one does not tie
    637 0.85%:  no that's not it.
    638 0.85%:  so that is
    639 1.74%:  so that is the
    640 3.81%:  so that is the end
    641 0.84%:  so it's not that I
    642 1.12%:  so it's not that I don
    643 0.84%:  thanks I need to get on
    644 0.83%:  so not
    645 0.83%:  so it's not that good I
    646 0.83%:  I think that one's good
    647 0.82%:  no that one's too intense
    648 0.82%:  this'
    649 0.82%:  that one ends it
    650 0.82%:  that's good too.
    651 0.81%:  this one goes
    652 2.26%:  this one goes on
    653 1.33%:  this one goes to
    654 0.81%:  that's the ending I
    655 0.81%:  this one's good
    656 0.81%:  that's nothing I
    657 0.89%:  that's nothing I need
    658 0.80%: . I've done
    659 0.80%:  so I got
    660 0.80%:  that's good. I
    661 12.30%:  that's good. I think
    662 0.80%:  I've got to head
    663 0.80%:  so that one kind
    664 0.80%:  that one doesn't hit
    665 0.79%:  I need to have
    666 1.28%:  I need to have this
    667 0.79%:  that's setting
    668 0.79%:  I have to go.
    669 0.79%:  this one's not done
    670 0.79%:  no that one needs
    671 0.79%: . I think that one needs to
    672 0.78%:  that's one I don
    673 0.78%:  no that one's not on
    674 0.78%:  so that's not too
    675 0.78%:  so that one does
    676 0.77%:  no that doesn
    677 1.88%:  no that doesn't even
    678 0.77%:  so I haven't done this one
    679 0.77%:  so I haven't gotten those
    680 0.77%:  so that's it. I
    681 0.77%:  that's one.
    682 0.76%:  so I got the
    683 0.82%:  so I got the idea
    684 0.76%:  so it's good that the
    685 0.76%:  the ending
    686 0.76%:  that's not the end is
    687 0.76%:  that one is not
    688 1.38%:  that one is not on
    689 0.76%:  that one ends this
    690 0.76%:  no that's not even on
    691 0.76%:  that does it.
    692 0.75%:  so I don't have these
    693 0.75%:  that's not the end in
    694 0.75%:  I need to eat
    695 0.75%:  that one's not the
    696 0.74%:  so I've said
    697 1.65%:  so I've said too
    698 0.74%:  so that's the end I
    699 0.74%:  that's not the ending so
    700 1.88%:  that's not the ending so I
    701 0.74%:  so this one I
    702 0.74%:  that's not even on
    703 0.74%:  so that's it I need
    704 0.74%:  so it's not even a good
    705 0.74%:  so I don't have those
    706 0.74%:  that one's not even good
    707 0.93%:  that one's not even good.
    708 0.73%:  that's too good
    709 0.73%:  so it's the end.
    710 0.73%:  so that's the one good one.
    711 0.73%:  that one goes into
    712 0.73%:  this has to
    713 0.72%: . I gotta
