hung over is like winning the lottery, except they pay you in regret!
         0 0* 18.33257% (73.608% 0.040% 26.352%)   hung                                                                                                                         -------aceeeeeeeeeghhiiikllnooopprrrrsttttttuvxyyyy,!
         1 0* 52.80094% (82.495% 0.045% 17.461%)   hung over                                                                                                                    -------aceeeeeeeeghhiiikllnoopprrrsttttttuxyyyy,!
         2 0* 70.63552% (83.514% 0.046% 16.440%)   hung over is                                                                                                                 -------aceeeeeeeeghhiikllnoopprrrttttttuxyyyy,!
         3 0* 154.69257% (84.388% 0.047% 15.565%)   hung over is pretty                                                                                                          -------aceeeeeeeghhiikllnooprrttttuxyyy,!
         4 0* 448.57493% (84.405% 0.047% 15.548%)   hung over is pretty great                                                                                                    -------ceeeeeehhiikllnooprtttuxyyy,!
         5 0* 387.23245% (84.408% 0.047% 15.545%)   hung over is pretty great!                                                                                                   -------ceeeeeehhiikllnooprtttuxyyy,
         6 0* 127.20114% (84.411% 0.047% 15.543%)   hung over is pretty great,                                                                                                   -------ceeeeeehhiikllnooprtttuxyyy!
         7 0* 82.53644% (84.411% 0.047% 15.542%)   hung over is like                                                                                                            -------aceeeeeeeghhilnoopprrrttttttuxyyyy,!
         8 0* 67.71346% (84.493% 0.047% 15.461%)   hung over is pretty great, you                                                                                               -------ceeeeeehhiikllnoprtttxyy!
         9 0* 49.88109% (84.493% 0.047% 15.460%)   hung over is the                                                                                                             -------aceeeeeeeghiikllnoopprrrtttttuxyyyy,!
        10 0* 41.50109% (84.823% 0.047% 15.130%)   hung over is pretty okay                                                                                                     -------ceeeeeeeghhiillnoprrttttuxyy,!
        11 0* 20.87267% (84.823% 0.047% 15.130%)   hung over is like trying                                                                                                     -------aceeeeeeehhloopprrtttttuxyyy,!
        12 0* 97.46394% (84.823% 0.047% 15.130%)   hung over is like trying to                                                                                                  -------aceeeeeeehhlopprrttttuxyyy,!
        13 0* 20.59479% (84.824% 0.047% 15.130%)   hung over is pretty great, except                                                                                            -------eeeehhiikllnoorttuyyy!
        14 0* 19.81970% (84.824% 0.047% 15.130%)   hung over is like trying to play                                                                                             -------ceeeeeeehhoprrttttuxyy,!
        15 0* 18.54376% (84.824% 0.047% 15.130%)   hung over is pretty okay!                                                                                                    -------ceeeeeeeghhiillnoprrttttuxyy,
        16 0* 17.61547% (84.824% 0.047% 15.129%)   hung over is like trying to play hop                                                                                         -------ceeeeeeehrrttttuxyy,!
        17 0* 16.66018% (84.824% 0.047% 15.129%)   hung over is pretty nice                                                                                                     -------aeeeeeeghhikllooprrttttuxyyy,!
