YOUR IDEA OF HAPPINESS IS LOWERED EXPECTATIONS?
79.70%:  YOU
56.27%:  YOU ARE
34.51%:  YOU WANT
18.17%:  WHAT
22.47%:  WHAT IF YOU ARE
18.86%:  WHAT ARE
43.81%:  WHAT ARE YOUR
258.62%:  WHAT ARE YOUR PLANS
24.26%:  WHAT ARE YOUR PLANS IF
16.91%:  WHAT ARE YOUR PLANS?
14.99%:  WHAT YOU
18.81%:  WHAT YOU ARE
14.56%:  YOU WISH
12.83%:  WHAT IF YOU ARE OLD
38.29%:  WHAT IF YOU ARE OLD AND
12.19%:  WHAT IF YOU DON
11.05%:  WHAT IF YOU ARE OLDER?
10.46%:  YOUR
8.73%:  YOUR PLAN
8.68%:  YOU DON
8.54%:  YOU WON
8.28%:  YOU ARE NOT
7.70%:  YOUR ANSWER
9.21%:  YOUR ANSWER TO
7.64%:  WHAT ARE YOUR PLANS IN
7.48%:  YOU ARE PRET
7.44%:  YOU PLAN
8.16%:  YOU PLAN TO SP
8.06%:  YOU PLAN ON
7.41%:  YOUR PLAN IS TO SP
6.83%:  WHAT DOES
6.67%:  WHEN
601.96%:  WHEN YOU ARE OLDER AND
238.91%:  WHEN YOU ARE OLDER AND STO
199.77%:  WHEN YOU ARE OLDER AND I
175.15%:  WHEN YOU ARE OLD AND
118.96%:  WHEN YOU ARE OLD AND STO
38.98%:  WHEN YOU ARE OLDER I
38.18%:  WHEN YOU ARE OLDER AND FAT
34.79%:  WHEN YOU ARE OLD AND FAT
27.80%:  WHEN YOU ARE OLD AND I
22.46%:  WHEN YOU ARE OLDER DO
21.74%:  WHEN YOU ARE OLDER AND STOPP
12.93%:  WHEN YOU ARE OLDER AND S
11.33%:  WHEN YOU ARE OLDER AND SET
10.28%:  WHEN YOU ARE OLDER IT
10.06%:  WHEN YOU ARE OLD AND STOPP
9.95%:  WHEN YOU ARE STO
8.88%:  WHEN YOU ARE OLDER AND STOP
8.53%:  WHEN YOU ARE OLDER AND ST
8.27%:  WHEN YOU ARE OLDER DOES
7.43%:  WHEN YOU ARE OLDER AND A
9.63%:  WHEN YOU ARE OLDER AND A STO
7.40%:  WHEN ARE
12.34%:  WHEN ARE YOU STO
7.10%:  WHEN YOU ARE OLD AND RET
6.65%:  YOU SEE
6.65%:  WHEN YOU ARE AN
34.67%:  WHEN YOU ARE AN OLD STO
15.39%:  WHEN YOU ARE AN OLDER
6.50%:  YOU ARE TE
6.14%:  WHAT IF YOU ARE A
6.12%:  YOUR ANSWER IS TO
6.07%:  WHAT ARE YOUR PLANS ON
6.05%:  YOUR LIFE
5.93%:  WHAT IF YOU ARE ALSO
5.90%:  WHAT IF YOUR
5.59%:  YOU WISH PEOPLE
5.52%:  WHEN YOU ARE OLDER IT IS
5.21%:  YOU WANT PEOPLE
5.16%:  WHAT IF YOU ARE OLDER AND I
5.08%:  WHAT DO
16.60%:  WHAT DO YOU PLAN
7.80%:  WHAT DO YOU DO
4.82%:  WHAT DOES YOUR
4.61%:  WHAT IF YOU END
4.61%:  WHEN YOU ARE OLDER DO NOT
10.64%:  WHEN YOU ARE OLDER DO NOT EXPECT
4.60%:  YOU ARE PRO
4.46%:  WHEN YOU ARE OLD AND ST
4.39%:  WHEN YOU ARE OLDER AND IT
4.24%:  WHAT IF PEOPLE
4.07%:  YOUR PLAN IS TO DO
4.07%:  WHEN YOU ARE OLD ARE
4.07%:  WE
3.91%:  WHEN YOU ARE OLDER IS
3.91%:  THERE
6.08%:  THERE YOU
3.65%:  WHAT DO YOU DO FOR
3.61%:  YOU WISH FOR
3.58%:  WHEN YOU ARE OLDER AND SIT
3.56%:  YOU WIN
3.46%:  YOU STO
3.33%:  IN
5.31%:  IN OTHER
260.35%:  IN OTHER WORDS YOU
32.70%:  IN OTHER WORDS YOU DON
25.92%:  IN OTHER WORDS YOU EXPECT
15.34%:  IN OTHER WORDS YOU PLAN
11.60%:  IN OTHER WORDS YOU NEED
8.37%:  IN OTHER WORDS ONE
6.00%:  IN OTHER WORDS ONE DAY I
5.56%:  IN OTHER WORDS YOU FEEL
4.03%:  IN OTHER WORDS I
3.98%:  IN OTHER WORDS YOU AND
3.48%:  IN OTHER WORDS YOU SAID
3.46%:  INSTE
9.11%:  INSTEAD OF SAY
7.91%:  INSTEAD YOU
5.34%:  INSTEAD YOU ARE
4.84%:  INSTEAD OF WISH
3.81%:  INSTEAD OF YOUR
3.32%:  WHEN YOU ARE OLD AND SET
3.31%:  I
4.41%:  I SHOULD
3.28%:  WE SHOULD
3.25%:  WHAT DOES YOUR LIFE
3.22%:  YOU PRO
10.63%:  YOU PROPOSE TO
5.04%:  YOU PROPOSE WE
4.44%:  YOU PROPOSE STO
3.21%:  WHEN YOU ARE OLDER IF
3.18%:  YOUR ANSWER TO LIFE
3.11%:  WHEN YOU ARE OLD I
3.10%:  YOU ARE THE
3.40%:  YOU ARE THE ONE RESPONS
3.10%:  WHEN YOU ARE A
3.62%:  WHEN YOU ARE A STO
3.09%:  WHAT DO YOU NEED
3.07%:  YOU WERE
3.05%:  WHEN YOU ARE OLDER ONE
3.03%:  WE ARE
3.01%:  SOON
2.99%:  WHEN YOU STO
2.97%:  ARE
2.95%:  WHEN YOU ARE OLDER DOES IT
2.94%:  YOUR LIFE IS
2.94%:  YOUR ANSWER IS STO
2.92%:  YOU ARE DEFIN
2.92%:  IN OTHER WORDS YOU SEE
2.90%:  WHEN YOU ARE OLDER AND TOO
2.89%:  WHAT ARE YOUR LIFE
2.89%:  WHAT IF PEOPLE DON
2.83%:  WHEN YOU ARE OLDER TOO
2.73%:  YOU WISH TO SP
2.73%:  WHEN YOU ARE OLDER AND PASS
2.72%:  WHEN ARE YOU EXPECT
2.67%:  ARE YOU STO
2.65%:  INSTEAD OF A
2.65%:  INSTEAD OF A HOUSE
2.64%:  ONE
10.72%:  ONE DAY WHEN I
6.75%:  ONE DAY WE
2.62%:  WHEN ARE YOU OLD
2.61%:  WHAT IF YOU DIDN
2.59%:  YOUR PLAN IS TO SPEND A
2.58%:  NOW
9.00%:  NOW YOU ARE
4.41%:  NOW YOU ARE STO
2.58%:  WHAT IF YOU REAL
2.56%:  IN OTHER WORDS YOU DO
2.56%:  THEN
2.56%:  WHEN YOU ARE OLD AND FR
2.55%:  YOUR PLAN IS TO DO ONE
2.53%:  WHEN YOU ARE OLDER AND SAT
2.52%:  IN OTHER WORDS YOU EXPECT PEOPLE
2.52%:  THERE ARE
2.51%:  WHAT?
4.50%:  WHAT? YOU
2.63%:  WHAT? YOU ARE
2.48%:  YOU ARE WISH
2.47%:  TRUE
2.44%:  FAR
2.42%:  IN YOUR
2.39%:  WHEN YOU ARE OLDER?
2.37%:  FAR YOU
2.37%:  WHEN YOU ARE OLD AND SEE
2.36%:  YOUR PLANS
2.90%:  YOUR PLANS FOR
2.29%:  YOUR ENTIRE
3.67%:  YOUR ENTIRE LIFE IS DED
3.27%:  YOUR ENTIRE LIFE IS ONE
2.28%: ?
2.27%:  WHAT IF YOU ARE ALONE
2.27%:  NOW YOU ARE PRET
2.26%:  WHAT DOES A
2.25%:  WHAT IF YOU NEED
2.25%:  WHAT IF PEOPLE ARE
2.25%:  YOU HOPE
2.25%:  YOU NEED
2.20%:  WHEN YOU ARE OLD AND STOP
2.19%:  WHEN YOU ARE OLD AND S
2.18%:  THEN YOU ARE
2.16%:  WHEN YOU ARE OLDER STOP
2.15%:  YOU FEEL
2.13%:  WHERE
3.68%:  WHERE ARE
7.16%:  WHERE ARE YOU STO
2.53%:  WHERE DOES
2.12%:  YOUR PLANS ARE TO SP
2.11%:  WHEN YOU ARE OLD AND R
2.10%:  WHEN YOU ARE OLDER IT DOES
2.08%:  HOW
3.71%:  HOW DOES
2.24%:  HOW DOES YOUR
2.25%:  HOW DOES YOUR LIFE
2.18%:  HOW DOES YOUR PLAN
2.07%:  YOUR RESPONSE
2.46%:  YOUR RESPONSE TO
2.07%:  WHY
3.03%:  WHY ARE
2.07%:  I SHOULD SET
2.00%:  YOU ARE A
2.00%:  WHEN YOU ARE OLDER DO NOT EXPECT A
1.98%:  WHAT IF PEOPLE SAY
1.98%:  WHAT IF PEOPLE ARE AROUND
1.98%:  WHAT IS
25.10%:  WHAT IS YOUR PLAN
7.41%:  WHAT IS YOUR PLAN?
5.57%:  WHAT IS YOUR RESPONSE
5.03%:  WHAT IS YOUR PERSONAL
4.00%:  WHAT IS YOUR REASON
3.55%:  WHAT IS YOUR PLAN IF
3.42%:  WHAT IS YOUR REAL
2.44%:  WHAT IS YOUR OPINION
2.29%:  WHAT IS YOUR END
2.16%:  WHAT IS YOUR IDEAL
1.98%:  WHEN YOU ARE OLD AND I ARE
1.97%:  YOU EXPECT
1.93%:  WHEN YOU ARE OLDER DON
1.91%:  WHAT IF YOU ARE AN
6.74%:  WHAT IF YOU ARE AN OLD PERSON
4.79%:  WHAT IF YOU ARE AN OLDER
1.90%:  WHAT IF YOU ARE DEAD
1.90%:  YOU ARE STO
1.88%:  WHAT ARE YOUR PLANS IF NO
1.88%:  WHAT IF PEOPLE AROUND
1.88%:  YOU ARE HOP
1.86%:  YOU PLAN ON SP
1.86%:  WHEN YOU ARE OLDER AND IF
1.85%:  WHEN YOU ARE OLD AND ARE
1.92%:  WHEN YOU ARE OLD AND ARE STO
1.84%:  WHEN YOU ARE OLDER AND AT
1.84%:  INSTEAD YOU WISH
1.84%:  INSTEAD OF PREPAR
1.84%:  YOUR ENTIRE LIFE HAS
1.83%:  FAR YOU ARE
1.83%:  YOU PROPOSE A
6.47%:  YOU PROPOSE A LIFE WHERE
3.06%:  YOU PROPOSE A TRADE
1.83%:  HOW DOES ONE
1.82%:  IF
7.27%:  IF YOU ARE
5.73%:  IF YOU WERE
5.15%:  IF YOU WERE OLD
6.15%:  IF YOU WERE OLDER AND
4.74%:  IF YOU WANT
4.39%:  IF YOU ARE OLD
12.61%:  IF YOU ARE OLDER AND
5.63%:  IF YOU ARE OLDER AND WISH
4.46%:  IF YOU ARE OLDER THAN I
3.74%:  IF YOU ARE OLD AND
3.49%:  IF YOU WERE PRESIDENT
3.05%:  IF YOU DON
2.93%:  IF YOU ARE OLDER THEN
2.37%:  IF YOU ARE SO
2.35%:  IF YOU WERE A
2.16%:  IF YOU ARE OLDER AND STO
2.00%:  IF YOU WERE TO
1.88%:  IF YOU ARE STO
1.87%:  IF YOU ARE OLDER NOW
1.80%:  WHEN YOU ARE OLDER AND I TOO
1.80%:  WHAT IF YOU ENDED
1.79%:  YOUR PLAN IS TO WH
1.76%:  WHAT ARE YOU EXPECT
1.76%:  WHAT IS YOUR PLAN? ARE
1.76%:  WHAT IF YOU LEARN
1.75%:  IF YOU WERE OLDER THAN
1.74%:  WHEN YOU ARE 
1.74%:  IF YOU ARE NOT
1.74%:  IF YOU WANTED
1.73%:  YOUR ENTIRE PLAN
1.73%:  WHAT IF YOU ARE ONE
1.71%:  YOU PROPOSE THIS
1.70%:  WHEN YOU ARE OLDER T
1.69%:  WHAT IS YOUR LIFE
1.68%:  HOW DOES STO
1.68%:  IF YOU ARE OLDER AND WANT
1.68%:  WHEN ARE YOU EXPECTED
1.68%:  SAY
1.67%:  WHEN YOU ARE OLDER STO
1.67%:  YOUR WHOLE
1.66%:  WHEN YOU ARE OLD AND FRO
1.63%:  IS
1.62%:  LET
1.62%:  THERE IS
4.55%:  THERE IS NO REASON
1.60%:  WHEN YOU ARE OLDER AND I STO
1.58%:  WHEN YOU ARE OLD AND A
1.58%:  HOW ARE
3.07%:  HOW ARE YOU FEEL
1.57%:  WHAT ARE YOUR S
1.57%:  STO
1.56%:  I HEAR
2.31%:  I HEAR YOU
1.73%:  I HEAR YOU WANT
1.56%:  WHEN YOU DIE
1.56%:  WOULD
1.56%:  SAD
1.56%:  WHERE DO
7.69%:  WHERE DO YOU SEE
3.38%:  WHERE DO YOU PLAN
4.73%:  WHERE DO YOU PLAN TO
3.23%:  WHERE DO YOU STAND
2.49%:  WHERE DO YOU STO
1.86%:  WHERE DO YOU PLAN TO FIND
1.56%:  WHAT IS YOUR FINAL
1.55%:  I HEAR YOU ARE
1.55%:  WHEN YOU ARE OLDER DO I
1.55%:  WHERE DO YOU SLEEP
1.54%:  INSTEAD OF YOU
1.54%:  IT
2.55%:  IT SOUND
1.88%:  IT WOULD
3.16%:  IT WOULD APPE
1.54%:  YOU ARE THE PERSON
1.54%:  WHAT DO YOU DO IF
1.53%:  WHAT IF YOU LAND
2.33%:  WHAT IF YOU LAND ON A
1.53%:  WHAT IS YOUR IDEA
1.51%:  ONE DAY I
